Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.72,0.77,0.69,0.74,111300,0.74
2014-12-30,0.74,0.74,0.74,0.74,000,0.74
2014-12-29,0.74,0.76,0.71,0.74,31400,0.74
2014-12-26,0.74,0.77,0.72,0.73,73300,0.73
2014-12-24,0.70,0.70,0.67,0.69,1000,0.69
2014-12-23,0.67,0.69,0.62,0.68,32700,0.68
2014-12-22,0.65,0.71,0.56,0.60,146300,0.60
2014-12-19,0.63,0.69,0.60,0.65,74700,0.65
2014-12-18,0.64,0.67,0.58,0.59,126000,0.59
2014-12-17,0.70,0.70,0.63,0.69,49800,0.69
2014-12-16,0.76,0.76,0.67,0.71,19300,0.71
2014-12-15,0.82,0.82,0.75,0.76,6000,0.76
2014-12-12,0.81,0.81,0.72,0.75,7200,0.75
2014-12-11,0.84,0.84,0.74,0.76,19800,0.76
2014-12-10,0.86,0.90,0.82,0.87,9900,0.87
2014-12-09,0.90,0.90,0.84,0.86,34800,0.86
2014-12-08,0.93,0.93,0.87,0.87,6800,0.87
2014-12-05,0.96,0.96,0.88,0.93,9100,0.93
2014-12-04,0.96,0.99,0.92,0.92,43100,0.92
2014-12-03,1.00,1.00,0.90,0.92,10400,0.92
2014-12-02,0.88,1.05,0.87,1.01,18800,1.01
2014-12-01,0.98,0.98,0.93,0.93,2400,0.93
2014-11-28,1.00,1.00,0.95,0.95,7500,0.95
2014-11-26,0.90,0.99,0.87,0.99,52200,0.99
2014-11-25,0.80,1.05,0.80,0.82,146000,0.82
2014-11-24,0.73,0.82,0.70,0.80,100800,0.80
2014-11-21,0.75,0.75,0.67,0.67,75900,0.67
2014-11-20,0.73,0.77,0.73,0.75,2300,0.75
2014-11-19,0.78,0.78,0.73,0.75,7900,0.75
2014-11-18,0.77,0.79,0.72,0.78,9300,0.78
2014-11-17,0.80,0.83,0.71,0.76,57400,0.76
2014-11-14,0.79,0.81,0.75,0.76,8100,0.76
2014-11-13,0.78,0.79,0.66,0.71,1700,0.71
2014-11-12,0.77,0.79,0.64,0.79,18800,0.79
2014-11-11,0.80,0.81,0.80,0.80,4300,0.80
2014-11-10,0.78,0.88,0.75,0.77,73900,0.77
2014-11-07,0.90,0.91,0.75,0.86,23900,0.86
2014-11-06,0.92,0.92,0.81,0.88,22500,0.88
2014-11-05,0.95,0.97,0.94,0.94,4800,0.94
2014-11-04,0.99,1.01,0.90,0.90,31200,0.90
2014-11-03,1.01,1.02,0.98,0.98,27400,0.98
2014-10-31,1.01,1.05,1.00,1.01,28400,1.01
2014-10-30,0.93,1.05,0.93,0.99,99100,0.99
2014-10-29,0.87,0.94,0.87,0.94,9600,0.94
2014-10-28,0.95,0.95,0.89,0.94,52600,0.94
2014-10-27,1.05,1.05,0.92,0.96,27300,0.96
2014-10-24,1.10,1.35,0.96,0.99,108600,0.99
2014-10-23,1.06,1.27,0.80,1.24,144300,1.24
2014-10-22,1.09,1.12,1.09,1.10,3300,1.10
2014-10-21,1.07,1.10,1.06,1.09,12200,1.09
2014-10-20,1.14,1.14,1.09,1.09,200,1.09
2014-10-17,1.08,1.16,1.08,1.16,15600,1.16
2014-10-16,1.05,1.12,1.00,1.05,29700,1.05
2014-10-15,1.10,1.10,1.06,1.06,2700,1.06
2014-10-14,1.19,1.19,1.06,1.11,15500,1.11
2014-10-13,1.15,1.17,1.12,1.14,12700,1.14
2014-10-10,1.16,1.20,1.13,1.20,1700,1.20
