Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,30.29,30.63,30.29,30.44,9400,30.44
2014-12-30,30.33,30.38,30.10,30.30,12300,30.30
2014-12-29,30.86,30.86,30.62,30.70,18400,30.70
2014-12-26,30.70,30.91,30.70,30.79,21700,30.79
2014-12-24,30.85,30.85,30.53,30.60,20100,30.60
2014-12-23,30.98,30.98,30.72,30.72,15700,30.72
2014-12-22,30.42,30.64,30.41,30.50,25300,30.50
2014-12-19,30.68,30.73,30.08,30.53,22800,30.53
2014-12-18,32.87,32.97,32.67,32.77,23500,30.38
2014-12-17,31.51,32.73,31.51,32.33,9700,29.97
2014-12-16,31.13,31.75,31.06,31.28,23500,28.99
2014-12-15,32.10,32.17,31.31,31.38,46300,29.09
2014-12-12,32.34,32.35,32.03,32.11,45500,29.76
2014-12-11,32.80,33.09,32.48,32.61,13500,30.23
2014-12-10,32.52,32.52,32.01,32.01,18900,29.67
2014-12-09,32.37,32.79,32.24,32.78,26700,30.38
2014-12-08,33.09,33.15,32.70,32.70,46900,30.31
2014-12-05,33.48,33.55,33.33,33.47,12500,31.02
2014-12-04,33.20,33.27,33.00,33.21,136500,30.78
2014-12-03,33.13,33.28,33.02,33.19,92900,30.76
2014-12-02,32.97,33.14,32.97,33.10,15300,30.68
2014-12-01,32.42,32.58,32.33,32.49,19300,30.12
2014-11-28,32.33,32.48,32.33,32.36,29400,29.99
2014-11-26,32.35,32.35,32.21,32.28,9000,29.92
2014-11-25,32.46,32.46,32.09,32.22,55800,29.87
2014-11-24,32.53,32.53,32.29,32.43,19500,30.06
2014-11-21,32.48,32.48,32.15,32.24,40900,29.88
2014-11-20,31.84,32.06,31.81,31.95,29400,29.61
2014-11-19,32.16,32.26,32.00,32.26,87500,29.90
2014-11-18,32.04,32.24,31.90,32.21,73400,29.86
2014-11-17,31.52,31.81,31.52,31.65,46700,29.34
2014-11-14,32.03,32.23,32.03,32.16,35100,29.81
2014-11-13,32.07,32.13,31.90,32.11,17300,29.76
2014-11-12,31.58,31.95,31.50,31.90,68000,29.57
2014-11-11,31.92,32.23,31.92,31.95,28600,29.61
2014-11-10,31.36,32.04,31.36,31.99,38800,29.65
2014-11-07,31.40,31.50,31.22,31.41,28500,29.11
2014-11-06,31.40,31.74,31.40,31.63,31200,29.32
2014-11-05,31.99,32.10,31.88,31.96,45300,29.62
2014-11-04,31.85,31.96,31.50,31.83,55800,29.50
2014-11-03,32.86,33.55,32.86,33.40,131000,30.96
2014-10-31,32.50,32.75,32.31,32.75,226000,30.36
2014-10-30,30.34,30.78,30.34,30.55,4900,28.32
2014-10-29,30.31,30.36,30.13,30.32,15600,28.10
2014-10-28,29.86,30.00,29.82,30.00,4600,27.81
2014-10-27,29.74,29.74,29.63,29.65,5600,27.48
2014-10-24,29.79,29.88,29.59,29.88,14500,27.70
2014-10-23,29.80,30.07,29.75,29.87,5600,27.69
2014-10-22,29.46,29.64,29.31,29.34,12500,27.20
2014-10-21,28.97,29.13,28.97,29.13,3500,27.00
2014-10-20,28.91,29.28,28.91,29.27,14200,27.13
2014-10-17,28.77,28.77,28.32,28.68,24500,26.58
2014-10-16,28.05,28.54,28.05,28.41,43600,26.33
2014-10-15,28.47,28.61,27.95,28.38,31900,26.31
2014-10-14,28.94,29.00,28.76,28.76,45200,26.66
2014-10-13,29.00,29.19,28.58,28.66,29500,26.57
2014-10-10,29.38,29.52,29.02,29.08,36600,26.95
2014-10-09,30.05,30.05,29.49,29.60,8800,27.44
2014-10-08,30.30,30.67,30.26,30.59,9400,28.35
2014-10-07,30.62,30.62,30.27,30.27,5900,28.06
2014-10-06,31.11,31.11,30.79,30.80,53400,28.55
2014-10-03,30.85,31.15,30.85,31.09,13100,28.82
2014-10-02,30.38,30.42,29.96,30.23,25000,28.02
2014-10-01,31.45,31.45,30.94,30.94,31700,28.68
2014-09-30,31.55,31.63,31.38,31.60,17700,29.29
2014-09-29,31.65,31.79,31.50,31.72,37400,29.40
2014-09-26,31.75,32.08,31.75,32.01,28000,29.67
2014-09-25,31.94,31.94,31.51,31.57,36700,29.26
2014-09-24,31.76,31.94,31.69,31.92,16500,29.59
2014-09-23,31.57,31.63,31.42,31.60,60900,29.29
2014-09-22,31.78,31.78,31.57,31.57,14600,29.26
2014-09-19,31.49,31.61,31.49,31.55,43700,29.24
2014-09-18,31.58,31.58,31.54,31.57,18000,29.26
2014-09-17,31.27,31.44,31.13,31.32,18300,29.03
2014-09-16,31.32,31.46,31.28,31.45,4300,29.15
2014-09-15,31.12,31.23,31.10,31.23,24300,28.95
2014-09-12,31.22,31.29,31.16,31.16,1500,28.88
