Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,17.14,17.22,16.89,16.99,219300,16.99
2014-12-30,17.21,17.39,16.87,17.04,238000,17.04
2014-12-29,16.97,17.25,16.96,17.22,388100,17.22
2014-12-26,16.91,17.17,16.84,17.01,159300,17.01
2014-12-24,16.98,17.10,16.70,16.93,128300,16.93
2014-12-23,16.87,17.11,16.68,17.00,329000,17.00
2014-12-22,16.67,17.00,16.56,16.83,218800,16.83
2014-12-19,16.64,16.82,16.38,16.73,922500,16.73
2014-12-18,16.50,16.75,16.32,16.64,283200,16.64
2014-12-17,16.04,16.50,15.95,16.39,234500,16.39
2014-12-16,15.91,16.20,15.83,16.07,247600,16.07
2014-12-15,16.04,16.15,15.63,16.02,273300,16.02
2014-12-12,15.81,16.19,15.74,16.01,284200,16.01
2014-12-11,16.27,16.40,15.90,15.99,314300,15.99
2014-12-10,16.50,16.70,16.00,16.26,300000,16.26
2014-12-09,16.18,16.71,15.73,16.61,340900,16.61
2014-12-08,16.75,17.04,16.27,16.34,223500,16.34
2014-12-05,16.72,16.94,16.57,16.78,253500,16.78
2014-12-04,16.33,16.97,16.21,16.75,514700,16.75
2014-12-03,16.15,16.47,16.08,16.23,255400,16.23
2014-12-02,16.26,16.40,16.08,16.24,206000,16.24
2014-12-01,16.21,16.40,16.14,16.25,336500,16.25
2014-11-28,16.20,16.50,16.15,16.21,184100,16.21
2014-11-26,16.30,16.31,16.08,16.26,157900,16.26
2014-11-25,16.22,16.38,16.01,16.29,204400,16.22
2014-11-24,15.88,16.53,15.88,16.25,165200,16.18
2014-11-21,16.45,16.50,16.20,16.26,181100,16.19
2014-11-20,15.75,16.23,15.69,16.21,151200,16.14
2014-11-19,16.15,16.77,15.86,15.95,342400,15.88
2014-11-18,16.30,16.54,16.02,16.23,361800,16.16
2014-11-17,16.16,16.33,16.04,16.26,258600,16.19
2014-11-14,16.12,16.40,15.94,16.34,250500,16.26
2014-11-13,16.63,17.25,15.97,16.20,362600,16.13
2014-11-12,16.30,16.67,15.74,16.56,410000,16.48
2014-11-11,15.95,16.74,15.63,16.67,1039300,16.59
2014-11-10,14.94,15.73,14.90,15.60,751500,15.53
2014-11-07,15.20,15.33,14.71,15.00,1243600,14.93
2014-11-06,14.70,14.83,14.46,14.71,330200,14.64
2014-11-05,14.72,14.92,14.64,14.71,237300,14.64
2014-11-04,14.56,14.73,14.51,14.67,257900,14.60
2014-11-03,14.86,14.86,14.55,14.60,329600,14.53
2014-10-31,14.90,14.90,14.59,14.75,229000,14.68
2014-10-30,14.55,14.81,14.47,14.68,288400,14.61
2014-10-29,14.70,14.72,14.51,14.65,228200,14.58
2014-10-28,14.33,14.70,14.15,14.66,260500,14.59
2014-10-27,14.13,14.48,14.06,14.28,267700,14.21
2014-10-24,13.87,14.34,13.84,14.25,242600,14.18
2014-10-23,13.63,13.99,13.58,13.83,186700,13.77
2014-10-22,13.76,14.05,13.54,13.55,179700,13.49
2014-10-21,13.74,13.94,13.65,13.78,149800,13.72
2014-10-20,13.34,13.75,13.32,13.73,212200,13.67
2014-10-17,14.03,14.03,13.41,13.46,304800,13.40
2014-10-16,13.35,14.24,13.22,13.82,475000,13.76
2014-10-15,12.78,13.51,12.64,13.47,299900,13.41
2014-10-14,13.46,13.66,12.71,13.01,388900,12.95
2014-10-13,13.32,13.52,13.12,13.30,238700,13.24
2014-10-10,13.38,13.56,13.14,13.27,328400,13.21
2014-10-09,13.50,13.54,13.19,13.42,285700,13.36
2014-10-08,13.26,13.60,12.81,13.54,491800,13.48
2014-10-07,13.54,13.60,13.27,13.33,395900,13.27
2014-10-06,13.80,13.82,13.43,13.69,272900,13.63
2014-10-03,13.96,13.96,13.70,13.82,295500,13.76
2014-10-02,13.74,14.06,13.74,13.89,301600,13.83
2014-10-01,14.12,14.12,13.66,13.80,747300,13.74
2014-09-30,14.17,14.23,13.87,14.18,517700,14.11
2014-09-29,13.96,14.29,13.96,14.22,241700,14.15
2014-09-26,13.98,14.20,13.96,14.17,256500,14.10
2014-09-25,14.00,14.09,13.75,14.00,338700,13.94
2014-09-24,14.12,14.16,13.75,14.04,401500,13.98
2014-09-23,14.54,14.56,14.11,14.11,456700,14.05
2014-09-22,14.74,14.74,14.02,14.64,400000,14.57
2014-09-19,14.94,14.94,14.48,14.75,792600,14.68
2014-09-18,14.74,14.85,14.59,14.82,266800,14.75
2014-09-17,14.91,14.91,14.64,14.73,394200,14.66
2014-09-16,14.93,15.17,14.73,14.98,261000,14.91
2014-09-15,15.14,15.24,14.81,14.96,431600,14.89
2014-09-12,15.21,15.32,14.92,15.27,262900,15.20
2014-09-11,15.21,15.28,14.96,15.26,251100,15.19
2014-09-10,15.20,15.32,14.97,15.26,212300,15.19
2014-09-09,15.25,15.25,14.91,15.20,476400,15.13
2014-09-08,14.92,15.37,14.68,15.34,415500,15.27
2014-09-05,14.94,15.02,14.51,15.00,316800,14.93
2014-09-04,15.15,15.20,14.83,15.02,213400,14.95
2014-09-03,15.34,15.34,14.81,15.16,322300,15.09
2014-09-02,15.47,15.47,15.05,15.30,346700,15.23
2014-08-29,15.34,15.50,15.19,15.44,311700,15.37
2014-08-28,15.32,15.42,15.15,15.22,268700,15.15
2014-08-27,15.18,15.41,15.14,15.34,299000,15.27
2014-08-26,14.85,15.28,14.76,15.17,798600,15.03
2014-08-25,14.21,14.93,14.14,14.79,676500,14.65
2014-08-22,14.04,14.12,13.85,14.04,311300,13.91
2014-08-21,14.16,14.22,13.93,14.04,385000,13.91
2014-08-20,14.03,14.26,13.80,14.15,280600,14.02
2014-08-19,14.03,14.11,13.73,14.06,251000,13.93
2014-08-18,13.88,14.02,13.65,13.99,357300,13.86
2014-08-15,13.88,13.88,13.50,13.77,313100,13.64
2014-08-14,13.46,13.76,13.39,13.73,280600,13.60
2014-08-13,13.46,13.63,13.39,13.47,250000,13.34
2014-08-12,13.66,13.78,13.42,13.45,671700,13.32
2014-08-11,13.84,13.96,13.38,13.74,595400,13.61
2014-08-08,12.56,13.81,12.50,13.80,1041300,13.67
2014-08-07,13.35,13.56,13.04,13.23,435100,13.10
2014-08-06,12.48,13.45,12.45,13.34,889800,13.21
2014-08-05,12.38,12.48,12.19,12.45,318600,12.33
2014-08-04,12.45,12.47,12.17,12.42,392000,12.30
2014-08-01,12.56,12.58,12.21,12.37,338200,12.25
2014-07-31,12.35,12.59,12.15,12.56,599300,12.44
2014-07-30,12.29,12.56,12.12,12.49,358500,12.37
2014-07-29,12.43,12.48,12.20,12.23,406200,12.11
2014-07-28,12.69,12.71,12.23,12.44,460300,12.32
2014-07-25,12.58,12.85,12.56,12.72,411500,12.60
2014-07-24,12.72,12.92,12.56,12.70,551700,12.58
2014-07-23,12.80,12.86,12.68,12.74,317900,12.62
2014-07-22,12.79,12.99,12.40,12.81,677400,12.69
2014-07-21,12.74,12.86,12.53,12.73,413200,12.61
2014-07-18,12.72,12.87,12.60,12.75,1016900,12.63
2014-07-17,12.81,12.89,12.67,12.74,909700,12.62
2014-07-16,12.60,12.87,12.33,12.83,576900,12.71
2014-07-15,12.82,12.82,12.50,12.56,347300,12.44
2014-07-14,12.55,12.84,12.45,12.80,793500,12.68
2014-07-11,12.85,13.13,12.40,12.53,828400,12.41
2014-07-10,13.11,13.15,12.80,12.91,638500,12.79
2014-07-09,13.44,13.59,13.26,13.37,282300,13.24
2014-07-08,13.84,13.89,13.20,13.43,765300,13.30
2014-07-07,14.01,14.20,13.65,13.93,1119600,13.80
2014-07-03,14.43,14.55,14.10,14.10,319500,13.97
2014-07-02,14.57,14.69,14.35,14.44,277300,14.30
2014-07-01,14.30,14.75,14.30,14.64,405300,14.50
