Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,20.23,20.23,19.72,19.73,27700,19.73
2014-12-30,19.87,20.21,19.87,20.12,22500,20.12
2014-12-29,19.72,20.00,19.53,19.97,30100,19.97
2014-12-26,19.87,19.87,19.67,19.73,34400,19.73
2014-12-24,19.78,19.88,19.61,19.74,30800,19.74
2014-12-23,19.80,19.94,19.60,19.79,53300,19.79
2014-12-22,19.61,19.88,19.60,19.79,21600,19.79
2014-12-19,19.78,19.83,19.56,19.72,69900,19.72
2014-12-18,19.62,19.96,19.62,19.84,45000,19.84
2014-12-17,19.36,20.10,19.26,19.89,50300,19.89
2014-12-16,19.00,19.59,19.00,19.40,41800,19.40
2014-12-15,19.17,19.28,18.88,18.90,86200,18.90
2014-12-12,19.00,19.20,18.99,19.07,28400,19.07
2014-12-11,19.07,19.32,19.00,19.01,25000,19.01
2014-12-10,19.27,19.39,19.00,19.00,35100,18.95
2014-12-09,19.02,19.41,19.00,19.38,46900,19.33
2014-12-08,19.29,19.49,19.03,19.23,33200,19.18
2014-12-05,19.14,19.49,19.14,19.28,33700,19.23
2014-12-04,19.03,19.33,18.99,19.17,24700,19.12
2014-12-03,19.04,19.30,18.93,19.14,123400,19.09
2014-12-02,19.08,19.28,18.88,19.10,30600,19.05
2014-12-01,19.00,19.04,18.84,18.89,42900,18.84
2014-11-28,18.97,19.06,18.79,19.00,30100,18.95
2014-11-26,18.95,19.10,18.91,19.08,18800,19.03
2014-11-25,19.15,19.15,19.00,19.07,18500,19.02
2014-11-24,18.99,19.18,18.94,19.08,35100,19.03
2014-11-21,19.22,19.22,18.86,18.96,42800,18.91
2014-11-20,18.87,18.99,18.56,18.99,36700,18.94
2014-11-19,19.25,19.25,18.72,18.89,63500,18.84
2014-11-18,19.26,19.38,18.72,19.26,41900,19.21
2014-11-17,19.30,19.32,18.97,19.30,36900,19.25
2014-11-14,19.39,19.39,19.16,19.35,29300,19.30
2014-11-13,19.20,19.37,19.07,19.35,38100,19.30
2014-11-12,19.06,19.36,19.06,19.35,18000,19.30
2014-11-11,18.94,19.20,18.94,19.19,31000,19.14
2014-11-10,18.93,18.99,18.76,18.92,54900,18.87
2014-11-07,18.93,19.24,18.70,18.86,22800,18.81
2014-11-06,18.95,19.19,18.87,19.11,26200,19.06
2014-11-05,18.78,19.00,18.74,18.88,25600,18.83
2014-11-04,18.62,18.80,18.61,18.74,22200,18.69
2014-11-03,18.85,18.94,18.67,18.74,26300,18.69
2014-10-31,18.55,18.95,18.19,18.85,57600,18.80
2014-10-30,17.89,18.30,17.89,18.15,45300,18.10
2014-10-29,17.89,18.17,17.74,18.00,32400,17.95
2014-10-28,17.46,17.98,17.44,17.97,97400,17.92
2014-10-27,17.29,17.38,17.19,17.34,14300,17.29
2014-10-24,17.47,17.50,17.16,17.44,25000,17.39
2014-10-23,17.75,17.75,16.84,17.38,41000,17.33
2014-10-22,16.88,17.37,16.55,17.22,27700,17.17
2014-10-21,17.02,17.30,17.02,17.29,13100,17.24
2014-10-20,16.94,17.07,16.56,17.01,52100,16.96
2014-10-17,17.73,17.73,16.88,16.96,33200,16.91
2014-10-16,16.98,17.60,16.98,17.49,37000,17.44
2014-10-15,17.10,17.27,16.71,17.20,47700,17.15
