Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.40,4.50,4.31,4.39,684800,4.39
2014-12-30,4.36,4.53,4.36,4.41,724900,4.41
2014-12-29,4.21,4.45,4.19,4.40,1200300,4.40
2014-12-26,4.29,4.37,4.24,4.24,338100,4.24
2014-12-24,4.38,4.41,4.30,4.30,159900,4.30
2014-12-23,4.39,4.47,4.31,4.35,424600,4.35
2014-12-22,4.36,4.44,4.24,4.40,812600,4.40
2014-12-19,4.23,4.34,4.14,4.32,2388100,4.32
2014-12-18,4.15,4.24,4.09,4.21,722300,4.21
2014-12-17,3.93,4.14,3.91,4.14,908700,4.09
2014-12-16,4.10,4.40,3.97,3.97,1220800,3.92
2014-12-15,4.41,4.47,4.14,4.14,877400,4.09
2014-12-12,4.34,4.50,4.28,4.40,1133200,4.35
2014-12-11,4.33,4.46,4.33,4.39,660300,4.34
2014-12-10,4.33,4.38,4.28,4.34,676100,4.29
2014-12-09,4.32,4.43,4.21,4.36,1042800,4.31
2014-12-08,4.37,4.42,4.29,4.37,1072200,4.32
2014-12-05,4.37,4.44,4.34,4.40,627200,4.35
2014-12-04,4.38,4.45,4.23,4.38,930500,4.33
2014-12-03,4.41,4.44,4.34,4.37,671500,4.32
2014-12-02,4.43,4.45,4.32,4.41,948200,4.36
2014-12-01,4.40,4.45,4.35,4.41,821000,4.36
2014-11-28,4.50,4.56,4.38,4.39,325200,4.34
2014-11-26,4.37,4.50,4.36,4.49,1168300,4.44
2014-11-25,4.31,4.40,4.24,4.39,869300,4.34
2014-11-24,4.18,4.32,4.18,4.31,1009300,4.26
2014-11-21,4.24,4.26,4.13,4.16,517400,4.11
2014-11-20,4.19,4.25,4.15,4.19,530900,4.14
2014-11-19,4.18,4.31,4.12,4.22,613800,4.17
2014-11-18,4.27,4.30,4.16,4.20,739200,4.15
2014-11-17,4.19,4.29,4.03,4.23,1258200,4.18
2014-11-14,4.20,4.34,4.12,4.22,1592000,4.17
2014-11-13,4.37,4.39,4.17,4.18,772900,4.13
2014-11-12,4.35,4.42,4.27,4.37,993400,4.32
2014-11-11,4.37,4.44,4.30,4.38,715200,4.33
2014-11-10,4.23,4.35,4.22,4.34,750900,4.29
2014-11-07,4.21,4.25,4.15,4.24,1399100,4.19
2014-11-06,4.20,4.29,4.15,4.24,1542500,4.19
2014-11-05,4.15,4.25,4.07,4.19,1461900,4.14
2014-11-04,3.87,4.15,3.76,4.09,2397400,4.04
2014-11-03,3.56,3.60,3.50,3.51,776700,3.47
2014-10-31,3.70,3.70,3.58,3.58,672400,3.54
2014-10-30,3.49,3.63,3.46,3.61,754200,3.57
2014-10-29,3.56,3.63,3.42,3.49,1483100,3.45
2014-10-28,3.51,3.60,3.46,3.54,854100,3.50
2014-10-27,3.46,3.50,3.40,3.50,530000,3.46
2014-10-24,3.33,3.42,3.29,3.42,640100,3.38
2014-10-23,3.32,3.35,3.24,3.30,1275900,3.26
2014-10-22,3.30,3.37,3.19,3.20,602800,3.16
2014-10-21,3.25,3.35,3.25,3.31,652300,3.27
2014-10-20,3.22,3.32,3.20,3.25,777800,3.21
2014-10-17,3.31,3.40,3.23,3.26,843100,3.22
2014-10-16,3.15,3.43,3.04,3.24,1064100,3.20
2014-10-15,3.02,3.25,2.96,3.23,1409600,3.19
2014-10-14,3.05,3.06,3.00,3.05,997000,3.01
2014-10-13,3.06,3.09,2.95,3.00,1370500,2.96
2014-10-10,3.16,3.22,3.03,3.06,1536900,3.02
2014-10-09,3.41,3.41,3.17,3.20,1040300,3.16
2014-10-08,3.30,3.45,3.25,3.43,612900,3.39
2014-10-07,3.36,3.45,3.30,3.30,638100,3.26
2014-10-06,3.45,3.51,3.30,3.39,901200,3.35
2014-10-03,3.45,3.52,3.40,3.42,459600,3.38
2014-10-02,3.37,3.44,3.30,3.42,1661300,3.38
2014-10-01,3.40,3.52,3.35,3.35,1476600,3.31
2014-09-30,3.48,3.52,3.41,3.42,1284100,3.38
2014-09-29,3.52,3.54,3.48,3.49,730600,3.45
2014-09-26,3.57,3.62,3.48,3.56,767000,3.52
2014-09-25,3.65,3.69,3.47,3.58,1335000,3.54
2014-09-24,3.70,3.73,3.65,3.65,697500,3.61
2014-09-23,3.84,3.86,3.67,3.67,969300,3.63
2014-09-22,3.86,3.98,3.80,3.84,989700,3.79
2014-09-19,3.92,3.97,3.76,3.91,2317300,3.86
2014-09-18,3.86,3.97,3.85,3.93,560200,3.88
2014-09-17,3.86,3.90,3.81,3.83,970100,3.78
2014-09-16,3.95,4.02,3.85,3.88,1007600,3.83
2014-09-15,4.08,4.08,3.89,4.02,1102200,3.92
2014-09-12,4.12,4.14,4.02,4.08,692700,3.98
2014-09-11,4.08,4.14,4.06,4.13,434800,4.03
2014-09-10,4.03,4.17,4.02,4.12,575000,4.02
2014-09-09,4.15,4.17,4.02,4.04,590000,3.94
2014-09-08,4.13,4.17,4.04,4.17,748200,4.07
2014-09-05,4.13,4.18,4.07,4.12,728800,4.02
2014-09-04,4.13,4.20,4.07,4.16,1122900,4.06
2014-09-03,4.17,4.24,4.10,4.14,811400,4.04
2014-09-02,4.16,4.24,4.13,4.17,652100,4.07
2014-08-29,4.17,4.19,4.12,4.13,371000,4.03
2014-08-28,4.12,4.24,4.08,4.14,802300,4.04
2014-08-27,4.16,4.19,4.08,4.15,496600,4.05
2014-08-26,4.07,4.20,4.06,4.17,782400,4.07
2014-08-25,4.16,4.17,4.06,4.08,590400,3.98
2014-08-22,4.16,4.16,3.96,4.14,1402800,4.04
2014-08-21,4.14,4.22,4.08,4.18,579500,4.08
2014-08-20,4.21,4.21,4.08,4.16,791200,4.06
2014-08-19,4.25,4.28,4.18,4.23,683700,4.13
2014-08-18,4.28,4.32,4.24,4.26,712400,4.16
2014-08-15,4.42,4.43,4.22,4.25,811500,4.15
2014-08-14,4.37,4.39,4.31,4.38,441400,4.27
2014-08-13,4.39,4.40,4.34,4.36,656200,4.25
2014-08-12,4.24,4.46,4.16,4.36,1743200,4.25
2014-08-11,4.26,4.35,4.21,4.28,853700,4.18
2014-08-08,4.07,4.29,4.01,4.26,1136700,4.16
2014-08-07,4.25,4.28,4.05,4.08,1358900,3.98
2014-08-06,4.20,4.31,4.19,4.28,1825200,4.18
2014-08-05,3.96,4.32,3.94,4.23,2088000,4.13
2014-08-04,3.86,4.00,3.80,3.89,1600900,3.80
2014-08-01,3.83,3.94,3.79,3.82,1171500,3.73
2014-07-31,3.95,4.02,3.88,3.94,2051300,3.84
2014-07-30,4.09,4.09,3.89,4.01,1148700,3.91
2014-07-29,3.96,4.12,3.95,4.03,4597600,3.93
2014-07-28,3.64,3.76,3.62,3.75,720200,3.66
2014-07-25,3.61,3.71,3.61,3.65,470800,3.56
2014-07-24,3.64,3.74,3.61,3.66,558500,3.57
2014-07-23,3.54,3.67,3.53,3.61,810900,3.52
2014-07-22,3.56,3.57,3.52,3.54,442100,3.45
2014-07-21,3.51,3.58,3.50,3.55,457500,3.46
2014-07-18,3.48,3.59,3.48,3.53,657100,3.44
2014-07-17,3.55,3.64,3.47,3.48,699900,3.40
2014-07-16,3.66,3.70,3.53,3.57,1110300,3.48
2014-07-15,3.72,3.75,3.62,3.65,728200,3.56
2014-07-14,3.78,3.79,3.70,3.74,623400,3.65
2014-07-11,3.73,3.78,3.68,3.71,565100,3.62
2014-07-10,3.61,3.79,3.60,3.75,1119400,3.66
2014-07-09,3.67,3.71,3.62,3.67,550200,3.58
2014-07-08,3.68,3.74,3.60,3.64,895200,3.55
2014-07-07,3.77,3.79,3.63,3.71,969300,3.62
2014-07-03,3.75,3.81,3.71,3.77,910200,3.68
2014-07-02,3.70,3.77,3.69,3.75,1188100,3.66
2014-07-01,3.76,3.76,3.69,3.69,937100,3.60
2014-06-30,3.70,3.77,3.63,3.72,1000700,3.63
2014-06-27,3.61,3.73,3.61,3.72,2374200,3.63
2014-06-26,3.55,3.65,3.45,3.65,1046000,3.56
2014-06-25,3.45,3.54,3.42,3.53,987000,3.44
2014-06-24,3.52,3.61,3.45,3.45,902800,3.37
2014-06-23,3.43,3.55,3.43,3.54,545900,3.45
2014-06-20,3.53,3.54,3.36,3.43,2778400,3.35
2014-06-19,3.58,3.59,3.48,3.49,813400,3.40
2014-06-18,3.55,3.58,3.51,3.56,657300,3.47
2014-06-17,3.50,3.56,3.50,3.55,1030500,3.46
2014-06-16,3.65,3.70,3.51,3.52,861200,3.43
2014-06-13,3.65,3.80,3.59,3.69,871300,3.55
2014-06-12,3.68,3.70,3.55,3.63,785300,3.49
2014-06-11,3.74,3.75,3.68,3.70,419600,3.56
2014-06-10,3.72,3.77,3.70,3.75,460600,3.61
2014-06-09,3.69,3.78,3.67,3.75,739700,3.61
2014-06-06,3.73,3.76,3.66,3.68,554900,3.54
2014-06-05,3.64,3.75,3.62,3.69,876000,3.55
2014-06-04,3.62,3.67,3.56,3.65,468400,3.51
2014-06-03,3.63,3.66,3.60,3.62,515400,3.48
2014-06-02,3.67,3.68,3.60,3.63,694500,3.49
2014-05-30,3.64,3.69,3.58,3.64,739400,3.50
2014-05-29,3.65,3.65,3.60,3.64,674800,3.50
2014-05-28,3.65,3.69,3.57,3.64,1021400,3.50
2014-05-27,3.58,3.66,3.51,3.65,744300,3.51
2014-05-23,3.52,3.60,3.49,3.57,697800,3.44
2014-05-22,3.49,3.55,3.46,3.51,569700,3.38
2014-05-21,3.38,3.48,3.38,3.45,613200,3.32
2014-05-20,3.45,3.46,3.32,3.36,760700,3.23
2014-05-19,3.43,3.50,3.42,3.48,455800,3.35
2014-05-16,3.42,3.49,3.37,3.46,680800,3.33
2014-05-15,3.39,3.50,3.36,3.43,1109000,3.30
2014-05-14,3.53,3.54,3.38,3.39,1006100,3.26
2014-05-13,3.64,3.65,3.53,3.55,1037800,3.42
2014-05-12,3.61,3.76,3.59,3.63,1950900,3.49
2014-05-09,3.36,3.61,3.35,3.59,1585600,3.46
2014-05-08,3.41,3.51,3.31,3.39,1824500,3.26
2014-05-07,3.19,3.50,3.13,3.41,2794400,3.28
2014-05-06,3.42,3.47,3.15,3.17,3538300,3.05
2014-05-05,3.34,3.41,3.32,3.35,911400,3.22
2014-05-02,3.37,3.46,3.35,3.38,597700,3.25
2014-05-01,3.39,3.42,3.31,3.37,908700,3.24
2014-04-30,3.37,3.41,3.26,3.41,932900,3.28
2014-04-29,3.41,3.41,3.29,3.33,1287300,3.20
2014-04-28,3.46,3.57,3.32,3.39,1109700,3.26
2014-04-25,3.50,3.53,3.39,3.43,921900,3.30
2014-04-24,3.70,3.70,3.51,3.52,786900,3.39
2014-04-23,3.74,3.74,3.66,3.66,610900,3.52
2014-04-22,3.66,3.78,3.62,3.74,972700,3.60
2014-04-21,3.48,3.84,3.46,3.67,2436400,3.53
2014-04-17,3.50,3.55,3.46,3.50,669700,3.37
2014-04-16,3.40,3.54,3.37,3.49,886000,3.36
2014-04-15,3.35,3.40,3.26,3.38,896500,3.25
2014-04-14,3.38,3.41,3.30,3.32,859600,3.20
2014-04-11,3.38,3.46,3.30,3.33,1213400,3.20
2014-04-10,3.49,3.53,3.36,3.43,900100,3.30
2014-04-09,3.49,3.52,3.44,3.51,439600,3.38
2014-04-08,3.50,3.53,3.37,3.46,913000,3.33
2014-04-07,3.54,3.59,3.43,3.48,914600,3.35
2014-04-04,3.71,3.79,3.51,3.54,917700,3.41
2014-04-03,3.75,3.80,3.66,3.66,897800,3.52
2014-04-02,3.77,3.80,3.71,3.76,1085100,3.62
2014-04-01,3.60,3.81,3.60,3.79,1688800,3.65
2014-03-31,3.51,3.61,3.47,3.61,2398200,3.47
2014-03-28,3.38,3.54,3.38,3.47,846500,3.34
2014-03-27,3.52,3.54,3.37,3.39,1842700,3.26
2014-03-26,3.70,3.73,3.50,3.50,1313700,3.37
2014-03-25,3.69,3.77,3.65,3.66,1098000,3.52
2014-03-24,3.88,3.88,3.66,3.67,1558300,3.53
2014-03-21,3.85,3.95,3.81,3.89,3305400,3.74
2014-03-20,3.83,3.89,3.80,3.86,635400,3.71
2014-03-19,3.87,3.88,3.81,3.84,703900,3.70
2014-03-18,3.80,3.89,3.80,3.86,1199400,3.71
2014-03-17,3.78,3.83,3.76,3.81,1300500,3.67
2014-03-14,3.71,3.78,3.69,3.75,840600,3.61
2014-03-13,3.86,3.88,3.70,3.71,1769900,3.57
2014-03-12,3.93,3.94,3.84,3.89,1352900,3.70
2014-03-11,3.87,3.94,3.83,3.93,1619100,3.73
