Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,17.20,17.38,17.01,17.07,3300,17.07
2014-12-30,16.96,17.09,16.96,16.96,2800,16.96
2014-12-29,16.66,17.18,16.66,16.95,2000,16.95
2014-12-26,16.91,16.96,16.91,16.96,400,16.96
2014-12-24,17.00,17.00,17.00,17.00,000,17.00
2014-12-23,17.00,17.33,17.00,17.00,3100,17.00
2014-12-22,17.58,17.65,17.03,17.10,14300,17.10
2014-12-19,17.41,17.82,16.61,17.45,33600,17.45
2014-12-18,16.75,17.48,16.75,16.81,6400,16.81
2014-12-17,16.52,17.10,16.51,16.51,4800,16.51
2014-12-16,17.09,17.39,16.62,16.74,1800,16.74
2014-12-15,17.20,17.67,17.04,17.21,8100,17.21
2014-12-12,16.90,17.67,16.90,17.15,10800,17.15
2014-12-11,17.80,17.80,16.88,16.88,7700,16.88
2014-12-10,16.80,17.31,16.56,17.16,4100,17.16
2014-12-09,17.09,17.51,16.50,16.72,6100,16.72
2014-12-08,17.15,17.45,16.69,16.90,9600,16.90
2014-12-05,17.29,17.80,16.43,17.15,5200,17.15
2014-12-04,17.37,17.52,16.87,17.16,26400,17.16
2014-12-03,17.83,17.83,17.37,17.38,3100,17.38
2014-12-02,17.00,17.83,16.90,17.70,13500,17.70
2014-12-01,16.95,16.96,16.66,16.96,2300,16.96
2014-11-28,17.06,17.09,16.49,16.82,2000,16.82
2014-11-26,17.09,17.10,16.46,16.51,1900,16.51
2014-11-25,16.67,17.00,16.67,16.89,13900,16.89
2014-11-24,16.66,16.68,16.36,16.36,1900,16.36
2014-11-21,16.48,16.90,16.40,16.60,13200,16.60
2014-11-20,16.46,16.48,16.32,16.38,1900,16.38
2014-11-19,16.43,16.43,16.06,16.32,2000,16.32
2014-11-18,16.26,16.50,16.12,16.50,2700,16.50
2014-11-17,16.45,16.46,16.18,16.19,7100,16.19
2014-11-14,16.22,16.45,16.15,16.45,1400,16.34
2014-11-13,16.17,16.56,16.10,16.50,3200,16.39
2014-11-12,16.48,16.70,16.14,16.19,16800,16.08
2014-11-11,16.03,16.25,16.03,16.23,9700,16.12
2014-11-10,16.63,16.63,16.22,16.22,2300,16.11
2014-11-07,16.33,16.33,16.10,16.25,2400,16.14
2014-11-06,16.25,16.48,16.25,16.25,11700,16.14
2014-11-05,16.45,16.45,16.01,16.27,5600,16.16
2014-11-04,16.30,16.30,16.01,16.28,6000,16.17
2014-11-03,16.32,16.32,16.02,16.20,4300,16.09
