Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,18.01,18.95,17.76,18.87,219900,18.87
2014-12-30,18.01,18.14,17.81,17.86,14300,17.86
2014-12-29,18.34,18.58,17.76,17.90,253400,17.90
2014-12-26,17.85,18.77,17.85,18.37,163700,18.37
2014-12-24,17.65,18.03,17.55,17.71,133700,17.71
2014-12-23,18.88,18.88,17.44,17.70,313200,17.70
2014-12-22,19.97,19.97,18.25,18.80,232200,18.80
2014-12-19,18.45,20.07,18.45,19.98,1200100,19.98
2014-12-18,18.37,18.99,18.02,18.36,295600,18.36
2014-12-17,16.72,18.08,16.51,18.01,321200,18.01
2014-12-16,17.38,18.13,16.62,16.68,237900,16.68
2014-12-15,18.40,18.50,17.48,17.50,614800,17.50
2014-12-12,19.53,19.80,17.93,18.35,648300,18.35
2014-12-11,20.75,21.57,19.70,19.80,450500,19.80
2014-12-10,20.95,21.30,20.68,20.73,317100,20.73
2014-12-09,21.20,21.87,20.51,21.01,511000,21.01
2014-12-08,22.33,22.95,20.85,20.96,344900,20.96
2014-12-05,21.76,22.67,21.76,22.19,321700,22.19
2014-12-04,21.57,21.78,21.20,21.51,253000,21.51
2014-12-03,21.04,21.72,20.93,21.52,257300,21.52
2014-12-02,21.14,21.85,20.91,21.11,287000,21.11
2014-12-01,22.66,22.89,20.77,20.99,314500,20.99
2014-11-28,22.52,23.26,22.04,22.86,122300,22.86
2014-11-26,21.84,22.74,21.76,22.55,213600,22.55
2014-11-25,22.32,22.41,21.50,21.91,683600,21.91
2014-11-24,22.71,22.99,22.05,22.35,491100,22.35
2014-11-21,23.99,23.99,22.41,22.49,368700,22.49
2014-11-20,25.00,26.68,23.31,23.56,707300,23.56
2014-11-19,23.31,23.64,22.48,22.52,209000,22.52
2014-11-18,22.80,23.64,22.80,23.43,94100,23.43
2014-11-17,22.87,23.25,22.51,22.63,206400,22.63
2014-11-14,22.68,23.07,22.42,22.97,157700,22.97
2014-11-13,23.85,24.02,22.37,22.71,264000,22.71
2014-11-12,24.12,24.25,23.45,23.88,263600,23.88
2014-11-11,23.95,24.94,23.81,24.26,288700,24.26
2014-11-10,23.83,23.99,23.14,23.87,294600,23.87
2014-11-07,23.39,24.26,22.18,23.75,648700,23.75
2014-11-06,24.00,24.00,19.67,23.56,2679300,23.56
2014-11-05,25.70,27.52,25.59,26.60,365200,26.60
2014-11-04,25.16,25.46,24.87,25.43,239000,25.43
2014-11-03,26.44,26.95,24.32,25.15,641900,25.15
2014-10-31,28.01,28.67,26.08,26.53,312400,26.53
2014-10-30,26.12,27.38,26.12,27.24,288700,27.24
2014-10-29,27.96,28.27,25.91,26.23,237100,26.23
2014-10-28,27.64,28.68,27.25,28.00,408900,28.00
2014-10-27,29.03,29.25,27.32,27.38,289600,27.38
2014-10-24,29.75,29.98,29.20,29.70,171900,29.70
2014-10-23,27.60,30.26,26.75,29.88,309100,29.88
2014-10-22,27.43,27.98,27.03,27.16,256900,27.16
2014-10-21,27.88,28.25,27.15,27.62,195900,27.62
2014-10-20,26.77,27.76,25.92,27.59,136100,27.59
2014-10-17,27.57,27.92,26.41,27.11,270500,27.11
2014-10-16,25.15,27.34,25.15,26.86,283800,26.86
2014-10-15,23.38,25.95,23.24,25.85,223900,25.85
2014-10-14,24.71,25.50,23.75,23.97,246300,23.97
2014-10-13,25.36,25.46,23.62,24.33,220600,24.33
2014-10-10,26.99,27.35,25.12,25.24,324600,25.24
2014-10-09,27.42,28.30,26.69,27.12,290700,27.12
2014-10-08,26.54,27.63,26.01,27.56,321900,27.56
2014-10-07,27.74,27.74,26.44,26.56,277000,26.56
2014-10-06,28.67,28.70,27.29,28.13,248700,28.13
2014-10-03,27.72,28.58,27.03,28.57,250900,28.57
2014-10-02,26.57,27.55,26.00,27.31,132900,27.31
2014-10-01,27.06,27.06,25.85,26.64,356800,26.64
2014-09-30,27.60,28.42,27.00,27.11,266400,27.11
2014-09-29,27.10,28.02,26.76,27.53,198700,27.53
2014-09-26,26.74,27.50,26.57,27.34,169100,27.34
2014-09-25,26.34,26.88,25.92,26.62,406300,26.62
2014-09-24,25.44,27.06,25.44,26.62,176700,26.62
2014-09-23,25.45,26.04,25.10,25.36,324800,25.36
2014-09-22,26.21,26.43,25.15,25.50,365100,25.50
2014-09-19,27.54,27.72,26.01,26.44,1587200,26.44
2014-09-18,27.76,27.83,26.76,27.34,258500,27.34
2014-09-17,26.92,28.33,26.89,27.67,244700,27.67
2014-09-16,27.51,27.91,26.58,26.62,267000,26.62
2014-09-15,28.67,28.84,27.56,27.74,176400,27.74
