Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.33,1.48,1.32,1.44,2923100,1.44
2014-12-30,1.34,1.38,1.34,1.36,237500,1.36
2014-12-29,1.30,1.36,1.30,1.35,2776200,1.35
2014-12-26,1.27,1.34,1.26,1.33,1663900,1.33
2014-12-24,1.30,1.31,1.27,1.29,803700,1.29
2014-12-23,1.30,1.33,1.26,1.30,2501100,1.30
2014-12-22,1.32,1.33,1.28,1.30,2821000,1.30
2014-12-19,1.39,1.42,1.32,1.33,8633500,1.33
2014-12-18,1.38,1.41,1.30,1.35,4006000,1.35
2014-12-17,1.31,1.37,1.29,1.36,4168100,1.36
2014-12-16,1.35,1.40,1.31,1.31,1960600,1.31
2014-12-15,1.44,1.44,1.35,1.36,2162000,1.36
2014-12-12,1.37,1.41,1.36,1.40,870500,1.40
2014-12-11,1.37,1.41,1.34,1.40,1432500,1.40
2014-12-10,1.41,1.42,1.34,1.35,1666000,1.35
2014-12-09,1.28,1.43,1.28,1.39,2174500,1.39
2014-12-08,1.40,1.40,1.28,1.32,3851100,1.32
2014-12-05,1.45,1.47,1.40,1.41,1895300,1.41
2014-12-04,1.43,1.50,1.43,1.46,912900,1.46
2014-12-03,1.43,1.51,1.43,1.50,1877800,1.50
2014-12-02,1.46,1.52,1.43,1.45,4724600,1.45
2014-12-01,1.65,1.65,1.39,1.49,8207700,1.49
2014-11-28,1.75,1.76,1.66,1.66,929200,1.66
2014-11-26,1.72,1.76,1.68,1.76,1090700,1.76
2014-11-25,1.72,1.74,1.68,1.72,1218300,1.72
2014-11-24,1.75,1.77,1.70,1.73,1335300,1.73
2014-11-21,1.78,1.78,1.69,1.76,1504600,1.76
2014-11-20,1.69,1.77,1.65,1.74,1310600,1.74
2014-11-19,1.69,1.73,1.63,1.70,1592800,1.70
2014-11-18,1.78,1.80,1.72,1.74,1320100,1.74
2014-11-17,1.75,1.78,1.71,1.76,978800,1.76
2014-11-14,1.79,1.80,1.71,1.73,1517500,1.73
2014-11-13,1.82,1.88,1.76,1.76,2112300,1.76
2014-11-12,1.77,1.82,1.70,1.81,2868900,1.81
2014-11-11,1.79,1.82,1.76,1.77,2036800,1.77
2014-11-10,1.75,1.81,1.73,1.79,2811000,1.79
2014-11-07,1.66,1.75,1.65,1.74,1977900,1.74
2014-11-06,1.74,1.75,1.66,1.67,1746800,1.67
2014-11-05,1.72,1.83,1.67,1.70,5679400,1.70
2014-11-04,1.69,1.72,1.61,1.65,2348900,1.65
2014-11-03,1.69,1.72,1.66,1.70,2345600,1.70
2014-10-31,1.75,1.77,1.68,1.70,2006800,1.70
2014-10-30,1.69,1.72,1.64,1.72,1647800,1.72
2014-10-29,1.73,1.75,1.70,1.70,1629700,1.70
2014-10-28,1.69,1.76,1.67,1.75,2130500,1.75
2014-10-27,1.67,1.72,1.63,1.70,2412900,1.70
2014-10-24,1.64,1.70,1.59,1.69,2071600,1.69
2014-10-23,1.60,1.64,1.59,1.64,1480600,1.64
2014-10-22,1.60,1.62,1.57,1.59,1280900,1.59
2014-10-21,1.65,1.65,1.57,1.60,1226400,1.60
2014-10-20,1.53,1.65,1.53,1.65,1339900,1.65
2014-10-17,1.68,1.68,1.55,1.58,1287800,1.58
2014-10-16,1.53,1.65,1.51,1.62,2023200,1.62
2014-10-15,1.50,1.57,1.45,1.55,2003600,1.55
2014-10-14,1.49,1.53,1.45,1.52,1565800,1.52
2014-10-13,1.44,1.51,1.35,1.46,2390300,1.46
2014-10-10,1.55,1.58,1.45,1.45,2853700,1.45
2014-10-09,1.55,1.59,1.52,1.55,3021700,1.55
2014-10-08,1.51,1.55,1.48,1.55,2371600,1.55
2014-10-07,1.50,1.61,1.49,1.52,3643900,1.52
2014-10-06,1.50,1.53,1.50,1.52,2265900,1.52
2014-10-03,1.52,1.54,1.50,1.52,2017100,1.52
2014-10-02,1.52,1.53,1.48,1.51,4406100,1.51
