Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.82,10.95,10.15,10.26,253700,10.26
2014-12-30,10.52,10.92,10.52,10.76,108600,10.76
2014-12-29,11.10,11.29,10.56,10.62,178600,10.62
2014-12-26,11.01,11.75,11.01,11.17,488500,11.17
2014-12-24,10.14,11.25,10.14,11.01,339600,11.01
2014-12-23,10.61,10.85,10.00,10.15,404400,10.15
2014-12-22,11.08,11.88,10.36,10.60,551600,10.60
2014-12-19,12.59,12.74,11.07,11.19,964000,11.19
2014-12-18,13.56,13.68,11.82,12.58,432700,12.58
2014-12-17,14.25,14.48,13.01,13.21,190400,13.21
2014-12-16,13.75,14.37,13.57,13.76,144100,13.76
2014-12-15,15.14,15.30,13.95,14.11,179100,14.11
2014-12-12,14.21,15.49,14.15,15.24,120700,15.24
2014-12-11,15.28,15.74,14.30,14.53,268000,14.53
2014-12-10,15.80,16.38,14.60,14.94,458400,14.94
2014-12-09,14.54,15.91,14.25,15.46,392500,15.46
2014-12-08,14.12,15.59,13.52,14.74,432400,14.74
2014-12-05,14.45,14.45,13.01,14.10,247100,14.10
2014-12-04,14.45,14.90,13.74,14.06,246300,14.06
2014-12-03,15.77,16.58,14.60,14.71,531900,14.71
2014-12-02,13.75,15.90,13.50,15.70,993300,15.70
2014-12-01,15.20,15.20,13.50,13.70,589800,13.70
2014-11-28,17.30,17.64,15.26,15.32,419200,15.32
2014-11-26,17.98,18.80,16.95,17.30,619500,17.30
2014-11-25,20.20,20.20,17.43,17.91,737700,17.91
2014-11-24,20.42,21.10,19.07,19.55,703200,19.55
2014-11-21,23.75,23.75,19.78,21.14,1349900,21.14
2014-11-20,22.67,24.02,21.25,23.60,2884000,23.60
