Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,16.60,16.70,16.42,16.47,39100,16.34
2014-12-30,16.31,16.60,16.31,16.51,25600,16.38
2014-12-29,16.30,16.48,16.16,16.40,43800,16.27
2014-12-26,16.25,16.51,16.20,16.40,12400,16.27
2014-12-24,16.20,16.25,16.13,16.24,10400,16.11
2014-12-23,16.13,16.15,15.77,16.13,18200,16.00
2014-12-22,16.11,16.14,16.02,16.12,18300,15.99
2014-12-19,16.02,16.14,15.90,16.11,44200,15.98
2014-12-18,16.19,16.19,15.93,16.11,24200,15.98
2014-12-17,15.59,16.12,15.54,16.08,34000,15.95
2014-12-16,15.50,15.88,15.50,15.63,26400,15.50
2014-12-15,15.66,15.84,15.43,15.48,16500,15.36
2014-12-12,15.63,15.98,15.60,15.60,17500,15.47
2014-12-11,15.82,16.14,15.76,15.80,22500,15.67
2014-12-10,16.07,16.14,15.64,15.70,18800,15.57
2014-12-09,15.60,16.14,15.60,16.13,22300,16.00
2014-12-08,15.86,16.14,15.64,15.71,21800,15.58
2014-12-05,15.54,16.08,15.54,15.87,19500,15.74
2014-12-04,15.39,15.71,15.14,15.56,20800,15.44
2014-12-03,15.70,15.84,15.39,15.53,30300,15.41
2014-12-02,15.24,15.63,15.21,15.63,15100,15.50
2014-12-01,15.51,15.59,15.11,15.14,37000,15.02
2014-11-28,15.72,15.89,15.45,15.46,24700,15.34
2014-11-26,15.55,15.74,15.55,15.72,15800,15.59
2014-11-25,15.99,15.99,15.52,15.59,31300,15.46
2014-11-24,16.24,16.24,15.50,15.95,29600,15.82
2014-11-21,15.73,15.76,15.40,15.46,31400,15.34
2014-11-20,15.38,15.52,15.17,15.49,28700,15.37
2014-11-19,15.64,15.64,15.20,15.39,20200,15.27
2014-11-18,15.93,15.99,15.35,15.69,30400,15.56
2014-11-17,16.12,16.12,15.79,15.80,37600,15.67
2014-11-14,16.26,16.29,16.12,16.12,24500,15.99
2014-11-13,16.18,16.41,16.11,16.29,18600,16.16
2014-11-12,16.28,16.43,16.22,16.27,30800,16.14
2014-11-11,16.47,16.55,16.30,16.40,50400,16.27
2014-11-10,16.50,16.66,16.48,16.55,23500,16.42
2014-11-07,16.59,16.59,16.37,16.50,10400,16.37
2014-11-06,16.33,16.59,16.29,16.58,18100,16.45
2014-11-05,16.45,16.59,16.32,16.49,28300,16.36
2014-11-04,16.28,16.48,16.09,16.42,21400,16.16
2014-11-03,16.10,16.45,16.00,16.43,37600,16.17
2014-10-31,16.50,16.50,16.14,16.37,57700,16.11
2014-10-30,16.01,16.50,15.93,16.34,77100,16.08
2014-10-29,15.47,16.15,15.15,16.14,43400,15.88
2014-10-28,15.15,15.36,14.88,15.30,75100,15.06
2014-10-27,15.05,15.28,15.00,15.04,16100,14.80
2014-10-24,15.68,15.68,15.10,15.23,18100,14.99
2014-10-23,15.61,16.00,15.21,15.64,53900,15.39
2014-10-22,15.56,15.84,15.44,15.52,29000,15.27
2014-10-21,16.00,16.00,15.44,15.70,29800,15.45
2014-10-20,15.83,16.08,15.78,15.96,28200,15.71
2014-10-17,16.15,16.15,15.82,15.87,45600,15.62
2014-10-16,15.31,16.03,15.31,15.92,25200,15.67
2014-10-15,15.53,15.62,14.70,15.56,55400,15.31
2014-10-14,15.65,15.98,15.53,15.85,47200,15.60
2014-10-13,14.94,15.52,14.62,15.48,25600,15.23
2014-10-10,14.56,15.30,14.56,14.96,34000,14.72
2014-10-09,15.30,15.30,14.62,14.67,30800,14.44
2014-10-08,14.62,15.37,14.35,15.33,41100,15.09
2014-10-07,14.96,14.99,14.41,14.65,30000,14.42
2014-10-06,14.86,15.19,14.85,15.09,43600,14.85
2014-10-03,15.08,15.29,14.69,14.83,68800,14.59
2014-10-02,14.39,14.99,14.32,14.89,20400,14.65
2014-10-01,14.31,15.18,14.05,14.39,48900,14.16
2014-09-30,14.64,14.70,14.29,14.29,46600,14.06
2014-09-29,14.72,14.72,14.56,14.69,22700,14.46
2014-09-26,14.84,15.03,14.77,14.84,12600,14.60
2014-09-25,15.22,15.85,14.77,14.82,32500,14.58
2014-09-24,15.38,15.38,15.00,15.21,27600,14.97
2014-09-23,15.67,15.72,15.29,15.30,23800,15.06
2014-09-22,15.74,15.74,15.41,15.61,81000,15.36
2014-09-19,16.00,16.10,15.79,15.79,56200,15.54
2014-09-18,15.92,16.11,15.81,15.97,19900,15.72
2014-09-17,15.79,16.06,15.79,15.90,27700,15.65
2014-09-16,15.74,15.94,15.74,15.80,21500,15.55
2014-09-15,15.99,16.03,15.67,15.83,21000,15.58
2014-09-12,16.44,16.48,15.79,16.19,44100,15.93
2014-09-11,16.26,16.46,16.26,16.43,25800,16.17
2014-09-10,16.29,16.50,16.25,16.40,22600,16.14
2014-09-09,16.27,16.40,16.23,16.24,20100,15.98
2014-09-08,16.23,16.45,16.23,16.45,24000,16.19
2014-09-05,16.24,16.45,16.23,16.28,14500,16.02
2014-09-04,16.39,16.44,16.28,16.32,13900,16.06
2014-09-03,16.44,16.50,16.25,16.32,26500,16.06
2014-09-02,16.31,16.50,16.27,16.45,23300,16.19
2014-08-29,16.25,16.41,16.23,16.32,30100,16.06
2014-08-28,16.27,16.30,15.96,16.25,19500,15.99
2014-08-27,16.05,16.35,16.05,16.29,40400,16.03
2014-08-26,16.00,16.25,15.84,16.22,46200,15.96
2014-08-25,15.65,16.32,15.35,15.93,85300,15.68
2014-08-22,15.53,15.56,15.05,15.50,60500,15.25
2014-08-21,14.81,15.59,14.63,15.48,48400,15.23
2014-08-20,14.96,14.96,14.81,14.88,17400,14.64
2014-08-19,15.27,15.28,14.97,15.09,23300,14.85
2014-08-18,15.06,15.44,14.95,15.25,52000,15.01
2014-08-15,15.36,15.41,14.81,14.82,48300,14.58
2014-08-14,15.12,15.42,15.12,15.20,15900,14.96
2014-08-13,14.78,15.11,14.70,15.07,21600,14.83
