Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,30.33,30.41,29.79,29.88,225200,29.88
2014-12-30,30.55,30.83,30.31,30.33,109900,30.33
2014-12-29,30.05,30.88,29.92,30.67,210200,30.67
2014-12-26,30.08,30.08,29.78,30.01,79100,30.01
2014-12-24,29.98,30.16,29.48,29.87,78100,29.87
2014-12-23,30.14,30.34,29.77,30.01,143900,30.01
2014-12-22,29.81,30.05,29.45,29.95,165900,29.95
2014-12-19,30.08,30.15,29.25,29.85,961900,29.85
2014-12-18,30.13,30.21,29.70,30.15,156500,30.15
2014-12-17,29.17,29.70,28.88,29.70,254500,29.70
2014-12-16,28.59,29.72,28.53,29.13,203300,29.13
2014-12-15,29.19,29.42,28.58,28.67,113400,28.67
2014-12-12,29.05,29.35,28.79,28.96,170700,28.96
2014-12-11,29.41,29.76,29.27,29.41,130300,29.41
2014-12-10,30.30,30.55,29.40,29.43,140200,29.29
2014-12-09,29.53,30.52,29.53,30.45,174200,30.31
2014-12-08,30.29,30.61,29.78,29.92,146900,29.78
2014-12-05,29.93,31.02,29.92,30.48,206900,30.34
2014-12-04,30.00,30.37,29.76,29.92,359800,29.78
2014-12-03,29.64,30.21,29.59,29.94,161600,29.80
2014-12-02,29.19,30.12,29.12,29.80,113000,29.66
2014-12-01,30.15,30.15,29.00,29.05,179800,28.91
2014-11-28,31.19,31.20,30.02,30.17,91500,30.03
2014-11-26,31.20,31.20,30.89,31.10,81800,30.95
2014-11-25,31.22,31.28,30.87,31.03,93200,30.88
2014-11-24,30.75,31.15,30.68,31.12,96300,30.97
2014-11-21,31.49,31.52,30.53,30.63,134400,30.48
2014-11-20,30.51,31.01,30.50,30.94,75600,30.79
2014-11-19,31.33,31.33,30.43,30.74,114700,30.59
2014-11-18,31.35,31.58,31.17,31.40,86900,31.25
2014-11-17,31.66,31.67,31.29,31.32,99400,31.17
2014-11-14,31.85,31.97,31.54,31.80,101500,31.65
2014-11-13,32.31,32.34,31.77,31.83,101600,31.68
2014-11-12,31.49,32.30,31.49,32.19,127300,32.04
