Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,33.60,34.17,33.42,33.73,230300,33.73
2014-12-30,33.22,33.73,32.60,33.60,14900,33.60
2014-12-29,33.25,33.50,32.40,32.68,176500,32.68
2014-12-26,32.50,33.24,32.39,33.14,82000,33.14
2014-12-24,32.25,32.65,31.84,32.31,58700,32.31
2014-12-23,33.20,33.20,31.76,32.01,114900,32.01
2014-12-22,32.69,32.99,32.05,32.99,154900,32.99
2014-12-19,30.95,32.83,30.54,32.70,435100,32.70
2014-12-18,30.43,31.34,30.11,31.01,220500,31.01
2014-12-17,28.29,29.98,27.99,29.95,151600,29.95
2014-12-16,27.84,29.10,27.57,28.29,211500,28.29
2014-12-15,27.20,28.14,26.66,27.91,315500,27.91
2014-12-12,26.87,27.88,26.65,27.21,180600,27.21
2014-12-11,27.73,28.02,27.02,27.25,178100,27.25
2014-12-10,27.91,28.33,27.49,27.54,126100,27.54
2014-12-09,27.44,28.19,27.25,27.99,173700,27.99
2014-12-08,29.07,29.80,27.75,27.81,198500,27.81
2014-12-05,29.04,29.80,29.04,29.33,145200,29.33
2014-12-04,29.51,29.61,28.75,29.03,162000,29.03
2014-12-03,29.38,30.09,29.14,29.45,174200,29.45
2014-12-02,29.47,30.44,29.09,29.28,908700,29.28
2014-12-01,30.35,30.35,28.88,29.30,403500,29.30
2014-11-28,31.36,31.55,30.68,30.83,122800,30.83
2014-11-26,29.95,31.30,29.78,31.24,195500,31.24
2014-11-25,30.00,30.20,29.47,29.88,202300,29.88
2014-11-24,30.00,30.05,29.73,29.93,188800,29.93
2014-11-21,31.21,31.21,30.05,30.14,152900,30.14
2014-11-20,30.14,30.91,29.48,30.72,234100,30.72
2014-11-19,30.75,30.78,30.08,30.38,298700,30.38
2014-11-18,30.16,31.05,29.78,30.93,260800,30.93
2014-11-17,30.00,30.76,29.52,30.01,173200,30.01
2014-11-14,29.93,30.46,29.66,29.99,210600,29.99
2014-11-13,30.00,30.48,29.58,29.88,128900,29.88
2014-11-12,29.31,29.91,28.94,29.89,290600,29.89
2014-11-11,28.97,29.67,28.51,29.52,268900,29.52
2014-11-10,28.78,29.37,28.52,29.00,252600,29.00
2014-11-07,29.20,29.78,28.05,28.90,311300,28.90
2014-11-06,28.27,29.22,27.92,29.14,199500,29.14
2014-11-05,28.13,28.74,27.67,28.20,203200,28.20
2014-11-04,27.16,27.88,27.00,27.83,153000,27.83
2014-11-03,29.15,29.22,26.65,27.24,483700,27.24
2014-10-31,28.70,30.47,28.37,29.00,458200,29.00
2014-10-30,28.32,29.32,28.07,29.22,160900,29.22
2014-10-29,28.34,28.74,27.59,28.56,128800,28.56
2014-10-28,28.27,28.62,26.89,28.26,352700,28.26
2014-10-27,27.72,28.27,27.64,27.98,195800,27.98
2014-10-24,27.63,28.25,27.62,27.95,207400,27.95
2014-10-23,26.95,27.98,26.48,27.61,257700,27.61
2014-10-22,26.95,27.22,26.16,26.65,191700,26.65
2014-10-21,26.11,27.07,25.98,26.75,200400,26.75
2014-10-20,25.46,26.66,25.37,25.82,146000,25.82
2014-10-17,26.85,26.98,25.40,25.60,249100,25.60
2014-10-16,24.42,26.77,24.00,26.40,439900,26.40
2014-10-15,22.32,24.98,21.90,24.88,336000,24.88
2014-10-14,22.39,23.35,22.10,22.77,197200,22.77
2014-10-13,22.05,23.10,21.71,22.13,182600,22.13
2014-10-10,22.63,23.13,22.01,22.06,151500,22.06
2014-10-09,23.30,23.61,22.54,22.77,175300,22.77
2014-10-08,22.46,23.37,21.94,23.32,200600,23.32
2014-10-07,22.65,22.95,22.16,22.48,250700,22.48
2014-10-06,23.79,23.98,22.76,22.96,183200,22.96
2014-10-03,23.91,24.29,23.59,23.65,120300,23.65
2014-10-02,23.75,24.10,22.76,23.62,461400,23.62
2014-10-01,24.53,24.91,23.24,23.85,317500,23.85
2014-09-30,25.45,25.76,24.41,24.50,231400,24.50
2014-09-29,25.06,25.64,25.05,25.47,127200,25.47
2014-09-26,25.27,25.52,24.97,25.44,144600,25.44
2014-09-25,25.40,25.44,24.94,25.21,181800,25.21
2014-09-24,25.17,25.81,25.17,25.39,177700,25.39
2014-09-23,25.95,26.10,25.04,25.09,165800,25.09
2014-09-22,26.15,26.31,25.76,26.15,225300,26.15
2014-09-19,28.27,28.27,26.28,26.33,361100,26.33
2014-09-18,28.50,28.61,27.91,28.10,192800,28.10
2014-09-17,28.75,28.93,28.24,28.45,192700,28.45
2014-09-16,28.41,28.94,28.20,28.45,253400,28.45
2014-09-15,30.83,31.07,28.36,28.61,396000,28.61
2014-09-12,31.16,31.80,30.56,31.04,282300,31.04
2014-09-11,30.89,31.22,30.59,31.09,422900,31.09
2014-09-10,29.68,31.37,29.68,31.26,286000,31.26
2014-09-09,29.65,29.98,28.96,29.70,240300,29.70
2014-09-08,28.57,30.00,28.48,29.80,223700,29.80
2014-09-05,28.78,28.82,27.82,28.75,116700,28.75
2014-09-04,28.38,29.30,28.12,28.85,190500,28.85
2014-09-03,28.73,28.98,27.84,28.36,951900,28.36
2014-09-02,27.71,29.89,27.54,28.60,665700,28.60
2014-08-29,26.77,27.31,26.44,27.22,97300,27.22
2014-08-28,26.59,26.94,26.56,26.70,111600,26.70
2014-08-27,27.01,27.15,26.69,26.79,90100,26.79
2014-08-26,25.98,27.03,25.83,26.94,212500,26.94
2014-08-25,26.37,26.66,25.98,26.00,128200,26.00
2014-08-22,26.34,26.71,26.00,26.12,244100,26.12
2014-08-21,27.95,28.24,26.23,26.29,262800,26.29
2014-08-20,27.73,28.17,27.50,28.05,219800,28.05
2014-08-19,28.00,28.22,27.74,27.94,139300,27.94
2014-08-18,28.03,28.13,27.79,28.02,167900,28.02
2014-08-15,27.85,27.91,27.03,27.85,170500,27.85
2014-08-14,27.43,27.93,27.16,27.57,116300,27.57
2014-08-13,26.77,27.84,26.68,27.35,227000,27.35
2014-08-12,27.14,27.50,26.41,26.56,244500,26.56
2014-08-11,27.14,27.40,26.75,27.27,261900,27.27
2014-08-08,26.32,27.04,26.10,26.91,156800,26.91
2014-08-07,26.34,26.90,26.06,26.28,131800,26.28
2014-08-06,26.66,26.95,26.03,26.31,267300,26.31
2014-08-05,27.61,28.64,26.62,27.00,528600,27.00
2014-08-04,28.95,28.97,26.76,27.80,589000,27.80
2014-08-01,30.02,31.06,28.50,28.83,622500,28.83
2014-07-31,29.58,29.72,28.26,28.63,501800,28.63
2014-07-30,28.73,30.24,28.68,30.11,360100,30.11
2014-07-29,27.23,28.45,27.10,28.40,202600,28.40
2014-07-28,27.53,27.56,26.58,27.13,155000,27.13
2014-07-25,28.02,28.32,27.38,27.43,349300,27.43
2014-07-24,29.00,29.10,28.20,28.34,474600,28.34
2014-07-23,27.72,29.03,27.67,28.96,319300,28.96
2014-07-22,28.02,28.36,27.41,27.56,195400,27.56
2014-07-21,26.79,28.00,26.63,27.79,283600,27.79
2014-07-18,27.15,27.32,26.45,27.05,455900,27.05
2014-07-17,29.37,29.37,26.89,27.17,412200,27.17
2014-07-16,31.54,31.70,29.66,29.67,282900,29.67
2014-07-15,31.98,32.12,30.77,31.29,659100,31.29
2014-07-14,31.30,32.48,30.85,32.08,558600,32.08
2014-07-11,29.85,30.98,29.60,30.82,245800,30.82
2014-07-10,28.89,30.16,28.70,29.82,302300,29.82
2014-07-09,30.20,30.25,28.78,29.61,316900,29.61
2014-07-08,30.72,30.80,29.06,30.05,706000,30.05
2014-07-07,31.06,31.39,30.21,30.85,387400,30.85
2014-07-03,31.04,31.16,30.40,31.16,151500,31.16
2014-07-02,30.19,31.40,30.16,30.80,275400,30.80
2014-07-01,29.50,30.33,29.14,30.16,216300,30.16
2014-06-30,29.02,30.00,28.84,29.40,333500,29.40
2014-06-27,29.09,29.33,28.48,29.04,446500,29.04
2014-06-26,29.21,29.45,28.60,29.29,170700,29.29
2014-06-25,28.28,29.21,27.93,29.18,200200,29.18
2014-06-24,28.60,29.47,28.22,28.48,468100,28.48
2014-06-23,28.77,29.13,28.14,28.60,184700,28.60
2014-06-20,29.04,29.13,28.23,28.61,361400,28.61
2014-06-19,29.00,29.01,28.50,28.84,160200,28.84
2014-06-18,28.81,29.31,28.29,28.80,153200,28.80
2014-06-17,28.53,29.04,28.31,28.80,216100,28.80
2014-06-16,27.64,28.67,27.56,28.65,153600,28.65
2014-06-13,28.13,28.30,27.33,27.83,270300,27.83
2014-06-12,28.42,28.80,27.89,28.11,246200,28.11
2014-06-11,28.24,29.29,27.87,28.66,480400,28.66
2014-06-10,27.35,28.57,27.30,28.52,311200,28.52
2014-06-09,26.96,28.04,26.96,27.56,263100,27.56
2014-06-06,26.50,27.61,26.23,27.13,295000,27.13
2014-06-05,25.46,26.32,25.36,26.29,480300,26.29
2014-06-04,25.42,25.83,24.90,25.46,357800,25.46
2014-06-03,25.71,26.56,25.30,25.51,1008600,25.51
2014-06-02,27.48,27.86,24.94,25.68,616300,25.68
2014-05-30,28.88,28.88,27.66,27.74,539900,27.74
2014-05-29,29.41,29.58,28.69,28.75,205500,28.75
2014-05-28,29.43,29.66,28.71,29.15,382300,29.15
2014-05-27,29.14,29.80,28.54,29.63,386700,29.63
2014-05-23,28.11,28.85,27.95,28.76,237500,28.76
2014-05-22,27.25,28.37,27.16,28.13,174300,28.13
2014-05-21,27.58,28.25,26.67,27.25,322100,27.25
2014-05-20,28.45,28.87,27.29,27.52,456800,27.52
2014-05-19,27.08,29.38,26.77,28.68,468400,28.68
2014-05-16,27.82,27.82,26.51,27.08,550800,27.08
2014-05-15,28.53,28.83,27.16,27.67,525400,27.67
2014-05-14,29.87,30.01,28.70,28.83,504100,28.83
2014-05-13,30.56,31.69,29.76,29.89,522800,29.89
2014-05-12,29.96,30.89,28.66,30.58,415400,30.58
2014-05-09,29.93,30.85,29.42,29.90,551600,29.90
2014-05-08,32.53,32.81,30.04,30.09,1019600,30.09
2014-05-07,32.63,33.66,31.55,32.71,1011900,32.71
2014-05-06,35.72,37.22,32.61,32.78,1729000,32.78
