Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,11.38,11.39,11.15,11.18,2343200,11.18
2014-12-30,11.33,11.39,11.19,11.35,329700,11.35
2014-12-29,11.23,11.38,11.22,11.32,3756100,11.32
2014-12-26,11.28,11.37,11.26,11.32,3991000,11.32
2014-12-24,11.13,11.37,11.13,11.25,5750700,11.25
2014-12-23,11.18,11.18,11.06,11.14,6913300,11.14
2014-12-22,11.01,11.19,11.01,11.13,4889400,11.13
2014-12-19,10.98,11.08,10.92,11.02,3456100,11.02
2014-12-18,10.89,10.96,10.78,10.95,6625000,10.95
2014-12-17,10.78,10.86,10.53,10.68,9681600,10.68
2014-12-16,10.73,11.07,10.68,10.77,5472100,10.77
2014-12-15,10.71,10.85,10.70,10.78,5252400,10.78
2014-12-12,10.77,10.94,10.61,10.62,3385000,10.62
2014-12-11,10.97,11.05,10.79,10.85,4514600,10.85
2014-12-10,11.07,11.13,10.88,10.90,3880100,10.90
2014-12-09,10.85,11.11,10.72,11.10,8161000,11.10
2014-12-08,11.32,11.37,10.96,10.98,4115600,10.98
2014-12-05,11.27,11.32,11.24,11.29,4510400,11.29
2014-12-04,11.26,11.32,11.19,11.27,6634100,11.27
2014-12-03,11.06,11.25,11.06,11.24,6691700,11.24
2014-12-02,11.14,11.25,11.09,11.10,3552900,11.10
2014-12-01,11.03,11.22,11.00,11.11,3545900,11.11
2014-11-28,11.06,11.11,11.02,11.09,1728100,11.09
2014-11-26,11.12,11.14,11.06,11.09,2275200,11.09
2014-11-25,11.20,11.25,11.07,11.10,5390200,11.10
2014-11-24,11.15,11.23,11.05,11.20,3170700,11.20
2014-11-21,11.11,11.18,11.05,11.10,6164600,11.10
2014-11-20,10.93,11.13,10.92,11.03,4136700,11.03
2014-11-19,11.08,11.10,10.92,10.99,3056300,10.99
2014-11-18,10.98,11.19,10.97,11.08,6286700,11.08
2014-11-17,11.09,11.14,10.97,10.98,2314100,10.98
2014-11-14,11.06,11.12,10.93,11.10,4798700,11.10
2014-11-13,11.01,11.12,10.85,10.89,3473300,10.89
2014-11-12,10.88,11.07,10.79,11.03,5323300,11.03
2014-11-11,10.74,10.94,10.74,10.92,3196700,10.92
2014-11-10,10.89,11.08,10.73,10.74,6726400,10.74
2014-11-07,10.86,10.93,10.76,10.86,3041800,10.86
2014-11-06,10.85,10.97,10.77,10.88,3455000,10.88
2014-11-05,10.91,10.95,10.72,10.89,4609800,10.89
2014-11-04,10.77,10.89,10.69,10.79,4023000,10.79
2014-11-03,10.69,10.91,10.65,10.78,4064000,10.78
2014-10-31,10.73,10.88,10.59,10.72,10426800,10.72
2014-10-30,9.90,10.57,9.87,10.26,7448400,10.26
2014-10-29,9.74,9.96,9.74,9.83,6074500,9.83
2014-10-28,9.32,9.82,9.32,9.80,4278700,9.80
2014-10-27,9.31,9.34,9.19,9.27,3154300,9.27
2014-10-24,9.25,9.36,9.18,9.33,2578900,9.33
2014-10-23,9.17,9.22,9.08,9.21,4363000,9.21
2014-10-22,9.23,9.32,9.04,9.07,4201600,9.07
2014-10-21,9.00,9.33,9.00,9.18,4233200,9.18
2014-10-20,8.84,8.98,8.81,8.95,3494900,8.95
2014-10-17,8.98,9.19,8.82,8.89,3770300,8.89
2014-10-16,8.59,9.06,8.54,8.86,6274500,8.86
2014-10-15,8.79,8.83,8.46,8.76,6738600,8.76
2014-10-14,8.79,9.05,8.69,8.80,6148700,8.80
2014-10-13,8.97,9.02,8.64,8.75,6042300,8.75
2014-10-10,9.90,9.99,9.06,9.06,8035700,9.06
2014-10-09,10.28,10.38,10.05,10.10,5424000,10.10
2014-10-08,10.13,10.33,9.91,10.28,9895400,10.28
2014-10-07,10.27,10.28,10.06,10.10,7425800,10.10
2014-10-06,10.23,10.45,10.20,10.30,5073800,10.30
2014-10-03,10.01,10.26,9.98,10.22,9881400,10.22
2014-10-02,9.98,10.07,9.77,9.99,3518300,9.99
2014-10-01,10.30,10.31,9.95,10.00,6879700,10.00
2014-09-30,10.34,10.40,10.28,10.32,4135800,10.32
2014-09-29,10.43,10.49,10.33,10.35,4439000,10.35
2014-09-26,10.51,10.62,10.48,10.51,3254400,10.51
2014-09-25,10.84,10.84,10.42,10.51,5120700,10.51
2014-09-24,10.80,10.88,10.77,10.81,2635800,10.81
