Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.35,1.42,1.35,1.40,42900,1.40
2014-12-30,1.41,1.41,1.37,1.37,800,1.37
2014-12-29,1.48,1.48,1.43,1.44,40200,1.44
2014-12-26,1.44,1.48,1.44,1.48,23300,1.48
2014-12-24,1.45,1.45,1.43,1.43,30100,1.43
2014-12-23,1.43,1.46,1.43,1.43,29800,1.43
2014-12-22,1.50,1.50,1.43,1.44,20300,1.44
2014-12-19,1.44,1.50,1.42,1.47,45700,1.47
2014-12-18,1.43,1.48,1.43,1.47,25200,1.47
2014-12-17,1.48,1.49,1.42,1.43,43000,1.43
2014-12-16,1.43,1.49,1.43,1.47,28500,1.47
2014-12-15,1.50,1.50,1.42,1.44,69000,1.44
2014-12-12,1.45,1.60,1.42,1.43,29900,1.43
2014-12-11,1.65,1.65,1.42,1.43,57900,1.43
2014-12-10,1.53,1.64,1.45,1.48,25800,1.48
2014-12-09,1.44,1.60,1.40,1.53,40100,1.53
2014-12-08,1.47,1.58,1.40,1.56,91500,1.56
2014-12-05,1.52,1.64,1.46,1.50,54700,1.50
2014-12-04,1.56,1.63,1.56,1.56,26200,1.56
2014-12-03,1.64,1.64,1.57,1.57,71800,1.57
2014-12-02,1.45,1.60,1.45,1.59,228400,1.59
2014-12-01,1.26,1.49,1.26,1.45,123100,1.45
2014-11-28,1.30,1.30,1.25,1.25,8800,1.25
2014-11-26,1.30,1.35,1.26,1.32,25700,1.32
2014-11-25,1.30,1.37,1.28,1.28,13200,1.28
2014-11-24,1.39,1.40,1.30,1.32,31700,1.32
2014-11-21,1.32,1.40,1.30,1.36,53000,1.36
2014-11-20,1.25,1.33,1.22,1.31,32900,1.31
2014-11-19,1.20,1.25,1.20,1.23,28300,1.23
2014-11-18,1.21,1.25,1.18,1.20,18500,1.20
2014-11-17,1.24,1.24,1.16,1.22,27500,1.22
2014-11-14,1.22,1.24,1.18,1.20,13700,1.20
2014-11-13,1.24,1.24,1.19,1.21,22900,1.21
2014-11-12,1.26,1.28,1.11,1.25,58800,1.25
2014-11-11,1.29,1.30,1.25,1.26,13800,1.26
2014-11-10,1.30,1.30,1.29,1.30,21200,1.30
2014-11-07,1.29,1.32,1.29,1.29,24800,1.29
2014-11-06,1.27,1.30,1.24,1.29,62600,1.29
2014-11-05,1.26,1.30,1.26,1.26,20100,1.26
2014-11-04,1.28,1.33,1.28,1.28,20200,1.28
2014-11-03,1.29,1.30,1.26,1.28,27500,1.28
2014-10-31,1.31,1.31,1.25,1.29,15800,1.29
2014-10-30,1.25,1.36,1.25,1.33,21700,1.33
2014-10-29,1.32,1.32,1.25,1.27,20400,1.27
2014-10-28,1.25,1.30,1.23,1.30,34100,1.30
2014-10-27,1.23,1.28,1.22,1.26,81100,1.26
2014-10-24,1.33,1.36,1.22,1.25,77300,1.25
2014-10-23,1.11,1.34,1.11,1.30,111500,1.30
2014-10-22,1.39,1.41,1.32,1.33,91100,1.33
2014-10-21,1.33,1.39,1.26,1.27,31800,1.27
2014-10-20,1.18,1.40,1.18,1.28,18200,1.28
2014-10-17,1.19,1.25,1.10,1.14,52300,1.14
2014-10-16,1.26,1.26,1.15,1.16,20100,1.16
2014-10-15,1.28,1.29,1.23,1.28,29200,1.28
2014-10-14,1.38,1.40,1.27,1.32,25300,1.32
2014-10-13,1.44,1.44,1.22,1.32,37800,1.32
2014-10-10,1.26,1.35,1.25,1.30,93400,1.30
2014-10-09,1.21,1.25,1.21,1.23,55100,1.23
2014-10-08,1.11,1.20,1.10,1.19,23800,1.19
2014-10-07,1.15,1.15,1.10,1.12,78800,1.12
2014-10-06,1.19,1.20,1.09,1.16,53000,1.16
2014-10-03,1.14,1.19,1.07,1.16,39000,1.16
2014-10-02,1.12,1.18,1.08,1.13,45400,1.13
2014-10-01,1.12,1.17,1.12,1.15,107000,1.15
2014-09-30,1.06,1.26,1.05,1.15,42800,1.15
2014-09-29,1.21,1.25,1.06,1.06,40300,1.06
2014-09-26,1.31,1.31,1.21,1.24,16300,1.24
2014-09-25,1.27,1.32,1.27,1.27,48300,1.27
2014-09-24,1.26,1.35,1.21,1.29,232100,1.29
2014-09-23,1.12,1.30,1.12,1.23,122400,1.23
2014-09-22,1.04,1.15,1.04,1.10,120000,1.10
2014-09-19,1.04,1.09,1.04,1.05,41900,1.05
2014-09-18,1.07,1.08,1.03,1.06,23400,1.06
2014-09-17,0.99,1.07,0.99,1.03,46200,1.03
2014-09-16,0.98,1.01,0.97,0.99,84500,0.99
2014-09-15,0.97,1.00,0.95,0.97,34600,0.97
2014-09-12,0.99,1.03,0.96,1.00,80500,1.00
2014-09-11,1.00,1.00,0.98,0.98,47600,0.98
2014-09-10,1.00,1.02,0.96,1.02,70500,1.02
2014-09-09,0.98,1.03,0.98,1.00,27100,1.00
2014-09-08,1.02,1.03,0.99,1.03,49800,1.03
2014-09-05,0.99,1.04,0.95,1.03,53100,1.03
2014-09-04,1.01,1.05,1.00,1.01,54100,1.01
2014-09-03,1.05,1.05,1.02,1.02,14500,1.02
