Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,17.54,17.89,16.78,17.13,431100,17.13
2014-12-30,17.45,17.84,17.30,17.57,8900,17.57
2014-12-29,17.27,17.43,16.22,17.05,189500,17.05
2014-12-26,17.03,17.85,16.85,17.11,181800,17.11
2014-12-24,17.87,17.87,16.69,17.01,285600,17.01
2014-12-23,18.58,18.72,17.75,17.99,391900,17.99
2014-12-22,19.00,19.50,18.41,18.48,398800,18.48
2014-12-19,17.04,19.01,17.03,18.89,2088300,18.89
2014-12-18,16.50,17.45,16.24,16.45,373300,16.45
2014-12-17,16.50,17.05,16.02,16.62,264600,16.62
2014-12-16,15.85,16.68,15.54,16.48,262500,16.48
2014-12-15,17.08,17.15,15.81,16.21,345700,16.21
2014-12-12,16.55,17.37,16.02,16.83,293600,16.83
2014-12-11,16.27,16.83,16.03,16.55,80200,16.55
2014-12-10,16.70,16.96,16.22,16.30,121200,16.30
2014-12-09,15.00,17.18,14.43,16.69,329800,16.69
2014-12-08,16.89,17.24,15.54,16.24,349500,16.24
2014-12-05,16.55,16.95,16.50,16.62,263500,16.62
2014-12-04,16.91,17.30,16.41,16.84,415700,16.84
2014-12-03,15.65,17.15,15.61,16.74,882000,16.74
2014-12-02,14.55,15.64,14.44,15.54,733600,15.54
2014-12-01,14.57,14.69,13.89,14.34,331500,14.34
2014-11-28,14.41,14.41,13.97,14.29,185800,14.29
2014-11-26,13.99,14.58,13.99,14.33,129200,14.33
2014-11-25,14.07,14.69,13.77,14.10,545700,14.10
2014-11-24,13.89,14.26,13.75,13.93,104700,13.93
2014-11-21,14.30,14.30,13.76,13.89,127900,13.89
2014-11-20,13.57,14.20,13.56,14.16,377600,14.16
2014-11-19,13.11,13.75,13.11,13.52,101700,13.52
2014-11-18,13.40,13.70,12.86,13.20,129300,13.20
2014-11-17,13.02,13.70,13.02,13.41,237700,13.41
2014-11-14,13.34,13.90,12.57,13.17,198200,13.17
2014-11-13,13.40,14.41,12.39,13.39,771700,13.39
2014-11-12,12.00,12.14,11.79,12.06,130300,12.06
2014-11-11,11.83,12.15,11.74,11.79,62000,11.79
2014-11-10,11.95,12.22,11.71,11.79,93700,11.79
2014-11-07,11.95,12.18,11.65,11.80,132800,11.80
2014-11-06,11.85,12.17,11.69,12.03,85900,12.03
2014-11-05,11.98,12.13,11.73,11.76,103500,11.76
2014-11-04,12.01,12.08,11.65,12.03,193700,12.03
2014-11-03,11.50,12.23,11.33,11.95,430500,11.95
2014-10-31,11.20,13.30,11.12,12.20,950900,12.20
2014-10-30,12.97,13.36,12.94,13.14,155000,13.14
2014-10-29,12.78,13.19,12.78,13.03,97200,13.03
2014-10-28,12.84,12.93,12.46,12.88,114400,12.88
2014-10-27,12.62,12.81,12.41,12.72,106500,12.72
2014-10-24,13.04,13.20,12.66,12.77,39600,12.77
2014-10-23,12.70,13.43,12.62,12.97,167600,12.97
2014-10-22,13.21,13.23,12.63,12.68,133300,12.68
2014-10-21,12.92,13.21,12.71,13.00,160700,13.00
2014-10-20,12.20,12.73,11.98,12.67,290400,12.67
2014-10-17,12.20,12.71,12.03,12.19,234600,12.19
2014-10-16,12.20,12.60,11.87,12.07,373000,12.07
2014-10-15,12.29,12.78,12.06,12.41,261300,12.41
2014-10-14,13.04,13.30,12.22,12.48,370700,12.48
2014-10-13,13.20,13.37,12.59,13.03,195200,13.03
2014-10-10,12.18,13.16,12.15,13.12,419900,13.12
2014-10-09,12.81,13.16,12.20,12.29,367300,12.29
2014-10-08,13.12,13.26,11.57,13.08,456600,13.08
2014-10-07,13.66,13.81,13.02,13.15,189700,13.15
2014-10-06,13.90,13.95,13.63,13.66,100300,13.66
2014-10-03,14.17,14.17,13.81,13.87,175000,13.87
2014-10-02,14.24,14.33,13.91,14.01,182100,14.01
2014-10-01,14.28,14.37,14.21,14.24,105200,14.24
2014-09-30,14.60,14.74,14.31,14.31,92400,14.31
2014-09-29,14.67,14.78,14.27,14.58,384300,14.58
2014-09-26,14.59,14.81,14.53,14.79,96100,14.79
2014-09-25,14.80,14.90,14.50,14.68,179500,14.68
2014-09-24,14.65,14.81,14.01,14.77,139700,14.77
2014-09-23,14.70,14.88,14.66,14.77,90100,14.77
2014-09-22,14.91,14.91,14.60,14.81,183600,14.81
2014-09-19,14.50,14.86,14.40,14.77,214400,14.77
2014-09-18,14.26,14.61,14.10,14.47,113700,14.47
2014-09-17,14.30,14.51,14.09,14.16,105500,14.16
2014-09-16,14.05,14.35,13.91,14.26,111900,14.26
2014-09-15,14.05,14.28,13.80,14.12,89800,14.12
2014-09-12,14.45,14.66,13.95,14.11,215300,14.11
2014-09-11,14.50,14.76,14.20,14.36,108100,14.36
2014-09-10,14.25,14.60,14.20,14.28,187100,14.28
2014-09-09,14.29,14.98,14.05,14.16,297300,14.16
2014-09-08,13.93,14.49,13.89,14.10,82300,14.10
2014-09-05,14.07,14.18,13.66,14.10,145300,14.10
2014-09-04,14.00,14.69,13.86,14.18,138600,14.18
2014-09-03,14.93,14.93,14.11,14.15,377700,14.15
2014-09-02,15.09,15.65,14.66,14.77,133800,14.77
2014-08-29,14.72,15.07,14.55,15.00,84100,15.00
2014-08-28,14.60,15.17,14.26,14.70,155000,14.70
2014-08-27,14.73,15.10,14.51,14.65,229900,14.65
2014-08-26,15.50,15.50,14.34,14.72,300400,14.72
2014-08-25,15.36,15.78,14.90,15.50,198900,15.50
2014-08-22,15.78,15.79,14.68,15.19,295600,15.19
2014-08-21,14.60,15.96,14.60,15.78,457100,15.78
2014-08-20,14.40,14.90,14.25,14.60,161200,14.60
