Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.81,3.81,3.73,3.75,208500,3.75
2014-12-30,3.79,3.79,3.75,3.76,900,3.76
2014-12-29,3.83,3.84,3.77,3.81,38700,3.81
2014-12-26,3.87,3.87,3.78,3.84,52800,3.84
2014-12-24,3.88,3.88,3.82,3.84,24100,3.84
2014-12-23,3.84,3.89,3.78,3.85,176400,3.85
2014-12-22,3.71,3.80,3.64,3.80,65100,3.80
2014-12-19,3.75,3.79,3.71,3.72,86400,3.72
2014-12-18,3.72,3.78,3.71,3.77,34600,3.77
2014-12-17,3.63,3.74,3.63,3.70,110500,3.70
2014-12-16,3.69,3.73,3.61,3.64,114100,3.64
2014-12-15,3.82,3.82,3.70,3.70,39100,3.70
2014-12-12,3.75,3.85,3.75,3.77,93100,3.77
2014-12-11,3.76,3.86,3.76,3.81,48700,3.81
2014-12-10,3.84,3.88,3.71,3.73,72200,3.73
2014-12-09,3.78,3.89,3.78,3.85,67100,3.85
2014-12-08,3.87,3.89,3.80,3.80,46800,3.80
2014-12-05,3.85,3.99,3.85,3.90,44800,3.90
2014-12-04,3.91,3.99,3.83,3.86,23400,3.86
2014-12-03,3.86,3.95,3.84,3.91,31400,3.91
2014-12-02,3.82,3.98,3.80,3.85,38600,3.85
2014-12-01,3.82,3.88,3.79,3.79,34900,3.79
2014-11-28,3.89,3.89,3.79,3.79,34400,3.79
2014-11-26,3.95,3.97,3.92,3.94,14700,3.94
2014-11-25,4.08,4.08,3.94,3.94,12800,3.94
2014-11-24,3.93,4.07,3.92,4.07,40800,4.07
2014-11-21,3.89,3.92,3.88,3.90,26400,3.90
2014-11-20,3.79,3.88,3.79,3.84,21800,3.84
2014-11-19,3.85,3.85,3.79,3.79,33800,3.79
2014-11-18,3.88,3.90,3.86,3.86,23700,3.86
2014-11-17,4.02,4.04,3.85,3.86,43700,3.86
2014-11-14,3.96,4.05,3.91,4.04,67900,4.04
2014-11-13,4.07,4.07,3.86,3.97,68100,3.97
2014-11-12,4.06,4.07,4.00,4.07,34000,4.07
2014-11-11,4.09,4.12,4.06,4.06,31900,4.06
2014-11-10,4.10,4.15,4.01,4.13,57700,4.13
2014-11-07,4.11,4.13,4.03,4.07,35100,4.07
2014-11-06,4.11,4.14,4.03,4.13,29000,4.13
2014-11-05,3.96,4.15,3.88,4.12,27700,4.12
2014-11-04,3.95,3.99,3.94,3.95,23700,3.95
2014-11-03,4.00,4.11,3.92,3.99,59000,3.99
2014-10-31,3.90,4.03,3.90,3.97,73100,3.97
2014-10-30,3.77,3.86,3.75,3.80,99200,3.80
2014-10-29,3.75,3.79,3.72,3.76,22200,3.76
2014-10-28,3.78,3.89,3.74,3.75,215000,3.75
2014-10-27,3.81,3.83,3.72,3.75,125500,3.75
2014-10-24,3.87,3.89,3.80,3.84,50100,3.84
2014-10-23,3.86,3.90,3.83,3.85,105000,3.85
2014-10-22,3.88,3.94,3.83,3.85,98500,3.85
2014-10-21,3.91,3.93,3.83,3.89,93100,3.89
2014-10-20,4.05,4.07,3.82,3.91,80200,3.91
2014-10-17,4.32,4.32,3.98,4.06,56300,4.06
2014-10-16,4.03,4.22,3.99,4.22,70000,4.22
2014-10-15,3.88,4.13,3.88,4.05,70200,4.05
2014-10-14,3.94,4.01,3.89,3.95,64700,3.95
2014-10-13,3.84,3.92,3.81,3.88,68700,3.88
2014-10-10,3.85,3.96,3.84,3.84,73600,3.84
2014-10-09,3.95,3.95,3.88,3.89,99800,3.89
2014-10-08,3.80,4.01,3.80,3.97,51400,3.97
2014-10-07,3.88,3.91,3.81,3.81,67900,3.81
2014-10-06,3.95,3.95,3.88,3.88,23700,3.88
2014-10-03,3.94,3.97,3.89,3.93,44000,3.93
2014-10-02,3.80,3.94,3.80,3.92,34900,3.92
2014-10-01,3.85,3.91,3.78,3.78,102600,3.78
2014-09-30,3.98,4.00,3.89,3.89,100900,3.89
2014-09-29,3.94,4.06,3.86,3.98,41600,3.98
2014-09-26,4.00,4.03,3.96,3.97,92500,3.97
2014-09-25,4.12,4.12,4.00,4.00,61500,4.00
2014-09-24,4.04,4.15,4.02,4.14,68000,4.14
2014-09-23,4.17,4.17,3.97,4.01,230400,4.01
2014-09-22,4.32,4.37,4.15,4.17,90800,4.17
2014-09-19,4.40,4.49,4.32,4.34,117200,4.34
2014-09-18,4.41,4.50,4.40,4.41,69700,4.41
2014-09-17,4.37,4.50,4.32,4.41,52100,4.41
2014-09-16,4.41,4.44,4.32,4.34,62400,4.34
2014-09-15,4.44,4.74,4.37,4.40,49400,4.40
2014-09-12,4.53,4.60,4.40,4.41,97000,4.41
2014-09-11,4.45,4.53,4.45,4.51,81500,4.51
2014-09-10,4.42,4.48,4.40,4.47,30300,4.47
2014-09-09,4.46,4.48,4.40,4.43,60800,4.43
2014-09-08,4.43,4.50,4.42,4.49,41000,4.49
2014-09-05,4.43,4.49,4.38,4.42,29400,4.42
2014-09-04,4.45,4.47,4.42,4.46,38300,4.46
2014-09-03,4.49,4.49,4.41,4.42,75500,4.42
2014-09-02,4.47,4.49,4.45,4.46,26300,4.46
2014-08-29,4.47,4.48,4.40,4.47,58300,4.47
2014-08-28,4.45,4.50,4.37,4.48,47800,4.48
2014-08-27,4.49,4.50,4.44,4.48,14200,4.48
2014-08-26,4.38,4.50,4.35,4.50,99100,4.50
2014-08-25,4.48,4.49,4.37,4.43,40000,4.43
2014-08-22,4.47,4.52,4.42,4.45,41200,4.45
2014-08-21,4.47,4.49,4.36,4.46,56600,4.46
2014-08-20,4.47,4.49,4.40,4.44,64000,4.44
2014-08-19,4.56,4.59,4.48,4.48,31100,4.48
2014-08-18,4.47,4.59,4.42,4.57,36900,4.57
2014-08-15,4.63,4.63,4.37,4.42,53100,4.42
2014-08-14,4.57,4.61,4.48,4.56,38200,4.56
2014-08-13,4.64,4.67,4.51,4.55,40800,4.55
2014-08-12,4.68,4.78,4.58,4.61,59000,4.61
2014-08-11,4.56,4.70,4.56,4.67,37200,4.67
2014-08-08,4.37,4.57,4.37,4.53,91200,4.53
2014-08-07,4.36,4.44,4.36,4.39,23400,4.39
2014-08-06,4.31,4.45,4.31,4.37,69900,4.37
2014-08-05,4.30,4.44,4.29,4.32,29200,4.32
2014-08-04,4.38,4.46,4.29,4.34,79400,4.34
2014-08-01,4.40,4.44,4.27,4.39,85400,4.39
2014-07-31,4.45,4.65,4.40,4.40,66200,4.40
2014-07-30,4.45,4.66,4.41,4.50,42500,4.50
2014-07-29,4.52,4.56,4.40,4.43,75300,4.43
2014-07-28,4.60,4.76,4.50,4.51,55000,4.51
2014-07-25,4.48,4.61,4.43,4.59,80000,4.59
2014-07-24,4.70,4.75,4.48,4.52,136100,4.52
2014-07-23,4.61,4.69,4.51,4.68,46900,4.68
2014-07-22,4.73,4.75,4.50,4.62,126600,4.62
2014-07-21,4.88,4.92,4.67,4.70,73000,4.70
2014-07-18,4.75,4.94,4.75,4.92,66300,4.92
2014-07-17,4.92,4.96,4.75,4.78,146300,4.78
2014-07-16,5.02,5.05,4.91,4.91,40800,4.91
2014-07-15,5.00,5.02,4.91,5.01,62400,5.01
2014-07-14,4.94,5.05,4.90,5.01,67900,5.01
2014-07-11,5.00,5.07,4.85,4.88,71800,4.88
2014-07-10,5.00,5.05,4.96,4.99,67100,4.99
2014-07-09,5.05,5.10,5.01,5.05,36500,5.05
2014-07-08,5.09,5.18,4.94,5.01,122200,5.01
2014-07-07,4.96,5.14,4.91,5.12,160500,5.12
2014-07-03,4.93,5.05,4.93,5.00,34100,5.00
2014-07-02,5.01,5.01,4.94,4.94,110600,4.94
2014-07-01,5.08,5.13,4.93,4.97,142800,4.97
2014-06-30,4.93,5.11,4.91,5.04,184700,5.04
2014-06-27,5.22,5.22,4.78,4.97,3953000,4.97
2014-06-26,5.30,5.30,5.18,5.22,142700,5.22
2014-06-25,5.30,5.35,5.25,5.27,149200,5.27
2014-06-24,5.39,5.40,5.27,5.28,129600,5.28
2014-06-23,5.11,5.38,5.03,5.35,282500,5.35
2014-06-20,4.92,5.16,4.91,5.16,487300,5.16
2014-06-19,5.09,5.11,4.91,4.94,207700,4.94
2014-06-18,5.09,5.15,5.06,5.12,150100,5.12
2014-06-17,5.04,5.14,5.04,5.12,266500,5.12
2014-06-16,5.02,5.12,4.98,4.99,271600,4.99
2014-06-13,4.95,5.03,4.95,4.99,162100,4.99
2014-06-12,4.99,5.02,4.98,4.98,133800,4.98
2014-06-11,5.00,5.02,4.82,4.96,116900,4.96
2014-06-10,5.00,5.02,4.98,5.00,92600,5.00
2014-06-09,4.95,5.02,4.90,5.00,116500,5.00
2014-06-06,4.99,5.02,4.97,5.02,91800,5.02
2014-06-05,5.02,5.02,4.91,4.96,142700,4.96
2014-06-04,5.00,5.02,4.97,4.97,92100,4.97
2014-06-03,5.01,5.05,4.98,5.00,130300,5.00
2014-06-02,5.11,5.13,4.96,5.03,95600,5.03
2014-05-30,5.10,5.10,4.90,5.00,90600,5.00
2014-05-29,4.98,5.03,4.87,4.90,139500,4.90
2014-05-28,5.07,5.08,4.93,4.95,144000,4.95
2014-05-27,5.15,5.15,4.99,5.02,157300,5.02
2014-05-23,5.10,5.16,5.00,5.02,71700,5.02
2014-05-22,5.10,5.15,5.03,5.05,103800,5.05
2014-05-21,5.14,5.43,5.03,5.15,205500,5.15
2014-05-20,5.10,5.14,4.99,5.05,156900,5.05
2014-05-19,5.04,5.26,4.89,5.07,189300,5.07
2014-05-16,5.14,5.34,4.99,5.00,283900,5.00
2014-05-15,5.50,5.50,5.08,5.09,232800,5.09
2014-05-14,5.00,6.00,4.90,5.16,672000,5.16
2014-05-13,4.82,4.90,4.82,4.86,126200,4.86
2014-05-12,4.45,5.00,4.43,4.78,162400,4.78
2014-05-09,4.32,4.44,4.26,4.40,33400,4.40
2014-05-08,4.43,4.43,4.25,4.29,33900,4.29
2014-05-07,4.42,4.45,4.28,4.40,78200,4.40
2014-05-06,4.43,4.45,4.38,4.39,40400,4.39
2014-05-05,4.36,4.45,4.32,4.40,53200,4.40
2014-05-02,4.44,4.44,4.29,4.34,21500,4.34
2014-05-01,4.46,4.49,4.38,4.42,24000,4.42
2014-04-30,4.41,4.42,4.31,4.42,47300,4.42
2014-04-29,4.19,4.49,4.16,4.37,78200,4.37
2014-04-28,4.22,4.25,4.14,4.20,38800,4.20
2014-04-25,4.19,4.26,4.17,4.20,39900,4.20
2014-04-24,4.25,4.28,4.11,4.20,51600,4.20
2014-04-23,4.30,4.41,4.16,4.20,64900,4.20
2014-04-22,4.20,4.44,4.15,4.23,90600,4.23
2014-04-21,3.85,4.21,3.81,4.17,105600,4.17
2014-04-17,3.79,3.91,3.79,3.80,19800,3.80
2014-04-16,3.70,3.82,3.70,3.75,20600,3.75
2014-04-15,3.64,3.78,3.64,3.70,21700,3.70
2014-04-14,3.66,3.83,3.53,3.57,24900,3.57
2014-04-11,3.66,3.84,3.48,3.63,18100,3.63
2014-04-10,3.64,3.92,3.50,3.65,50000,3.65
2014-04-09,3.66,3.68,3.56,3.60,17300,3.60
2014-04-08,3.57,3.68,3.51,3.62,28600,3.62
2014-04-07,3.57,3.67,3.51,3.58,46200,3.58
2014-04-04,3.62,3.72,3.52,3.55,19900,3.55
2014-04-03,3.63,3.74,3.51,3.65,73300,3.65
2014-04-02,3.90,3.94,3.69,3.75,101000,3.75
2014-04-01,3.83,3.89,3.75,3.85,92000,3.85
2014-03-31,3.94,3.94,3.76,3.85,57400,3.85
2014-03-28,3.88,3.94,3.85,3.91,34800,3.91
2014-03-27,3.83,3.97,3.80,3.82,91100,3.82
2014-03-26,4.00,4.00,3.80,3.87,73200,3.87
2014-03-25,4.07,4.27,3.87,3.91,52000,3.91
2014-03-24,4.30,4.30,3.87,4.02,218100,4.02
2014-03-21,4.29,4.34,4.16,4.26,234200,4.26
2014-03-20,4.25,4.37,4.17,4.26,34100,4.26
2014-03-19,4.25,4.25,4.16,4.22,25900,4.22
2014-03-18,4.26,4.30,4.21,4.24,31100,4.24
2014-03-17,4.29,4.35,4.15,4.22,84000,4.22
2014-03-14,4.31,4.53,4.27,4.32,33600,4.32
2014-03-13,4.45,4.58,4.26,4.43,182700,4.43
2014-03-12,4.49,4.58,4.36,4.38,74900,4.38
2014-03-11,4.45,4.59,4.27,4.40,103100,4.40
2014-03-10,4.35,4.59,4.35,4.40,137700,4.40
2014-03-07,4.13,4.30,4.11,4.29,118000,4.29
2014-03-06,4.17,4.17,4.00,4.06,91400,4.06
2014-03-05,4.03,4.18,3.75,4.09,108000,4.09
2014-03-04,3.78,3.98,3.76,3.98,87400,3.98
2014-03-03,3.68,3.74,3.51,3.71,39000,3.71
2014-02-28,3.54,3.69,3.49,3.68,41100,3.68
2014-02-27,3.60,3.64,3.55,3.62,43500,3.62
2014-02-26,3.48,3.66,3.48,3.58,27800,3.58
2014-02-25,3.65,3.70,3.50,3.51,83800,3.51
2014-02-24,3.55,3.74,3.49,3.60,39800,3.60
2014-02-21,3.54,3.59,3.50,3.53,18400,3.53
2014-02-20,3.50,3.53,3.42,3.49,16700,3.49
2014-02-19,3.41,3.49,3.31,3.48,11200,3.48
2014-02-18,3.35,3.42,3.31,3.42,19800,3.42
2014-02-14,3.27,3.34,3.27,3.34,10800,3.34
2014-02-13,3.24,3.27,3.20,3.27,16900,3.27
2014-02-12,3.08,3.24,3.08,3.20,27100,3.20
2014-02-11,3.13,3.16,3.05,3.05,8200,3.05
2014-02-10,3.15,3.20,3.15,3.15,5600,3.15
2014-02-07,3.18,3.18,3.12,3.14,12100,3.14
2014-02-06,3.13,3.17,3.08,3.13,4300,3.13
2014-02-05,3.10,3.14,3.09,3.10,8000,3.10
2014-02-04,3.14,3.18,3.14,3.17,15100,3.17
2014-02-03,3.24,3.24,3.15,3.15,17900,3.15
2014-01-31,3.12,3.21,3.12,3.19,19100,3.19
2014-01-30,3.14,3.19,3.14,3.18,9700,3.18
2014-01-29,3.19,3.19,3.15,3.15,10400,3.15
2014-01-28,3.17,3.24,3.17,3.18,17500,3.18
2014-01-27,3.13,3.22,3.02,3.16,20300,3.16
2014-01-24,3.24,3.24,3.09,3.16,9100,3.16
2014-01-23,3.22,3.25,3.15,3.21,32800,3.21
2014-01-22,3.20,3.24,3.15,3.20,34600,3.20
2014-01-21,3.19,3.19,3.15,3.16,6700,3.16
2014-01-17,3.13,3.18,3.05,3.15,6500,3.15
2014-01-16,3.12,3.18,3.10,3.11,4800,3.11
2014-01-15,3.15,3.23,3.14,3.15,10500,3.15
2014-01-14,3.08,3.19,3.05,3.11,53900,3.11
2014-01-13,3.08,3.08,3.05,3.05,6200,3.05
2014-01-10,3.07,3.08,3.05,3.07,11600,3.07
2014-01-09,3.08,3.08,3.05,3.05,4900,3.05
2014-01-08,3.00,3.07,2.97,3.06,59600,3.06
2014-01-07,2.97,3.03,2.97,2.99,18000,2.99
2014-01-06,3.00,3.03,2.97,3.03,22700,3.03
2014-01-03,2.98,3.07,2.92,3.06,72800,3.06
2014-01-02,2.98,2.98,2.86,2.98,111200,2.98
2013-12-31,2.93,3.00,2.93,2.98,58500,2.98
2013-12-30,2.96,3.00,2.94,2.95,21000,2.95
2013-12-27,2.97,3.00,2.95,3.00,17900,3.00
2013-12-26,3.04,3.04,2.90,3.01,47400,3.01
2013-12-24,3.05,3.05,3.00,3.05,9500,3.05
2013-12-23,3.03,3.04,3.00,3.02,19700,3.02
2013-12-20,3.06,3.06,3.03,3.05,21600,3.05
2013-12-19,3.00,3.03,3.00,3.03,9100,3.03
2013-12-18,3.00,3.07,3.00,3.06,30100,3.06
2013-12-17,3.08,3.08,3.03,3.03,5500,3.03
2013-12-16,3.07,3.10,3.00,3.08,21100,3.08
2013-12-13,3.12,3.12,3.07,3.07,15000,3.07
2013-12-12,3.07,3.10,3.07,3.07,18300,3.07
2013-12-11,3.10,3.12,3.07,3.08,11500,3.08
2013-12-10,3.12,3.23,3.12,3.12,17900,3.12
2013-12-09,3.22,3.26,3.13,3.13,7200,3.13
2013-12-06,3.18,3.24,3.18,3.19,1400,3.19
2013-12-05,3.27,3.27,3.16,3.18,3700,3.18
2013-12-04,3.27,3.27,3.14,3.27,22100,3.27
2013-12-03,3.22,3.27,3.22,3.27,36900,3.27
2013-12-02,3.17,3.22,3.12,3.22,26100,3.22
2013-11-29,3.23,3.23,3.18,3.19,1800,3.19
2013-11-27,3.16,3.23,3.10,3.20,26000,3.20
2013-11-26,3.15,3.24,3.08,3.13,44900,3.13
2013-11-25,3.24,3.24,3.07,3.09,22600,3.09
2013-11-22,3.07,3.24,3.06,3.24,54100,3.24
2013-11-21,3.08,3.13,3.08,3.13,14000,3.13
