Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,20.70,20.70,20.55,20.55,8100,20.46
2014-12-30,20.79,20.79,20.79,20.79,000,20.70
2014-12-29,20.79,20.79,20.79,20.79,000,20.70
2014-12-26,20.79,20.79,20.79,20.79,000,20.70
2014-12-24,20.79,20.79,20.79,20.79,600,20.70
2014-12-23,20.61,20.61,20.61,20.61,200,20.52
2014-12-22,20.69,20.69,20.68,20.68,400,20.59
2014-12-19,20.67,20.67,20.52,20.52,1800,20.43
2014-12-18,21.08,21.08,20.38,20.46,5800,20.37
2014-12-17,20.04,20.07,20.04,20.07,1500,19.99
2014-12-16,20.14,20.14,20.13,20.13,1200,20.05
2014-12-15,20.17,20.17,19.92,19.92,6600,19.84
2014-12-12,20.27,20.30,20.27,20.28,1500,20.20
2014-12-11,20.45,20.50,20.45,20.50,500,20.41
2014-12-10,20.49,20.49,20.34,20.38,2200,20.29
2014-12-09,20.50,20.50,20.31,20.31,8400,20.23
2014-12-08,20.66,20.66,20.60,20.60,1000,20.51
2014-12-05,20.68,20.68,20.67,20.67,500,20.58
2014-12-04,20.60,20.60,20.60,20.60,700,20.51
2014-12-03,20.57,20.64,20.57,20.64,2300,20.55
2014-12-02,20.57,20.60,20.54,20.58,600,20.49
2014-12-01,20.61,20.61,20.61,20.61,100,20.52
2014-11-28,20.66,20.67,20.61,20.61,1100,20.52
2014-11-26,20.60,20.64,20.56,20.64,3700,20.55
2014-11-25,20.60,20.60,20.56,20.57,2000,20.48
2014-11-24,20.55,20.55,20.55,20.55,000,20.46
2014-11-21,20.57,20.57,20.55,20.55,1000,20.46
2014-11-20,20.60,20.60,20.60,20.60,1000,20.43
2014-11-19,20.54,20.55,20.54,20.55,1400,20.38
2014-11-18,20.65,20.68,20.65,20.68,2200,20.51
2014-11-17,20.58,20.58,20.58,20.58,000,20.41
2014-11-14,20.58,20.58,20.58,20.58,1200,20.41
2014-11-13,20.58,20.64,20.55,20.58,3900,20.41
2014-11-12,20.50,20.50,20.50,20.50,000,20.33
2014-11-11,20.60,20.62,20.49,20.50,5300,20.33
2014-11-10,20.62,20.63,20.62,20.63,900,20.46
2014-11-07,20.45,20.45,20.45,20.45,000,20.28
2014-11-06,20.45,20.45,20.45,20.45,2200,20.28
2014-11-05,20.54,20.54,20.54,20.54,1300,20.37
2014-11-04,20.46,20.46,20.46,20.46,1800,20.29
2014-11-03,20.44,20.44,20.44,20.44,000,20.27
2014-10-31,20.44,20.44,20.44,20.44,1700,20.27
2014-10-30,20.17,20.24,20.17,20.24,1100,20.07
2014-10-29,20.34,20.34,20.25,20.29,3800,20.12
2014-10-28,20.21,20.21,20.19,20.21,2900,20.04
2014-10-27,20.16,20.18,20.15,20.18,4100,20.01
2014-10-24,20.01,20.01,20.01,20.01,200,19.84
2014-10-23,20.05,20.05,20.05,20.05,200,19.88
2014-10-22,19.95,19.95,19.90,19.90,700,19.73
2014-10-21,19.72,19.72,19.72,19.72,000,19.56
2014-10-20,20.06,20.06,19.63,19.72,2400,19.47
2014-10-17,19.62,19.62,19.52,19.52,2300,19.28
2014-10-16,19.39,19.40,19.38,19.38,1800,19.14
2014-10-15,19.25,19.31,18.85,19.02,7900,18.78
2014-10-14,19.65,20.07,19.48,19.51,3800,19.27
2014-10-13,19.59,20.20,19.48,19.48,13200,19.24
2014-10-10,20.01,20.01,20.01,20.01,200,19.76
2014-10-09,20.23,20.23,20.03,20.03,500,19.78
2014-10-08,19.97,19.97,19.92,19.92,2300,19.67
2014-10-07,20.18,20.20,20.05,20.05,6400,19.80
2014-10-06,20.30,20.30,20.30,20.30,400,20.05
2014-10-03,20.25,20.29,20.25,20.28,1000,20.03
2014-10-02,20.00,20.00,20.00,20.00,300,19.75
2014-10-01,20.25,20.25,20.17,20.17,1700,19.92
2014-09-30,20.38,20.38,20.34,20.34,1100,20.09
2014-09-29,20.36,20.36,20.36,20.36,200,20.11
2014-09-26,20.34,20.34,20.29,20.29,900,20.04
2014-09-25,20.36,20.36,20.34,20.34,3200,20.09
2014-09-24,20.41,20.41,20.40,20.40,2000,20.15
2014-09-23,20.96,20.96,20.39,20.44,6300,20.19
2014-09-22,20.74,20.74,20.74,20.74,000,20.40
2014-09-19,20.73,20.74,20.73,20.74,2000,20.40
2014-09-18,20.75,20.76,20.74,20.74,800,20.40
2014-09-17,20.60,20.70,20.58,20.70,8200,20.36
2014-09-16,20.65,20.65,20.57,20.57,5700,20.23
2014-09-15,20.54,20.54,20.54,20.54,000,20.20
