Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,19.98,20.40,19.98,20.39,1900,20.33
2014-12-30,20.40,20.40,20.40,20.40,200,20.34
2014-12-29,20.50,20.50,20.50,20.50,000,20.44
2014-12-26,20.50,20.50,20.50,20.50,100,20.44
2014-12-24,20.39,20.39,20.39,20.39,000,20.33
2014-12-23,20.35,20.35,20.35,20.35,100,20.29
2014-12-22,20.35,20.35,20.35,20.35,000,20.29
2014-12-19,20.40,20.40,20.30,20.35,600,20.29
2014-12-18,20.16,20.30,20.16,20.29,5000,20.23
2014-12-17,19.73,19.73,19.73,19.73,000,19.67
2014-12-16,19.77,19.77,19.73,19.73,1500,19.67
2014-12-15,19.84,19.84,19.77,19.77,1600,19.71
2014-12-12,19.93,19.93,19.93,19.93,100,19.87
2014-12-11,20.25,20.25,20.25,20.25,1200,20.19
2014-12-10,20.16,20.16,20.14,20.14,2100,20.08
2014-12-09,20.46,20.46,20.46,20.46,000,20.40
2014-12-08,20.46,20.46,20.46,20.46,000,20.40
2014-12-05,20.46,20.46,20.46,20.46,300,20.40
2014-12-04,20.40,20.40,20.40,20.40,000,20.34
2014-12-03,20.40,20.40,20.40,20.40,000,20.34
2014-12-02,20.40,20.40,20.40,20.40,000,20.34
2014-12-01,20.42,20.42,20.40,20.40,400,20.34
2014-11-28,20.40,20.40,20.40,20.40,000,20.34
2014-11-26,20.40,20.40,20.40,20.40,200,20.34
2014-11-25,20.34,20.34,20.34,20.34,000,20.28
2014-11-24,20.34,20.34,20.34,20.34,000,20.28
2014-11-21,20.36,20.37,20.34,20.34,2800,20.28
2014-11-20,20.39,20.39,20.34,20.34,600,20.21
2014-11-19,20.38,20.38,20.38,20.38,400,20.25
2014-11-18,20.39,20.39,20.39,20.39,500,20.26
2014-11-17,20.33,20.33,20.33,20.33,000,20.20
2014-11-14,20.33,20.33,20.33,20.33,500,20.20
2014-11-13,20.29,20.29,20.29,20.29,000,20.16
2014-11-12,20.29,20.29,20.29,20.29,000,20.16
2014-11-11,20.29,20.29,20.29,20.29,000,20.16
2014-11-10,20.29,20.29,20.29,20.29,300,20.16
