Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,48.41,48.66,48.41,48.49,70900,48.34
2014-12-30,48.53,48.68,48.40,48.46,365400,48.31
2014-12-29,48.50,48.58,48.41,48.45,44500,48.30
2014-12-26,48.52,48.66,48.38,48.39,22200,48.24
2014-12-24,48.49,48.66,48.39,48.66,9400,48.51
2014-12-23,48.44,48.59,48.34,48.59,48100,48.44
2014-12-22,48.39,48.69,48.39,48.47,33900,48.32
2014-12-19,48.36,48.69,48.36,48.69,26300,48.54
2014-12-18,48.22,48.22,48.06,48.17,25100,48.02
2014-12-17,48.16,48.16,47.97,47.97,30600,47.82
2014-12-16,48.12,48.33,48.10,48.10,26700,47.95
2014-12-15,48.50,48.50,48.21,48.21,16700,48.06
2014-12-12,48.62,48.62,48.42,48.46,14000,48.31
2014-12-11,48.79,48.80,48.54,48.58,25500,48.43
2014-12-10,48.82,48.84,48.64,48.66,25200,48.51
2014-12-09,48.95,49.00,48.81,48.88,219600,48.73
2014-12-08,49.01,49.08,48.96,49.00,17500,48.85
2014-12-05,48.97,49.12,48.97,49.04,10200,48.89
2014-12-04,49.02,49.10,48.97,48.97,24400,48.82
2014-12-03,49.14,49.18,48.98,49.01,19900,48.86
2014-12-02,49.14,49.22,48.99,49.22,45100,49.07
2014-12-01,49.05,49.28,49.05,49.20,25400,49.05
2014-11-28,49.18,49.31,48.95,48.95,22800,48.80
2014-11-26,48.95,49.21,48.95,49.00,22500,48.85
2014-11-25,49.00,49.20,48.92,49.19,32400,49.04
2014-11-24,49.08,49.22,49.00,49.20,32200,49.05
2014-11-21,49.34,49.34,49.05,49.08,38400,48.93
2014-11-20,49.20,49.27,49.10,49.10,15700,48.80
2014-11-19,49.33,49.33,49.21,49.21,17500,48.91
2014-11-18,49.30,49.30,49.21,49.22,13500,48.92
2014-11-17,49.15,49.21,49.13,49.21,9400,48.91
2014-11-14,49.26,49.30,49.15,49.21,8500,48.91
2014-11-13,49.11,49.22,49.11,49.17,12400,48.87
2014-11-12,49.09,49.20,49.09,49.13,10000,48.83
2014-11-11,49.32,49.32,49.09,49.20,10500,48.90
2014-11-10,49.09,49.20,49.08,49.08,90300,48.78
2014-11-07,49.24,49.25,49.08,49.08,17000,48.78
2014-11-06,49.30,49.30,49.11,49.26,9300,48.96
2014-11-05,48.93,49.21,48.93,49.21,565500,48.91
2014-11-04,49.06,49.17,49.00,49.05,93700,48.75
2014-11-03,49.10,49.19,48.96,48.98,13400,48.68
2014-10-31,49.03,49.14,48.89,48.90,15000,48.60
2014-10-30,48.85,48.98,48.83,48.89,14300,48.59
2014-10-29,48.86,48.97,48.80,48.82,11900,48.52
2014-10-28,48.91,49.02,48.78,48.80,106800,48.50
2014-10-27,48.73,49.00,48.72,48.72,10700,48.42
2014-10-24,48.72,48.90,48.69,48.74,15000,48.44
2014-10-23,48.76,48.85,48.68,48.72,11500,48.42
2014-10-22,48.56,48.89,48.56,48.63,12500,48.33
2014-10-21,48.80,48.80,48.46,48.70,58000,48.40
2014-10-20,48.60,48.90,48.59,48.90,44300,48.46
2014-10-17,48.65,48.88,48.39,48.39,47200,47.95
2014-10-16,48.41,48.62,48.34,48.46,17200,48.02
2014-10-15,48.55,48.80,48.15,48.68,19000,48.24
2014-10-14,49.05,49.05,48.71,48.71,21500,48.27
2014-10-13,48.79,49.05,48.73,48.93,14500,48.49
2014-10-10,48.97,49.02,48.80,48.88,8800,48.44
2014-10-09,49.08,49.13,48.93,49.03,9700,48.59
2014-10-08,48.84,49.06,48.84,49.05,13800,48.61
2014-10-07,48.96,49.13,48.95,48.95,9100,48.51
2014-10-06,49.05,49.11,48.95,49.03,10400,48.59
2014-10-03,49.08,49.08,48.89,48.98,11400,48.54
2014-10-02,48.77,49.03,48.77,48.80,29300,48.36
2014-10-01,49.58,49.58,48.73,48.76,159100,48.32
2014-09-30,49.03,49.03,48.82,48.84,34200,48.40
2014-09-29,49.01,49.03,48.88,49.03,23800,48.59
2014-09-26,49.11,49.11,49.01,49.06,27200,48.62
2014-09-25,49.10,49.26,49.02,49.02,40400,48.58
2014-09-24,49.20,49.35,49.10,49.35,21800,48.90
2014-09-23,49.31,49.32,49.19,49.26,38500,48.81
2014-09-22,49.31,49.42,49.31,49.40,85000,48.81
2014-09-19,49.44,49.45,49.29,49.34,24800,48.75
2014-09-18,49.43,49.43,49.24,49.27,17600,48.68
2014-09-17,49.30,49.44,49.30,49.39,34700,48.80
2014-09-16,49.36,49.39,49.28,49.39,28800,48.80
2014-09-15,49.29,49.40,49.27,49.32,12400,48.73
2014-09-12,49.35,49.39,49.26,49.34,18400,48.75
2014-09-11,49.41,49.41,49.27,49.35,19100,48.76
2014-09-10,49.45,49.45,49.29,49.41,23100,48.82
2014-09-09,49.30,49.43,49.30,49.36,36100,48.77
2014-09-08,49.34,49.48,49.33,49.45,32900,48.86
2014-09-05,49.26,49.53,49.26,49.39,147000,48.80
2014-09-04,49.48,49.50,49.26,49.29,62900,48.70
2014-09-03,49.49,49.49,49.44,49.48,19000,48.89
2014-09-02,49.45,49.47,49.15,49.40,9000,48.81
2014-08-29,49.32,49.56,49.32,49.54,16300,48.95
2014-08-28,49.44,49.50,49.34,49.45,31500,48.86
2014-08-27,49.39,49.45,49.34,49.45,27900,48.86
2014-08-26,49.40,49.41,49.25,49.39,127500,48.80
2014-08-25,49.47,49.51,49.29,49.41,85100,48.82
2014-08-22,49.30,49.43,49.27,49.38,17200,48.79
2014-08-21,49.39,49.41,49.29,49.37,21500,48.78
2014-08-20,49.45,49.56,49.38,49.38,34900,48.65
2014-08-19,49.40,49.52,49.39,49.41,41500,48.68
2014-08-18,49.43,49.56,49.39,49.39,17800,48.66
2014-08-15,49.51,49.52,49.35,49.47,20200,48.73
2014-08-14,49.35,49.50,49.35,49.50,8000,48.76
2014-08-13,49.49,49.49,49.31,49.49,114900,48.75
2014-08-12,49.34,49.51,49.34,49.37,16200,48.64
2014-08-11,49.46,49.46,49.27,49.32,17300,48.59
2014-08-08,49.28,49.45,49.27,49.43,9400,48.69
2014-08-07,49.28,49.55,49.20,49.38,15000,48.65
2014-08-06,49.33,49.49,49.27,49.36,27900,48.63
2014-08-05,49.36,49.57,49.22,49.48,51700,48.74
