Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.62,4.68,4.43,4.52,359700,4.46
2014-12-30,4.76,4.76,4.57,4.62,268000,4.56
2014-12-29,4.86,4.93,4.75,4.78,137600,4.71
2014-12-26,4.76,4.96,4.76,4.93,174000,4.80
2014-12-24,4.78,4.83,4.75,4.76,59700,4.63
2014-12-23,4.73,4.86,4.73,4.77,133400,4.64
2014-12-22,4.84,4.85,4.64,4.72,130800,4.59
2014-12-19,4.67,4.80,4.63,4.80,85900,4.67
2014-12-18,4.65,4.82,4.60,4.62,139900,4.49
2014-12-17,4.58,4.75,4.56,4.58,104800,4.45
2014-12-16,4.60,4.66,4.59,4.59,137000,4.46
2014-12-15,4.67,4.76,4.60,4.60,141500,4.47
2014-12-12,4.62,4.69,4.60,4.62,80000,4.49
2014-12-11,4.80,4.80,4.66,4.66,141400,4.53
2014-12-10,4.83,4.87,4.75,4.79,89700,4.66
2014-12-09,4.78,4.86,4.63,4.80,185000,4.67
2014-12-08,5.00,5.00,4.52,4.85,506600,4.72
2014-12-05,5.20,5.25,5.03,5.04,195200,4.90
2014-12-04,5.33,5.36,5.24,5.25,134900,5.11
2014-12-03,5.46,5.47,5.23,5.32,227400,5.17
2014-12-02,5.50,5.55,5.45,5.45,79200,5.30
2014-12-01,5.66,5.68,5.45,5.50,162800,5.35
2014-11-28,5.85,5.85,5.65,5.66,76400,5.51
2014-11-26,5.86,5.90,5.75,5.77,71400,5.61
2014-11-25,5.86,5.95,5.75,5.81,101500,5.65
2014-11-24,5.89,5.95,5.85,5.93,147100,5.70
2014-11-21,5.88,5.88,5.80,5.88,70900,5.65
2014-11-20,5.84,5.89,5.75,5.82,66300,5.60
2014-11-19,5.80,5.84,5.75,5.82,59700,5.60
2014-11-18,5.73,5.83,5.63,5.78,82900,5.56
2014-11-17,5.77,5.77,5.63,5.68,99900,5.46
2014-11-14,5.79,5.80,5.67,5.73,88200,5.51
2014-11-13,5.64,5.77,5.60,5.63,46800,5.41
2014-11-12,5.67,5.69,5.61,5.65,88100,5.43
2014-11-11,5.75,5.78,5.60,5.71,122000,5.49
2014-11-10,5.84,5.86,5.75,5.77,103500,5.55
2014-11-07,5.75,5.86,5.75,5.84,42200,5.62
2014-11-06,5.80,5.86,5.74,5.79,33800,5.57
2014-11-05,5.81,5.90,5.78,5.84,31700,5.62
2014-11-04,5.90,5.99,5.77,5.81,109000,5.59
2014-11-03,5.99,6.00,5.92,5.94,51500,5.71
2014-10-31,5.92,6.00,5.92,5.96,43600,5.73
2014-10-30,5.97,6.01,5.88,5.92,57300,5.69
2014-10-29,6.03,6.06,5.93,6.00,79700,5.77
2014-10-28,6.05,6.09,6.04,6.04,69600,5.74
2014-10-27,6.05,6.08,6.02,6.04,38000,5.74
2014-10-24,6.06,6.07,6.01,6.02,52900,5.73
2014-10-23,6.10,6.10,6.00,6.03,62500,5.73
2014-10-22,6.01,6.10,5.95,6.06,115700,5.76
2014-10-21,5.98,6.23,5.97,6.04,167600,5.74
2014-10-20,6.05,6.05,5.96,6.01,76500,5.72
2014-10-17,5.97,6.11,5.89,6.03,134500,5.73
2014-10-16,5.37,5.91,5.34,5.89,231200,5.60
2014-10-15,5.50,5.59,5.36,5.45,219000,5.18
2014-10-14,5.66,5.70,5.41,5.50,213500,5.23
2014-10-13,5.75,5.79,5.60,5.66,219900,5.38
2014-10-10,5.85,5.94,5.77,5.80,111600,5.52
2014-10-09,5.80,5.98,5.78,5.91,100200,5.62
2014-10-08,5.86,5.95,5.75,5.84,170400,5.55
2014-10-07,5.95,6.11,5.91,5.91,120600,5.62
2014-10-06,6.12,6.13,5.92,6.00,154600,5.71
2014-10-03,5.99,6.19,5.91,6.16,141200,5.86
2014-10-02,6.02,6.12,5.90,5.99,448800,5.70
2014-10-01,6.40,6.58,6.07,6.18,207300,5.88
2014-09-30,6.50,6.53,6.27,6.39,109300,6.08
2014-09-29,6.60,6.60,6.43,6.53,90800,6.21
2014-09-26,6.55,6.68,6.49,6.61,126400,6.29
2014-09-25,6.56,6.63,6.56,6.56,105200,6.17
2014-09-24,6.28,6.65,6.27,6.56,326300,6.17
2014-09-23,6.20,6.30,6.18,6.27,149600,5.90
2014-09-22,6.09,6.27,6.05,6.23,221900,5.86
2014-09-19,6.49,6.50,6.12,6.26,563800,5.89
2014-09-18,7.00,7.04,6.54,6.54,449600,6.16
2014-09-17,6.90,7.08,6.90,7.04,144900,6.63
2014-09-16,7.00,7.28,6.90,6.94,240100,6.53
2014-09-15,7.23,7.27,7.01,7.08,175400,6.66
2014-09-12,7.20,7.29,7.20,7.20,35900,6.78
2014-09-11,7.27,7.30,7.20,7.21,72100,6.79
2014-09-10,7.32,7.34,7.25,7.30,133700,6.87
2014-09-09,7.34,7.37,7.32,7.34,21100,6.91
2014-09-08,7.36,7.37,7.32,7.34,23100,6.91
2014-09-05,7.30,7.38,7.30,7.34,57300,6.91
2014-09-04,7.36,7.37,7.31,7.31,53300,6.88
2014-09-03,7.36,7.40,7.36,7.37,57100,6.94
2014-09-02,7.33,7.42,7.31,7.37,63000,6.94
2014-08-29,7.39,7.40,7.32,7.35,62800,6.92
2014-08-28,7.37,7.40,7.29,7.40,47100,6.97
2014-08-27,7.40,7.42,7.35,7.38,73300,6.95
2014-08-26,7.48,7.49,7.40,7.42,130000,6.92
2014-08-25,7.38,7.49,7.38,7.48,102500,6.98
2014-08-22,7.38,7.48,7.38,7.41,77700,6.91
2014-08-21,7.40,7.42,7.33,7.38,112200,6.88
2014-08-20,7.36,7.40,7.33,7.36,58200,6.87
2014-08-19,7.28,7.45,7.25,7.32,118300,6.83
2014-08-18,7.45,7.46,7.25,7.33,125200,6.84
2014-08-15,7.25,7.47,7.19,7.43,91800,6.93
2014-08-14,7.21,7.23,7.15,7.20,62000,6.72
2014-08-13,7.12,7.21,7.12,7.18,102200,6.70
2014-08-12,7.08,7.19,7.01,7.12,258200,6.64
2014-08-11,7.22,7.25,7.04,7.05,192700,6.58
2014-08-08,7.08,7.16,7.05,7.08,138700,6.60
2014-08-07,7.12,7.22,7.03,7.05,100400,6.58
2014-08-06,7.21,7.25,7.09,7.12,175400,6.64
2014-08-05,7.42,7.42,6.81,7.21,219700,6.73
2014-08-04,7.64,7.68,7.27,7.39,290100,6.89
2014-08-01,7.58,7.71,7.58,7.67,71800,7.15
2014-07-31,7.70,7.72,7.60,7.66,92100,7.15
2014-07-30,7.78,7.78,7.71,7.71,64000,7.19
2014-07-29,7.78,7.85,7.72,7.73,77000,7.21
2014-07-28,7.85,7.85,7.75,7.79,98600,7.20
2014-07-25,7.80,7.84,7.79,7.81,62500,7.22
2014-07-24,7.82,7.82,7.72,7.78,151400,7.19
2014-07-23,7.74,7.81,7.74,7.79,66500,7.20
2014-07-22,7.81,7.82,7.74,7.75,120600,7.17
2014-07-21,7.82,7.87,7.75,7.79,140400,7.20
2014-07-18,7.70,7.88,7.70,7.86,84000,7.27
2014-07-17,7.72,7.81,7.70,7.70,79800,7.12
2014-07-16,7.74,7.75,7.72,7.73,60500,7.15
2014-07-15,7.73,7.83,7.72,7.75,129700,7.17
2014-07-14,7.75,7.89,7.72,7.73,135100,7.15
2014-07-11,7.75,7.82,7.72,7.75,94100,7.17
2014-07-10,7.80,7.83,7.70,7.74,95800,7.16
2014-07-09,7.75,7.84,7.72,7.82,32800,7.23
2014-07-08,7.88,7.95,7.71,7.77,92800,7.19
2014-07-07,7.90,7.95,7.80,7.89,70200,7.30
2014-07-03,7.90,7.98,7.89,7.89,72700,7.30
2014-07-02,7.81,7.90,7.78,7.85,68800,7.26
2014-07-01,7.85,7.93,7.78,7.78,135600,7.19
2014-06-30,7.81,7.84,7.79,7.81,105600,7.22
2014-06-27,7.82,7.89,7.77,7.77,186400,7.19
2014-06-26,7.87,7.95,7.80,7.82,58100,7.23
2014-06-25,7.79,7.94,7.79,7.88,156500,7.23
2014-06-24,7.87,7.90,7.83,7.83,196700,7.18
2014-06-23,7.99,7.99,7.74,7.83,181800,7.18
2014-06-20,7.70,7.77,7.57,7.63,213300,7.00
2014-06-19,7.96,7.96,7.67,7.73,324300,7.09
2014-06-18,8.07,8.07,7.92,7.96,139900,7.30
2014-06-17,8.07,8.18,8.02,8.13,70000,7.45
2014-06-16,8.15,8.20,8.03,8.07,88500,7.40
2014-06-13,8.13,8.28,8.02,8.13,106500,7.45
2014-06-12,8.11,8.15,8.08,8.13,48500,7.45
2014-06-11,8.22,8.27,8.00,8.13,115800,7.45
2014-06-10,8.29,8.30,8.16,8.19,115500,7.51
2014-06-09,8.35,8.35,8.18,8.26,302100,7.57
2014-06-06,8.05,8.25,8.03,8.14,163400,7.46
2014-06-05,8.00,8.10,7.93,8.04,124500,7.37
2014-06-04,7.81,8.05,7.76,8.00,176600,7.34
2014-06-03,7.85,7.85,7.65,7.76,144600,7.12
2014-06-02,7.84,7.88,7.70,7.74,179900,7.10
2014-05-30,7.62,7.79,7.62,7.71,108000,7.07
2014-05-29,7.80,7.80,7.61,7.62,129100,6.99
2014-05-28,7.96,7.96,7.77,7.80,126000,7.15
2014-05-27,8.10,8.10,7.92,7.95,221200,7.23
2014-05-23,8.10,8.10,7.98,8.00,209300,7.27
2014-05-22,7.90,8.00,7.84,7.99,133900,7.26
2014-05-21,7.72,7.94,7.72,7.84,132300,7.13
2014-05-20,7.80,8.00,7.65,7.69,221700,6.99
2014-05-19,7.67,7.72,7.58,7.61,143400,6.92
