Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,133.45,134.83,132.32,132.40,1074900,132.12
2014-12-30,135.74,136.12,132.24,133.40,1608900,133.12
2014-12-29,137.61,138.27,135.67,136.51,1162100,136.22
2014-12-26,137.70,138.84,137.36,137.43,744500,137.14
2014-12-24,136.88,138.54,136.55,137.65,528400,137.36
2014-12-23,135.19,137.99,134.40,136.55,1640900,136.26
2014-12-22,137.64,140.64,137.56,139.78,1010300,139.49
2014-12-19,137.78,138.63,136.24,137.17,1891400,136.88
2014-12-18,138.03,138.98,135.90,137.61,1204300,137.32
2014-12-17,135.12,137.08,133.35,136.65,1225800,136.36
2014-12-16,134.35,138.90,133.87,135.10,1626400,134.82
2014-12-15,136.56,136.70,133.88,134.45,987800,134.17
2014-12-12,138.39,140.26,136.26,136.28,1245300,135.99
2014-12-11,138.27,141.34,137.66,139.69,1428200,139.40
2014-12-10,133.09,141.69,133.02,138.24,3328300,137.95
2014-12-09,130.26,133.66,129.36,132.99,1642800,132.71
2014-12-08,133.76,134.47,130.33,131.70,1795300,131.42
2014-12-05,134.07,136.45,133.91,134.21,1254700,133.93
2014-12-04,136.17,136.25,133.65,134.38,1682000,134.10
2014-12-03,137.73,138.24,135.16,135.91,1450200,135.62
2014-12-02,139.21,140.25,135.57,137.84,1955700,137.55
2014-12-01,141.39,142.75,138.41,139.01,1457500,138.72
2014-11-28,142.76,143.50,141.51,142.14,740800,141.84
2014-11-26,140.87,144.25,140.66,142.05,1333400,141.75
2014-11-25,138.19,141.92,138.16,139.93,2149900,139.64
2014-11-24,140.28,140.58,137.52,138.39,2155300,138.10
2014-11-21,144.47,144.47,137.53,140.37,4382400,140.07
2014-11-20,150.40,150.57,139.50,142.50,10185300,142.20
2014-11-19,157.21,157.74,153.50,153.95,2671300,153.63
2014-11-18,154.82,158.87,154.74,157.10,1302900,156.77
2014-11-17,154.20,155.23,152.89,154.50,1232600,154.18
2014-11-14,155.00,156.92,153.92,154.27,1639600,153.95
2014-11-13,153.44,154.24,151.67,153.91,1439700,153.59
2014-11-12,153.80,154.94,151.27,152.73,1283300,152.41
2014-11-11,155.58,156.24,153.51,154.69,806600,154.36
2014-11-10,153.48,156.51,152.22,155.37,1263600,155.04
2014-11-07,153.55,153.85,150.72,152.90,972700,152.58
2014-11-06,150.25,153.61,150.22,153.06,1198100,152.74
2014-11-05,153.73,153.90,149.75,150.46,1860000,150.14
2014-11-04,151.86,152.94,151.00,152.11,1352300,151.79
2014-11-03,152.15,153.30,151.33,151.90,1532400,151.58
2014-10-31,152.73,155.09,151.14,151.75,2166600,151.43
2014-10-30,147.18,150.62,146.44,149.98,1061700,149.66
2014-10-29,146.68,147.90,146.13,147.87,889600,147.56
2014-10-28,143.51,148.11,143.31,146.66,1924800,146.35
2014-10-27,145.14,145.73,142.55,143.28,1142300,142.98
2014-10-24,143.98,145.54,143.43,145.24,1367100,144.93
2014-10-23,146.01,146.64,142.94,144.00,1409800,143.70
2014-10-22,145.29,147.85,144.02,145.12,1589500,144.81
2014-10-21,142.99,145.11,141.88,144.64,1340100,144.34
2014-10-20,137.62,143.90,136.00,143.03,1872100,142.73
2014-10-17,138.82,139.43,135.36,137.71,1530900,137.42
2014-10-16,137.14,139.48,135.90,137.98,1771400,137.69
2014-10-15,137.02,140.71,136.75,139.61,1658400,139.32
2014-10-14,139.62,141.23,137.60,138.65,1679200,138.36
2014-10-13,140.10,141.70,137.85,138.42,1355500,138.13
2014-10-10,143.25,143.79,138.40,140.16,1730900,139.87
2014-10-09,143.46,145.23,143.00,143.17,2194300,142.87
2014-10-08,139.37,143.66,138.32,143.58,2304000,143.28
2014-10-07,136.62,140.52,135.62,139.75,4632400,139.46
2014-10-06,133.08,133.53,131.57,133.25,1065600,132.97
2014-10-03,131.09,133.28,130.49,133.02,942600,132.74
2014-10-02,128.01,130.28,127.84,130.05,1116200,129.78
2014-10-01,130.12,130.34,127.51,128.30,1515100,128.03
2014-09-30,130.68,132.66,129.42,130.13,1178500,129.61
2014-09-29,129.76,131.00,128.29,130.40,1770100,129.88
2014-09-26,128.61,130.87,128.61,130.63,710100,130.10
2014-09-25,132.08,132.47,127.61,128.92,1826900,128.40
2014-09-24,132.10,132.54,131.32,132.21,887100,131.68
2014-09-23,131.97,132.99,131.20,131.64,923400,131.11
2014-09-22,134.80,135.00,131.95,132.19,966400,131.66
2014-09-19,138.23,138.84,134.80,134.96,3418700,134.42
2014-09-18,136.13,137.57,134.70,137.48,1125100,136.93
2014-09-17,134.25,135.82,132.42,135.39,1368700,134.85
