Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.02,7.49,7.00,7.00,17200,7.00
2014-12-30,7.30,7.31,7.01,7.01,400,7.01
2014-12-29,7.35,7.69,7.01,7.19,41100,7.19
2014-12-26,7.50,7.55,7.28,7.39,13800,7.39
2014-12-24,7.51,7.75,7.01,7.42,17000,7.42
2014-12-23,7.90,7.91,7.49,7.53,12000,7.53
2014-12-22,7.50,7.66,7.42,7.54,16200,7.54
2014-12-19,7.53,8.00,7.48,7.53,15600,7.53
2014-12-18,7.36,7.55,7.34,7.55,24600,7.55
2014-12-17,7.20,7.54,7.20,7.33,8800,7.33
2014-12-16,7.88,7.88,7.21,7.21,27700,7.21
2014-12-15,8.39,8.39,7.85,7.85,7700,7.85
2014-12-12,8.40,8.48,8.08,8.31,11500,8.31
2014-12-11,8.50,8.61,8.40,8.41,9400,8.41
2014-12-10,8.85,8.85,8.50,8.50,8600,8.50
2014-12-09,8.68,8.72,8.61,8.72,8700,8.72
2014-12-08,8.80,8.84,8.70,8.72,9600,8.72
2014-12-05,8.91,8.91,8.83,8.85,3500,8.85
2014-12-04,8.82,9.00,8.81,8.87,10300,8.87
2014-12-03,8.97,9.10,8.97,9.00,4400,9.00
2014-12-02,8.98,9.25,8.96,9.00,52500,9.00
2014-12-01,9.02,9.05,8.80,9.00,44900,9.00
2014-11-28,9.03,9.08,8.98,9.07,19700,9.07
2014-11-26,8.95,9.05,8.88,9.00,11600,9.00
2014-11-25,8.98,9.10,8.93,9.09,25000,9.09
2014-11-24,9.00,9.05,8.88,9.02,22700,9.02
2014-11-21,9.01,9.10,8.99,9.05,20900,9.05
2014-11-20,8.98,9.10,8.89,9.05,12300,9.05
2014-11-19,8.88,9.24,8.78,8.95,12100,8.95
2014-11-18,8.90,9.10,8.78,8.93,24700,8.93
2014-11-17,9.00,9.00,8.86,8.86,10400,8.86
2014-11-14,8.80,9.05,8.74,8.90,10800,8.90
2014-11-13,8.91,9.05,8.89,8.94,14900,8.94
2014-11-12,9.00,9.04,8.65,9.00,52700,9.00
2014-11-11,8.88,8.88,8.69,8.72,16700,8.72
2014-11-10,8.87,8.99,8.74,8.85,13800,8.85
2014-11-07,8.56,8.75,8.56,8.68,9500,8.68
2014-11-06,8.94,8.98,8.78,8.84,16000,8.84
2014-11-05,8.99,9.16,8.76,9.01,15600,9.01
2014-11-04,8.70,9.02,8.53,8.95,13300,8.95
2014-11-03,8.54,8.87,8.54,8.75,5600,8.75
2014-10-31,9.05,9.08,8.27,8.78,17200,8.78
2014-10-30,8.77,9.05,8.72,9.00,25900,9.00
2014-10-29,9.12,9.12,8.69,9.00,8500,9.00
2014-10-28,8.60,9.21,8.48,9.21,17900,9.21
2014-10-27,8.80,9.02,8.45,8.87,13600,8.87
2014-10-24,8.40,9.04,8.40,8.84,6200,8.84
2014-10-23,8.25,9.11,8.25,8.79,24200,8.79
2014-10-22,8.68,9.24,8.33,8.60,32900,8.60
2014-10-21,8.34,9.21,8.34,9.02,22400,9.02
2014-10-20,8.75,8.93,8.28,8.74,7200,8.74
2014-10-17,9.03,9.17,8.50,8.75,9500,8.75
2014-10-16,8.70,8.98,8.05,8.88,12500,8.88
2014-10-15,8.39,9.02,7.75,8.80,12100,8.80
2014-10-14,8.71,9.13,8.52,8.61,12800,8.61
2014-10-13,7.62,8.77,7.19,8.61,13700,8.61
2014-10-10,7.96,8.21,7.00,8.12,11000,8.12
2014-10-09,8.71,8.85,8.00,8.00,14000,8.00
2014-10-08,8.36,8.79,8.08,8.50,18000,8.50
2014-10-07,8.69,8.79,8.14,8.21,22700,8.21
2014-10-06,8.69,9.24,8.51,8.83,13300,8.83
2014-10-03,9.04,9.44,8.50,8.67,9500,8.67
2014-10-02,9.44,9.44,8.90,8.90,14200,8.90
2014-10-01,9.17,9.32,8.95,9.07,33600,9.07
