Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.66,14.18,13.58,13.61,170500,13.61
2014-12-30,13.42,13.64,13.07,13.63,7500,13.63
2014-12-29,13.66,13.85,13.42,13.71,94100,13.71
2014-12-26,13.76,13.85,13.61,13.70,39200,13.70
2014-12-24,13.66,13.77,13.44,13.67,47700,13.67
2014-12-23,13.98,13.98,13.41,13.61,86600,13.61
2014-12-22,13.57,13.85,13.44,13.81,80600,13.81
2014-12-19,13.37,13.71,13.15,13.57,370100,13.57
2014-12-18,13.29,13.48,12.96,13.40,102600,13.40
2014-12-17,12.13,13.01,12.13,12.99,131800,12.99
2014-12-16,12.34,12.67,12.12,12.13,192900,12.13
2014-12-15,13.24,13.41,12.38,12.38,222500,12.38
2014-12-12,13.19,13.55,13.05,13.16,200300,13.16
2014-12-11,13.29,13.62,13.24,13.38,197100,13.38
2014-12-10,13.13,13.73,12.94,13.21,220800,13.21
2014-12-09,12.75,13.33,12.75,13.16,194700,13.16
2014-12-08,12.90,13.36,12.83,12.92,111500,12.92
2014-12-05,12.40,13.14,12.39,12.98,123400,12.98
2014-12-04,12.43,12.50,11.95,12.36,163000,12.36
2014-12-03,11.85,12.68,11.62,12.41,259700,12.41
2014-12-02,11.18,11.60,11.18,11.55,120100,11.55
2014-12-01,11.37,11.45,11.02,11.08,145700,11.08
2014-11-28,11.64,11.87,11.29,11.36,95700,11.36
2014-11-26,11.07,11.61,11.04,11.59,133300,11.59
2014-11-25,10.62,11.06,10.58,10.99,1014800,10.99
2014-11-24,10.65,10.75,10.37,10.58,254000,10.58
2014-11-21,11.07,11.07,10.57,10.60,100300,10.60
2014-11-20,10.81,10.95,10.71,10.86,67500,10.86
2014-11-19,11.33,11.36,10.87,10.90,91500,10.90
2014-11-18,11.20,11.62,11.18,11.38,246300,11.38
2014-11-17,11.14,11.42,10.94,11.16,280700,11.16
2014-11-14,11.35,11.35,10.93,11.19,217700,11.19
2014-11-13,11.53,11.62,11.27,11.30,82200,11.30
2014-11-12,11.63,11.68,11.39,11.48,175100,11.48
2014-11-11,11.49,11.77,11.43,11.72,111100,11.72
2014-11-10,11.35,11.60,11.21,11.59,191800,11.59
2014-11-07,11.45,11.59,11.07,11.33,193500,11.33
2014-11-06,11.30,11.47,11.16,11.43,135000,11.43
2014-11-05,11.00,11.31,10.95,11.27,153400,11.27
2014-11-04,10.97,11.22,10.87,10.99,92200,10.99
2014-11-03,11.41,11.57,11.05,11.07,229200,11.07
2014-10-31,11.35,11.57,10.71,11.40,641700,11.40
2014-10-30,9.89,10.40,9.89,10.29,196900,10.29
2014-10-29,10.06,10.21,9.86,10.00,225900,10.00
2014-10-28,9.46,10.00,9.43,10.00,265100,10.00
2014-10-27,9.54,9.60,9.34,9.42,99700,9.42
2014-10-24,9.55,9.72,9.36,9.66,226700,9.66
2014-10-23,9.22,9.88,9.09,9.52,114700,9.52
2014-10-22,9.06,9.14,8.95,9.14,148800,9.14
2014-10-21,8.75,9.05,8.72,9.02,66100,9.02
2014-10-20,8.85,9.20,8.62,8.67,302100,8.67
2014-10-17,9.53,9.53,8.97,9.00,113600,9.00
2014-10-16,9.17,9.75,8.90,9.39,220100,9.39
2014-10-15,9.00,9.36,8.97,9.36,171800,9.36
2014-10-14,8.92,9.45,8.82,9.08,145400,9.08
2014-10-13,9.07,9.34,8.72,8.78,178100,8.78
2014-10-10,9.07,9.45,9.04,9.08,106700,9.08
2014-10-09,9.47,9.57,9.00,9.15,78400,9.15
2014-10-08,9.08,9.50,8.98,9.47,153200,9.47
2014-10-07,9.10,9.27,9.04,9.12,105700,9.12
2014-10-06,9.41,9.42,9.08,9.21,93200,9.21
2014-10-03,9.33,9.57,9.18,9.41,68200,9.41
2014-10-02,9.02,9.27,8.91,9.22,118900,9.22
2014-10-01,8.97,9.08,8.71,8.99,189300,8.99
2014-09-30,9.05,9.16,8.94,8.97,234400,8.97
2014-09-29,8.92,9.11,8.92,9.08,150100,9.08
2014-09-26,8.88,9.07,8.87,9.05,173500,9.05
2014-09-25,9.20,9.20,8.64,8.85,182800,8.85
2014-09-24,9.18,9.23,9.02,9.20,112500,9.20
2014-09-23,9.31,9.38,9.15,9.15,188800,9.15
2014-09-22,9.77,9.77,9.28,9.36,183900,9.36
2014-09-19,10.03,10.08,9.73,9.84,211300,9.84
2014-09-18,9.96,10.13,9.96,9.99,129000,9.99
2014-09-17,9.70,10.08,9.70,9.89,189600,9.89
2014-09-16,9.60,9.72,9.30,9.64,1152000,9.64
2014-09-15,9.95,9.95,9.63,9.67,184400,9.67
2014-09-12,10.14,10.14,9.83,9.96,165000,9.96
2014-09-11,10.09,10.25,9.82,10.11,315000,10.11
2014-09-10,10.16,10.24,10.10,10.20,61100,10.20
2014-09-09,10.27,10.39,10.03,10.10,86700,10.10
2014-09-08,10.11,10.36,10.04,10.28,84300,10.28
2014-09-05,10.14,10.14,9.87,10.11,103300,10.11
2014-09-04,10.53,10.58,10.18,10.19,72400,10.19
2014-09-03,10.81,10.95,10.48,10.52,140500,10.52
2014-09-02,10.75,10.95,10.66,10.77,119800,10.77
2014-08-29,10.68,10.79,10.63,10.75,157500,10.75
2014-08-28,10.60,10.79,10.55,10.66,71100,10.66
2014-08-27,10.82,10.86,10.55,10.68,133300,10.68
2014-08-26,10.69,10.98,10.55,10.80,234900,10.80
2014-08-25,10.68,10.86,10.63,10.68,219600,10.68
2014-08-22,10.72,10.94,10.53,10.62,91400,10.62
2014-08-21,10.76,10.85,10.50,10.76,63100,10.76
2014-08-20,10.84,10.87,10.56,10.78,73000,10.78
2014-08-19,11.02,11.02,10.81,10.92,106200,10.92
2014-08-18,10.95,11.05,10.75,10.97,76100,10.97
2014-08-15,11.15,11.15,10.59,10.80,185100,10.80
2014-08-14,10.99,11.23,10.88,11.03,145300,11.03
2014-08-13,11.12,11.16,10.90,11.02,116100,11.02
2014-08-12,11.75,11.75,10.88,11.04,127000,11.04
2014-08-11,11.27,11.40,11.10,11.21,177200,11.21
2014-08-08,11.17,11.41,11.13,11.18,122200,11.18
2014-08-07,11.63,11.64,11.06,11.12,102100,11.12
2014-08-06,11.14,11.67,11.05,11.61,114300,11.61
2014-08-05,11.09,11.38,11.04,11.29,144700,11.29
2014-08-04,11.03,11.25,10.76,11.17,137000,11.17
2014-08-01,10.74,11.04,10.65,11.02,159100,11.02
2014-07-31,10.85,11.07,10.66,10.70,144900,10.70
2014-07-30,10.73,11.04,10.69,11.04,93300,11.04
2014-07-29,10.70,10.98,10.56,10.64,272300,10.64
2014-07-28,10.66,10.66,10.28,10.56,155700,10.56
2014-07-25,10.81,11.00,10.63,10.67,153900,10.67
2014-07-24,10.96,11.11,10.81,10.93,108400,10.93
2014-07-23,11.00,11.13,10.92,10.96,78900,10.96
2014-07-22,11.08,11.22,10.87,10.99,116700,10.99
2014-07-21,10.90,11.08,10.85,11.02,135200,11.02
2014-07-18,10.81,11.14,10.81,11.00,165100,11.00
2014-07-17,11.06,11.25,10.80,10.83,136100,10.83
2014-07-16,11.50,11.50,11.07,11.20,122000,11.20
2014-07-15,11.69,11.72,11.38,11.40,131900,11.40
2014-07-14,11.82,11.82,11.66,11.72,144600,11.72
2014-07-11,11.69,11.83,11.53,11.60,266100,11.60
2014-07-10,11.46,11.86,11.35,11.74,141700,11.74
2014-07-09,11.83,11.89,11.50,11.81,186500,11.81
2014-07-08,12.40,12.45,11.59,11.75,304200,11.75
2014-07-07,13.30,13.30,12.45,12.50,200800,12.50
2014-07-03,13.64,13.64,13.24,13.40,73800,13.40
2014-07-02,13.55,13.83,13.43,13.59,132100,13.59
2014-07-01,13.63,13.87,13.49,13.59,173600,13.59
2014-06-30,13.32,13.63,13.21,13.53,122000,13.53
2014-06-27,12.88,13.40,12.88,13.30,809500,13.30
2014-06-26,13.00,13.00,12.76,13.00,104300,13.00
2014-06-25,12.80,13.07,12.52,12.97,251300,12.97
2014-06-24,13.45,13.60,12.72,12.86,261100,12.86
2014-06-23,13.48,13.54,13.23,13.54,153700,13.54
2014-06-20,13.35,13.53,13.30,13.48,222700,13.48
2014-06-19,13.33,13.40,12.67,13.27,84400,13.27
2014-06-18,12.80,13.39,12.80,13.32,164800,13.32
2014-06-17,12.67,12.92,12.38,12.91,137600,12.91
2014-06-16,12.00,12.80,12.00,12.73,184500,12.73
2014-06-13,12.06,12.09,11.92,11.99,129900,11.99
2014-06-12,11.96,12.20,11.82,12.00,101400,12.00
2014-06-11,11.59,12.21,11.49,12.05,236300,12.05
2014-06-10,11.51,11.75,11.43,11.68,148900,11.68
2014-06-09,11.09,11.60,11.09,11.50,243400,11.50
2014-06-06,10.90,11.20,10.90,11.14,136800,11.14
2014-06-05,10.58,10.90,10.47,10.81,224300,10.81
2014-06-04,10.57,10.67,10.47,10.51,173100,10.51
2014-06-03,10.60,10.81,10.44,10.65,256600,10.65
2014-06-02,11.00,11.06,10.55,10.63,197200,10.63
2014-05-30,11.18,11.25,10.92,11.01,370300,11.01
2014-05-29,10.98,11.25,10.90,11.23,111000,11.23
2014-05-28,10.78,11.12,10.55,10.89,170600,10.89
2014-05-27,9.91,11.07,9.82,10.73,380900,10.73
2014-05-23,9.85,9.99,9.71,9.83,87300,9.83
2014-05-22,9.24,9.89,9.06,9.83,274000,9.83
2014-05-21,8.83,9.44,8.48,9.26,348600,9.26
2014-05-20,9.02,9.02,8.74,8.79,146200,8.79
2014-05-19,8.89,9.15,8.78,9.02,120700,9.02
2014-05-16,8.81,8.91,8.65,8.89,135800,8.89
2014-05-15,8.85,8.96,8.65,8.78,132000,8.78
2014-05-14,9.40,9.43,8.89,8.93,107900,8.93
2014-05-13,9.35,9.55,9.35,9.43,177200,9.43
2014-05-12,9.09,9.40,8.97,9.34,149500,9.34
2014-05-09,8.84,9.16,8.75,9.08,79000,9.08
2014-05-08,9.08,9.38,8.87,8.90,132500,8.90
2014-05-07,10.18,10.18,8.78,9.15,187300,9.15
2014-05-06,8.80,9.00,8.61,8.77,236900,8.77
2014-05-05,9.19,9.19,8.67,8.80,281000,8.80
2014-05-02,9.16,9.41,9.16,9.30,297400,9.30
2014-05-01,8.91,9.18,8.65,9.15,236800,9.15
2014-04-30,8.73,9.01,8.69,8.95,182200,8.95
2014-04-29,8.75,8.85,8.70,8.76,157900,8.76
2014-04-28,9.03,9.34,8.48,8.71,260800,8.71
2014-04-25,8.96,9.02,8.88,8.98,172200,8.98
2014-04-24,9.17,9.21,8.96,9.03,262400,9.03
2014-04-23,9.35,9.53,9.03,9.06,156600,9.06
2014-04-22,9.53,9.64,9.34,9.38,112600,9.38
2014-04-21,9.41,9.56,9.39,9.51,79100,9.51
2014-04-17,9.36,9.54,9.32,9.43,113800,9.43
2014-04-16,9.38,9.44,9.26,9.42,126900,9.42
2014-04-15,9.53,9.61,9.21,9.29,436100,9.29
2014-04-14,9.59,9.68,9.41,9.55,229500,9.55
2014-04-11,9.58,9.63,9.35,9.47,294500,9.47
2014-04-10,9.91,9.99,9.59,9.68,280200,9.68
2014-04-09,9.83,10.00,9.71,9.94,163900,9.94
2014-04-08,9.62,9.88,9.56,9.75,214000,9.75
2014-04-07,10.23,10.23,9.35,9.63,463900,9.63
2014-04-04,10.49,10.63,10.22,10.31,485200,10.31
2014-04-03,10.63,10.75,10.38,10.43,339500,10.43
2014-04-02,10.46,10.65,10.46,10.62,207400,10.62
2014-04-01,9.98,10.49,9.96,10.42,297300,10.42
2014-03-31,9.82,9.96,9.55,9.94,217900,9.94
2014-03-28,9.32,10.00,9.32,9.73,371300,9.73
2014-03-27,9.64,9.72,9.28,9.31,235800,9.31
