Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.91,25.27,24.38,24.78,1248600,24.78
2014-12-30,25.22,25.72,24.75,25.02,1610300,25.02
2014-12-29,25.69,26.28,24.96,25.23,1216900,25.23
2014-12-26,25.45,25.90,25.16,25.80,620800,25.80
2014-12-24,25.13,25.68,24.76,25.45,558200,25.45
2014-12-23,25.03,25.34,24.74,25.29,640800,25.29
2014-12-22,24.98,25.16,24.17,24.73,1091800,24.73
2014-12-19,23.39,25.41,23.29,25.32,2601400,25.32
2014-12-18,23.78,24.63,22.57,23.27,1664100,23.27
2014-12-17,21.42,23.84,21.26,23.32,2112500,23.32
2014-12-16,21.23,22.76,21.19,21.37,1298600,21.37
2014-12-15,21.66,22.34,21.31,21.39,1712500,21.39
2014-12-12,21.62,22.43,21.35,21.54,1203700,21.54
2014-12-11,22.15,22.94,21.93,21.96,1285800,21.96
2014-12-10,24.08,24.28,21.76,22.15,2131000,22.15
2014-12-09,23.73,24.59,23.29,24.52,1634900,24.52
2014-12-08,26.03,26.20,23.57,23.86,1658100,23.86
2014-12-05,26.63,27.00,25.73,26.21,1472500,26.21
2014-12-04,28.06,28.06,26.32,26.60,1424200,26.60
2014-12-03,27.38,28.86,27.30,28.53,1618300,28.53
2014-12-02,27.95,28.55,27.09,27.25,1926400,27.25
2014-12-01,30.00,30.28,27.66,27.88,3035600,27.88
2014-11-28,32.71,32.71,29.05,30.01,1227900,30.01
2014-11-26,33.75,33.81,32.94,33.39,568900,33.39
2014-11-25,35.12,35.31,33.55,33.78,963800,33.78
2014-11-24,34.97,35.17,34.23,34.99,691300,34.91
2014-11-21,35.67,36.30,33.35,34.86,2266300,34.78
2014-11-20,34.07,35.17,33.82,35.06,744300,34.98
2014-11-19,35.28,35.37,34.13,34.15,1122500,34.07
2014-11-18,34.08,35.43,33.98,35.18,1426100,35.10
2014-11-17,33.20,34.45,32.72,33.98,1134200,33.90
2014-11-14,33.07,33.78,32.85,33.35,1037300,33.27
2014-11-13,33.45,34.30,32.56,33.01,1121400,32.93
2014-11-12,34.15,34.31,33.23,33.61,1161600,33.53
2014-11-11,34.34,34.74,33.76,34.27,769700,34.19
2014-11-10,35.20,35.68,33.88,34.28,1232100,34.20
2014-11-07,34.25,35.23,34.25,35.03,1279200,34.95
2014-11-06,34.51,34.98,33.46,34.26,1076000,34.18
2014-11-05,33.87,35.07,33.48,34.64,1477200,34.56
2014-11-04,34.32,34.60,32.66,33.62,1099200,33.54
2014-11-03,34.36,35.60,33.76,34.58,1407900,34.50
2014-10-31,34.24,34.51,33.21,34.20,1828200,34.12
2014-10-30,34.48,34.66,32.68,34.00,1732100,33.92
2014-10-29,32.99,36.16,32.99,34.49,2390300,34.41
2014-10-28,31.18,32.50,31.03,32.21,1300800,32.14
2014-10-27,31.18,31.18,29.48,30.91,1201400,30.84
2014-10-24,32.08,32.09,31.07,31.42,719600,31.35
2014-10-23,32.10,32.73,31.52,32.12,1062800,32.05
2014-10-22,32.17,33.36,31.56,31.57,1330900,31.50
2014-10-21,31.47,32.69,31.33,31.91,1510100,31.84
2014-10-20,30.25,31.47,30.25,31.11,1252700,31.04
2014-10-17,30.93,31.51,29.50,29.98,1331000,29.91
2014-10-16,27.93,30.81,27.56,30.25,1494500,30.18
2014-10-15,26.77,29.27,25.92,28.82,2728300,28.75
2014-10-14,28.75,29.27,26.99,27.29,2343000,27.23
2014-10-13,30.07,30.74,28.42,28.56,1795500,28.49
2014-10-10,30.86,31.37,29.18,30.11,1791200,30.04
2014-10-09,32.47,32.73,30.59,31.02,1511600,30.95
2014-10-08,32.36,32.75,30.65,32.47,2204000,32.40
2014-10-07,32.44,33.14,32.26,32.49,1407500,32.42
2014-10-06,34.33,34.43,32.19,32.65,1619700,32.58
2014-10-03,33.60,34.38,32.87,34.27,1720800,34.19
2014-10-02,35.08,35.18,32.17,33.25,3763500,33.17
2014-10-01,37.47,37.77,34.92,35.30,2914800,35.22
2014-09-30,38.68,38.85,37.04,37.39,1982500,37.30
2014-09-29,38.20,39.26,38.04,38.69,1434900,38.60
2014-09-26,37.21,38.67,37.05,38.57,1204500,38.48
2014-09-25,37.27,37.75,36.59,37.10,1393200,37.02
2014-09-24,36.03,37.77,35.34,37.57,2003300,37.48
2014-09-23,36.16,37.34,35.76,35.89,1355600,35.81
2014-09-22,36.55,37.40,36.05,36.13,1554800,36.05
2014-09-19,38.18,38.33,36.42,36.95,3031600,36.87
2014-09-18,39.66,39.80,37.65,38.04,1853200,37.95
2014-09-17,41.58,42.39,39.29,39.38,1619100,39.29
2014-09-16,39.55,41.84,39.35,41.61,1721100,41.51
2014-09-15,41.18,41.44,39.78,39.83,1420000,39.74
2014-09-12,42.56,43.12,40.99,41.18,1450100,41.09
2014-09-11,44.18,44.55,40.93,42.54,3086200,42.44
2014-09-10,44.67,45.37,44.36,44.79,835300,44.69
2014-09-09,44.85,45.16,44.23,44.45,826400,44.35
2014-09-08,44.75,45.35,44.45,44.72,644700,44.62
2014-09-05,44.85,45.23,44.07,44.74,1006600,44.64
2014-09-04,45.82,46.28,44.91,45.08,1104800,44.98
2014-09-03,44.71,45.79,44.50,45.75,1227700,45.65
2014-09-02,45.04,45.10,44.26,44.68,719900,44.58
2014-08-29,44.82,45.45,44.48,44.69,551400,44.59
2014-08-28,44.54,44.76,43.77,44.71,677500,44.61
2014-08-27,43.91,45.70,43.68,44.60,1297100,44.50
2014-08-26,44.69,44.93,43.76,43.81,895000,43.71
2014-08-25,44.70,44.89,44.02,44.65,607600,44.47
