Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.60,8.75,8.60,8.63,164100,8.63
2014-12-30,8.69,8.70,8.56,8.62,2300,8.62
2014-12-29,8.91,8.91,8.67,8.71,238400,8.71
2014-12-26,8.75,8.93,8.72,8.91,122000,8.91
2014-12-24,8.74,8.84,8.62,8.76,74200,8.76
2014-12-23,8.57,8.71,8.52,8.69,207700,8.69
2014-12-22,8.61,8.65,8.43,8.61,140600,8.61
2014-12-19,8.67,8.69,8.46,8.63,174600,8.63
2014-12-18,8.39,8.68,8.37,8.67,216500,8.67
2014-12-17,8.24,8.49,8.22,8.36,162600,8.36
2014-12-16,8.39,8.55,8.22,8.26,154500,8.26
2014-12-15,8.76,8.82,8.35,8.47,191300,8.47
2014-12-12,8.78,8.90,8.68,8.71,77000,8.71
2014-12-11,8.82,8.96,8.64,8.86,63900,8.86
2014-12-10,8.91,9.06,8.63,8.77,134100,8.77
2014-12-09,8.96,9.00,8.66,9.00,172400,9.00
2014-12-08,9.41,9.42,8.83,8.97,314000,8.97
2014-12-05,9.58,9.63,9.39,9.40,147400,9.40
2014-12-04,9.64,9.64,9.46,9.58,95900,9.58
2014-12-03,9.40,9.70,9.39,9.61,158900,9.61
2014-12-02,9.50,9.66,9.37,9.45,137200,9.45
2014-12-01,9.82,9.85,9.48,9.49,136400,9.49
2014-11-28,9.88,9.90,9.81,9.84,41300,9.84
2014-11-26,9.75,9.88,9.75,9.88,78000,9.88
2014-11-25,9.81,9.87,9.75,9.80,63800,9.80
2014-11-24,9.76,9.82,9.75,9.82,80900,9.82
2014-11-21,9.88,9.97,9.75,9.79,95700,9.79
2014-11-20,9.78,9.92,9.75,9.82,91000,9.82
2014-11-19,9.82,9.93,9.78,9.86,98800,9.86
2014-11-18,10.10,10.15,9.83,9.87,177100,9.87
2014-11-17,9.83,10.20,9.77,10.13,325900,10.13
2014-11-14,9.79,9.79,9.62,9.75,173600,9.75
2014-11-13,9.82,9.85,9.64,9.71,97600,9.71
2014-11-12,9.74,9.84,9.60,9.77,275600,9.77
2014-11-11,9.60,9.73,9.56,9.73,171500,9.73
2014-11-10,9.91,9.93,9.56,9.70,140600,9.70
2014-11-07,9.85,9.85,9.60,9.85,133100,9.85
2014-11-06,9.81,9.81,9.54,9.75,88300,9.75
2014-11-05,9.84,9.84,9.66,9.76,53100,9.76
2014-11-04,9.78,9.78,9.51,9.72,98400,9.72
2014-11-03,9.77,9.80,9.63,9.73,121100,9.73
2014-10-31,9.82,9.82,9.51,9.71,146300,9.71
2014-10-30,9.47,9.72,9.32,9.57,203800,9.57
2014-10-29,9.78,9.83,9.40,9.54,211000,9.54
2014-10-28,9.98,9.98,9.56,9.83,310700,9.83
2014-10-27,10.26,10.27,10.00,10.12,91400,10.12
2014-10-24,10.15,10.27,10.04,10.23,70700,10.23
2014-10-23,10.10,10.39,10.10,10.19,100300,10.19
2014-10-22,10.14,10.19,10.05,10.08,67000,10.08
