Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,28.63,28.86,28.47,28.57,2243000,28.50
2014-12-30,28.48,28.73,28.36,28.50,2281000,28.43
2014-12-29,28.32,28.77,28.26,28.66,1951500,28.59
2014-12-26,28.33,28.61,28.33,28.39,1196000,28.32
2014-12-24,28.35,28.42,28.07,28.22,1136900,28.15
2014-12-23,28.25,28.77,28.10,28.27,3318900,28.20
2014-12-22,28.24,28.36,28.07,28.10,2753200,28.03
2014-12-19,27.87,28.32,27.69,28.08,7215300,28.01
2014-12-18,27.59,27.80,27.36,27.76,3835000,27.69
2014-12-17,26.75,27.32,26.52,27.23,2941300,27.16
2014-12-16,26.40,27.20,26.26,26.51,3560300,26.44
2014-12-15,26.65,26.90,26.40,26.60,5336100,26.53
2014-12-12,26.81,27.10,26.44,26.49,2504400,26.42
2014-12-11,27.20,27.50,27.00,27.10,4366700,27.03
2014-12-10,26.91,27.38,26.86,26.93,2940400,26.86
2014-12-09,26.55,27.15,26.09,27.11,2427700,27.04
2014-12-08,27.43,27.45,26.69,26.83,3193200,26.76
2014-12-05,27.23,27.74,27.23,27.58,2471000,27.51
2014-12-04,27.22,27.57,27.10,27.35,2150800,27.28
2014-12-03,27.28,27.89,27.22,27.47,3758300,27.40
2014-12-02,26.90,27.82,26.80,27.24,4323000,27.17
2014-12-01,27.21,27.53,26.72,26.91,4213300,26.84
2014-11-28,27.07,27.55,27.03,27.41,2875700,27.34
2014-11-26,26.59,26.94,26.54,26.87,3546000,26.80
2014-11-25,27.13,27.40,26.43,26.66,6022300,26.59
2014-11-24,26.54,26.87,26.35,26.54,3283700,26.47
2014-11-21,26.50,26.74,26.31,26.48,3098000,26.41
2014-11-20,25.66,26.24,25.65,26.20,2526800,26.13
2014-11-19,25.94,26.03,25.54,25.98,3658700,25.91
2014-11-18,25.30,25.94,25.30,25.73,3373400,25.67
2014-11-17,25.59,25.98,25.32,25.34,3816000,25.28
2014-11-14,25.18,25.64,25.14,25.62,2742100,25.56
2014-11-13,25.18,25.50,25.12,25.43,3536100,25.37
2014-11-12,25.18,25.34,25.03,25.12,3037000,25.06
2014-11-11,25.32,25.54,25.12,25.27,2501300,25.21
2014-11-10,25.25,25.37,24.93,25.33,3186400,25.27
2014-11-07,25.10,25.44,25.01,25.15,4269300,25.09
2014-11-06,24.54,25.35,24.50,25.15,6928500,25.09
2014-11-05,24.25,24.77,24.10,24.43,4811400,24.37
2014-11-04,24.35,24.48,23.77,23.98,4933100,23.92
2014-11-03,24.28,24.80,24.25,24.51,5139000,24.45
2014-10-31,24.00,24.33,23.77,24.23,6606500,24.17
2014-10-30,23.01,23.82,22.86,23.54,5445600,23.48
2014-10-29,23.37,24.05,22.57,23.03,14080200,22.97
2014-10-28,20.80,22.03,20.58,21.91,12463400,21.80
2014-10-27,20.68,20.80,20.23,20.61,2994900,20.50
2014-10-24,21.04,21.07,20.66,20.81,2714400,20.70
2014-10-23,20.97,21.17,20.51,20.97,4210200,20.86
2014-10-22,21.12,21.42,20.76,20.78,6914700,20.67
2014-10-21,20.46,21.23,20.46,21.02,3779000,20.91
2014-10-20,20.12,20.67,20.12,20.41,3812100,20.30
2014-10-17,20.28,20.75,20.09,20.21,4839500,20.10
2014-10-16,19.41,20.40,19.38,19.98,6257800,19.88
2014-10-15,19.83,19.98,18.87,19.89,7839300,19.79
2014-10-14,19.62,20.16,19.62,20.04,6882300,19.94
2014-10-13,20.22,20.57,19.58,19.63,6665300,19.53
2014-10-10,20.87,21.00,20.06,20.17,6328600,20.06
2014-10-09,21.87,21.89,20.86,20.92,8311700,20.81
2014-10-08,21.78,22.06,21.24,21.95,5099800,21.84
2014-10-07,22.14,22.23,21.68,21.85,5468900,21.74
2014-10-06,22.50,22.79,22.24,22.27,3048100,22.15
2014-10-03,22.49,22.60,22.20,22.34,3943500,22.22
2014-10-02,22.04,22.57,21.72,22.34,4624500,22.22
2014-10-01,22.48,22.58,21.96,22.11,4888500,21.99
2014-09-30,22.91,22.95,22.32,22.59,3903400,22.47
2014-09-29,22.98,23.22,22.81,22.95,2677400,22.83
2014-09-26,23.20,23.43,23.02,23.25,2423000,23.13
2014-09-25,23.32,23.43,22.93,23.20,2947000,23.08
2014-09-24,23.53,23.61,23.06,23.39,5089800,23.27
2014-09-23,23.90,23.92,23.40,23.61,3521800,23.49
2014-09-22,23.90,24.05,23.68,24.04,3763300,23.91
