Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.64,6.99,6.64,6.96,151900,6.96
2014-12-30,6.41,6.63,6.41,6.59,1100,6.59
2014-12-29,6.13,6.26,6.13,6.21,28300,6.21
2014-12-26,6.20,6.24,6.02,6.20,14000,6.20
2014-12-24,6.20,6.20,6.11,6.13,8400,6.13
2014-12-23,6.32,6.32,6.04,6.20,21700,6.20
2014-12-22,6.19,6.49,6.16,6.28,50700,6.28
2014-12-19,6.06,6.41,5.92,6.15,94100,6.15
2014-12-18,6.00,6.34,5.83,6.02,109600,6.02
2014-12-17,6.39,6.51,5.97,6.00,188000,6.00
2014-12-16,6.50,6.50,6.22,6.34,40700,6.34
2014-12-15,6.47,6.71,6.42,6.58,46300,6.58
2014-12-12,6.60,6.68,6.27,6.49,101700,6.49
2014-12-11,6.60,6.70,6.54,6.63,73000,6.63
2014-12-10,6.85,6.85,6.50,6.60,102100,6.60
2014-12-09,6.39,6.68,5.50,6.68,238600,6.68
2014-12-08,7.00,7.45,6.79,6.81,88600,6.81
2014-12-05,7.75,7.75,7.02,7.17,197600,7.17
2014-12-04,6.90,7.74,6.75,7.74,597700,7.74
2014-12-03,6.29,6.76,6.18,6.75,258200,6.75
2014-12-02,5.92,6.25,5.90,6.25,192600,6.25
2014-12-01,5.84,5.92,5.82,5.91,31600,5.91
2014-11-28,5.91,5.95,5.82,5.85,16300,5.85
2014-11-26,5.89,5.90,5.84,5.89,16400,5.89
2014-11-25,5.89,5.91,5.85,5.88,12500,5.88
2014-11-24,5.81,5.93,5.72,5.85,23700,5.85
2014-11-21,5.93,5.93,5.56,5.73,75400,5.73
2014-11-20,6.00,6.20,5.81,5.82,149500,5.82
2014-11-19,6.12,6.20,5.95,6.05,60800,6.05
2014-11-18,5.80,6.19,5.80,6.08,213900,6.08
2014-11-17,5.91,5.99,5.81,5.86,35100,5.86
2014-11-14,5.56,5.95,5.56,5.95,127600,5.95
2014-11-13,5.67,5.68,5.53,5.59,11900,5.59
2014-11-12,5.68,5.68,5.50,5.62,29400,5.62
2014-11-11,5.67,5.69,5.50,5.68,16100,5.68
2014-11-10,5.62,5.65,5.54,5.60,24100,5.60
2014-11-07,5.45,5.62,5.40,5.56,30900,5.56
2014-11-06,5.55,5.65,5.37,5.48,55200,5.48
2014-11-05,5.75,5.75,5.55,5.57,48100,5.57
2014-11-04,5.50,5.80,5.47,5.72,129900,5.72
2014-11-03,5.40,5.61,5.32,5.50,70800,5.50
2014-10-31,5.48,5.50,5.25,5.32,29600,5.32
2014-10-30,5.40,5.49,5.39,5.40,100400,5.40
2014-10-29,5.63,5.75,5.42,5.44,44900,5.44
2014-10-28,5.65,5.80,5.50,5.65,95800,5.65
2014-10-27,5.45,5.65,5.36,5.59,72200,5.59
2014-10-24,5.55,5.55,5.39,5.48,57400,5.48
2014-10-23,5.55,5.55,5.40,5.48,34900,5.48
