Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.68,0.73,0.65,0.73,440300,0.73
2014-12-30,0.73,0.73,0.70,0.70,15800,0.70
2014-12-29,0.77,0.77,0.71,0.75,295900,0.75
2014-12-26,0.79,0.82,0.76,0.79,227900,0.79
2014-12-24,0.81,0.82,0.76,0.77,125400,0.77
2014-12-23,0.90,0.90,0.81,0.82,163700,0.82
2014-12-22,0.86,0.93,0.82,0.89,142400,0.89
2014-12-19,0.97,0.97,0.82,0.89,480100,0.89
2014-12-18,0.98,0.98,0.90,0.97,407700,0.97
2014-12-17,0.88,0.94,0.88,0.94,430400,0.94
2014-12-16,0.80,0.89,0.79,0.88,899100,0.88
2014-12-15,0.80,0.81,0.71,0.77,548300,0.77
2014-12-12,0.65,0.72,0.62,0.71,387200,0.71
2014-12-11,0.59,0.65,0.59,0.64,159700,0.64
2014-12-10,0.60,0.65,0.59,0.59,294000,0.59
2014-12-09,0.62,0.63,0.58,0.62,102700,0.62
2014-12-08,0.62,0.63,0.58,0.62,305400,0.62
2014-12-05,0.62,0.63,0.58,0.60,128900,0.60
2014-12-04,0.58,0.62,0.58,0.59,187600,0.59
2014-12-03,0.62,0.63,0.58,0.60,103000,0.60
2014-12-02,0.59,0.63,0.58,0.60,286100,0.60
2014-12-01,0.64,0.65,0.60,0.61,115400,0.61
2014-11-28,0.59,0.65,0.59,0.64,70000,0.64
2014-11-26,0.65,0.65,0.58,0.62,280500,0.62
2014-11-25,0.60,0.62,0.57,0.61,192600,0.61
2014-11-24,0.60,0.62,0.57,0.57,222900,0.57
2014-11-21,0.54,0.58,0.54,0.56,121800,0.56
2014-11-20,0.59,0.59,0.54,0.55,154600,0.55
2014-11-19,0.55,0.60,0.55,0.57,154000,0.57
2014-11-18,0.60,0.60,0.54,0.58,247500,0.58
2014-11-17,0.55,0.60,0.55,0.59,340200,0.59
2014-11-14,0.53,0.55,0.51,0.55,20300,0.55
2014-11-13,0.59,0.60,0.51,0.54,153100,0.54
2014-11-12,0.54,0.56,0.52,0.54,176900,0.54
2014-11-11,0.56,0.58,0.52,0.54,67200,0.54
2014-11-10,0.52,0.60,0.52,0.56,114600,0.56
2014-11-07,0.57,0.57,0.52,0.57,45800,0.57
2014-11-06,0.57,0.58,0.53,0.54,48100,0.54
2014-11-05,0.57,0.64,0.51,0.57,42700,0.57
2014-11-04,0.60,0.60,0.50,0.59,146200,0.59
2014-11-03,0.59,0.59,0.50,0.58,159800,0.58
2014-10-31,0.60,0.63,0.56,0.56,93500,0.56
2014-10-30,0.63,0.63,0.56,0.61,105900,0.61
2014-10-29,0.60,0.63,0.59,0.61,67100,0.61
2014-10-28,0.60,0.66,0.60,0.60,89500,0.60
2014-10-27,0.62,0.63,0.60,0.60,121300,0.60
2014-10-24,0.63,0.68,0.62,0.62,65500,0.62
2014-10-23,0.63,0.70,0.60,0.64,98100,0.64
2014-10-22,0.62,0.69,0.61,0.62,94300,0.62
2014-10-21,0.70,0.75,0.61,0.62,453400,0.62
2014-10-20,0.62,0.74,0.56,0.70,395000,0.70
2014-10-17,0.60,0.63,0.57,0.59,251200,0.59
2014-10-16,0.50,0.57,0.49,0.56,175300,0.56
2014-10-15,0.45,0.50,0.45,0.48,138200,0.48
2014-10-14,0.42,0.49,0.41,0.45,658500,0.45
2014-10-13,0.43,0.43,0.42,0.42,223400,0.42
2014-10-10,0.52,0.53,0.43,0.43,630600,0.43
2014-10-09,0.66,0.66,0.50,0.55,542700,0.55
2014-10-08,0.67,0.68,0.66,0.66,98700,0.66
2014-10-07,0.68,0.70,0.67,0.68,70500,0.68
2014-10-06,0.72,0.75,0.67,0.70,157300,0.70
2014-10-03,0.71,0.75,0.71,0.72,41700,0.72
2014-10-02,0.75,0.75,0.71,0.71,24200,0.71
2014-10-01,0.74,0.75,0.73,0.73,71900,0.73
2014-09-30,0.73,0.75,0.70,0.74,77700,0.74
2014-09-29,0.73,0.75,0.70,0.73,85700,0.73
2014-09-26,0.74,0.79,0.73,0.73,77600,0.73
2014-09-25,0.76,0.79,0.73,0.75,87200,0.75
2014-09-24,0.78,0.79,0.75,0.78,99700,0.78
2014-09-23,0.69,0.79,0.69,0.76,295200,0.76
2014-09-22,0.71,0.75,0.70,0.71,95800,0.71
2014-09-19,0.75,0.75,0.71,0.74,196700,0.74
2014-09-18,0.71,0.75,0.71,0.74,203100,0.74
2014-09-17,0.76,0.80,0.73,0.74,535700,0.74
2014-09-16,0.83,0.86,0.78,0.79,146500,0.79
2014-09-15,0.87,0.88,0.82,0.83,96800,0.83
