Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.95,7.26,6.95,7.25,72100,7.25
2014-12-30,6.73,7.01,6.73,6.97,1500,6.97
2014-12-29,6.77,6.78,6.65,6.75,66600,6.75
2014-12-26,7.05,7.05,6.76,6.79,38800,6.79
2014-12-24,6.81,7.09,6.80,7.00,39100,7.00
2014-12-23,6.58,6.87,6.47,6.79,86300,6.79
2014-12-22,6.27,6.57,6.27,6.52,109300,6.52
2014-12-19,6.24,6.32,6.20,6.29,200200,6.29
2014-12-18,6.39,6.58,6.18,6.26,162000,6.26
2014-12-17,6.06,6.37,6.04,6.36,111400,6.36
2014-12-16,5.90,6.10,5.90,6.07,72500,6.07
2014-12-15,6.13,6.18,5.82,5.94,58000,5.94
2014-12-12,6.05,6.24,5.95,6.09,37400,6.09
2014-12-11,6.27,6.45,6.09,6.15,73400,6.15
2014-12-10,6.18,6.26,6.06,6.20,136000,6.20
2014-12-09,5.80,6.25,5.80,6.23,78600,6.23
2014-12-08,5.93,5.97,5.84,5.89,76800,5.89
2014-12-05,5.80,6.00,5.80,5.97,63800,5.97
2014-12-04,6.01,6.04,5.77,5.79,46400,5.79
2014-12-03,5.83,6.11,5.79,6.03,76600,6.03
2014-12-02,5.70,5.90,5.50,5.85,55300,5.85
2014-12-01,5.83,5.88,5.67,5.68,85300,5.68
2014-11-28,5.90,6.03,5.77,5.83,76300,5.83
2014-11-26,5.86,6.03,5.71,5.86,70500,5.86
2014-11-25,6.09,6.14,5.83,5.88,145100,5.88
2014-11-24,5.78,6.16,5.75,6.05,209200,6.05
2014-11-21,5.71,5.83,5.69,5.81,213300,5.81
2014-11-20,5.55,5.68,5.51,5.61,74900,5.61
2014-11-19,5.59,5.65,5.46,5.61,120100,5.61
2014-11-18,5.60,5.69,5.56,5.60,57700,5.60
2014-11-17,5.62,5.78,5.60,5.62,55100,5.62
2014-11-14,5.67,5.76,5.34,5.64,159400,5.64
2014-11-13,5.76,5.85,5.66,5.67,35400,5.67
2014-11-12,5.60,5.81,5.60,5.76,87400,5.76
2014-11-11,5.61,5.75,5.58,5.66,69600,5.66
2014-11-10,5.59,5.85,5.50,5.77,252400,5.77
2014-11-07,5.51,6.18,5.33,6.03,768600,6.03
2014-11-06,6.61,6.75,6.45,6.68,63200,6.68
