Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,22.07,22.23,21.76,21.81,94500,21.81
2014-12-30,21.96,22.23,21.94,21.99,49200,21.99
2014-12-29,21.67,22.18,21.64,21.98,73400,21.98
2014-12-26,21.80,21.99,21.65,21.80,38500,21.73
2014-12-24,21.76,21.98,21.58,21.70,24300,21.63
2014-12-23,21.72,21.94,21.50,21.77,90800,21.70
2014-12-22,21.40,21.85,21.39,21.67,92500,21.60
2014-12-19,21.54,21.54,21.25,21.46,413500,21.39
2014-12-18,21.51,21.70,21.33,21.59,106700,21.52
2014-12-17,20.64,21.35,20.34,21.31,126600,21.24
2014-12-16,20.63,20.91,20.49,20.60,177200,20.53
2014-12-15,21.15,21.31,20.63,20.63,126000,20.56
2014-12-12,21.02,21.51,21.01,21.10,94200,21.03
2014-12-11,21.23,21.65,21.17,21.28,101400,21.21
2014-12-10,21.76,21.93,21.11,21.14,122500,21.07
2014-12-09,21.37,21.99,21.28,21.86,214300,21.79
2014-12-08,21.39,21.83,21.14,21.24,145500,21.17
2014-12-05,20.74,21.61,20.74,21.48,196400,21.41
2014-12-04,20.68,21.01,20.51,20.77,135500,20.70
2014-12-03,20.10,20.81,19.94,20.76,138900,20.69
2014-12-02,19.50,20.29,19.50,20.15,113200,20.09
2014-12-01,20.00,20.00,19.40,19.45,239600,19.39
2014-11-28,20.75,20.91,20.04,20.10,84000,20.04
2014-11-26,20.60,20.72,20.47,20.69,141500,20.62
2014-11-25,20.68,20.77,20.45,20.65,67200,20.58
2014-11-24,20.33,20.70,20.33,20.68,64700,20.61
2014-11-21,20.90,20.91,20.23,20.31,176700,20.24
2014-11-20,20.47,20.78,20.19,20.66,138200,20.59
2014-11-19,20.82,20.91,20.16,20.29,88700,20.22
2014-11-18,21.00,21.20,20.65,20.76,182800,20.69
2014-11-17,21.46,21.68,20.99,21.00,73100,20.93
2014-11-14,21.67,21.70,21.42,21.56,133800,21.49
2014-11-13,22.31,23.58,21.67,21.72,120700,21.65
2014-11-12,21.60,22.36,21.47,22.33,181100,22.26
2014-11-11,22.04,22.05,21.57,21.63,138400,21.56
2014-11-10,21.86,22.14,21.60,21.97,163000,21.90
2014-11-07,21.79,22.13,21.23,22.00,167300,21.93
2014-11-06,21.46,21.75,21.37,21.67,100700,21.60
2014-11-05,21.44,21.59,21.26,21.47,64700,21.40
2014-11-04,21.16,21.39,21.01,21.34,127600,21.27
2014-11-03,21.41,21.69,21.12,21.32,100100,21.25
2014-10-31,21.18,21.59,20.69,21.45,182300,21.38
2014-10-30,20.80,21.17,20.65,20.88,94700,20.81
2014-10-29,20.68,21.07,20.23,20.94,103100,20.87
2014-10-28,19.85,20.70,19.85,20.63,220000,20.56
2014-10-27,19.62,19.80,19.52,19.74,143400,19.68
2014-10-24,19.90,20.00,19.63,19.79,67500,19.73
2014-10-23,20.01,20.10,19.77,19.84,142700,19.78
2014-10-22,20.32,20.32,19.73,19.75,89100,19.69
2014-10-21,20.10,20.50,20.04,20.21,133400,20.15
2014-10-20,19.77,20.13,19.68,19.93,50100,19.87
2014-10-17,20.54,20.54,19.77,19.88,171300,19.82
2014-10-16,19.72,20.33,19.72,20.23,143200,20.17
2014-10-15,20.38,20.53,19.55,19.90,244100,19.84
2014-10-14,20.10,20.63,19.89,20.54,190700,20.47
2014-10-13,19.54,20.25,19.33,20.10,169800,20.04
2014-10-10,19.42,19.99,19.35,19.54,217000,19.48
2014-10-09,20.20,20.20,19.41,19.42,188200,19.36
2014-10-08,19.80,20.28,19.72,20.20,216400,20.14
2014-10-07,19.75,19.96,19.60,19.78,176900,19.72
2014-10-06,20.16,20.39,19.80,19.87,98500,19.81
2014-10-03,20.19,20.33,19.96,20.14,87300,20.08
2014-10-02,19.88,20.10,19.56,19.96,75800,19.90
2014-10-01,20.20,20.40,19.65,19.80,174200,19.74
2014-09-30,20.34,20.44,20.03,20.16,264500,20.10
2014-09-29,20.06,20.33,20.06,20.32,193300,20.25
2014-09-26,20.21,20.31,20.01,20.27,187700,20.20
2014-09-25,20.17,20.32,19.95,20.21,200700,20.15
2014-09-24,20.15,20.32,20.03,20.26,118400,20.19
2014-09-23,20.21,20.41,20.04,20.19,229900,20.06
2014-09-22,20.27,20.54,20.13,20.15,107000,20.02
2014-09-19,20.59,21.00,20.30,20.34,920200,20.20
2014-09-18,20.26,21.08,20.26,20.56,129800,20.42
2014-09-17,20.11,20.42,20.04,20.23,110900,20.10
2014-09-16,20.26,20.40,19.97,20.13,161400,20.00
2014-09-15,20.59,20.59,20.28,20.36,138700,20.22
2014-09-12,20.61,20.91,20.46,20.70,124900,20.56
2014-09-11,20.20,20.69,20.20,20.56,113800,20.42
2014-09-10,20.19,20.39,20.17,20.36,78400,20.22
2014-09-09,20.45,20.45,20.06,20.14,169900,20.01
2014-09-08,20.38,20.56,20.19,20.49,130400,20.35
2014-09-05,20.30,20.42,20.16,20.39,171600,20.25
2014-09-04,20.60,20.77,20.39,20.46,116900,20.32
2014-09-03,20.77,20.83,20.48,20.64,164000,20.50
2014-09-02,20.53,20.80,20.38,20.75,109200,20.61
2014-08-29,20.74,20.74,20.46,20.55,170200,20.41
2014-08-28,21.24,21.24,20.68,20.72,107100,20.58
2014-08-27,21.35,21.44,21.15,21.33,122500,21.19
2014-08-26,21.16,21.48,21.16,21.30,92700,21.16
2014-08-25,21.21,21.28,21.05,21.19,86200,21.05
2014-08-22,20.98,21.23,20.85,21.15,54900,21.01
2014-08-21,20.48,21.00,20.29,20.94,56300,20.80
2014-08-20,20.45,20.59,20.30,20.46,73400,20.32
2014-08-19,20.66,20.67,20.48,20.53,55800,20.39
2014-08-18,20.57,20.74,20.31,20.67,73900,20.53
2014-08-15,20.86,20.99,20.05,20.34,175500,20.20
2014-08-14,20.75,20.93,20.62,20.67,106700,20.53
2014-08-13,20.50,20.94,20.41,20.77,132200,20.63
2014-08-12,20.63,20.65,20.32,20.48,137600,20.34
2014-08-11,20.59,20.80,20.40,20.50,51800,20.36
2014-08-08,20.40,20.64,20.39,20.51,104400,20.37
2014-08-07,20.59,20.62,20.34,20.41,74800,20.27
2014-08-06,20.15,20.67,20.05,20.57,77000,20.43
2014-08-05,20.22,20.58,20.07,20.21,106500,20.08
2014-08-04,20.64,20.77,20.18,20.33,138400,20.19
2014-08-01,21.12,21.13,20.60,20.64,132500,20.50
2014-07-31,21.38,21.46,20.97,21.12,166200,20.98
2014-07-30,21.38,21.76,21.34,21.63,115500,21.49
2014-07-29,21.12,21.45,21.05,21.26,62800,21.12
2014-07-28,21.14,21.36,20.81,20.97,126700,20.83
2014-07-25,20.81,21.12,20.81,20.97,77400,20.83
