Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.17,12.43,11.98,12.09,23100,12.09
2014-12-30,12.27,12.27,12.18,12.18,1500,12.18
2014-12-29,11.83,12.00,11.83,12.00,26000,12.00
2014-12-26,11.63,11.79,11.60,11.77,8700,11.77
2014-12-24,11.78,11.78,11.50,11.58,6000,11.58
2014-12-23,11.47,11.59,11.01,11.50,15100,11.50
2014-12-22,11.51,11.59,11.21,11.45,27900,11.45
2014-12-19,11.40,11.69,11.31,11.47,59000,11.47
2014-12-18,11.76,11.89,11.33,11.44,31900,11.44
2014-12-17,11.20,11.59,11.04,11.56,35200,11.56
2014-12-16,11.28,11.68,11.12,11.24,50400,11.24
2014-12-15,11.72,11.72,11.28,11.40,27000,11.40
2014-12-12,11.63,11.85,11.40,11.67,96100,11.67
2014-12-11,11.72,11.89,11.53,11.84,27700,11.84
2014-12-10,12.00,12.00,11.59,11.62,20800,11.62
2014-12-09,11.69,12.00,11.69,11.98,29300,11.98
2014-12-08,11.96,12.00,11.33,11.89,42100,11.89
2014-12-05,11.75,11.99,11.75,11.95,20100,11.95
2014-12-04,11.49,11.85,11.49,11.75,19600,11.75
2014-12-03,11.26,12.00,10.91,11.77,59000,11.77
2014-12-02,11.08,11.55,11.08,11.55,14900,11.55
2014-12-01,11.79,11.81,10.93,11.10,53000,11.10
2014-11-28,12.09,12.09,11.75,11.79,19300,11.79
2014-11-26,11.96,12.00,11.25,11.99,8500,11.99
2014-11-25,11.89,12.05,11.75,11.88,22500,11.88
2014-11-24,11.73,12.00,11.30,11.92,37300,11.92
2014-11-21,11.74,11.96,11.47,11.76,19800,11.76
2014-11-20,11.43,12.00,11.17,11.51,19300,11.51
2014-11-19,12.00,12.04,11.45,11.47,33800,11.47
2014-11-18,11.93,12.12,11.90,12.05,23100,12.05
2014-11-17,11.45,11.97,11.45,11.87,43800,11.87
2014-11-14,11.48,11.59,11.38,11.39,22900,11.39
2014-11-13,11.15,11.50,11.15,11.45,25200,11.45
2014-11-12,11.53,11.53,10.73,11.16,24200,11.16
2014-11-11,11.38,11.46,11.16,11.26,19700,11.26
2014-11-10,11.70,11.70,10.81,11.37,36900,11.37
2014-11-07,11.82,11.82,11.00,11.70,21200,11.70
2014-11-06,11.68,11.86,11.51,11.75,26200,11.75
2014-11-05,11.94,11.94,11.34,11.70,32300,11.70
2014-11-04,11.68,11.94,11.48,11.92,20300,11.92
2014-11-03,11.66,11.94,11.55,11.66,60000,11.66
2014-10-31,11.00,11.68,10.81,11.66,36800,11.66
2014-10-30,10.90,11.00,10.88,11.00,47800,11.00
2014-10-29,10.93,10.93,10.71,10.90,20700,10.90
2014-10-28,10.33,10.94,10.33,10.92,21900,10.92
2014-10-27,10.07,10.41,9.96,10.31,42800,10.31
2014-10-24,10.17,10.25,10.03,10.16,22200,10.16
2014-10-23,10.56,10.67,10.07,10.20,36800,10.20
2014-10-22,10.52,10.62,10.40,10.43,18800,10.43
2014-10-21,10.82,10.82,10.47,10.52,19100,10.52
2014-10-20,10.94,11.00,10.72,10.78,36500,10.78
2014-10-17,10.57,11.07,10.30,10.94,71800,10.94
2014-10-16,10.12,10.55,10.12,10.51,21800,10.51
2014-10-15,10.33,10.55,10.17,10.27,47000,10.27
2014-10-14,10.65,10.75,10.44,10.47,39900,10.47
2014-10-13,10.75,10.87,10.47,10.60,41500,10.60
2014-10-10,10.20,10.90,10.20,10.65,38700,10.65
2014-10-09,10.45,10.69,10.17,10.27,25300,10.27
2014-10-08,10.09,10.62,10.04,10.56,24300,10.56
2014-10-07,10.21,10.31,10.10,10.16,16800,10.16
2014-10-06,10.53,10.54,10.30,10.32,24000,10.32
2014-10-03,10.76,10.87,10.54,10.58,15300,10.58
2014-10-02,10.31,10.64,10.30,10.64,30100,10.64
2014-10-01,10.31,10.31,10.15,10.19,28400,10.19
2014-09-30,10.32,10.51,10.31,10.31,43400,10.31
2014-09-29,10.23,10.43,10.20,10.36,12100,10.36
2014-09-26,10.18,10.44,10.15,10.38,20300,10.38
2014-09-25,10.57,10.60,10.15,10.16,41300,10.16
2014-09-24,10.31,10.64,10.19,10.62,23800,10.62
2014-09-23,10.22,10.44,10.12,10.29,29300,10.29
2014-09-22,10.51,10.51,10.19,10.22,63700,10.22
