Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,11.93,12.13,11.85,11.92,51100,11.92
2014-12-30,11.96,12.00,11.72,12.00,21000,12.00
2014-12-29,11.95,12.01,11.94,12.01,11500,12.01
2014-12-26,11.84,12.26,11.82,11.98,16300,11.98
2014-12-24,12.06,12.06,11.88,12.00,6200,12.00
2014-12-23,12.10,12.19,11.63,11.99,31500,11.99
2014-12-22,11.67,12.08,11.67,12.07,39900,12.07
2014-12-19,11.55,11.85,11.46,11.65,48400,11.65
2014-12-18,11.44,11.63,11.42,11.56,23000,11.56
2014-12-17,11.44,11.44,11.21,11.28,39000,11.28
2014-12-16,11.46,11.53,11.40,11.46,26200,11.46
2014-12-15,11.49,11.58,11.33,11.55,13000,11.55
2014-12-12,11.47,11.55,11.30,11.49,31900,11.49
2014-12-11,11.63,11.75,11.42,11.45,38300,11.45
2014-12-10,11.88,11.96,11.54,11.54,20000,11.54
2014-12-09,11.72,11.99,11.54,11.84,15600,11.84
2014-12-08,12.20,12.29,11.78,11.90,15700,11.90
2014-12-05,12.26,12.49,12.20,12.31,27600,12.31
2014-12-04,12.58,12.60,12.25,12.32,39900,12.32
2014-12-03,12.59,13.09,12.31,12.44,40500,12.44
2014-12-02,12.24,12.66,12.08,12.59,45300,12.59
2014-12-01,12.11,12.39,12.00,12.26,34300,12.26
2014-11-28,12.11,12.38,11.96,12.25,56300,12.25
2014-11-26,11.80,12.08,11.80,12.02,22100,12.02
2014-11-25,11.32,11.98,11.32,11.76,27700,11.74
2014-11-24,11.20,11.40,11.20,11.25,168000,11.23
2014-11-21,11.34,11.34,11.22,11.25,23700,11.23
2014-11-20,11.23,11.35,11.17,11.25,33800,11.23
2014-11-19,11.34,11.41,11.15,11.26,24500,11.24
2014-11-18,11.35,11.61,11.15,11.28,48400,11.26
2014-11-17,11.09,11.42,11.02,11.36,43600,11.34
2014-11-14,11.36,11.45,11.08,11.09,32600,11.07
2014-11-13,11.35,11.45,11.30,11.38,41900,11.36
2014-11-12,11.32,11.48,11.30,11.35,18700,11.33
2014-11-11,11.55,11.56,11.34,11.44,29300,11.42
2014-11-10,11.47,11.60,11.13,11.50,34700,11.48
2014-11-07,11.10,11.50,10.98,11.43,25200,11.41
2014-11-06,10.81,11.14,10.61,11.14,96900,11.12
2014-11-05,10.97,11.24,10.91,11.24,31000,11.22
2014-11-04,11.31,11.33,10.94,10.98,26900,10.96
2014-11-03,11.23,11.45,11.23,11.30,13100,11.28
2014-10-31,11.46,11.46,11.22,11.22,15000,11.20
