Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,29.67,29.87,29.48,29.49,655700,29.49
2014-12-30,29.97,29.97,29.54,29.58,94000,29.58
2014-12-29,29.90,30.19,29.70,29.97,895400,29.97
2014-12-26,29.80,30.01,29.70,29.94,590200,29.94
2014-12-24,29.73,29.99,29.69,29.72,318000,29.72
2014-12-23,29.71,29.97,29.20,29.71,1292800,29.71
2014-12-22,29.37,29.66,29.18,29.54,1449000,29.54
2014-12-19,28.93,29.56,28.63,29.28,4851100,29.28
2014-12-18,27.94,28.65,27.71,28.64,3063300,28.64
2014-12-17,26.78,27.66,26.78,27.44,2020100,27.44
2014-12-16,27.29,27.72,27.09,27.24,2867300,27.24
2014-12-15,27.55,27.91,27.00,27.44,3426900,27.44
2014-12-12,27.22,27.65,27.04,27.38,2904600,27.38
2014-12-11,27.50,28.04,27.37,27.40,9220800,27.40
2014-12-10,28.29,29.48,28.10,28.23,1707800,28.23
2014-12-09,29.43,29.43,27.85,28.71,2547200,28.71
2014-12-08,30.03,30.35,29.69,29.76,1497500,29.76
2014-12-05,30.21,30.46,29.99,30.18,1583900,30.18
2014-12-04,29.80,30.17,29.69,30.11,2101400,30.11
2014-12-03,29.21,30.00,29.21,29.94,1079100,29.94
2014-12-02,29.05,29.32,28.69,29.23,1471000,29.23
2014-12-01,28.94,29.03,28.20,28.30,1125700,28.30
2014-11-28,29.38,29.38,28.78,29.08,247300,29.08
2014-11-26,29.47,29.53,29.14,29.24,838700,29.24
2014-11-25,29.63,29.75,29.31,29.48,778000,29.48
2014-11-24,29.10,29.67,29.07,29.63,871800,29.63
2014-11-21,29.00,29.20,28.75,29.08,1329700,29.08
2014-11-20,28.24,28.89,27.98,28.49,1717700,28.49
2014-11-19,28.64,29.31,28.33,28.44,2055500,28.44
2014-11-18,28.18,28.96,28.13,28.63,1224200,28.63
2014-11-17,28.01,28.46,27.95,28.20,970300,28.20
2014-11-14,28.23,28.36,27.98,28.05,1033500,28.05
2014-11-13,27.18,28.80,27.18,28.25,1670900,28.25
2014-11-12,28.55,28.95,28.38,28.40,1439500,28.40
2014-11-11,29.05,29.19,28.47,28.67,961200,28.67
2014-11-10,28.98,29.17,28.66,29.06,674200,29.06
2014-11-07,29.35,29.44,28.82,29.01,1257500,29.01
2014-11-06,29.44,29.59,29.01,29.33,872200,29.33
2014-11-05,29.00,29.52,28.74,29.49,1520500,29.49
2014-11-04,28.67,28.85,28.36,28.78,986900,28.78
2014-11-03,28.93,29.01,28.70,28.74,1264000,28.74
2014-10-31,28.25,28.87,28.20,28.84,1221500,28.84
2014-10-30,27.71,28.07,27.47,27.94,1259700,27.94
2014-10-29,28.15,28.29,27.61,27.91,828500,27.91
2014-10-28,27.60,28.11,26.86,28.02,698300,28.02
2014-10-27,27.46,28.09,27.15,27.34,934600,27.34
2014-10-24,27.23,27.76,27.06,27.68,1037200,27.68
2014-10-23,26.92,27.55,26.52,27.22,1634500,27.22
2014-10-22,26.83,27.03,25.49,26.61,1402100,26.61
2014-10-21,25.78,26.76,25.43,26.72,2021200,26.72
2014-10-20,25.28,25.69,25.19,25.54,1083500,25.54
2014-10-17,24.83,25.66,24.75,25.40,2552300,25.40
2014-10-16,23.40,24.71,23.18,24.51,2338500,24.51
2014-10-15,23.41,24.27,22.18,23.91,5375500,23.91
2014-10-14,23.86,24.53,23.34,23.99,4778600,23.99
2014-10-13,25.34,25.37,23.81,23.91,4634700,23.91
2014-10-10,26.40,26.47,25.09,25.23,3159900,25.23
2014-10-09,27.11,27.23,26.31,26.43,1632800,26.43
2014-10-08,27.03,27.26,26.58,27.09,1497900,27.09
2014-10-07,27.10,27.49,26.75,26.98,1104900,26.98
2014-10-06,27.50,27.56,27.06,27.30,526400,27.30
2014-10-03,27.30,27.51,27.14,27.32,1135900,27.32
2014-10-02,26.88,27.40,26.73,27.07,1861700,27.07
2014-10-01,27.37,27.37,26.63,26.97,1546000,26.97
2014-09-30,27.97,27.97,26.97,27.26,1368900,27.26
2014-09-29,27.79,28.07,27.51,27.91,842800,27.91
2014-09-26,28.15,28.40,27.98,28.14,1070100,28.14
2014-09-25,28.74,28.76,28.08,28.08,1025900,28.08
2014-09-24,28.73,28.80,28.35,28.73,692800,28.73
2014-09-23,28.72,28.85,28.35,28.69,965200,28.69
2014-09-22,29.10,29.25,28.69,28.76,1256700,28.76
2014-09-19,29.27,29.58,28.95,29.35,2432100,29.35
2014-09-18,28.50,29.25,28.35,29.18,1952600,29.18
2014-09-17,28.41,28.71,27.97,28.52,1400400,28.52
2014-09-16,28.06,28.57,27.83,28.55,1289000,28.55
2014-09-15,28.25,28.47,28.14,28.21,1552100,28.21
2014-09-12,27.88,28.80,27.79,28.20,6601900,28.20
2014-09-11,27.76,28.36,27.49,27.78,1474800,27.78
2014-09-10,28.50,28.93,27.69,27.83,1129600,27.83
2014-09-09,28.20,28.88,28.06,28.15,3068300,28.15
2014-09-08,27.65,27.95,27.28,27.39,1055900,27.39
2014-09-05,27.15,27.66,27.06,27.62,785000,27.62
2014-09-04,27.27,27.48,27.08,27.10,1075900,27.10
2014-09-03,27.35,27.38,27.06,27.19,859500,27.19
2014-09-02,27.87,27.87,27.01,27.21,1416500,27.21
2014-08-29,27.91,27.94,27.65,27.77,337900,27.77
2014-08-28,27.55,27.84,27.42,27.76,445000,27.76
2014-08-27,27.77,27.89,27.54,27.68,520600,27.68
2014-08-26,27.99,28.24,27.63,27.64,598900,27.64
2014-08-25,28.17,28.29,27.91,27.97,462500,27.97
2014-08-22,27.75,28.23,27.75,28.03,733600,28.03
2014-08-21,27.63,28.16,27.21,27.83,686400,27.83
2014-08-20,27.57,27.74,27.09,27.60,592300,27.60
2014-08-19,27.36,27.67,27.30,27.60,666900,27.60
2014-08-18,26.83,27.35,26.35,27.17,953800,27.17
2014-08-15,27.00,27.00,26.49,26.60,421900,26.60
2014-08-14,26.44,26.90,26.44,26.89,488100,26.89
2014-08-13,26.52,26.68,26.16,26.49,591500,26.49
2014-08-12,25.90,26.67,25.90,26.39,1684500,26.39
2014-08-11,26.16,26.56,25.99,26.45,544800,26.45
2014-08-08,25.85,26.18,25.78,25.94,886600,25.94
2014-08-07,25.74,25.90,25.58,25.79,922800,25.79
2014-08-06,25.45,25.77,25.25,25.59,850800,25.59
2014-08-05,25.52,25.94,25.47,25.58,1083800,25.58
2014-08-04,25.21,25.67,25.21,25.55,858000,25.55
2014-08-01,25.47,25.92,25.19,25.23,984900,25.23
2014-07-31,25.78,25.85,25.16,25.42,1046800,25.42
2014-07-30,26.34,26.34,25.52,25.96,1138100,25.96
2014-07-29,26.41,26.65,26.03,26.19,734100,26.19
