Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.81,13.99,13.70,13.95,111300,13.84
2014-12-30,13.81,14.00,13.81,14.00,1000,13.89
2014-12-29,14.00,14.00,14.00,14.00,500,13.89
2014-12-26,13.87,13.95,13.81,13.95,1000,13.84
2014-12-24,13.83,13.83,13.83,13.83,200,13.72
2014-12-23,14.00,14.00,13.81,13.81,600,13.70
2014-12-22,13.81,13.99,13.81,13.90,3000,13.79
2014-12-19,13.75,13.97,13.73,13.97,129400,13.86
2014-12-18,13.88,13.88,13.75,13.78,2900,13.67
2014-12-17,13.75,13.75,13.75,13.75,000,13.64
2014-12-16,13.75,13.75,13.75,13.75,000,13.64
2014-12-15,13.65,13.75,13.65,13.75,1600,13.64
2014-12-12,13.66,13.66,13.60,13.60,400,13.49
2014-12-11,13.61,13.61,13.61,13.61,200,13.50
2014-12-10,13.66,13.66,13.66,13.66,400,13.55
2014-12-09,13.68,13.75,13.62,13.75,18300,13.64
2014-12-08,13.75,13.75,13.75,13.75,200,13.64
2014-12-05,13.98,13.98,13.65,13.65,800,13.54
2014-12-04,13.75,14.00,13.74,14.00,2500,13.89
2014-12-03,13.69,13.80,13.69,13.78,33400,13.67
2014-12-02,13.74,13.74,13.60,13.69,6400,13.58
2014-12-01,13.76,13.89,13.71,13.89,1800,13.78
2014-11-28,13.85,13.85,13.85,13.85,000,13.74
2014-11-26,13.85,13.85,13.85,13.85,000,13.74
2014-11-25,13.85,13.85,13.85,13.85,300,13.74
2014-11-24,13.90,13.90,13.90,13.90,400,13.79
2014-11-21,13.86,14.00,13.85,14.00,1400,13.89
2014-11-20,13.99,13.99,13.79,13.93,3700,13.82
2014-11-19,13.73,13.95,13.73,13.94,700,13.83
2014-11-18,13.76,13.95,13.70,13.93,3500,13.82
2014-11-17,13.73,13.80,13.73,13.79,1900,13.68
2014-11-14,13.74,13.82,13.70,13.70,2700,13.59
2014-11-13,13.94,13.94,13.83,13.87,1000,13.76
2014-11-12,13.85,13.95,13.79,13.79,2900,13.68
2014-11-11,13.85,13.85,13.83,13.85,1900,13.74
2014-11-10,13.75,13.85,13.71,13.75,2900,13.64
2014-11-07,13.63,13.77,13.60,13.77,3000,13.66
2014-11-06,13.67,13.85,13.67,13.69,2700,13.58
2014-11-05,13.55,13.61,13.50,13.60,7100,13.49
2014-11-04,13.58,13.62,13.58,13.62,3200,13.40
2014-11-03,13.58,13.58,13.50,13.52,1800,13.30
2014-10-31,13.49,13.60,13.45,13.60,5400,13.38
2014-10-30,13.49,13.49,13.44,13.47,700,13.25
2014-10-29,13.58,13.58,13.29,13.49,2200,13.27
2014-10-28,13.30,13.37,13.30,13.37,1700,13.15
2014-10-27,13.26,13.27,13.26,13.27,500,13.06
2014-10-24,13.30,13.30,13.07,13.30,3000,13.09
2014-10-23,13.20,13.40,13.04,13.19,5600,12.98
2014-10-22,13.31,13.51,13.30,13.30,3500,13.09
2014-10-21,13.00,13.62,13.00,13.30,10200,13.09
2014-10-20,12.96,13.31,12.96,13.23,7200,13.02
2014-10-17,13.08,13.42,13.05,13.14,11900,12.93
2014-10-16,13.08,13.21,12.92,12.96,3200,12.75
2014-10-15,13.07,13.19,12.94,12.95,1800,12.74
2014-10-14,13.29,13.29,13.01,13.19,3000,12.98
2014-10-13,13.21,13.41,13.06,13.11,2700,12.90
2014-10-10,13.42,13.50,13.40,13.44,2900,13.22
2014-10-09,13.40,13.58,13.40,13.52,3500,13.30
2014-10-08,13.46,13.50,13.38,13.38,4000,13.16
2014-10-07,13.40,13.42,13.35,13.35,2700,13.14
2014-10-06,13.41,13.49,13.40,13.49,2300,13.27
2014-10-03,13.34,13.66,13.34,13.62,2600,13.40
2014-10-02,13.25,13.45,13.25,13.45,4800,13.23
2014-10-01,13.43,13.50,13.17,13.20,6100,12.99
2014-09-30,13.44,13.44,13.44,13.44,200,13.22
2014-09-29,13.44,13.54,13.44,13.44,2400,13.22
2014-09-26,13.31,13.54,13.31,13.52,5600,13.30
2014-09-25,13.47,13.59,13.32,13.33,4600,13.12
2014-09-24,13.40,13.65,13.40,13.41,2200,13.19
2014-09-23,13.41,13.41,13.33,13.33,4500,13.12
2014-09-22,13.62,13.62,13.40,13.41,8900,13.19
2014-09-19,13.40,13.63,13.40,13.42,8800,13.20
2014-09-18,13.40,13.50,13.40,13.44,3300,13.22
2014-09-17,13.41,13.50,13.37,13.40,2800,13.18
2014-09-16,13.51,13.65,13.32,13.37,7000,13.15
2014-09-15,13.51,13.65,13.51,13.65,900,13.43
2014-09-12,13.60,13.65,13.46,13.65,2800,13.43
2014-09-11,13.51,13.64,13.50,13.61,4500,13.39
2014-09-10,13.60,13.67,13.50,13.67,1900,13.45
2014-09-09,13.51,13.60,13.51,13.60,1400,13.38
2014-09-08,13.55,13.60,13.55,13.60,600,13.38
2014-09-05,13.50,13.58,13.50,13.55,800,13.33
2014-09-04,13.50,13.64,13.50,13.64,2900,13.42
2014-09-03,13.50,13.55,13.50,13.55,2100,13.33
2014-09-02,13.40,13.50,13.40,13.45,4400,13.23
2014-08-29,13.35,13.52,13.35,13.40,6600,13.18
2014-08-28,13.45,13.50,13.45,13.49,400,13.27
2014-08-27,13.45,13.47,13.45,13.47,300,13.25
2014-08-26,13.45,13.46,13.45,13.46,600,13.24
2014-08-25,13.36,13.51,13.35,13.45,3000,13.23
2014-08-22,13.39,13.59,13.35,13.35,800,13.14
2014-08-21,13.50,13.64,13.48,13.64,3400,13.42
2014-08-20,13.45,13.55,13.41,13.45,2200,13.23
2014-08-19,13.35,13.64,13.35,13.50,8700,13.28
2014-08-18,13.64,13.64,13.56,13.63,800,13.41
2014-08-15,13.61,13.69,13.30,13.44,7700,13.22
2014-08-14,13.44,13.70,13.35,13.52,4000,13.30
2014-08-13,13.06,13.68,13.06,13.68,6600,13.46
2014-08-12,13.38,13.69,13.18,13.69,6600,13.47
2014-08-11,13.11,13.70,12.92,13.70,5400,13.48
2014-08-08,13.46,13.64,13.35,13.35,13400,13.14
2014-08-07,13.59,13.69,13.35,13.69,17300,13.47
2014-08-06,13.55,13.70,13.54,13.70,41600,13.48
2014-08-05,13.35,13.57,13.35,13.43,2600,13.10
2014-08-04,13.10,13.60,13.05,13.54,2400,13.21
2014-08-01,13.47,13.70,13.41,13.70,2900,13.37
2014-07-31,13.42,13.60,13.35,13.42,2400,13.09
2014-07-30,13.34,13.44,13.33,13.41,2500,13.08
2014-07-29,13.30,13.47,13.10,13.33,45000,13.01
2014-07-28,13.35,13.73,13.26,13.44,107900,13.11
2014-07-25,13.79,13.92,13.39,13.39,7600,13.06
