Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.08,8.19,8.00,8.06,1564100,8.06
2014-12-30,7.98,8.13,7.97,8.04,115700,8.04
2014-12-29,8.06,8.14,7.86,8.05,1503100,8.05
2014-12-26,8.10,8.22,8.06,8.08,660500,8.08
2014-12-24,7.98,8.23,7.98,8.07,1447800,8.07
2014-12-23,8.12,8.20,8.00,8.01,1272000,8.01
2014-12-22,8.12,8.28,8.06,8.11,1968000,8.11
2014-12-19,7.80,8.16,7.71,8.12,3438500,8.12
2014-12-18,7.81,7.92,7.70,7.75,1846800,7.75
2014-12-17,7.53,7.70,7.30,7.68,2471400,7.68
2014-12-16,7.56,7.69,7.24,7.53,3393400,7.53
2014-12-15,7.99,8.17,7.65,7.73,2282600,7.73
2014-12-12,7.97,8.09,7.75,7.97,2401100,7.97
2014-12-11,8.08,8.17,7.95,7.99,2093400,7.99
2014-12-10,8.31,8.38,8.00,8.03,4966400,8.03
2014-12-09,7.62,8.35,7.48,8.33,6528200,8.33
2014-12-08,8.06,8.14,7.69,7.83,4208000,7.83
2014-12-05,7.42,8.22,7.42,8.18,7315900,8.18
2014-12-04,7.53,7.62,7.30,7.42,3657000,7.42
2014-12-03,7.05,7.75,7.02,7.59,6777400,7.59
2014-12-02,6.80,7.10,6.70,7.03,4986400,7.03
2014-12-01,6.73,6.89,6.67,6.73,2387400,6.73
2014-11-28,6.90,6.92,6.76,6.82,1470400,6.82
2014-11-26,6.82,6.96,6.76,6.90,1711300,6.90
2014-11-25,6.72,6.94,6.66,6.79,2495300,6.79
2014-11-24,6.64,6.75,6.61,6.66,1683400,6.66
2014-11-21,6.72,6.81,6.61,6.67,2902100,6.67
2014-11-20,6.47,6.73,6.47,6.70,2972300,6.70
2014-11-19,6.45,6.65,6.39,6.47,2750400,6.47
2014-11-18,6.70,6.79,6.43,6.44,6713700,6.44
2014-11-17,6.97,7.13,6.86,6.90,3081100,6.90
2014-11-14,6.90,7.18,6.75,7.12,5707800,7.12
2014-11-13,7.10,7.64,6.90,7.10,8381700,7.10
2014-11-12,7.35,7.37,7.08,7.22,8353700,7.22
2014-11-11,7.55,7.64,7.16,7.35,5998200,7.35
2014-11-10,7.84,8.28,7.74,7.76,6936200,7.76
2014-11-07,7.70,7.87,7.65,7.81,1786800,7.81
2014-11-06,7.89,7.94,7.73,7.77,1621100,7.77
2014-11-05,7.90,7.93,7.70,7.90,2599400,7.90
2014-11-04,7.71,7.95,7.70,7.80,2138300,7.80
2014-11-03,7.68,7.90,7.64,7.77,2980000,7.77
2014-10-31,7.60,7.75,7.58,7.62,2863400,7.62
2014-10-30,7.73,7.80,7.53,7.56,2570800,7.56
2014-10-29,7.54,7.80,7.50,7.72,4142000,7.72
2014-10-28,7.52,7.83,7.44,7.52,4960900,7.52
2014-10-27,7.62,7.80,7.58,7.71,3244600,7.71
2014-10-24,7.74,7.91,7.56,7.62,3858400,7.62
2014-10-23,7.54,8.00,7.54,7.83,4812000,7.83
2014-10-22,6.84,7.88,6.75,7.53,14391100,7.53
2014-10-21,8.70,8.95,7.80,8.02,14662500,8.02
2014-10-20,8.58,8.95,8.55,8.71,4123400,8.71
2014-10-17,9.00,9.10,8.54,8.57,3038200,8.57
2014-10-16,8.40,8.93,8.34,8.83,3783900,8.83
2014-10-15,8.05,8.79,7.89,8.73,5941200,8.73
2014-10-14,8.52,8.76,8.32,8.55,3706500,8.55
2014-10-13,9.00,9.10,8.04,8.34,9123300,8.34
2014-10-10,9.28,9.45,8.85,9.09,5445000,9.09
2014-10-09,9.66,9.78,9.41,9.52,3732800,9.52
2014-10-08,9.61,9.78,9.05,9.76,5607400,9.76
2014-10-07,9.22,9.55,8.89,9.42,6105800,9.42
2014-10-06,9.67,9.85,9.14,9.35,6515300,9.35
2014-10-03,9.89,10.20,9.52,9.70,10597300,9.70
2014-10-02,9.60,9.86,9.26,9.79,7436100,9.79
2014-10-01,10.05,10.09,9.49,9.55,8035300,9.55
2014-09-30,10.02,10.45,9.95,10.15,14311100,10.15
2014-09-29,9.41,9.90,9.30,9.82,10245100,9.82
