Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,61.73,61.95,60.66,60.79,486100,60.79
2014-12-30,61.62,62.23,61.51,61.52,521300,61.52
2014-12-29,62.20,62.49,61.86,61.91,880100,61.91
2014-12-26,62.17,62.72,62.17,62.37,246100,62.37
2014-12-24,61.47,62.54,61.19,61.82,489800,61.82
2014-12-23,61.50,62.00,61.14,61.19,1381600,61.19
2014-12-22,61.27,61.73,61.22,61.37,922500,61.37
2014-12-19,61.55,61.66,61.20,61.49,966700,61.49
2014-12-18,61.30,61.93,60.96,61.42,847100,61.42
2014-12-17,60.06,60.96,59.93,60.70,737300,60.70
2014-12-16,60.99,61.46,59.91,60.07,825800,60.07
2014-12-15,62.74,63.64,61.20,61.27,540600,61.27
2014-12-12,62.35,62.92,62.02,62.23,520800,62.23
2014-12-11,63.22,64.10,62.69,62.87,417800,62.87
2014-12-10,64.41,64.63,62.67,62.84,640700,62.84
2014-12-09,63.43,64.69,63.06,64.63,479200,64.63
2014-12-08,65.78,66.00,63.48,64.28,758600,64.28
2014-12-05,65.43,66.34,65.41,65.97,566800,65.97
2014-12-04,65.09,65.80,64.94,65.44,463600,65.44
2014-12-03,64.48,65.08,64.33,64.96,669200,64.96
2014-12-02,64.48,64.66,64.07,64.58,895100,64.58
2014-12-01,65.29,65.40,64.11,64.30,637700,64.30
2014-11-28,65.64,65.69,65.04,65.28,323300,65.28
2014-11-26,65.60,65.94,65.33,65.44,536000,65.44
2014-11-25,66.05,66.09,65.53,65.73,492800,65.73
2014-11-24,65.01,65.99,64.64,65.87,1376900,65.87
2014-11-21,65.47,66.03,64.95,64.99,822900,64.99
2014-11-20,63.82,65.19,63.82,65.08,531400,65.08
2014-11-19,64.58,64.58,63.80,64.18,416100,64.18
2014-11-18,64.80,64.89,64.09,64.56,599700,64.56
2014-11-17,65.60,65.62,64.56,64.87,672200,64.87
2014-11-14,65.04,65.72,64.83,65.56,428000,65.56
2014-11-13,65.75,65.94,64.69,64.81,597500,64.81
2014-11-12,65.26,65.91,64.88,65.42,664100,65.42
2014-11-11,65.80,65.86,65.36,65.75,425400,65.41
2014-11-10,65.63,66.16,65.31,65.91,709900,65.57
2014-11-07,65.75,66.72,65.65,65.70,948600,65.36
2014-11-06,65.94,66.34,65.36,65.86,875400,65.52
2014-11-05,67.82,67.94,65.10,65.81,2958600,65.47
2014-11-04,67.33,68.02,67.04,67.76,973300,67.41
2014-11-03,67.89,68.05,67.42,67.88,971400,67.53
2014-10-31,67.91,68.22,67.20,67.69,1685700,67.34
2014-10-30,65.75,67.82,65.34,66.99,1990900,66.64
2014-10-29,66.00,68.40,65.07,66.11,3419600,65.77
2014-10-28,63.42,65.36,63.15,65.16,1545900,64.82
2014-10-27,62.15,63.04,61.74,62.98,1175600,62.65
2014-10-24,62.18,62.42,61.87,62.26,660800,61.94
2014-10-23,61.50,62.66,61.01,62.28,632000,61.96
2014-10-22,61.44,62.02,60.10,60.65,613400,60.34
2014-10-21,60.00,61.48,60.00,61.21,664700,60.89
2014-10-20,58.97,60.05,58.50,59.72,615500,59.41
2014-10-17,59.02,59.67,58.31,58.97,688500,58.67
2014-10-16,57.59,58.78,56.87,58.48,1030700,58.18
2014-10-15,57.39,59.23,56.50,58.91,1099600,58.61
2014-10-14,58.63,59.94,57.97,58.58,1232300,58.28
2014-10-13,59.93,60.54,58.33,58.49,1144100,58.19
2014-10-10,61.69,62.51,59.94,60.23,1211900,59.92
2014-10-09,63.30,63.30,61.44,61.84,903200,61.52
2014-10-08,61.99,63.51,61.13,63.42,784400,63.09
2014-10-07,62.80,63.19,61.69,61.70,678600,61.38
2014-10-06,63.29,63.91,62.84,62.97,696500,62.64
2014-10-03,63.87,64.31,62.98,63.16,1632300,62.83
2014-10-02,63.86,64.21,62.75,63.38,2144700,63.05
2014-10-01,65.94,65.94,63.54,64.05,1016700,63.72
2014-09-30,66.22,66.52,65.31,65.90,827600,65.56
2014-09-29,65.28,66.16,65.21,65.89,603000,65.55
2014-09-26,65.68,66.05,65.39,65.98,810200,65.64
2014-09-25,66.10,66.30,65.31,65.42,1412400,65.08
2014-09-24,66.50,66.95,65.81,66.16,1151400,65.82
2014-09-23,66.43,67.74,66.43,66.72,744500,66.37
2014-09-22,67.85,68.09,66.47,67.01,609500,66.66
2014-09-19,69.12,69.37,67.66,68.18,998300,67.83
2014-09-18,69.23,69.51,68.56,68.91,513800,68.55
2014-09-17,69.20,69.74,68.80,68.98,614900,68.62
2014-09-16,69.53,69.91,68.86,69.44,809300,69.08
2014-09-15,70.50,70.69,69.22,69.70,765400,69.34
2014-09-12,71.56,71.56,70.37,70.45,696500,70.09
