Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,54.55,55.25,54.16,54.23,132500,54.23
2014-12-30,54.25,54.48,54.20,54.34,1300,54.34
2014-12-29,53.91,54.47,53.17,54.38,115300,54.38
2014-12-26,53.87,54.22,53.38,53.90,63600,53.90
2014-12-24,53.52,54.13,53.15,53.68,48600,53.68
2014-12-23,53.73,53.86,52.87,53.36,124300,53.36
2014-12-22,52.96,53.59,52.72,53.43,101800,53.43
2014-12-19,52.39,53.12,52.21,52.92,260600,52.92
2014-12-18,52.00,52.62,51.45,52.49,239500,52.49
2014-12-17,50.56,51.69,49.89,51.54,139500,51.54
2014-12-16,50.44,51.20,50.06,50.31,133900,50.31
2014-12-15,50.53,50.60,50.15,50.46,137600,50.46
2014-12-12,49.88,50.71,49.88,50.26,187800,50.26
2014-12-11,49.41,50.43,48.87,50.41,209500,50.41
2014-12-10,50.20,50.32,49.12,49.17,139500,49.17
2014-12-09,48.59,50.41,48.17,50.17,172800,50.17
2014-12-08,48.59,49.69,48.48,48.73,78700,48.73
2014-12-05,48.21,49.03,48.21,48.71,103100,48.71
2014-12-04,47.79,48.66,47.78,48.20,87500,48.20
2014-12-03,48.41,48.45,47.72,47.79,173700,47.79
2014-12-02,49.37,49.77,48.02,48.24,219600,48.24
2014-12-01,49.14,49.84,48.79,49.11,99500,49.11
2014-11-28,49.30,49.99,49.12,49.24,81100,49.24
2014-11-26,48.83,49.43,48.63,49.37,88800,49.37
2014-11-25,48.99,49.00,48.19,48.75,114700,48.75
2014-11-24,47.47,48.86,47.47,48.81,100500,48.81
2014-11-21,48.11,48.57,47.05,47.50,119700,47.50
2014-11-20,47.01,47.63,46.67,47.49,87100,47.49
2014-11-19,47.37,47.61,47.12,47.29,139400,47.29
2014-11-18,47.64,48.27,47.45,47.49,134100,47.49
2014-11-17,47.49,48.07,47.47,47.52,171600,47.52
2014-11-14,48.16,48.36,47.52,47.64,165800,47.64
2014-11-13,48.40,48.52,48.05,48.11,126600,48.11
2014-11-12,47.41,48.47,47.36,48.23,145000,48.23
2014-11-11,47.42,47.90,47.11,47.53,106200,47.53
2014-11-10,47.01,47.66,46.85,47.38,125700,47.38
2014-11-07,46.88,47.39,46.55,47.05,387800,47.05
2014-11-06,46.69,47.28,46.66,46.93,259300,46.93
2014-11-05,47.84,48.41,46.62,46.77,170100,46.77
2014-11-04,49.59,49.59,47.02,47.29,419600,47.29
2014-11-03,50.96,51.76,50.82,51.49,244000,51.49
2014-10-31,50.51,51.17,50.18,51.11,214100,51.11
2014-10-30,49.20,50.96,48.98,49.74,341600,49.74
2014-10-29,49.57,50.05,49.25,49.44,194800,49.44
2014-10-28,49.94,49.94,49.42,49.50,252700,49.50
2014-10-27,49.41,49.77,49.00,49.63,112200,49.63
2014-10-24,49.63,49.95,49.50,49.72,131200,49.72
2014-10-23,49.17,49.82,49.02,49.49,112100,49.49
2014-10-22,49.96,50.16,48.78,48.86,255900,48.86
2014-10-21,49.39,49.98,48.58,49.85,118200,49.85
2014-10-20,47.96,49.15,47.96,49.13,121600,49.13
2014-10-17,48.97,48.97,47.52,48.20,169600,48.20
2014-10-16,48.33,49.15,48.14,48.35,104500,48.35
2014-10-15,48.11,49.25,47.39,49.00,162700,49.00
2014-10-14,49.28,49.30,48.40,48.67,144600,48.67
2014-10-13,48.87,49.59,48.76,48.89,103400,48.89
2014-10-10,49.10,49.96,48.58,48.88,121900,48.88
2014-10-09,50.13,50.41,49.29,49.36,87600,49.36
2014-10-08,48.98,50.36,48.59,50.22,97400,50.22
2014-10-07,50.04,50.04,48.87,48.95,127200,48.95
2014-10-06,50.13,50.80,49.87,50.37,184000,50.37
2014-10-03,50.12,50.55,49.68,49.90,94500,49.90
2014-10-02,49.72,50.15,49.38,49.63,99200,49.63
2014-10-01,49.69,50.24,49.10,49.71,232800,49.71
2014-09-30,50.19,50.44,49.64,49.64,139000,49.64
2014-09-29,49.59,50.22,49.10,50.13,73200,50.13
2014-09-26,50.33,50.64,49.47,50.04,180100,50.04
2014-09-25,50.16,50.60,49.48,50.31,171800,50.31
2014-09-24,49.60,50.34,49.36,50.31,111000,50.31
2014-09-23,49.95,49.95,49.53,49.61,113100,49.61
2014-09-22,49.64,50.02,49.13,49.97,152500,49.97
2014-09-19,50.59,50.61,48.78,49.76,359700,49.76
2014-09-18,50.31,50.75,50.31,50.49,97000,50.49
2014-09-17,49.69,50.94,49.48,50.26,197800,50.26
2014-09-16,49.08,49.08,48.26,48.98,158000,48.98
2014-09-15,49.75,49.75,48.88,49.27,127300,49.27
2014-09-12,49.86,49.86,49.17,49.68,123500,49.68
2014-09-11,49.45,49.99,49.37,49.76,70800,49.76
2014-09-10,50.00,50.19,49.38,49.80,129300,49.80
2014-09-09,49.71,50.54,49.38,50.10,187200,50.10
2014-09-08,49.32,49.98,49.32,49.87,111800,49.87
2014-09-05,49.27,49.57,48.98,49.50,58000,49.50
2014-09-04,49.60,50.17,49.44,49.52,95600,49.52
2014-09-03,50.14,50.39,49.38,49.61,128000,49.61
2014-09-02,50.00,50.35,49.57,50.18,95800,50.18
2014-08-29,49.70,50.00,48.35,49.99,91000,49.99
2014-08-28,49.70,49.99,49.44,49.66,82600,49.66
2014-08-27,50.06,50.38,49.84,50.01,123000,50.01
2014-08-26,50.07,50.66,49.76,50.18,172200,50.18
2014-08-25,50.84,51.32,50.01,50.09,140200,50.09
2014-08-22,49.46,51.24,49.19,50.70,376300,50.70
2014-08-21,48.85,49.95,48.75,49.67,233900,49.67
2014-08-20,48.74,48.90,48.27,48.75,150800,48.75
2014-08-19,49.00,49.00,48.40,48.91,148300,48.91
2014-08-18,48.81,48.90,48.45,48.80,103400,48.80
2014-08-15,49.00,49.00,48.02,48.49,223500,48.49
2014-08-14,48.82,48.99,48.39,48.72,107500,48.72
2014-08-13,48.66,48.99,48.35,48.80,123400,48.80
2014-08-12,48.77,49.12,48.23,48.59,147800,48.59
2014-08-11,48.73,49.48,48.37,48.86,127400,48.86
2014-08-08,47.84,48.82,47.56,48.65,198300,48.65
2014-08-07,48.73,48.73,47.66,47.85,201200,47.85
2014-08-06,49.96,50.00,48.52,48.60,315600,48.60
2014-08-05,48.30,50.25,47.91,50.01,176600,50.01
2014-08-04,47.40,48.24,47.10,48.12,177700,48.12
2014-08-01,47.51,47.57,46.94,47.24,127400,47.24
2014-07-31,47.33,47.75,47.07,47.42,154000,47.42
2014-07-30,47.95,47.95,47.50,47.77,94700,47.77
2014-07-29,47.60,47.91,46.67,47.72,80500,47.72
2014-07-28,47.48,47.84,47.11,47.57,91300,47.57
2014-07-25,47.27,47.64,47.17,47.50,102800,47.50
2014-07-24,47.55,47.94,47.24,47.61,124600,47.61
2014-07-23,47.99,47.99,47.30,47.71,95100,47.71
2014-07-22,47.37,47.90,47.05,47.74,131800,47.74
2014-07-21,47.09,47.34,46.85,47.28,166100,47.28
2014-07-18,47.00,47.50,46.95,47.32,162700,47.32
2014-07-17,46.72,47.23,46.57,46.90,252700,46.90
2014-07-16,47.28,47.56,46.75,47.06,143600,47.06
2014-07-15,47.10,47.39,46.83,47.02,221300,47.02
2014-07-14,47.13,47.35,46.64,47.05,315800,47.05
2014-07-11,46.16,46.80,45.95,46.69,171100,46.69
2014-07-10,45.31,46.60,45.07,46.33,167400,46.33
2014-07-09,46.68,46.73,45.90,46.18,129800,46.18
2014-07-08,46.67,46.67,45.98,46.58,205500,46.58
2014-07-07,47.27,47.34,46.44,46.77,160000,46.77
2014-07-03,47.48,47.85,47.35,47.65,59000,47.65
2014-07-02,47.53,47.91,47.03,47.31,78000,47.31
2014-07-01,47.26,47.93,47.03,47.63,218000,47.63
2014-06-30,47.20,47.28,46.63,47.06,128500,47.06
2014-06-27,45.97,47.26,45.97,47.15,407400,47.15
2014-06-26,47.17,47.17,46.41,46.91,88400,46.91
2014-06-25,46.93,47.51,46.78,47.18,78100,47.18
2014-06-24,46.90,47.75,46.90,47.20,99000,47.20
2014-06-23,47.75,47.87,46.89,47.11,97800,47.11
2014-06-20,47.92,48.05,47.30,47.75,313700,47.75
2014-06-19,47.96,47.96,47.08,47.73,145400,47.73
2014-06-18,47.30,47.99,46.91,47.72,126500,47.72
2014-06-17,47.41,47.65,46.99,47.30,236700,47.30
2014-06-16,47.17,47.57,46.83,47.48,194600,47.48
2014-06-13,47.69,47.69,46.80,47.01,138200,47.01
2014-06-12,47.56,48.00,46.72,47.46,169100,47.46
2014-06-11,47.18,47.65,47.05,47.45,92000,47.45
2014-06-10,47.10,47.50,46.46,47.50,102700,47.50
2014-06-09,46.63,47.44,46.25,47.36,107600,47.36
2014-06-06,46.13,46.78,45.63,46.72,156700,46.72
2014-06-05,45.28,46.08,44.85,45.94,64100,45.94
2014-06-04,44.47,45.22,44.18,45.12,123600,45.12
2014-06-03,44.29,45.23,44.22,44.74,139700,44.74
2014-06-02,45.04,45.47,44.11,44.34,62800,44.34
2014-05-30,45.71,45.71,44.89,44.95,64500,44.95
2014-05-29,45.19,45.72,44.80,45.72,92900,45.72
2014-05-28,45.49,45.49,44.82,45.01,64500,45.01
2014-05-27,45.05,45.46,44.50,45.46,62200,45.46
2014-05-23,44.40,44.94,44.12,44.82,86900,44.82
2014-05-22,44.40,44.56,44.07,44.30,67300,44.30
2014-05-21,44.55,44.94,44.00,44.12,159100,44.12
2014-05-20,44.42,44.78,44.00,44.31,158500,44.31
2014-05-19,44.29,44.75,44.20,44.56,77400,44.56
2014-05-16,44.16,44.62,43.81,44.47,84400,44.47
2014-05-15,44.00,44.59,43.55,44.25,168300,44.25
2014-05-14,44.54,44.90,44.00,44.35,194800,44.35
