Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.16,13.18,13.05,13.05,54800,12.99
2014-12-30,13.13,13.20,13.12,13.13,41800,13.07
2014-12-29,13.08,13.18,12.96,13.12,51100,13.06
2014-12-26,12.92,13.19,12.78,13.11,143500,13.05
2014-12-24,12.90,12.99,12.83,12.91,107300,12.85
2014-12-23,12.78,12.93,12.77,12.92,53700,12.86
2014-12-22,12.70,12.80,12.67,12.78,47200,12.72
2014-12-19,12.61,12.73,12.48,12.71,206200,12.65
2014-12-18,12.80,12.80,12.53,12.65,124100,12.59
2014-12-17,12.46,12.75,12.29,12.69,79100,12.63
2014-12-16,12.53,12.79,12.34,12.40,131100,12.34
2014-12-15,12.52,12.63,12.35,12.49,52700,12.43
2014-12-12,12.32,12.61,12.32,12.50,53800,12.44
2014-12-11,12.37,12.54,12.28,12.44,65400,12.38
2014-12-10,12.57,12.62,12.28,12.29,74300,12.23
2014-12-09,12.26,12.73,12.02,12.58,164800,12.52
2014-12-08,12.18,12.45,12.07,12.38,122300,12.32
2014-12-05,12.04,12.47,12.04,12.18,62200,12.12
2014-12-04,12.01,12.27,11.99,12.05,87300,11.99
2014-12-03,12.22,12.22,12.00,12.05,106300,11.99
2014-12-02,12.00,12.14,11.95,12.13,105000,12.07
2014-12-01,12.17,12.24,11.98,12.03,132400,11.97
2014-11-28,12.38,12.46,12.13,12.15,38900,12.09
2014-11-26,12.17,12.50,12.13,12.42,48900,12.36
2014-11-25,12.22,12.31,12.09,12.27,25300,12.21
2014-11-24,12.00,12.22,12.00,12.18,62100,12.12
2014-11-21,12.33,12.33,11.95,11.95,59700,11.89
2014-11-20,11.95,12.19,11.95,12.16,105800,12.10
2014-11-19,11.98,12.01,11.85,12.00,91500,11.94
2014-11-18,11.95,12.05,11.89,12.00,69700,11.94
2014-11-17,11.96,12.03,11.90,11.93,80400,11.87
2014-11-14,11.87,12.09,11.80,11.96,51000,11.90
2014-11-13,12.07,12.17,11.87,11.89,38900,11.83
2014-11-12,11.91,12.17,11.80,12.14,85500,12.08
2014-11-11,12.00,12.09,11.92,11.94,69800,11.88
2014-11-10,12.07,12.15,11.80,12.00,96500,11.94
2014-11-07,12.34,12.34,11.99,12.09,64800,12.03
2014-11-06,12.29,12.40,12.14,12.36,41200,12.30
2014-11-05,12.40,12.45,12.24,12.30,35300,12.24
2014-11-04,12.31,12.44,11.95,12.40,54800,12.28
2014-11-03,12.10,12.43,11.99,12.37,82200,12.25
2014-10-31,12.10,12.30,11.90,12.07,153000,11.95
2014-10-30,12.10,12.20,11.94,11.98,195600,11.87
2014-10-29,11.90,12.23,11.75,12.15,552400,12.03
2014-10-28,11.85,11.94,11.54,11.90,138400,11.79
2014-10-27,12.04,12.21,11.49,11.96,63100,11.85
2014-10-24,12.04,12.20,11.91,12.20,100300,12.08
2014-10-23,11.93,12.03,11.85,12.00,69500,11.89
2014-10-22,11.95,12.03,11.85,11.90,93700,11.79
2014-10-21,11.85,11.97,11.55,11.94,65900,11.83
2014-10-20,11.84,11.89,11.66,11.77,54500,11.66
2014-10-17,12.04,12.04,11.71,11.84,94100,11.73
2014-10-16,11.60,11.95,11.60,11.88,113900,11.77
2014-10-15,11.71,12.01,11.54,11.72,112400,11.61
2014-10-14,11.73,12.10,11.71,11.87,99300,11.76
2014-10-13,11.50,11.90,11.50,11.62,115000,11.51
2014-10-10,11.52,11.77,11.47,11.52,75200,11.41
2014-10-09,11.74,11.85,11.52,11.61,61900,11.50
2014-10-08,11.53,11.89,11.51,11.86,125300,11.75
2014-10-07,11.60,11.82,11.48,11.56,53900,11.45
2014-10-06,11.76,11.85,11.61,11.63,61400,11.52
2014-10-03,11.92,11.95,11.73,11.76,123900,11.65
2014-10-02,11.75,11.89,11.60,11.79,95800,11.68
2014-10-01,11.87,12.06,11.75,11.78,168900,11.67
2014-09-30,11.82,11.98,11.82,11.92,129000,11.81
2014-09-29,12.04,12.12,11.77,11.83,144900,11.72
2014-09-26,12.08,12.27,12.03,12.17,126200,12.05
2014-09-25,12.10,12.14,12.03,12.07,97300,11.95
2014-09-24,12.03,12.13,12.00,12.12,57700,12.00
2014-09-23,12.27,12.29,11.98,12.02,105000,11.90
2014-09-22,12.53,12.54,12.24,12.29,96800,12.17
2014-09-19,12.92,13.09,12.55,12.58,163400,12.46
2014-09-18,12.42,12.85,12.33,12.79,170500,12.67
2014-09-17,12.18,12.47,12.15,12.39,103900,12.27
2014-09-16,12.15,12.25,12.13,12.16,929900,12.04
2014-09-15,12.18,12.25,12.15,12.21,94300,12.09
2014-09-12,12.23,12.31,12.10,12.24,548300,12.12
2014-09-11,12.05,12.26,12.02,12.19,57200,12.07
2014-09-10,12.11,12.18,12.02,12.13,48100,12.01
2014-09-09,12.14,12.25,12.05,12.14,84100,12.02
2014-09-08,12.06,12.21,11.93,12.12,76100,12.00
2014-09-05,12.17,12.45,11.94,12.10,85000,11.98
2014-09-04,12.16,12.38,11.94,12.03,99500,11.91
2014-09-03,12.13,12.25,12.05,12.11,65500,11.99
2014-09-02,12.22,12.35,12.02,12.12,87300,12.00
2014-08-29,11.92,12.21,11.92,12.14,74700,12.02
2014-08-28,12.01,12.09,11.88,11.92,63400,11.81
2014-08-27,12.25,12.25,12.00,12.02,48400,11.90
2014-08-26,12.30,12.40,12.08,12.25,103900,12.13
2014-08-25,12.36,12.64,12.12,12.33,95000,12.21
2014-08-22,12.34,13.38,12.01,12.25,86500,12.13
2014-08-21,11.87,12.12,11.86,12.00,69900,11.89
2014-08-20,12.18,12.18,11.83,11.91,80700,11.80
2014-08-19,12.39,12.39,12.21,12.22,41700,12.10
2014-08-18,12.15,12.41,12.15,12.33,98700,12.21
2014-08-15,12.37,12.37,11.85,12.08,122000,11.96
2014-08-14,12.25,12.44,12.18,12.25,57300,12.13
2014-08-13,12.50,12.75,12.22,12.29,88200,12.17
2014-08-12,12.55,12.71,12.40,12.52,89500,12.40
2014-08-11,12.48,12.68,12.35,12.56,67600,12.44
2014-08-08,12.29,12.51,12.21,12.46,71800,12.34
2014-08-07,12.47,12.54,12.30,12.32,52600,12.20
2014-08-06,12.44,12.58,12.20,12.44,62800,12.32
2014-08-05,12.64,12.75,12.42,12.50,59400,12.38
2014-08-04,12.89,13.07,12.45,12.70,173900,12.58
2014-08-01,13.14,13.30,12.80,12.96,146500,12.84
2014-07-31,13.29,13.45,13.12,13.24,177800,13.05
2014-07-30,13.16,13.47,12.99,13.41,134700,13.22
2014-07-29,12.66,13.18,12.38,13.12,204100,12.94
2014-07-28,12.57,12.78,12.19,12.72,346000,12.54
2014-07-25,12.48,12.65,12.10,12.29,136900,12.12
2014-07-24,12.40,12.60,12.37,12.58,99500,12.40
2014-07-23,12.49,12.58,12.32,12.38,57900,12.21
2014-07-22,12.37,12.54,12.34,12.52,87000,12.34
2014-07-21,12.42,12.58,12.16,12.34,122500,12.17
2014-07-18,12.40,12.75,12.33,12.47,131700,12.29
2014-07-17,12.41,12.56,12.27,12.46,164500,12.28
2014-07-16,12.60,12.67,12.41,12.48,162000,12.30
2014-07-15,12.40,12.60,12.32,12.55,134200,12.37
2014-07-14,12.36,12.46,12.26,12.39,124600,12.22
2014-07-11,12.41,12.50,12.26,12.30,106600,12.13
2014-07-10,12.49,12.74,12.25,12.44,140600,12.27
2014-07-09,12.68,12.81,12.57,12.69,113500,12.51
2014-07-08,12.83,12.93,12.56,12.69,192900,12.51
2014-07-07,12.74,12.93,12.53,12.84,224600,12.66
2014-07-03,12.65,12.73,12.47,12.71,57700,12.53
2014-07-02,12.65,12.87,12.45,12.63,309500,12.45
2014-07-01,12.91,12.95,12.61,12.76,278000,12.58
2014-06-30,12.90,13.16,12.53,12.87,326200,12.69
2014-06-27,13.69,13.88,12.81,12.81,3002400,12.63
2014-06-26,13.16,13.68,12.95,13.64,277700,13.45
2014-06-25,13.14,13.38,12.98,13.15,126500,12.97
2014-06-24,13.11,13.34,12.98,13.13,132100,12.95
2014-06-23,12.99,13.18,12.87,13.15,98100,12.97
2014-06-20,12.76,13.11,12.70,13.04,121500,12.86
2014-06-19,12.89,12.90,12.67,12.75,85900,12.57
2014-06-18,12.83,12.97,12.83,12.90,66600,12.72
2014-06-17,12.86,12.90,12.67,12.85,116500,12.67
2014-06-16,12.74,12.90,12.50,12.86,83000,12.68
2014-06-13,12.94,12.95,12.72,12.74,91600,12.56
2014-06-12,12.93,12.95,12.79,12.92,193800,12.74
2014-06-11,12.99,13.10,12.79,12.94,106700,12.76
2014-06-10,13.12,13.15,12.94,13.00,54200,12.82
2014-06-09,13.21,13.29,13.05,13.14,77100,12.96
2014-06-06,13.20,13.39,12.81,13.12,92200,12.94
2014-06-05,12.93,13.30,12.67,13.16,119300,12.97
2014-06-04,13.00,13.00,12.86,12.90,55300,12.72
2014-06-03,12.73,13.22,12.67,12.99,269200,12.81
2014-06-02,13.19,13.20,12.76,12.82,61900,12.64
2014-05-30,13.00,13.33,12.97,13.19,131700,13.00
2014-05-29,12.85,13.00,12.82,12.98,60800,12.80
2014-05-28,12.74,12.90,12.70,12.85,83800,12.67
2014-05-27,12.74,12.89,12.73,12.75,91700,12.57
2014-05-23,12.89,12.89,12.68,12.73,43300,12.55
2014-05-22,12.62,12.90,12.62,12.84,38900,12.66
2014-05-21,12.85,12.90,12.66,12.69,82800,12.51
2014-05-20,12.71,12.89,12.70,12.78,66600,12.60
2014-05-19,12.60,12.88,12.55,12.78,43000,12.60
