Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.73,9.73,9.63,9.68,42000,9.68
2014-12-30,9.75,9.75,9.63,9.68,33100,9.68
2014-12-29,9.75,9.85,9.70,9.72,375700,9.72
2014-12-26,9.72,9.86,9.72,9.75,9500,9.75
2014-12-24,9.61,9.70,9.61,9.70,13800,9.70
2014-12-23,9.62,9.72,9.58,9.68,51700,9.68
2014-12-22,9.62,9.64,9.60,9.64,32700,9.64
2014-12-19,9.62,9.62,9.53,9.59,41100,9.59
2014-12-18,9.74,9.84,9.74,9.82,39800,9.64
2014-12-17,9.50,9.64,9.49,9.58,48500,9.41
2014-12-16,9.54,9.71,9.50,9.62,31300,9.45
2014-12-15,9.76,9.80,9.61,9.63,47000,9.46
2014-12-12,9.79,9.89,9.72,9.72,200700,9.55
2014-12-11,10.00,10.04,9.88,9.88,12800,9.70
2014-12-10,9.95,10.06,9.84,9.88,33200,9.70
2014-12-09,9.74,9.90,9.70,9.87,36400,9.69
2014-12-08,10.00,10.05,9.90,9.90,10400,9.72
2014-12-05,10.11,10.13,10.05,10.07,32400,9.89
2014-12-04,9.97,10.09,9.97,10.04,180800,9.86
2014-12-03,9.97,10.09,9.97,10.06,35400,9.88
2014-12-02,10.03,10.03,9.98,10.01,15100,9.83
2014-12-01,10.00,10.05,9.91,9.92,22200,9.74
2014-11-28,10.43,10.43,10.22,10.23,13700,10.05
2014-11-26,10.48,10.55,10.48,10.54,18400,10.35
2014-11-25,10.47,10.48,10.40,10.43,7900,10.24
2014-11-24,10.36,10.49,10.36,10.40,8900,10.21
2014-11-21,10.37,10.39,10.32,10.35,17900,10.16
2014-11-20,10.21,10.24,10.18,10.21,28600,10.03
2014-11-19,10.16,10.19,10.12,10.15,10300,9.97
2014-11-18,10.12,10.18,10.09,10.13,14600,9.95
2014-11-17,10.10,10.10,10.01,10.06,8300,9.88
2014-11-14,10.07,10.09,10.02,10.09,43000,9.91
2014-11-13,10.07,10.10,10.00,10.04,49800,9.86
2014-11-12,10.10,10.10,10.05,10.06,10300,9.88
2014-11-11,10.14,10.17,10.13,10.15,10800,9.97
2014-11-10,10.21,10.21,10.13,10.16,18900,9.98
2014-11-07,10.10,10.21,10.10,10.21,9300,10.03
2014-11-06,10.15,10.19,10.07,10.11,25700,9.93
2014-11-05,10.33,10.33,10.18,10.21,7300,10.03
2014-11-04,10.40,10.40,10.27,10.31,5100,10.13
2014-11-03,10.45,10.46,10.40,10.43,30700,10.24
2014-10-31,10.40,10.46,10.36,10.45,57600,10.26
2014-10-30,10.21,10.29,10.12,10.28,10900,10.10
2014-10-29,10.26,10.30,10.12,10.17,28100,9.99
2014-10-28,10.07,10.26,10.07,10.24,442600,10.06
2014-10-27,10.02,10.02,9.92,9.93,18100,9.75
2014-10-24,10.10,10.19,10.10,10.18,7600,10.00
2014-10-23,10.20,10.20,10.09,10.14,35800,9.96
2014-10-22,10.33,10.33,10.09,10.09,7100,9.91
2014-10-21,10.10,10.22,10.10,10.20,42200,10.02
2014-10-20,9.75,10.03,9.75,10.01,127800,9.83
2014-10-17,9.92,10.05,9.86,9.95,27200,9.77
2014-10-16,9.63,9.81,9.58,9.74,16200,9.57
2014-10-15,9.55,9.80,9.42,9.77,60600,9.59
2014-10-14,9.85,9.85,9.70,9.72,26500,9.55
2014-10-13,9.90,9.95,9.74,9.74,14400,9.57
2014-10-10,10.02,10.02,9.79,9.84,36200,9.66
2014-10-09,10.27,10.35,10.01,10.04,16300,9.86
2014-10-08,10.23,10.42,10.08,10.37,30000,10.18
2014-10-07,10.27,10.40,10.26,10.26,7800,10.08
2014-10-06,10.72,10.75,10.27,10.34,78800,10.15
2014-10-03,10.55,10.67,10.55,10.64,26900,10.45
2014-10-02,10.63,10.63,10.30,10.51,56300,10.32
2014-10-01,10.80,10.80,10.55,10.59,74100,10.40
2014-09-30,10.94,10.94,10.80,10.87,84000,10.68
2014-09-29,10.93,10.96,10.90,10.94,12700,10.74
2014-09-26,11.01,11.16,11.01,11.14,32700,10.94
2014-09-25,11.21,11.21,11.00,11.03,67700,10.83
2014-09-24,11.10,11.25,11.10,11.25,12300,11.05
2014-09-23,11.11,11.22,11.10,11.11,29500,10.91
2014-09-22,11.26,11.34,11.14,11.18,10000,10.98
2014-09-19,11.38,11.39,11.24,11.29,13000,11.09
2014-09-18,11.49,11.49,11.40,11.41,13900,11.21
2014-09-17,11.42,11.44,11.37,11.42,9200,11.22
2014-09-16,11.35,11.40,11.26,11.39,10700,11.19
2014-09-15,11.59,11.59,11.36,11.40,19100,11.20
2014-09-12,11.69,11.69,11.62,11.65,8700,11.44
2014-09-11,11.71,11.71,11.62,11.69,14800,11.48
2014-09-10,11.75,11.75,11.62,11.70,14900,11.49
2014-09-09,11.91,11.91,11.59,11.61,48100,11.40
2014-09-08,12.04,12.05,11.93,11.97,12800,11.76
2014-09-05,12.05,12.05,11.88,11.98,20000,11.77
2014-09-04,11.94,12.02,11.90,11.92,17100,11.71
2014-09-03,11.81,11.91,11.81,11.88,57000,11.67
2014-09-02,11.83,11.83,11.67,11.78,98400,11.57
2014-08-29,11.84,11.84,11.72,11.78,13300,11.57
2014-08-28,11.89,11.89,11.74,11.78,22700,11.57
2014-08-27,11.92,11.92,11.82,11.89,23600,11.68
2014-08-26,11.90,11.90,11.84,11.87,28500,11.66
2014-08-25,11.78,11.92,11.78,11.91,41700,11.70
2014-08-22,11.80,11.80,11.72,11.78,12100,11.57
2014-08-21,11.77,11.84,11.77,11.82,20800,11.61
2014-08-20,11.76,11.89,11.76,11.88,10900,11.67
2014-08-19,11.82,11.88,11.82,11.87,8400,11.66
2014-08-18,11.73,11.82,11.73,11.81,22600,11.60
2014-08-15,11.76,11.76,11.52,11.68,17100,11.47
2014-08-14,11.58,11.68,11.58,11.63,10100,11.42
2014-08-13,11.55,11.66,11.55,11.63,186200,11.42
2014-08-12,11.54,11.54,11.42,11.47,98400,11.26
2014-08-11,11.52,11.53,11.43,11.51,99600,11.30
2014-08-08,11.33,11.33,11.25,11.33,15000,11.13
2014-08-07,11.36,11.38,11.24,11.24,5200,11.04
2014-08-06,11.07,11.28,11.07,11.27,19500,11.07
2014-08-05,11.24,11.28,11.15,11.17,11400,10.97
2014-08-04,11.19,11.26,11.14,11.24,26000,11.04
2014-08-01,11.18,11.18,10.97,11.09,34600,10.89
2014-07-31,11.52,11.52,11.16,11.19,57000,10.99
2014-07-30,11.56,11.56,11.49,11.52,13100,11.31
2014-07-29,11.62,11.62,11.49,11.49,7200,11.28
2014-07-28,11.59,11.61,11.52,11.59,30400,11.38
2014-07-25,11.60,11.60,11.52,11.53,11300,11.32
2014-07-24,11.61,11.61,11.49,11.56,28700,11.35
2014-07-23,11.63,11.63,11.50,11.51,8800,11.30
2014-07-22,11.48,11.62,11.48,11.58,11400,11.37
2014-07-21,11.42,11.44,11.36,11.43,12200,11.23
2014-07-18,11.36,11.43,11.26,11.42,19700,11.22
2014-07-17,11.38,11.38,11.21,11.21,28900,11.01
2014-07-16,11.37,11.42,11.36,11.38,9300,11.18
2014-07-15,11.38,11.44,11.28,11.35,21000,11.15
2014-07-14,11.34,11.46,11.34,11.38,27300,11.18
2014-07-11,11.30,11.37,11.30,11.35,17600,11.15
2014-07-10,11.25,11.36,11.12,11.32,44800,11.12
2014-07-09,11.41,11.50,11.41,11.48,20000,11.27
2014-07-08,11.66,11.66,11.34,11.41,42200,11.21
2014-07-07,11.92,11.92,11.74,11.79,36400,11.58
2014-07-03,11.91,12.00,11.91,11.98,13500,11.77
2014-07-02,11.80,11.94,11.80,11.82,17700,11.61
2014-07-01,11.94,11.94,11.83,11.83,31500,11.62
2014-06-30,11.90,11.91,11.78,11.86,12600,11.65
2014-06-27,11.80,11.85,11.76,11.85,21100,11.64
2014-06-26,11.78,11.79,11.70,11.77,24900,11.56
2014-06-25,11.61,11.69,11.59,11.69,20200,11.48
2014-06-24,11.77,11.77,11.54,11.56,42200,11.35
2014-06-23,11.86,11.86,11.75,11.82,28500,11.51
2014-06-20,11.90,11.91,11.83,11.89,12300,11.58
2014-06-19,11.97,11.97,11.81,11.85,30800,11.54
2014-06-18,11.77,11.93,11.67,11.92,241900,11.61
2014-06-17,11.58,11.74,11.55,11.74,38100,11.43
2014-06-16,11.44,11.54,11.34,11.54,33300,11.24
2014-06-13,11.46,11.52,11.42,11.51,27300,11.21
2014-06-12,11.35,11.42,11.32,11.33,14100,11.03
2014-06-11,11.17,11.35,11.17,11.31,17800,11.02
2014-06-10,11.38,11.38,11.26,11.30,16700,11.01
2014-06-09,11.34,11.38,11.28,11.35,23000,11.05
2014-06-06,11.25,11.33,11.24,11.30,20800,11.01
2014-06-05,11.20,11.25,11.14,11.23,7700,10.94
2014-06-04,11.06,11.13,10.96,11.08,10500,10.79
2014-06-03,11.20,11.20,11.06,11.16,34600,10.87
2014-06-02,11.24,11.24,11.10,11.19,4400,10.90
2014-05-30,11.21,11.25,11.11,11.14,24300,10.85
2014-05-29,11.12,11.21,11.12,11.21,30300,10.92
2014-05-28,11.07,11.10,11.01,11.07,9800,10.78
2014-05-27,11.11,11.14,11.03,11.09,21800,10.80
2014-05-23,10.98,11.00,10.92,11.00,10200,10.71
2014-05-22,10.82,10.91,10.82,10.87,12400,10.59
2014-05-21,10.65,10.74,10.63,10.74,14800,10.46
2014-05-20,10.61,10.61,10.47,10.47,9700,10.20
2014-05-19,10.54,10.57,10.50,10.55,19600,10.28
2014-05-16,10.55,10.55,10.42,10.47,7700,10.20
2014-05-15,10.77,10.77,10.49,10.57,27600,10.29
2014-05-14,10.86,10.88,10.82,10.82,4100,10.54
2014-05-13,10.84,10.84,10.75,10.79,16900,10.51
2014-05-12,10.62,10.81,10.62,10.80,16600,10.52
2014-05-09,10.51,10.56,10.47,10.47,14900,10.20
2014-05-08,10.58,10.64,10.37,10.41,43400,10.14
2014-05-07,10.74,10.75,10.50,10.60,15700,10.32
2014-05-06,10.83,10.85,10.72,10.72,18100,10.44
2014-05-05,10.79,10.82,10.69,10.81,4600,10.53
2014-05-02,10.85,10.85,10.76,10.82,22400,10.54
2014-05-01,10.76,10.87,10.72,10.72,27400,10.44
2014-04-30,10.57,10.74,10.57,10.70,36500,10.42
2014-04-29,10.63,10.70,10.60,10.65,13300,10.37
2014-04-28,10.86,10.86,10.50,10.65,18000,10.37
2014-04-25,10.98,10.98,10.80,10.80,17300,10.52
2014-04-24,11.07,11.07,10.91,11.01,30000,10.72
2014-04-23,11.13,11.13,11.02,11.05,18800,10.76
2014-04-22,10.89,11.13,10.89,11.11,42100,10.82
2014-04-21,10.83,10.85,10.78,10.81,12300,10.53
2014-04-17,10.71,10.87,10.71,10.84,20000,10.56
2014-04-16,10.61,10.79,10.61,10.78,25200,10.50
2014-04-15,10.58,10.58,10.33,10.55,23700,10.28
2014-04-14,10.72,10.72,10.54,10.60,31600,10.32
2014-04-11,10.77,10.82,10.64,10.70,61300,10.42
2014-04-10,11.12,11.12,10.73,10.79,22900,10.51
2014-04-09,11.10,11.16,10.93,11.14,30200,10.85
2014-04-08,10.90,10.96,10.76,10.91,23200,10.63
2014-04-07,10.91,11.02,10.80,10.96,81500,10.67
2014-04-04,11.26,11.26,11.00,11.09,19000,10.80
2014-04-03,11.35,11.40,11.09,11.15,15600,10.86
2014-04-02,11.32,11.34,11.26,11.34,10700,11.04
2014-04-01,11.29,11.30,11.20,11.23,25100,10.94
2014-03-31,11.24,11.26,11.14,11.20,36500,10.91
2014-03-28,11.20,11.25,11.13,11.17,11100,10.88
2014-03-27,11.03,11.09,10.97,11.09,5700,10.80
2014-03-26,11.02,11.14,10.93,10.93,47300,10.65
2014-03-25,11.09,11.09,10.94,11.00,16400,10.71
2014-03-24,11.25,11.25,10.93,11.11,15400,10.82
2014-03-21,11.26,11.26,11.10,11.13,17500,10.84
2014-03-20,11.28,11.36,11.10,11.28,215600,10.99
2014-03-19,11.23,11.42,11.23,11.33,28900,11.03
2014-03-18,11.12,11.28,11.11,11.24,65900,10.95
2014-03-17,11.10,11.19,11.10,11.18,9100,10.89
2014-03-14,11.01,11.05,10.95,11.04,34800,10.75
2014-03-13,11.75,11.75,11.13,11.18,164000,10.89
2014-03-12,11.40,11.46,11.19,11.40,32700,11.10
2014-03-11,11.67,11.67,11.46,11.47,17800,11.17
2014-03-10,11.65,11.65,11.45,11.49,17900,11.19
2014-03-07,11.81,11.81,11.54,11.61,21600,11.31
2014-03-06,11.54,11.74,11.54,11.66,22100,11.36
2014-03-05,11.55,11.55,11.42,11.48,34800,11.18
2014-03-04,11.37,11.56,11.37,11.56,27800,11.26
2014-03-03,11.15,11.24,11.10,11.14,47700,10.85
2014-02-28,11.29,11.31,11.17,11.17,20700,10.88
2014-02-27,11.13,11.27,11.07,11.24,89700,10.95
2014-02-26,11.04,11.08,10.98,11.01,19600,10.72
2014-02-25,10.98,11.01,10.88,10.99,21800,10.70
2014-02-24,10.83,11.10,10.83,11.07,14700,10.78
2014-02-21,10.79,10.93,10.74,10.81,32800,10.53
2014-02-20,10.75,10.76,10.71,10.74,14800,10.46
2014-02-19,10.80,10.80,10.74,10.74,8900,10.46
2014-02-18,10.83,10.88,10.72,10.83,11000,10.55
2014-02-14,10.75,10.77,10.70,10.75,7700,10.47
2014-02-13,10.62,10.76,10.56,10.70,13200,10.42
2014-02-12,10.73,10.73,10.62,10.68,6000,10.40
2014-02-11,10.66,10.66,10.52,10.64,19700,10.36
2014-02-10,10.57,10.64,10.51,10.61,48700,10.33
2014-02-07,10.45,10.56,10.35,10.52,34600,10.25
2014-02-06,10.14,10.30,10.14,10.26,5600,9.99
2014-02-05,10.11,10.11,10.00,10.08,22300,9.82
2014-02-04,10.11,10.18,10.05,10.10,8800,9.84
2014-02-03,10.35,10.35,10.03,10.08,35100,9.82
2014-01-31,10.34,10.43,10.34,10.35,11100,10.08
2014-01-30,10.33,10.45,10.33,10.45,7900,10.18
2014-01-29,10.37,10.39,10.27,10.31,14300,10.04
2014-01-28,10.23,10.45,10.23,10.43,20600,10.16
2014-01-27,10.27,10.31,10.09,10.19,30600,9.92
2014-01-24,10.51,10.51,10.27,10.27,43500,10.00
2014-01-23,10.85,10.85,10.66,10.71,13600,10.43
2014-01-22,10.95,10.95,10.86,10.91,9600,10.63
2014-01-21,10.92,10.92,10.73,10.88,38200,10.60
2014-01-17,10.88,11.00,10.88,10.90,5700,10.62
2014-01-16,10.84,10.88,10.77,10.88,8700,10.60
2014-01-15,10.77,10.83,10.72,10.81,16600,10.53
2014-01-14,10.67,10.76,10.57,10.70,11500,10.42
2014-01-13,10.82,10.82,10.60,10.60,19700,10.32
2014-01-10,10.74,10.74,10.67,10.74,18200,10.46
2014-01-09,10.70,10.85,10.67,10.74,14600,10.46
2014-01-08,10.73,10.76,10.66,10.72,25400,10.44
2014-01-07,10.60,10.75,10.60,10.74,19900,10.46
2014-01-06,10.74,10.74,10.58,10.58,18900,10.30
2014-01-03,10.67,10.70,10.54,10.67,41600,10.39
2014-01-02,10.40,10.59,10.40,10.58,106800,10.30
