Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,19.88,20.16,19.55,19.60,1637200,19.60
2014-12-30,19.75,19.92,19.66,19.81,88300,19.81
2014-12-29,19.84,19.99,19.67,19.89,890600,19.89
2014-12-26,19.95,20.05,19.79,19.90,539400,19.90
2014-12-24,19.87,20.07,19.66,19.87,627900,19.87
2014-12-23,20.23,20.41,19.64,19.71,1331800,19.71
2014-12-22,19.54,20.23,19.42,20.18,2033500,20.18
2014-12-19,19.85,19.89,19.38,19.52,2178100,19.52
2014-12-18,19.98,20.07,19.54,19.87,2426100,19.87
2014-12-17,19.40,19.74,19.11,19.71,2999900,19.71
2014-12-16,19.34,20.15,19.01,19.45,3718100,19.45
2014-12-15,19.66,19.87,19.15,19.43,3670900,19.43
2014-12-12,18.83,19.62,18.80,19.55,3651500,19.55
2014-12-11,19.15,19.45,19.06,19.18,1155500,19.18
2014-12-10,19.25,19.45,18.82,18.99,2034400,18.99
2014-12-09,18.65,19.37,18.48,19.36,1874100,19.36
2014-12-08,19.79,19.98,18.69,18.88,2735800,18.88
2014-12-05,19.48,19.92,19.34,19.90,2664300,19.90
2014-12-04,19.10,19.61,18.99,19.48,3604600,19.48
2014-12-03,18.74,19.17,18.56,19.01,2661900,19.01
2014-12-02,18.46,18.79,18.30,18.78,1768800,18.78
2014-12-01,18.61,18.73,18.10,18.40,2692800,18.40
2014-11-28,18.86,18.97,18.37,18.66,1054900,18.66
2014-11-26,18.71,19.00,18.45,18.86,1359200,18.86
2014-11-25,18.73,18.81,18.30,18.65,2154400,18.65
2014-11-24,18.19,18.84,18.15,18.75,2087900,18.75
2014-11-21,18.52,18.53,18.13,18.22,2250200,18.22
2014-11-20,18.24,18.54,17.77,18.20,2758100,18.20
2014-11-19,18.12,18.20,17.69,17.96,1957300,17.96
2014-11-18,17.21,18.31,17.15,18.06,3249300,18.06
2014-11-17,17.55,17.70,17.02,17.24,2373000,17.24
2014-11-14,17.86,18.05,17.60,17.69,2071700,17.69
2014-11-13,17.83,18.24,17.51,17.79,3479500,17.79
2014-11-12,17.87,18.13,17.74,17.75,4119200,17.75
2014-11-11,18.11,18.20,17.81,17.95,2217700,17.95
2014-11-10,17.71,18.35,17.70,18.11,3555800,18.11
2014-11-07,17.74,17.89,17.43,17.73,2757200,17.73
2014-11-06,17.59,17.85,17.42,17.80,3018700,17.80
2014-11-05,16.71,17.74,16.52,17.62,6401100,17.62
