Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.19,4.28,4.17,4.22,130700,4.07
2014-12-30,4.33,4.36,4.17,4.19,93400,4.04
2014-12-29,4.41,4.47,4.27,4.35,69200,4.19
2014-12-26,4.24,4.39,4.20,4.38,34100,4.22
2014-12-24,4.17,4.25,4.09,4.20,19800,4.05
2014-12-23,4.07,4.18,3.86,4.14,35600,3.99
2014-12-22,3.98,4.05,3.91,4.04,51200,3.90
2014-12-19,3.98,4.01,3.79,3.96,189300,3.82
2014-12-18,4.00,4.06,3.95,4.00,53600,3.86
2014-12-17,4.07,4.14,3.92,4.00,82000,3.86
2014-12-16,4.00,4.16,3.97,4.08,38700,3.93
2014-12-15,3.86,4.10,3.86,3.99,38500,3.85
2014-12-12,3.77,3.95,3.77,3.87,30100,3.73
2014-12-11,3.92,3.98,3.81,3.83,42300,3.69
2014-12-10,4.00,4.09,3.91,3.91,30100,3.77
2014-12-09,3.85,4.09,3.84,4.03,47000,3.89
2014-12-08,3.92,3.97,3.86,3.88,70000,3.74
2014-12-05,3.82,3.95,3.82,3.92,41700,3.78
2014-12-04,3.90,3.92,3.82,3.83,44800,3.69
2014-12-03,3.93,4.00,3.90,3.90,63500,3.76
2014-12-02,3.96,4.02,3.81,3.91,51700,3.77
2014-12-01,3.94,4.01,3.80,3.97,85800,3.83
2014-11-28,3.97,4.06,3.95,3.96,43600,3.82
2014-11-26,4.00,4.00,3.93,3.95,24800,3.81
2014-11-25,4.00,4.02,3.97,3.98,24900,3.84
2014-11-24,3.99,4.05,3.99,4.00,37800,3.86
2014-11-21,4.05,4.05,3.94,3.96,42200,3.82
2014-11-20,3.95,4.01,3.94,3.97,25200,3.83
2014-11-19,4.01,4.02,3.93,3.96,55300,3.82
2014-11-18,4.01,4.10,3.93,4.03,66700,3.89
2014-11-17,4.37,4.37,3.95,3.98,106400,3.84
2014-11-14,4.30,4.40,4.30,4.36,45200,4.20
2014-11-13,4.37,4.37,4.26,4.27,19000,4.12
2014-11-12,4.41,4.41,4.33,4.38,38600,4.22
2014-11-11,4.44,4.50,4.42,4.42,28500,4.26
