Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.31,0.33,0.31,0.31,371800,0.31
2014-12-30,0.31,0.31,0.31,0.31,000,0.31
2014-12-29,0.30,0.33,0.30,0.31,624000,0.31
2014-12-26,0.30,0.32,0.30,0.30,366100,0.30
2014-12-24,0.30,0.32,0.30,0.32,118900,0.32
2014-12-23,0.31,0.33,0.31,0.32,506900,0.32
2014-12-22,0.30,0.33,0.30,0.32,295600,0.32
2014-12-19,0.32,0.33,0.29,0.29,295800,0.29
2014-12-18,0.32,0.33,0.31,0.33,995700,0.33
2014-12-17,0.32,0.33,0.31,0.32,785200,0.32
2014-12-16,0.31,0.32,0.30,0.32,244400,0.32
2014-12-15,0.31,0.32,0.30,0.30,225300,0.30
2014-12-12,0.31,0.31,0.30,0.31,425300,0.31
2014-12-11,0.29,0.32,0.29,0.31,500600,0.31
2014-12-10,0.29,0.31,0.29,0.29,450900,0.29
2014-12-09,0.31,0.31,0.30,0.30,593900,0.30
2014-12-08,0.33,0.33,0.30,0.30,584100,0.30
2014-12-05,0.32,0.32,0.31,0.31,380800,0.31
2014-12-04,0.33,0.33,0.31,0.32,438300,0.32
2014-12-03,0.32,0.32,0.31,0.32,565400,0.32
2014-12-02,0.33,0.34,0.31,0.32,567900,0.32
2014-12-01,0.35,0.35,0.32,0.32,265700,0.32
2014-11-28,0.32,0.35,0.32,0.34,259300,0.34
2014-11-26,0.32,0.32,0.31,0.32,337100,0.32
2014-11-25,0.32,0.32,0.31,0.32,477900,0.32
2014-11-24,0.34,0.34,0.32,0.32,484800,0.32
2014-11-21,0.34,0.34,0.32,0.32,1238800,0.32
2014-11-20,0.33,0.34,0.32,0.33,791900,0.33
2014-11-19,0.34,0.35,0.32,0.32,621700,0.32
2014-11-18,0.34,0.35,0.32,0.32,852100,0.32
2014-11-17,0.37,0.38,0.33,0.34,822100,0.34
2014-11-14,0.36,0.37,0.35,0.35,286300,0.35
2014-11-13,0.35,0.38,0.35,0.35,546400,0.35
2014-11-12,0.35,0.37,0.35,0.36,280300,0.36
2014-11-11,0.35,0.37,0.33,0.36,300200,0.36
2014-11-10,0.32,0.36,0.32,0.35,288200,0.35
2014-11-07,0.34,0.35,0.33,0.34,329500,0.34
2014-11-06,0.34,0.35,0.32,0.32,501000,0.32
2014-11-05,0.33,0.35,0.33,0.33,532000,0.33
2014-11-04,0.33,0.34,0.33,0.34,384700,0.34
2014-11-03,0.35,0.41,0.33,0.34,854900,0.34
2014-10-31,0.37,0.42,0.32,0.42,1734700,0.42
2014-10-30,0.39,0.40,0.37,0.37,289900,0.37
2014-10-29,0.37,0.42,0.37,0.39,1201400,0.39
2014-10-28,0.39,0.39,0.37,0.37,127200,0.37
2014-10-27,0.39,0.39,0.37,0.37,183100,0.37
2014-10-24,0.39,0.39,0.37,0.38,88900,0.38
2014-10-23,0.37,0.39,0.37,0.37,468300,0.37
2014-10-22,0.38,0.39,0.37,0.38,573700,0.38
2014-10-21,0.35,0.38,0.35,0.38,624100,0.38
2014-10-20,0.34,0.37,0.34,0.35,1552300,0.35
2014-10-17,0.35,0.35,0.33,0.34,264300,0.34
2014-10-16,0.32,0.34,0.31,0.34,662700,0.34
2014-10-15,0.31,0.32,0.28,0.32,593500,0.32
2014-10-14,0.30,0.31,0.30,0.30,326200,0.30
2014-10-13,0.31,0.32,0.30,0.30,297700,0.30
2014-10-10,0.31,0.33,0.31,0.31,390200,0.31
2014-10-09,0.32,0.34,0.31,0.31,150300,0.31
2014-10-08,0.34,0.34,0.31,0.31,994200,0.31
2014-10-07,0.33,0.34,0.32,0.33,254900,0.33
2014-10-06,0.34,0.34,0.33,0.33,87200,0.33
2014-10-03,0.35,0.35,0.33,0.33,542700,0.33
2014-10-02,0.35,0.35,0.34,0.34,483200,0.34
2014-10-01,0.38,0.38,0.34,0.34,741500,0.34
2014-09-30,0.39,0.39,0.34,0.35,1535100,0.35
2014-09-29,0.42,0.44,0.37,0.37,2024900,0.37
2014-09-26,0.37,0.37,0.34,0.35,64700,0.35
2014-09-25,0.37,0.37,0.35,0.36,81100,0.36
2014-09-24,0.36,0.37,0.34,0.36,134400,0.36
2014-09-23,0.37,0.37,0.35,0.35,256900,0.35
2014-09-22,0.39,0.40,0.37,0.37,399700,0.37
2014-09-19,0.35,0.38,0.35,0.38,167200,0.38
2014-09-18,0.36,0.37,0.34,0.36,109800,0.36
2014-09-17,0.37,0.37,0.32,0.34,149900,0.34
2014-09-16,0.34,0.42,0.33,0.36,491700,0.36
2014-09-15,0.34,0.35,0.31,0.32,166800,0.32
2014-09-12,0.30,0.32,0.30,0.31,97000,0.31
2014-09-11,0.34,0.35,0.31,0.31,164800,0.31
2014-09-10,0.34,0.34,0.32,0.34,167000,0.34
2014-09-09,0.32,0.34,0.31,0.33,136300,0.33
2014-09-08,0.35,0.35,0.33,0.33,94400,0.33
2014-09-05,0.35,0.35,0.34,0.34,147700,0.34
2014-09-04,0.34,0.39,0.34,0.34,82100,0.34
2014-09-03,0.35,0.38,0.33,0.35,75900,0.35
2014-09-02,0.38,0.39,0.31,0.33,130100,0.33
2014-08-29,0.36,0.40,0.35,0.38,376000,0.38
2014-08-28,0.37,0.38,0.34,0.37,255400,0.37
2014-08-27,0.35,0.37,0.33,0.37,108200,0.37
2014-08-26,0.34,0.35,0.32,0.34,153700,0.34
2014-08-25,0.37,0.37,0.33,0.35,75300,0.35
2014-08-22,0.33,0.36,0.32,0.36,177000,0.36
2014-08-21,0.31,0.33,0.31,0.32,132200,0.32
2014-08-20,0.31,0.32,0.30,0.31,103900,0.31
2014-08-19,0.31,0.33,0.30,0.31,127300,0.31
2014-08-18,0.33,0.34,0.32,0.32,151000,0.32
2014-08-15,0.35,0.35,0.31,0.32,109700,0.32
2014-08-14,0.36,0.39,0.33,0.34,187700,0.34
2014-08-13,0.37,0.37,0.35,0.36,68200,0.36
2014-08-12,0.37,0.39,0.36,0.39,95000,0.39
2014-08-11,0.36,0.38,0.36,0.38,63700,0.38
2014-08-08,0.36,0.37,0.35,0.36,105200,0.36
2014-08-07,0.37,0.37,0.36,0.36,81800,0.36
2014-08-06,0.37,0.38,0.36,0.37,27900,0.37
2014-08-05,0.36,0.39,0.36,0.36,125300,0.36
2014-08-04,0.40,0.40,0.36,0.38,281900,0.38
2014-08-01,0.45,0.45,0.38,0.40,361000,0.40
2014-07-31,0.40,0.45,0.38,0.44,474200,0.44
2014-07-30,0.40,0.41,0.39,0.41,111100,0.41
2014-07-29,0.40,0.40,0.39,0.39,210500,0.39
2014-07-28,0.41,0.41,0.40,0.40,113900,0.40
2014-07-25,0.40,0.42,0.40,0.41,96300,0.41
2014-07-24,0.41,0.43,0.41,0.41,187100,0.41
2014-07-23,0.41,0.43,0.41,0.42,120800,0.42
2014-07-22,0.42,0.42,0.41,0.41,40600,0.41
2014-07-21,0.41,0.43,0.41,0.41,106700,0.41
2014-07-18,0.41,0.42,0.41,0.41,142100,0.41
2014-07-17,0.44,0.44,0.42,0.42,157000,0.42
2014-07-16,0.41,0.45,0.41,0.44,738600,0.44
2014-07-15,0.41,0.42,0.41,0.41,160200,0.41
2014-07-14,0.42,0.43,0.41,0.41,106800,0.41
2014-07-11,0.42,0.44,0.41,0.41,249900,0.41
2014-07-10,0.42,0.44,0.42,0.42,79900,0.42
2014-07-09,0.42,0.46,0.42,0.44,559200,0.44
2014-07-08,0.44,0.46,0.42,0.42,225800,0.42
2014-07-07,0.44,0.46,0.42,0.42,172300,0.42
2014-07-03,0.45,0.45,0.43,0.43,65700,0.43
2014-07-02,0.41,0.45,0.41,0.43,177200,0.43
