Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,30.40,31.45,29.02,30.78,29500,30.78
2014-12-30,32.96,32.96,29.95,29.96,2900,29.96
2014-12-29,36.47,36.88,34.56,35.09,15800,35.09
2014-12-26,35.45,40.13,34.64,36.15,28700,36.15
2014-12-24,33.73,38.19,33.73,34.96,12800,34.96
2014-12-23,36.15,36.60,32.14,34.18,169300,34.18
2014-12-22,33.06,38.82,33.06,36.19,230900,36.19
2014-12-19,27.50,33.81,27.50,33.06,68000,33.06
2014-12-18,24.09,27.81,24.09,27.44,32300,27.44
2014-12-17,22.13,23.85,21.82,23.84,32500,23.84
2014-12-16,21.78,22.36,21.36,22.15,11100,22.15
2014-12-15,22.45,23.00,21.44,21.80,29700,21.80
2014-12-12,22.14,22.62,20.02,22.35,15600,22.35
2014-12-11,23.50,24.37,22.20,22.55,29900,22.55
2014-12-10,23.16,23.95,22.44,23.33,41900,23.33
2014-12-09,24.15,24.15,22.40,23.36,58700,23.36
2014-12-08,24.88,25.74,24.03,24.17,26900,24.17
2014-12-05,24.42,25.85,23.64,24.80,26700,24.80
2014-12-04,27.25,27.31,24.09,24.32,40900,24.32
2014-12-03,29.00,29.00,27.38,27.43,28700,27.43
2014-12-02,28.74,29.63,28.57,29.00,25100,29.00
2014-12-01,31.18,31.36,28.74,28.91,37600,28.91
2014-11-28,33.55,33.55,31.45,31.81,9700,31.81
2014-11-26,34.58,35.60,33.71,33.71,14900,33.71
2014-11-25,34.21,35.28,33.77,34.02,15900,34.02
2014-11-24,34.22,34.80,33.50,34.64,20100,34.64
2014-11-21,31.21,34.25,30.40,34.04,27900,34.04
2014-11-20,31.43,31.60,29.89,30.70,26800,30.70
2014-11-19,35.40,35.40,31.23,31.63,37100,31.63
2014-11-18,35.07,36.00,34.04,34.55,30300,34.55
2014-11-17,34.71,36.24,34.02,35.09,24500,35.09
2014-11-14,35.03,36.00,33.66,35.22,44800,35.22
2014-11-13,30.78,36.69,30.78,35.97,99400,35.97
2014-11-12,29.58,30.97,29.20,30.67,53200,30.67
2014-11-11,29.57,29.99,29.00,29.94,30500,29.94
2014-11-10,29.99,30.15,28.52,30.15,20900,30.15
2014-11-07,30.24,30.24,28.56,30.06,9800,30.06
2014-11-06,29.56,30.13,29.16,30.09,24000,30.09
2014-11-05,30.00,30.17,29.09,30.08,10000,30.08
2014-11-04,30.00,30.01,29.59,30.00,10100,30.00
2014-11-03,31.21,31.91,29.74,30.07,22900,30.07
2014-10-31,30.10,33.11,29.08,30.99,27900,30.99
2014-10-30,30.76,31.53,28.68,29.60,43300,29.60
2014-10-29,28.00,31.58,28.00,30.68,57400,30.68
2014-10-28,25.80,28.25,25.68,27.78,34200,27.78
2014-10-27,25.66,26.74,25.15,25.72,35900,25.72
2014-10-24,24.49,26.17,24.49,25.96,13600,25.96
2014-10-23,25.10,26.05,24.39,24.99,27700,24.99
2014-10-22,26.01,26.01,23.78,25.13,30400,25.13
2014-10-21,23.34,26.59,23.34,26.11,33700,26.11
2014-10-20,21.97,23.36,21.19,23.36,22800,23.36
2014-10-17,23.30,23.30,21.57,21.92,16600,21.92
2014-10-16,20.67,23.37,20.55,23.23,45700,23.23
2014-10-15,22.98,22.98,18.89,21.01,75200,21.01
2014-10-14,25.20,25.93,22.90,23.52,74200,23.52
2014-10-13,23.06,25.50,23.06,24.65,44300,24.65
2014-10-10,22.26,23.88,22.22,23.04,75400,23.04
2014-10-09,21.59,23.03,21.54,22.22,66000,22.22
2014-10-08,20.31,21.65,18.91,21.53,28800,21.53
2014-10-07,19.79,20.69,18.27,20.42,50600,20.42
2014-10-06,22.07,22.99,19.35,19.87,103100,19.87
2014-10-03,19.39,22.47,19.34,21.50,103000,21.50
2014-10-02,18.20,19.99,17.21,19.20,102400,19.20
2014-10-01,17.66,18.55,17.05,18.11,145700,18.11
2014-09-30,16.97,19.05,16.40,17.66,750300,17.66
2014-09-29,15.88,18.39,15.88,16.87,129100,16.87
2014-09-26,14.20,16.13,14.20,15.88,59600,15.88
2014-09-25,13.37,15.65,13.11,14.25,81800,14.25
2014-09-24,12.88,13.49,12.73,13.49,41100,13.49
2014-09-23,12.36,13.25,11.90,12.74,51200,12.74
2014-09-22,12.22,13.00,12.06,12.27,27700,12.27
2014-09-19,13.19,13.49,11.55,12.18,57100,12.18
2014-09-18,13.57,13.57,12.54,12.95,19700,12.95
2014-09-17,13.47,13.50,12.55,12.97,47600,12.97
2014-09-16,13.06,13.70,12.88,13.38,42100,13.38
2014-09-15,13.45,14.00,12.80,13.10,44500,13.10
2014-09-12,13.85,13.97,12.95,13.45,73600,13.45
2014-09-11,12.56,13.91,12.53,13.78,103500,13.78
2014-09-10,12.07,12.56,12.05,12.20,14800,12.20
2014-09-09,12.43,12.49,12.15,12.32,38700,12.32
2014-09-08,12.35,12.50,12.24,12.26,27200,12.26
2014-09-05,12.32,12.35,12.04,12.24,17600,12.24
2014-09-04,12.24,12.34,12.07,12.12,18000,12.12
2014-09-03,12.02,12.28,12.02,12.15,8300,12.15
2014-09-02,12.07,12.27,12.04,12.04,14200,12.04
2014-08-29,12.00,12.26,11.95,12.01,20500,12.01
2014-08-28,12.00,12.25,11.81,11.81,16000,11.81
2014-08-27,12.01,12.20,11.78,11.82,14800,11.82
2014-08-26,11.92,12.17,11.85,12.14,19500,12.14
2014-08-25,11.85,12.00,11.63,11.92,20800,11.92
2014-08-22,12.45,12.45,11.85,11.89,14000,11.89
2014-08-21,12.51,12.70,12.15,12.15,44300,12.15
2014-08-20,12.48,12.75,12.19,12.68,107600,12.68
2014-08-19,12.26,12.64,12.19,12.47,22000,12.47
2014-08-18,12.08,12.38,12.03,12.13,38300,12.13
2014-08-15,12.44,12.44,12.12,12.41,12400,12.41
2014-08-14,12.49,12.49,12.02,12.37,6900,12.37
2014-08-13,12.55,12.55,12.24,12.24,700,12.24
2014-08-12,12.04,12.49,12.01,12.29,1900,12.29
2014-08-11,12.29,12.60,12.00,12.25,11600,12.25
2014-08-08,12.20,12.59,12.00,12.37,20300,12.37
2014-08-07,12.07,12.46,12.00,12.03,33300,12.03
2014-08-06,11.90,12.07,11.90,12.07,9300,12.07
2014-08-05,11.95,12.10,11.90,12.10,22800,12.10
2014-08-04,11.82,11.98,11.80,11.86,6800,11.86
2014-08-01,11.68,12.13,11.59,12.00,13600,12.00
2014-07-31,12.10,12.10,11.51,12.00,37800,12.00
2014-07-30,12.10,12.10,11.94,12.00,51500,12.00
2014-07-29,12.00,12.04,11.95,12.00,70600,12.00
2014-07-28,12.01,12.10,11.95,12.00,73900,12.00
2014-07-25,12.00,12.15,11.88,12.01,197600,12.01
2014-07-24,12.15,12.81,11.81,12.05,1960800,12.05
