Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.01,6.26,6.01,6.10,1741100,6.10
2014-12-30,6.23,6.33,6.02,6.02,119000,6.02
2014-12-29,5.98,6.33,5.97,6.26,2489000,6.26
2014-12-26,5.90,6.03,5.81,5.93,1613400,5.93
2014-12-24,5.80,5.90,5.60,5.90,1464000,5.90
2014-12-23,6.00,6.06,5.34,5.77,4262400,5.77
2014-12-22,6.25,6.30,5.72,5.92,5042000,5.92
2014-12-19,5.97,6.82,5.36,6.11,16233100,6.11
2014-12-18,10.78,11.00,10.63,10.85,1040700,10.85
2014-12-17,9.83,10.74,9.81,10.73,1460100,10.73
2014-12-16,9.37,9.98,9.17,9.83,1092300,9.83
2014-12-15,10.00,10.02,9.36,9.40,938500,9.40
2014-12-12,9.72,10.39,9.69,10.01,907400,10.01
2014-12-11,9.89,10.61,9.85,10.01,1103500,10.01
2014-12-10,10.19,10.19,9.57,9.89,988800,9.89
2014-12-09,9.41,10.19,9.35,10.19,1086300,10.19
2014-12-08,9.65,9.85,9.49,9.55,699800,9.55
2014-12-05,9.49,9.73,9.43,9.66,845200,9.66
2014-12-04,9.77,9.90,9.44,9.50,680100,9.50
2014-12-03,9.81,10.02,9.61,9.79,955800,9.79
2014-12-02,9.66,10.06,9.62,9.83,2161600,9.83
2014-12-01,10.09,10.29,9.53,9.68,1043200,9.68
2014-11-28,10.42,10.68,10.25,10.29,616700,10.29
2014-11-26,9.87,10.38,9.80,10.35,1009400,10.35
2014-11-25,10.09,10.15,9.79,9.84,776900,9.84
2014-11-24,9.88,10.12,9.85,10.09,922900,10.09
2014-11-21,9.83,10.02,9.70,9.84,702500,9.84
2014-11-20,9.27,9.77,9.21,9.68,831900,9.68
2014-11-19,9.62,9.65,9.31,9.31,697000,9.31
2014-11-18,9.33,9.82,9.33,9.68,850000,9.68
2014-11-17,9.50,9.70,9.12,9.25,924800,9.25
2014-11-14,9.50,9.58,9.16,9.53,1126900,9.53
2014-11-13,10.16,10.36,9.45,9.46,1675100,9.46
2014-11-12,10.05,10.15,9.69,10.12,1507800,10.12
2014-11-11,9.94,10.39,9.67,10.10,1811900,10.10
2014-11-10,9.79,10.10,9.54,9.95,1367500,9.95
2014-11-07,9.69,9.97,9.38,9.77,1263500,9.77
2014-11-06,9.44,9.69,9.40,9.66,833100,9.66
2014-11-05,9.31,9.46,9.11,9.39,963200,9.39
2014-11-04,9.29,9.51,9.03,9.20,1085600,9.20
2014-11-03,9.25,9.70,9.11,9.48,1199000,9.48
2014-10-31,9.77,9.98,9.20,9.26,1703000,9.26
2014-10-30,9.35,9.74,9.28,9.49,1247900,9.49
2014-10-29,9.30,9.44,9.14,9.38,945800,9.38
2014-10-28,9.01,9.52,8.87,9.31,1458200,9.31
2014-10-27,8.69,8.95,8.37,8.93,1994500,8.93
2014-10-24,8.95,9.66,8.70,8.75,1742700,8.75
2014-10-23,9.12,9.39,9.00,9.22,1239200,9.22
2014-10-22,8.91,9.40,8.79,9.00,1388200,9.00
2014-10-21,9.56,9.71,8.57,8.84,1622600,8.84
2014-10-20,8.49,9.70,8.41,9.46,2161800,9.46
2014-10-17,8.58,8.68,7.70,8.30,11712900,8.30
2014-10-16,8.64,8.75,8.23,8.38,2027900,8.38
2014-10-15,8.50,8.80,8.30,8.76,1408000,8.76
2014-10-14,8.98,9.13,8.60,8.67,1200800,8.67
2014-10-13,8.91,9.15,8.56,8.87,843800,8.87
2014-10-10,9.05,9.39,8.91,8.93,889900,8.93
2014-10-09,9.73,9.77,9.13,9.21,808500,9.21
2014-10-08,9.56,9.76,8.99,9.73,1067800,9.73
2014-10-07,9.66,9.85,9.38,9.51,928600,9.51
2014-10-06,10.52,10.65,9.66,9.67,1217900,9.67
2014-10-03,10.86,10.94,10.50,10.51,752900,10.51
2014-10-02,10.43,10.79,10.28,10.70,573900,10.70
2014-10-01,10.63,10.81,10.31,10.45,831400,10.45
2014-09-30,11.11,11.17,10.59,10.59,907700,10.59
2014-09-29,10.64,11.24,10.64,11.17,1144200,11.17
2014-09-26,10.87,10.94,10.67,10.78,631300,10.78
2014-09-25,11.20,11.28,10.66,10.82,529800,10.82
2014-09-24,10.76,11.05,10.65,11.04,716500,11.04
2014-09-23,10.85,11.00,10.65,10.69,1318500,10.69
2014-09-22,11.24,11.31,10.71,10.91,810400,10.91
2014-09-19,11.43,11.73,11.20,11.35,1317700,11.35
2014-09-18,11.39,11.48,11.17,11.34,384300,11.34
2014-09-17,11.19,11.43,11.04,11.30,368700,11.30
2014-09-16,11.06,11.23,10.86,11.14,450900,11.14
2014-09-15,11.41,11.48,10.86,10.99,739800,10.99
2014-09-12,11.70,11.75,11.30,11.41,532400,11.41
2014-09-11,11.65,11.86,11.46,11.68,441600,11.68
2014-09-10,11.32,11.75,11.27,11.72,862800,11.72
2014-09-09,11.64,11.65,11.29,11.30,820100,11.30
2014-09-08,11.29,11.63,11.27,11.62,544500,11.62
2014-09-05,11.73,11.85,11.15,11.32,669600,11.32
2014-09-04,12.00,12.10,11.73,11.75,783100,11.75
2014-09-03,12.24,12.41,11.82,12.01,2032700,12.01
2014-09-02,12.02,12.74,11.88,12.20,1302800,12.20
2014-08-29,11.65,11.91,11.56,11.82,468400,11.82
2014-08-28,11.82,12.28,11.63,11.66,739100,11.66
2014-08-27,12.23,12.23,11.88,11.88,691500,11.88
2014-08-26,11.94,12.23,11.88,12.18,563400,12.18
2014-08-25,11.68,12.09,11.64,11.91,558500,11.91
2014-08-22,11.49,11.64,11.28,11.52,479500,11.52
2014-08-21,11.90,11.94,11.48,11.49,525900,11.49
2014-08-20,11.70,12.04,11.60,11.89,506000,11.89
2014-08-19,11.74,11.81,11.58,11.79,584900,11.79
2014-08-18,11.70,11.78,11.52,11.73,752300,11.73
2014-08-15,11.94,11.99,11.28,11.53,787400,11.53
2014-08-14,11.50,11.84,11.38,11.84,658200,11.84
2014-08-13,11.26,11.58,11.13,11.46,621400,11.46
2014-08-12,11.35,11.40,11.16,11.20,732600,11.20
2014-08-11,11.31,11.44,10.98,11.43,777400,11.43
2014-08-08,11.09,11.35,10.94,11.25,562000,11.25
2014-08-07,11.42,11.59,11.02,11.07,624600,11.07
2014-08-06,10.90,11.59,10.90,11.37,777600,11.37
2014-08-05,10.41,11.04,10.41,11.02,961200,11.02
2014-08-04,10.54,10.84,10.49,10.62,941700,10.62
2014-08-01,10.35,11.00,10.28,10.47,1064600,10.47
2014-07-31,10.98,11.09,10.63,10.78,653600,10.78
2014-07-30,11.12,11.38,11.02,11.11,529500,11.11
2014-07-29,10.61,10.99,10.52,10.95,518800,10.95
2014-07-28,10.62,10.78,10.31,10.53,628600,10.53
2014-07-25,10.82,10.90,10.44,10.63,835300,10.63
2014-07-24,11.36,11.36,10.77,10.89,1074000,10.89
2014-07-23,11.44,11.69,11.01,11.38,818100,11.38
2014-07-22,11.28,11.52,11.09,11.33,508200,11.33
2014-07-21,11.65,11.74,11.13,11.19,976000,11.19
2014-07-18,10.68,11.82,10.68,11.74,3820200,11.74
2014-07-17,11.11,11.29,10.65,10.79,1252400,10.79
2014-07-16,10.85,11.76,10.80,11.27,1418600,11.27
2014-07-15,11.11,11.35,10.65,10.74,1215200,10.74
2014-07-14,11.40,11.44,11.02,11.08,418900,11.08
2014-07-11,10.91,11.26,10.87,11.23,496100,11.23
2014-07-10,10.96,11.32,10.70,10.89,907400,10.89
2014-07-09,11.29,11.36,10.87,11.23,428600,11.23
2014-07-08,11.19,11.39,10.77,11.24,1208000,11.24
2014-07-07,11.59,11.69,11.26,11.28,748900,11.28
2014-07-03,11.86,11.97,11.58,11.60,447100,11.60
2014-07-02,11.91,12.12,11.79,11.85,539700,11.85
2014-07-01,11.90,12.17,11.58,11.95,792400,11.95
2014-06-30,11.92,12.00,11.56,11.85,638700,11.85
2014-06-27,11.70,11.96,11.52,11.91,1989100,11.91
2014-06-26,12.01,12.02,11.56,11.79,778200,11.79
2014-06-25,12.55,12.78,11.87,12.04,1372800,12.04
2014-06-24,13.34,13.78,13.02,13.12,650300,13.12
2014-06-23,13.30,13.54,13.08,13.24,484400,13.24
2014-06-20,13.22,13.30,13.00,13.25,1098700,13.25
2014-06-19,13.18,13.32,12.87,13.15,303900,13.15
2014-06-18,13.09,13.24,12.85,13.15,407700,13.15
2014-06-17,13.10,13.34,12.90,13.05,533100,13.05
2014-06-16,13.40,13.50,13.15,13.29,512400,13.29
2014-06-13,13.28,13.69,13.13,13.26,985500,13.26
2014-06-12,12.44,13.43,12.30,13.20,1679400,13.20
2014-06-11,12.17,12.42,11.92,12.13,495100,12.13
2014-06-10,12.02,12.30,11.86,12.29,511600,12.29
2014-06-09,12.05,12.35,11.98,12.14,610000,12.14
2014-06-06,12.10,12.10,11.65,12.02,505200,12.02
2014-06-05,11.68,12.13,11.64,11.98,767700,11.98
2014-06-04,11.19,11.65,11.12,11.61,584700,11.61
2014-06-03,10.97,11.24,10.90,11.18,1697500,11.18
2014-06-02,11.71,11.74,10.90,11.00,1154300,11.00
2014-05-30,11.74,11.89,11.51,11.82,1102600,11.82
2014-05-29,11.68,11.84,11.49,11.57,662000,11.57
2014-05-28,11.76,11.85,11.53,11.66,487200,11.66
2014-05-27,11.25,11.81,11.25,11.77,712200,11.77
2014-05-23,10.98,11.22,10.79,11.11,667500,11.11
