Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,37.11,37.69,36.98,37.09,77000,36.94
2014-12-30,37.22,37.39,36.65,37.14,116600,36.99
2014-12-29,35.79,37.70,35.79,36.90,145600,36.75
2014-12-26,35.89,36.16,35.16,35.59,46800,35.45
2014-12-24,35.66,36.02,35.09,35.66,59300,35.52
2014-12-23,34.60,36.15,34.52,35.80,150000,35.66
2014-12-22,34.31,34.74,33.88,34.52,136200,34.38
2014-12-19,33.40,35.05,32.49,33.97,207800,33.83
2014-12-18,33.78,34.87,33.06,33.33,194100,33.20
2014-12-17,33.49,33.69,32.97,33.33,143800,33.20
2014-12-16,32.08,33.94,31.89,32.83,168600,32.70
2014-12-15,31.46,32.23,30.76,32.08,69100,31.95
2014-12-12,30.67,31.44,30.66,31.08,69300,30.95
2014-12-11,30.37,31.50,30.30,31.03,85100,30.90
2014-12-10,30.08,30.73,29.82,30.28,60900,30.16
2014-12-09,28.69,30.74,28.69,30.18,99900,30.06
2014-12-08,29.00,30.27,28.56,28.69,93500,28.57
2014-12-05,28.50,28.76,28.50,28.63,35600,28.51
2014-12-04,27.90,28.88,27.90,28.50,69400,28.39
2014-12-03,27.87,28.17,27.59,27.94,31500,27.83
2014-12-02,27.21,27.95,26.89,27.94,30000,27.83
2014-12-01,27.14,27.62,26.72,27.26,56300,27.15
2014-11-28,27.79,28.20,27.07,27.14,36100,27.03
2014-11-26,28.28,28.28,27.68,27.96,12800,27.85
2014-11-25,28.31,28.31,27.53,27.85,40600,27.74
2014-11-24,27.63,28.27,27.43,28.25,68700,28.14
2014-11-21,27.69,27.81,27.13,27.74,40900,27.63
2014-11-20,26.85,27.39,26.81,27.31,39500,27.20
2014-11-19,27.42,27.54,26.87,27.10,49100,26.99
2014-11-18,27.64,27.68,27.17,27.31,18900,27.20
2014-11-17,27.76,27.92,27.19,27.46,22600,27.35
2014-11-14,27.98,28.08,27.63,27.63,33300,27.52
2014-11-13,27.92,28.16,27.69,27.97,34600,27.86
2014-11-12,27.32,27.92,27.29,27.87,18900,27.76
2014-11-11,27.33,27.49,27.26,27.43,25400,27.32
2014-11-10,27.19,27.45,26.73,27.43,31700,27.32
2014-11-07,27.46,27.46,27.06,27.29,24700,27.18
2014-11-06,27.24,27.49,27.07,27.42,47000,27.31
2014-11-05,27.30,27.30,26.92,27.17,27700,27.06
2014-11-04,26.70,27.23,26.55,27.15,24100,27.04
2014-11-03,27.00,27.20,26.64,26.84,38800,26.73
2014-10-31,27.00,27.21,26.25,26.90,76400,26.79
2014-10-30,25.73,26.48,25.73,26.47,46500,26.36
2014-10-29,25.29,26.08,25.25,25.89,27000,25.79
2014-10-28,24.46,25.42,24.46,25.40,44500,25.30
2014-10-27,24.62,24.73,24.24,24.50,26500,24.40
2014-10-24,25.17,25.17,24.55,24.63,22400,24.53
2014-10-23,24.78,25.30,24.60,25.11,52800,25.01
2014-10-22,24.90,24.96,24.44,24.46,27400,24.36
2014-10-21,25.09,25.22,24.86,24.97,24900,24.87
2014-10-20,24.49,25.33,24.49,25.07,40100,24.97
2014-10-17,25.54,25.54,24.45,24.61,34900,24.51
2014-10-16,24.69,25.22,24.66,25.16,39200,25.06
2014-10-15,24.39,25.04,24.11,24.97,55900,24.87
2014-10-14,24.46,24.95,24.16,24.78,41600,24.68
2014-10-13,23.74,24.67,23.56,24.32,26200,24.22
2014-10-10,23.59,23.88,23.29,23.70,30100,23.60
2014-10-09,24.22,24.45,23.57,23.74,19700,23.64
2014-10-08,23.84,24.32,23.45,24.24,39800,24.14
2014-10-07,23.90,24.13,23.07,23.81,29800,23.71
2014-10-06,24.22,24.59,24.10,24.17,41900,23.91
2014-10-03,23.87,24.39,23.73,24.28,31100,24.02
2014-10-02,23.40,23.99,23.40,23.60,23200,23.34
2014-10-01,23.52,23.83,23.38,23.41,39900,23.16
2014-09-30,23.96,24.14,23.69,23.69,59000,23.43
2014-09-29,23.77,24.70,23.76,23.92,26400,23.66
2014-09-26,23.93,24.23,23.76,24.04,39900,23.78
2014-09-25,24.27,24.27,23.83,23.92,43500,23.66
2014-09-24,24.52,25.33,24.34,24.43,30500,24.17
2014-09-23,24.80,25.17,24.39,24.57,35500,24.30
2014-09-22,25.13,25.46,24.80,24.81,30600,24.54
2014-09-19,25.45,26.07,24.95,25.33,102100,25.06
2014-09-18,25.22,25.45,25.06,25.38,18100,25.11
2014-09-17,25.47,25.47,24.99,25.09,20400,24.82
2014-09-16,24.97,25.67,24.67,25.43,27400,25.15
2014-09-15,25.64,25.64,25.10,25.12,18500,24.85
2014-09-12,26.13,26.13,25.40,25.74,26500,25.46
2014-09-11,25.51,26.14,25.38,26.05,46000,25.77
2014-09-10,25.72,25.83,25.39,25.72,15900,25.44
2014-09-09,25.85,25.97,25.59,25.79,44000,25.51
2014-09-08,25.74,26.00,25.56,25.99,50400,25.71
2014-09-05,25.23,25.81,24.82,25.60,52800,25.32
2014-09-04,25.76,25.86,25.27,25.36,16500,25.09
2014-09-03,25.89,26.00,25.56,25.80,48900,25.52
2014-09-02,25.26,25.94,25.12,25.62,50100,25.34
2014-08-29,24.81,25.39,24.44,25.24,63100,24.97
2014-08-28,25.03,25.10,24.58,24.73,22000,24.46
2014-08-27,25.39,25.40,25.11,25.12,15900,24.85
2014-08-26,25.09,25.40,25.09,25.26,26500,24.99
2014-08-25,25.18,25.19,24.72,25.08,38800,24.81
2014-08-22,24.94,25.26,24.94,25.14,16300,24.87
2014-08-21,25.06,25.18,24.80,24.91,34700,24.64
2014-08-20,25.18,25.23,24.85,25.00,27900,24.73
2014-08-19,25.21,25.43,25.04,25.20,25100,24.93
2014-08-18,25.24,25.55,25.05,25.34,29200,25.07
2014-08-15,25.26,25.29,24.43,24.93,59900,24.66
2014-08-14,25.02,25.41,24.88,24.97,27100,24.70
2014-08-13,25.07,25.13,24.88,24.93,18300,24.66
2014-08-12,25.31,25.42,24.80,25.07,22600,24.80
2014-08-11,24.96,25.79,24.96,25.31,40000,25.04
2014-08-08,24.60,25.03,24.54,24.89,29100,24.62
2014-08-07,24.64,24.74,24.32,24.67,17100,24.40
2014-08-06,24.18,24.75,24.18,24.47,56000,24.20
2014-08-05,23.95,24.69,23.92,24.30,46100,24.04
2014-08-04,24.41,24.85,23.97,23.98,118400,23.72
2014-08-01,24.46,24.71,23.91,24.66,54400,24.39
2014-07-31,24.81,24.90,24.41,24.52,35800,24.25
2014-07-30,25.33,25.33,24.93,24.99,28300,24.72
2014-07-29,25.30,25.52,25.03,25.10,27700,24.83
2014-07-28,25.24,25.66,25.01,25.01,46000,24.74
2014-07-25,25.43,25.47,25.22,25.24,26900,24.97
2014-07-24,25.77,25.89,25.55,25.65,43900,25.37
2014-07-23,26.09,26.18,25.80,25.86,16500,25.58
2014-07-22,26.09,26.33,25.85,25.95,35300,25.67
2014-07-21,26.02,26.18,25.85,26.00,30500,25.72
2014-07-18,25.78,26.50,25.78,26.33,30700,26.04
2014-07-17,26.03,26.54,25.78,25.89,34200,25.61
2014-07-16,26.06,26.46,25.75,26.34,40100,26.05
2014-07-15,25.88,26.06,25.69,25.85,29300,25.57
2014-07-14,25.88,26.17,25.69,26.02,29100,25.74
2014-07-11,25.67,26.04,25.61,25.73,34900,25.45
2014-07-10,25.41,26.08,25.41,25.86,33500,25.58
2014-07-09,26.09,26.29,25.91,25.93,21800,25.65
2014-07-08,26.37,26.91,26.08,26.08,39800,25.80
2014-07-07,27.05,27.05,26.51,26.54,47500,26.09
2014-07-03,26.95,27.29,26.95,27.26,15700,26.80
2014-07-02,26.91,27.15,26.88,26.94,27400,26.48
2014-07-01,26.36,27.31,26.36,27.02,48600,26.56
2014-06-30,26.44,26.52,26.03,26.35,35400,25.90
2014-06-27,25.99,26.74,25.86,26.37,160700,25.92
2014-06-26,26.78,26.78,25.96,26.24,23800,25.79
2014-06-25,25.80,26.92,25.80,26.85,31600,26.39
2014-06-24,26.27,26.41,25.92,25.99,51000,25.55
2014-06-23,26.44,26.51,26.25,26.27,34800,25.82
2014-06-20,26.72,26.72,26.30,26.31,57800,25.86
2014-06-19,27.05,27.05,26.50,26.54,23100,26.09
2014-06-18,27.13,27.13,26.51,26.86,30100,26.40
2014-06-17,27.06,27.36,26.98,27.19,30000,26.73
2014-06-16,26.73,27.16,26.55,27.12,26800,26.66
2014-06-13,27.30,27.35,26.76,26.86,26200,26.40
2014-06-12,27.08,27.33,26.84,27.16,27000,26.70
2014-06-11,27.47,27.55,26.95,27.08,29700,26.62
2014-06-10,27.39,27.63,27.23,27.49,24900,27.02
2014-06-09,26.99,27.66,26.85,27.54,46900,27.07
2014-06-06,27.47,27.84,27.02,27.13,32300,26.67
2014-06-05,25.84,27.43,25.65,27.18,80300,26.72
2014-06-04,25.63,26.08,25.52,25.79,37800,25.35
2014-06-03,25.90,25.98,25.58,25.69,50900,25.25
2014-06-02,26.44,26.56,25.75,26.17,59900,25.73
2014-05-30,27.20,27.44,25.96,26.22,154300,25.77
2014-05-29,27.65,27.82,27.02,27.31,25700,26.85
2014-05-28,27.76,27.95,27.44,27.65,37400,27.18
2014-05-27,27.29,27.80,27.19,27.70,50800,27.23
2014-05-23,26.80,27.34,26.50,27.31,28700,26.85
2014-05-22,26.47,26.79,26.03,26.71,24400,26.26
2014-05-21,26.20,26.49,25.88,26.31,55800,25.86
2014-05-20,27.27,27.64,26.25,26.30,71900,25.85
2014-05-19,26.72,27.57,26.64,27.51,76800,27.04
2014-05-16,26.74,26.85,26.51,26.68,66200,26.23
2014-05-15,27.11,27.20,26.49,26.80,52300,26.34
2014-05-14,27.29,27.49,26.66,27.16,69100,26.70
2014-05-13,27.27,27.68,26.98,27.43,115400,26.96
2014-05-12,26.61,27.27,26.55,27.22,72700,26.76
2014-05-09,25.87,26.50,25.87,26.39,52700,25.94
2014-05-08,26.45,26.61,25.80,26.11,51500,25.67
2014-05-07,26.61,26.80,26.08,26.59,51400,26.14
2014-05-06,25.97,26.86,25.75,26.64,65000,26.19
2014-05-05,25.71,26.34,25.17,26.07,78600,25.63
2014-05-02,23.35,26.10,23.35,26.04,170400,25.60
2014-05-01,22.88,23.10,22.63,22.95,85600,22.56
2014-04-30,23.25,23.25,22.82,22.99,60700,22.60
2014-04-29,23.46,23.57,23.18,23.19,36800,22.80
2014-04-28,23.48,23.95,23.24,23.43,38800,23.03
2014-04-25,23.15,23.46,23.13,23.31,52200,22.91
2014-04-24,23.24,23.32,23.00,23.19,24800,22.80
2014-04-23,22.91,23.17,22.91,23.17,42200,22.78
2014-04-22,22.95,23.05,22.80,22.91,57300,22.52
2014-04-21,22.60,23.04,22.60,22.84,24600,22.45
2014-04-17,22.44,22.76,22.29,22.65,77200,22.27
2014-04-16,22.50,22.65,22.17,22.48,31800,22.10
2014-04-15,22.58,22.58,22.17,22.37,36900,21.99
2014-04-14,22.96,23.02,22.38,22.62,56800,22.24
2014-04-11,22.82,23.40,22.67,22.68,51400,22.29
2014-04-10,23.40,23.78,22.91,22.93,59900,22.54
2014-04-09,23.55,23.75,23.20,23.71,39300,23.31
2014-04-08,23.50,23.82,23.36,23.39,36100,22.99
2014-04-07,23.64,23.83,23.36,23.63,40900,23.07
2014-04-04,24.45,24.45,23.55,23.82,34300,23.25
2014-04-03,24.19,24.43,23.74,24.27,18300,23.69
2014-04-02,24.18,24.85,24.08,24.28,32200,23.70
2014-04-01,23.87,24.46,23.74,24.18,53900,23.60
2014-03-31,23.46,24.13,23.46,23.82,58300,23.25
2014-03-28,23.36,23.94,23.35,23.39,30100,22.83
2014-03-27,23.77,24.00,23.29,23.39,53400,22.83
2014-03-26,24.43,24.61,23.73,23.74,44100,23.17
2014-03-25,24.44,24.68,24.17,24.18,45000,23.60
2014-03-24,24.55,24.73,24.00,24.38,59400,23.80
2014-03-21,23.89,24.65,23.67,24.54,86700,23.95
2014-03-20,24.17,24.18,23.65,23.72,46300,23.15
2014-03-19,24.03,24.13,23.80,24.04,39700,23.47
2014-03-18,23.70,24.18,23.64,24.13,28500,23.55
2014-03-17,24.05,24.06,23.73,23.75,22100,23.18
2014-03-14,23.25,23.98,23.25,23.84,30800,23.27
2014-03-13,24.02,24.02,23.25,23.33,32400,22.77
2014-03-12,23.57,24.03,23.54,23.87,33600,23.30
2014-03-11,24.47,24.48,23.63,23.79,42400,23.22
2014-03-10,24.30,24.75,24.19,24.54,59600,23.95
2014-03-07,24.38,24.55,24.15,24.46,50900,23.88
2014-03-06,24.28,24.53,24.03,24.20,92300,23.62
2014-03-05,23.97,24.38,23.80,24.29,91900,23.71
2014-03-04,23.78,24.48,23.55,24.07,81600,23.50
2014-03-03,23.34,23.71,23.20,23.50,55100,22.94
2014-02-28,23.65,23.73,23.30,23.48,73100,22.92
2014-02-27,23.43,23.67,23.25,23.56,32900,23.00
2014-02-26,23.44,23.60,23.25,23.43,30100,22.87
2014-02-25,23.30,23.44,23.25,23.35,27800,22.79
2014-02-24,23.65,23.77,23.25,23.32,42400,22.76
2014-02-21,23.68,23.68,23.43,23.53,26000,22.97
2014-02-20,23.34,23.67,23.34,23.55,27300,22.99
2014-02-19,23.14,23.39,23.14,23.24,53200,22.69
2014-02-18,23.17,23.51,23.13,23.34,103600,22.78
2014-02-14,22.91,23.12,22.60,23.03,40200,22.48
2014-02-13,22.31,22.87,22.28,22.83,67200,22.29
2014-02-12,22.22,22.59,22.20,22.40,77000,21.87
2014-02-11,22.33,22.70,22.19,22.26,58400,21.73
2014-02-10,22.16,22.33,22.08,22.23,134500,21.70
2014-02-07,22.33,22.44,22.10,22.26,63800,21.73
2014-02-06,22.58,22.80,21.94,22.22,128800,21.69
2014-02-05,23.00,23.02,22.30,22.41,124700,21.88
2014-02-04,24.06,24.11,23.15,23.15,129000,22.60
2014-02-03,27.28,27.49,23.75,24.02,167900,23.45
2014-01-31,27.18,27.66,27.09,27.18,95200,26.53
2014-01-30,27.49,27.78,27.06,27.64,58400,26.98
2014-01-29,26.84,27.39,26.65,27.15,56300,26.50
2014-01-28,26.76,27.11,26.52,27.10,78200,26.45
2014-01-27,26.54,27.08,26.22,26.84,61200,26.20
2014-01-24,26.21,26.70,26.15,26.40,85600,25.77
2014-01-23,26.36,26.63,26.31,26.44,98500,25.81
2014-01-22,26.61,26.75,26.15,26.42,103100,25.79
2014-01-21,26.83,26.93,26.28,26.57,95000,25.94
2014-01-17,26.68,26.92,26.49,26.59,62000,25.96
2014-01-16,26.85,27.01,26.48,26.64,66300,26.00
2014-01-15,27.00,27.38,26.85,26.91,64100,26.27
2014-01-14,26.60,27.24,26.46,26.98,73000,26.34
2014-01-13,26.83,26.94,26.21,26.33,72600,25.70
2014-01-10,26.86,27.39,26.70,26.88,66700,26.24
2014-01-09,26.84,27.08,26.60,26.89,79600,26.25
2014-01-08,27.50,27.51,26.70,26.78,72300,26.14
2014-01-07,26.80,27.57,26.65,27.48,75100,26.82
2014-01-06,26.95,27.20,26.70,26.81,63700,26.01
2014-01-03,26.86,27.24,26.65,26.73,82400,25.93
2014-01-02,26.97,27.22,26.65,26.84,49600,26.04
2013-12-31,26.82,27.48,26.66,27.10,43800,26.29
2013-12-30,26.90,27.12,26.69,26.92,26700,26.12
2013-12-27,27.48,27.48,26.84,27.00,21400,26.19
2013-12-26,27.51,27.55,27.26,27.38,21000,26.56
2013-12-24,27.19,27.64,27.08,27.46,20000,26.64
2013-12-23,26.95,27.22,26.64,27.08,36600,26.27
2013-12-20,26.09,26.95,25.93,26.72,147300,25.92
2013-12-19,26.20,26.41,25.75,25.96,30000,25.18
2013-12-18,25.79,26.55,25.51,26.17,76400,25.39
2013-12-17,25.11,25.74,24.87,25.72,71500,24.95
2013-12-16,24.67,25.28,24.67,25.19,43300,24.44
2013-12-13,24.73,25.03,24.37,24.63,67000,23.89
2013-12-12,24.37,24.82,24.25,24.74,50100,24.00
2013-12-11,24.76,24.76,24.25,24.41,45500,23.68
2013-12-10,25.18,25.47,24.26,24.64,78600,23.90
2013-12-09,24.05,25.49,24.05,25.38,97700,24.62
2013-12-06,24.46,24.71,23.67,23.68,67100,22.97
2013-12-05,25.15,25.22,24.30,24.30,59000,23.57
2013-12-04,24.63,25.32,24.63,25.23,54600,24.48
2013-12-03,24.22,25.02,24.22,24.71,598600,23.97
2013-12-02,25.22,26.22,24.03,24.89,232500,24.15
2013-11-29,26.80,26.80,25.94,26.27,19200,25.49
2013-11-27,26.57,26.79,26.42,26.67,24600,25.87
2013-11-26,26.36,26.77,26.14,26.50,35300,25.71
2013-11-25,26.60,26.80,26.07,26.25,14300,25.47
2013-11-22,26.08,26.48,25.96,26.48,22900,25.69
2013-11-21,25.62,26.18,25.61,26.05,37000,25.27
2013-11-20,25.66,25.86,25.44,25.50,17900,24.74
2013-11-19,25.83,26.18,25.64,25.65,25000,24.88
2013-11-18,26.71,26.72,25.43,25.72,53400,24.95
2013-11-15,26.36,26.79,26.35,26.52,49500,25.73
2013-11-14,26.91,26.95,26.11,26.40,20700,25.61
2013-11-13,26.31,27.10,25.93,26.99,41600,26.18
2013-11-12,26.12,26.59,25.96,26.41,43700,25.62
2013-11-11,26.46,26.74,26.16,26.20,23000,25.42
2013-11-08,25.48,26.48,25.48,26.44,70400,25.65
2013-11-07,26.41,26.64,25.45,25.49,80300,24.73
2013-11-06,26.56,26.69,26.05,26.35,72500,25.56
2013-11-05,26.11,26.84,25.93,26.47,74600,25.68
2013-11-04,26.06,26.40,25.94,26.18,42600,25.40
2013-11-01,25.93,26.31,25.30,26.05,68500,25.27
2013-10-31,26.53,26.67,25.75,25.81,72000,25.04
2013-10-30,27.26,27.31,26.53,26.60,31700,25.81
2013-10-29,27.06,27.18,26.53,27.17,52000,26.36
2013-10-28,26.55,27.10,26.28,26.90,28000,26.10
2013-10-25,25.81,26.56,25.81,26.50,31800,25.71
2013-10-24,26.16,26.28,25.70,25.71,32500,24.94
2013-10-23,26.04,26.44,25.96,26.06,32700,25.28
2013-10-22,26.17,26.36,25.37,26.12,50900,25.34
2013-10-21,26.55,26.75,25.99,26.01,50100,25.23
2013-10-18,26.60,26.96,26.25,26.40,118200,25.61
2013-10-17,26.22,26.85,26.22,26.37,46800,25.58
2013-10-16,26.78,27.03,26.41,26.44,44000,25.65
2013-10-15,26.62,27.60,26.41,26.66,63600,25.86
2013-10-14,26.97,27.12,26.60,26.86,39400,26.06
