Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.90,1.99,1.81,1.89,68800,1.89
2014-12-30,1.87,1.87,1.87,1.87,000,1.87
2014-12-29,1.89,2.00,1.86,1.88,70600,1.88
2014-12-26,1.92,2.00,1.82,2.00,24000,2.00
2014-12-24,1.90,1.91,1.85,1.89,29000,1.89
2014-12-23,2.01,2.03,1.85,1.87,178600,1.87
2014-12-22,2.18,2.18,1.91,1.99,140500,1.99
2014-12-19,2.25,2.30,2.03,2.03,120600,2.03
2014-12-18,2.28,2.28,2.07,2.27,201800,2.27
2014-12-17,2.30,2.46,2.25,2.35,31000,2.35
2014-12-16,2.35,2.51,2.10,2.14,69700,2.14
2014-12-15,2.51,2.51,2.30,2.37,51700,2.37
2014-12-12,2.40,2.50,2.40,2.42,24200,2.42
2014-12-11,2.50,2.62,2.40,2.40,54000,2.40
2014-12-10,2.51,2.63,2.36,2.47,38100,2.47
2014-12-09,2.53,2.66,2.48,2.50,47700,2.50
2014-12-08,2.60,2.67,2.49,2.52,195100,2.52
2014-12-05,2.61,2.67,2.53,2.53,17200,2.53
2014-12-04,2.55,2.64,2.55,2.59,9300,2.59
2014-12-03,2.74,2.85,2.50,2.52,70800,2.52
2014-12-02,2.40,2.74,2.40,2.63,82700,2.63
2014-12-01,2.74,2.74,2.02,2.27,28800,2.27
2014-11-28,2.61,2.69,2.61,2.69,1400,2.69
2014-11-26,2.89,2.89,2.60,2.62,6900,2.62
2014-11-25,2.75,2.75,2.60,2.75,32900,2.75
2014-11-24,2.87,2.87,2.64,2.71,23000,2.71
2014-11-21,2.65,2.90,2.65,2.87,175200,2.87
2014-11-20,2.67,2.70,2.50,2.57,140600,2.57
2014-11-19,2.82,2.82,2.68,2.74,1900,2.74
2014-11-18,2.66,2.85,2.65,2.72,22900,2.72
2014-11-17,2.91,3.00,2.66,2.87,37000,2.87
2014-11-14,2.90,2.92,2.65,2.91,5100,2.91
2014-11-13,2.70,2.93,2.66,2.79,18600,2.79
2014-11-12,2.95,2.95,2.65,2.66,24900,2.66
2014-11-11,2.89,2.95,2.82,2.89,8500,2.89
2014-11-10,2.94,2.95,2.69,2.72,18800,2.72
2014-11-07,2.92,2.95,2.79,2.95,2800,2.95
2014-11-06,2.71,2.89,2.59,2.89,8900,2.89
2014-11-05,2.70,2.79,2.65,2.79,25800,2.79
2014-11-04,2.70,2.70,2.60,2.64,21100,2.64
2014-11-03,2.92,2.92,2.60,2.68,39800,2.68
2014-10-31,2.90,2.95,2.89,2.92,37400,2.92
2014-10-30,2.87,3.00,2.87,2.95,15300,2.95
2014-10-29,2.97,3.02,2.83,3.02,60500,3.02
2014-10-28,2.95,3.02,2.81,3.00,92300,3.00
2014-10-27,3.01,3.02,2.89,3.00,8700,3.00
