Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.20,9.40,9.14,9.18,572800,9.18
2014-12-30,9.32,9.35,9.15,9.19,14000,9.19
2014-12-29,9.33,9.55,9.07,9.28,738900,9.28
2014-12-26,9.14,9.57,9.14,9.36,607100,9.36
2014-12-24,9.20,9.28,9.00,9.11,310000,9.11
2014-12-23,9.44,9.60,9.13,9.20,481400,9.20
2014-12-22,9.46,9.52,9.02,9.45,638900,9.45
2014-12-19,8.99,9.60,8.80,9.48,2901500,9.48
2014-12-18,8.84,9.08,8.80,9.01,627200,9.01
2014-12-17,8.36,8.79,8.34,8.78,734500,8.78
2014-12-16,8.19,8.70,8.19,8.34,614900,8.34
2014-12-15,8.72,8.77,8.17,8.26,645800,8.26
2014-12-12,8.12,8.84,8.12,8.49,716800,8.49
2014-12-11,8.30,8.49,8.15,8.22,599400,8.22
2014-12-10,8.51,8.60,8.18,8.21,566700,8.21
2014-12-09,8.50,8.57,8.10,8.56,1035200,8.56
2014-12-08,8.87,9.06,8.55,8.57,729800,8.57
2014-12-05,8.80,9.08,8.80,8.89,782700,8.89
2014-12-04,9.20,9.30,8.70,8.78,1252800,8.78
2014-12-03,9.33,9.50,9.13,9.24,550100,9.24
2014-12-02,9.25,9.50,9.25,9.40,627900,9.40
2014-12-01,10.03,10.03,9.24,9.25,800500,9.25
2014-11-28,9.93,10.07,9.65,9.68,561200,9.68
2014-11-26,10.05,10.08,9.80,9.89,581100,9.89
2014-11-25,10.20,10.26,9.85,10.04,1495600,10.04
2014-11-24,9.95,10.23,9.87,10.18,1210300,10.18
2014-11-21,10.06,10.20,9.75,9.98,652400,9.98
2014-11-20,9.56,10.02,9.40,9.95,1065800,9.95
2014-11-19,9.81,9.87,9.35,9.44,1254500,9.44
2014-11-18,10.00,10.32,9.80,9.86,1227900,9.86
2014-11-17,9.90,10.40,9.51,9.93,2045600,9.93
2014-11-14,10.99,11.05,10.85,11.00,634700,11.00
2014-11-13,11.06,11.20,10.92,11.01,400100,11.01
2014-11-12,11.20,11.26,10.93,11.10,615400,11.10
2014-11-11,11.24,11.46,11.09,11.30,633400,11.30
2014-11-10,11.00,11.24,10.67,11.24,1346800,11.24
2014-11-07,11.00,11.35,11.00,11.23,711000,11.23
2014-11-06,11.17,11.35,11.00,11.07,728300,11.07
2014-11-05,11.60,11.65,11.06,11.23,774300,11.23
2014-11-04,11.65,11.90,11.37,11.53,602900,11.53
2014-11-03,11.38,11.78,11.38,11.65,789800,11.65
2014-10-31,11.60,11.75,11.22,11.36,804000,11.36
2014-10-30,11.30,11.66,11.22,11.43,848400,11.43
2014-10-29,11.34,11.42,11.04,11.20,524100,11.20
2014-10-28,11.34,11.55,11.18,11.38,645000,11.38
2014-10-27,11.35,11.45,10.91,11.31,536300,11.31
2014-10-24,11.41,11.55,11.06,11.31,521500,11.31
2014-10-23,10.96,11.52,10.95,11.20,890500,11.20
2014-10-22,11.55,11.57,10.90,10.95,1298900,10.95
2014-10-21,12.39,12.54,11.15,11.55,2420500,11.55
2014-10-20,12.11,13.04,11.94,12.19,2540800,12.19
2014-10-17,12.00,12.40,11.80,12.31,2263000,12.31
2014-10-16,11.24,11.95,11.15,11.84,2659300,11.84
2014-10-15,10.47,11.25,10.45,11.24,2197600,11.24
2014-10-14,10.88,11.13,10.30,10.94,2412300,10.94
2014-10-13,10.04,10.61,9.85,10.52,1586700,10.52
2014-10-10,10.23,10.42,9.92,10.04,823000,10.04
2014-10-09,10.55,10.55,10.00,10.09,850500,10.09
2014-10-08,10.40,10.63,9.95,10.52,1175000,10.52
2014-10-07,11.01,11.15,10.34,10.34,1384000,10.34
2014-10-06,10.79,11.60,10.66,11.15,3954400,11.15
2014-10-03,10.48,11.29,10.45,11.03,2631100,11.03
2014-10-02,10.15,10.49,9.82,10.45,1662500,10.45
2014-10-01,10.34,10.45,9.65,9.80,1487100,9.80
2014-09-30,9.95,10.10,9.75,9.85,564300,9.85
2014-09-29,9.99,10.09,9.75,9.96,744400,9.96
2014-09-26,10.44,10.48,9.96,10.10,1123900,10.10
2014-09-25,10.33,10.86,10.26,10.44,1861600,10.44
2014-09-24,10.40,10.60,10.12,10.29,1572700,10.29
2014-09-23,10.10,10.12,9.74,9.77,946000,9.77
2014-09-22,10.20,10.39,10.01,10.12,530500,10.12
2014-09-19,10.15,10.28,10.00,10.22,1547900,10.22
2014-09-18,10.48,10.49,10.14,10.22,472200,10.22
2014-09-17,10.51,10.67,10.39,10.41,576200,10.41
2014-09-16,10.50,10.60,10.35,10.50,694600,10.50
2014-09-15,10.69,10.80,10.33,10.51,725600,10.51
2014-09-12,10.49,10.75,10.44,10.67,788500,10.67
2014-09-11,10.13,10.46,10.02,10.44,473500,10.44
2014-09-10,10.24,10.30,9.99,10.17,608200,10.17
2014-09-09,10.46,10.59,10.30,10.34,399900,10.34
2014-09-08,10.58,10.77,10.29,10.54,507900,10.54
2014-09-05,10.70,10.83,10.60,10.62,468300,10.62
2014-09-04,11.01,11.14,10.70,10.75,574800,10.75
2014-09-03,11.10,11.49,10.91,10.94,1136600,10.94
2014-09-02,10.61,11.27,10.53,11.04,1354400,11.04
2014-08-29,10.60,10.74,10.50,10.59,517800,10.59
2014-08-28,10.87,10.88,10.36,10.63,901400,10.63
2014-08-27,10.40,10.83,10.27,10.75,1506700,10.75
2014-08-26,10.52,10.65,10.20,10.32,911900,10.32
