Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.75,24.81,24.65,24.67,1500,24.67
2014-12-30,24.64,24.77,24.64,24.77,700,24.77
2014-12-29,24.71,24.80,24.70,24.70,6000,24.70
2014-12-26,24.80,24.86,24.74,24.74,2700,24.74
2014-12-24,24.61,24.61,24.61,24.61,000,24.61
2014-12-23,24.67,24.67,24.67,24.67,100,24.67
2014-12-22,24.64,24.70,24.56,24.67,4300,24.67
2014-12-19,24.63,24.63,24.45,24.58,1900,24.58
2014-12-18,24.27,24.71,24.27,24.71,800,24.58
2014-12-17,24.31,24.41,24.31,24.41,2400,24.28
2014-12-16,24.13,24.15,24.13,24.15,1200,24.02
2014-12-15,24.14,24.14,23.84,23.98,2600,23.85
2014-12-12,24.33,24.36,24.31,24.31,2500,24.18
2014-12-11,24.60,24.66,24.45,24.47,7000,24.34
2014-12-10,24.81,24.82,24.74,24.74,900,24.61
2014-12-09,25.00,25.06,24.94,25.06,6300,24.93
2014-12-08,25.10,25.11,25.03,25.05,3500,24.92
2014-12-05,25.35,25.38,25.27,25.30,3900,25.17
2014-12-04,25.35,25.48,25.35,25.43,1900,25.30
2014-12-03,25.34,25.39,25.34,25.37,1400,25.24
2014-12-02,25.24,25.27,25.15,25.24,6900,25.11
2014-12-01,25.28,25.38,25.28,25.30,3700,25.17
2014-11-28,25.51,25.51,25.51,25.51,400,25.38
2014-11-26,25.58,25.58,25.58,25.58,3300,25.45
2014-11-25,25.55,25.56,25.50,25.50,2400,25.37
2014-11-24,25.71,25.71,25.56,25.56,5700,25.43
2014-11-21,25.50,25.50,25.46,25.46,1100,25.33
2014-11-20,25.16,25.27,25.16,25.26,3200,25.13
2014-11-19,25.35,25.41,25.32,25.32,1100,25.19
2014-11-18,25.36,25.50,25.36,25.50,900,25.37
2014-11-17,25.30,25.36,25.30,25.35,600,25.22
2014-11-14,25.14,25.39,25.14,25.39,5100,25.25
2014-11-13,25.27,25.27,25.20,25.20,1300,25.07
2014-11-12,25.30,25.30,25.18,25.18,1200,25.05
2014-11-11,25.22,25.36,25.22,25.36,800,25.23
2014-11-10,25.00,25.12,25.00,25.09,12600,24.96
2014-11-07,24.92,25.00,24.89,25.00,4400,24.87
2014-11-06,25.02,25.02,25.02,25.02,000,24.89
2014-11-05,25.14,25.14,25.02,25.02,600,24.89
2014-11-04,25.10,25.10,25.00,25.00,4900,24.87
2014-11-03,25.41,25.47,25.41,25.47,800,25.33
2014-10-31,25.27,25.29,25.25,25.28,22800,25.15
2014-10-30,24.91,24.92,22.47,24.91,4400,24.78
2014-10-29,25.08,25.19,24.88,24.89,1900,24.76
2014-10-28,24.76,25.04,24.76,25.04,7200,24.91
2014-10-27,24.68,24.72,24.58,24.72,8400,24.59
2014-10-24,24.50,24.72,24.50,24.68,3900,24.55
2014-10-23,24.50,24.71,24.50,24.64,2700,24.51
2014-10-22,24.57,24.57,24.41,24.41,1000,24.28
2014-10-21,24.56,24.58,24.54,24.58,3900,24.45
2014-10-20,24.26,24.34,24.24,24.31,1200,24.18
2014-10-17,24.11,24.12,23.92,24.01,5700,23.88
2014-10-16,23.48,23.84,23.48,23.75,4900,23.63
2014-10-15,23.77,23.77,23.45,23.68,77900,23.56
2014-10-14,23.94,24.04,23.88,23.88,7900,23.76
2014-10-13,24.02,24.02,23.77,23.79,6000,23.67
2014-10-10,24.27,24.27,23.80,23.80,6600,23.68
2014-10-09,24.55,24.55,24.26,24.26,1500,24.13
2014-10-08,24.46,24.70,24.40,24.70,4900,24.57
2014-10-07,24.59,24.60,24.57,24.57,3700,24.44
2014-10-06,24.80,24.80,24.69,24.76,1600,24.63
2014-10-03,24.44,24.61,24.44,24.59,13400,24.46
2014-10-02,24.53,24.53,24.53,24.53,600,24.40
2014-10-01,24.77,24.83,24.70,24.73,3800,24.60
2014-09-30,24.87,24.93,24.87,24.90,7900,24.77
2014-09-29,24.91,25.05,24.88,25.04,3500,24.91
2014-09-26,25.14,25.17,25.09,25.17,2700,25.04
2014-09-25,25.24,25.24,25.11,25.18,3200,25.05
2014-09-24,25.26,25.35,25.22,25.35,14000,25.22
2014-09-23,25.32,25.34,25.25,25.28,5500,25.15
2014-09-22,25.50,25.50,25.40,25.41,5900,25.28
2014-09-19,25.63,25.63,25.49,25.52,51300,25.39
2014-09-18,25.72,25.76,25.66,25.66,1800,25.51
2014-09-17,25.70,25.70,25.65,25.65,1300,25.50
2014-09-16,25.52,25.89,25.52,25.81,7400,25.66
2014-09-15,25.64,25.66,25.64,25.66,2500,25.51
2014-09-12,25.70,25.74,25.60,25.67,1900,25.51
2014-09-11,25.83,25.83,25.70,25.73,3700,25.58
2014-09-10,25.93,26.02,25.93,26.02,3300,25.86
2014-09-09,26.01,26.01,26.01,26.01,200,25.85
2014-09-08,26.24,26.24,26.11,26.20,4200,26.04
2014-09-05,26.38,26.38,26.29,26.29,1100,26.13
2014-09-04,26.54,26.54,26.46,26.46,2300,26.30
2014-09-03,26.45,26.57,26.45,26.57,7500,26.41
2014-09-02,26.51,26.51,26.33,26.47,3000,26.31
2014-08-29,26.40,26.40,26.38,26.40,1800,26.24
2014-08-28,26.36,26.36,26.32,26.32,2400,26.16
2014-08-27,26.42,26.45,26.31,26.42,2200,26.26
2014-08-26,26.27,26.31,26.27,26.31,1000,26.15
2014-08-25,25.86,26.23,25.86,26.19,1200,26.03
2014-08-22,26.03,26.04,26.00,26.00,1400,25.84
2014-08-21,26.07,26.10,26.06,26.09,3100,25.94
2014-08-20,25.82,26.03,25.82,26.02,1800,25.87
2014-08-19,26.18,26.24,26.17,26.17,1300,26.01
2014-08-18,26.10,26.22,26.10,26.22,2800,26.06
2014-08-15,25.85,25.96,25.84,25.86,3500,25.71
2014-08-14,25.98,25.98,25.98,25.98,300,25.82
2014-08-13,25.98,25.98,25.77,25.88,1700,25.72
2014-08-12,25.81,25.81,25.80,25.80,1200,25.65
2014-08-11,25.63,25.84,25.63,25.82,5400,25.66
2014-08-08,25.40,25.63,25.40,25.63,11700,25.48
2014-08-07,25.46,25.48,25.45,25.45,2500,25.30
2014-08-06,25.26,25.46,25.26,25.46,1800,25.31
2014-08-05,25.60,25.63,25.52,25.52,4900,25.37
2014-08-04,25.72,25.72,25.60,25.66,800,25.51
2014-08-01,24.25,25.73,23.81,25.56,7000,25.41
2014-07-31,26.25,26.38,25.76,25.76,6900,25.60
2014-07-30,26.25,26.30,26.21,26.24,50300,26.08
2014-07-29,26.48,26.48,26.36,26.41,5500,26.25
2014-07-28,26.51,26.51,26.45,26.45,4200,26.29
2014-07-25,26.34,26.46,26.34,26.42,3900,26.26
2014-07-24,26.41,26.75,26.41,26.52,6900,26.36
2014-07-23,26.63,26.65,26.54,26.57,2300,26.41
2014-07-22,26.67,26.69,26.58,26.58,2400,26.42
2014-07-21,26.44,26.56,26.40,26.47,1900,26.31
2014-07-18,26.57,26.57,26.57,26.57,200,26.41
2014-07-17,26.67,26.73,26.44,26.44,10200,26.28
2014-07-16,26.70,26.73,26.66,26.72,5000,26.56
2014-07-15,26.50,26.56,26.50,26.52,2200,26.36
2014-07-14,26.38,26.60,26.38,26.57,5700,26.41
2014-07-11,26.51,26.51,26.36,26.37,6200,26.21
