Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,15.18,15.62,14.84,15.32,855100,15.32
2014-12-30,15.05,15.30,14.81,15.06,60300,15.06
2014-12-29,14.91,15.31,14.76,14.96,1407600,14.96
2014-12-26,14.71,15.01,14.68,14.95,339700,14.95
2014-12-24,14.32,14.76,14.28,14.57,242900,14.57
2014-12-23,14.60,14.88,13.83,14.32,687700,14.32
2014-12-22,14.78,14.92,14.18,14.56,368800,14.56
2014-12-19,15.03,15.21,14.20,14.79,1499800,14.79
2014-12-18,14.85,15.07,14.70,15.06,887400,15.06
2014-12-17,13.77,14.69,13.71,14.67,697300,14.67
2014-12-16,13.61,14.34,13.54,13.80,659400,13.80
2014-12-15,15.09,15.11,13.70,13.70,1130000,13.70
2014-12-12,14.69,15.34,14.69,15.00,1750300,15.00
2014-12-11,14.78,15.00,14.42,14.91,793400,14.91
2014-12-10,14.81,14.88,14.61,14.64,522100,14.64
2014-12-09,14.16,14.89,13.88,14.88,589600,14.88
2014-12-08,14.33,14.75,14.27,14.31,564800,14.31
2014-12-05,14.17,14.37,14.15,14.34,534600,14.34
2014-12-04,14.09,14.23,13.87,14.19,584500,14.19
2014-12-03,14.11,14.12,13.80,14.09,424700,14.09
2014-12-02,13.72,14.13,13.72,14.07,859300,14.07
2014-12-01,13.82,14.20,13.62,13.69,644800,13.69
2014-11-28,14.25,14.42,13.78,13.84,408000,13.84
2014-11-26,13.79,14.20,13.77,14.17,405900,14.17
2014-11-25,13.83,13.95,13.50,13.81,627100,13.81
2014-11-24,13.87,14.22,13.64,13.78,571300,13.78
2014-11-21,13.92,14.00,13.70,13.84,652900,13.84
2014-11-20,13.19,13.87,13.17,13.67,676500,13.67
2014-11-19,13.41,13.62,13.19,13.21,926400,13.21
2014-11-18,13.30,13.92,13.05,13.40,1356900,13.40
2014-11-17,13.11,13.42,12.86,13.23,663100,13.23
2014-11-14,13.48,13.48,12.99,13.13,536500,13.13
2014-11-13,13.75,13.84,13.15,13.49,654800,13.49
2014-11-12,13.82,13.88,13.48,13.75,560000,13.75
2014-11-11,13.83,14.22,13.73,13.90,986500,13.90
2014-11-10,13.93,14.16,13.65,13.84,865100,13.84
2014-11-07,13.44,14.01,13.03,13.84,1006700,13.84
2014-11-06,12.21,13.43,12.02,13.42,1686200,13.42
2014-11-05,12.69,12.99,12.19,12.59,3367800,12.59
2014-11-04,13.34,13.74,13.15,13.54,920900,13.54
2014-11-03,14.00,14.17,13.47,13.50,1039200,13.50
2014-10-31,14.50,14.50,13.59,14.02,999400,14.02
2014-10-30,13.48,14.40,13.32,14.17,1195000,14.17
2014-10-29,13.79,13.84,13.13,13.56,792000,13.56
2014-10-28,13.38,13.83,13.22,13.80,800700,13.80
2014-10-27,13.11,13.35,12.94,13.31,529100,13.31
2014-10-24,13.32,13.37,13.12,13.26,552400,13.26
2014-10-23,12.67,13.42,12.67,13.30,938800,13.30
2014-10-22,13.15,13.39,12.48,12.51,722900,12.51
2014-10-21,13.16,13.45,12.97,13.15,895400,13.15
2014-10-20,12.52,13.40,12.52,13.05,1067200,13.05
2014-10-17,13.17,13.32,12.53,12.55,783600,12.55
2014-10-16,13.11,13.42,12.54,12.88,2440900,12.88
2014-10-15,12.33,13.38,12.16,13.35,1852300,13.35
2014-10-14,12.69,13.10,12.41,12.51,1389200,12.51
2014-10-13,11.99,12.69,11.77,12.49,1605000,12.49
2014-10-10,11.85,12.33,11.74,11.97,1471600,11.97
2014-10-09,12.17,12.32,11.72,11.92,969500,11.92
2014-10-08,11.95,12.37,11.65,12.22,1348100,12.22
2014-10-07,11.96,12.43,11.70,11.94,1493300,11.94
2014-10-06,12.75,12.90,11.99,12.03,1235700,12.03
2014-10-03,13.10,13.18,12.44,12.72,1037100,12.72
2014-10-02,13.11,13.29,12.71,12.98,1387900,12.98
2014-10-01,12.98,13.12,12.70,13.06,1251100,13.06
2014-09-30,13.39,13.48,12.90,12.96,1268500,12.96
2014-09-29,12.79,13.47,12.74,13.39,790500,13.39
2014-09-26,13.01,13.16,12.71,12.99,1288200,12.99
2014-09-25,12.59,13.42,12.44,12.99,1500300,12.99
2014-09-24,12.24,12.78,12.15,12.67,1257700,12.67
2014-09-23,12.37,12.63,12.19,12.19,728500,12.19
2014-09-22,12.54,12.65,11.97,12.27,1106900,12.27
2014-09-19,12.89,12.93,12.38,12.60,1663200,12.60
2014-09-18,12.57,12.86,12.37,12.85,775400,12.85
2014-09-17,12.28,12.72,12.24,12.52,946400,12.52
2014-09-16,12.55,12.82,12.12,12.24,1734300,12.24
2014-09-15,13.25,13.49,12.57,12.59,905700,12.59
2014-09-12,13.99,14.18,13.10,13.27,1100500,13.27
2014-09-11,13.69,14.22,13.43,13.95,1210000,13.95
