Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,80.11,80.54,79.85,79.96,405400,79.96
2014-12-30,80.49,80.94,79.65,79.97,347000,79.97
2014-12-29,78.91,80.75,78.86,80.53,416100,80.53
2014-12-26,79.27,79.86,78.92,79.20,251400,79.20
2014-12-24,79.22,79.84,78.80,78.82,265000,78.82
2014-12-23,78.39,79.57,78.19,78.99,359200,78.99
2014-12-22,77.57,78.65,76.57,78.49,278300,78.49
2014-12-19,77.56,78.28,77.08,77.32,1059700,77.32
2014-12-18,78.28,79.04,77.31,78.01,479300,78.01
2014-12-17,76.49,77.71,75.27,77.68,404600,77.68
2014-12-16,77.13,77.88,76.23,76.24,563300,76.24
2014-12-15,78.21,78.98,76.98,77.52,560900,77.52
2014-12-12,76.30,79.14,76.00,78.00,690500,78.00
2014-12-11,76.07,77.66,75.70,77.05,430200,77.05
2014-12-10,76.23,77.26,75.35,75.45,534800,75.45
2014-12-09,74.63,77.47,74.19,76.32,615800,76.32
2014-12-08,75.21,76.65,75.10,75.42,520300,75.42
2014-12-05,75.74,75.98,75.00,75.65,357500,75.65
2014-12-04,75.09,76.52,75.08,75.87,334100,75.87
2014-12-03,75.17,75.93,74.51,75.45,354600,75.45
2014-12-02,74.57,75.75,73.95,75.28,869500,75.28
2014-12-01,74.50,75.91,74.27,74.34,842800,74.34
2014-11-28,73.36,75.39,73.34,74.50,351200,74.50
2014-11-26,72.13,74.03,72.03,73.97,533600,73.97
2014-11-25,74.56,74.87,73.34,73.53,568500,73.33
2014-11-24,73.73,74.52,73.30,74.51,407300,74.31
2014-11-21,75.56,75.60,73.13,73.37,594000,73.17
2014-11-20,75.12,75.93,74.34,74.61,666800,74.41
2014-11-19,74.50,77.58,73.50,74.92,2344500,74.72
2014-11-18,70.68,71.84,70.52,71.50,1287900,71.31
2014-11-17,71.74,72.01,69.73,70.29,950600,70.10
2014-11-14,72.17,72.35,71.25,71.75,527400,71.55
2014-11-13,72.61,72.70,71.94,72.34,367000,72.14
2014-11-12,72.14,72.41,71.47,72.31,350700,72.11
2014-11-11,73.00,73.06,72.01,72.35,435300,72.15
2014-11-10,71.93,73.13,71.79,73.05,301800,72.85
2014-11-07,72.78,72.90,71.29,71.83,629700,71.63
2014-11-06,72.94,73.19,71.80,73.00,400700,72.80
2014-11-05,73.34,73.74,72.00,72.45,469000,72.25
2014-11-04,71.08,73.49,70.87,73.25,573600,73.05
2014-11-03,71.03,71.91,70.70,71.32,348900,71.13
2014-10-31,71.63,71.63,70.30,71.04,321200,70.85
