Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.25,12.25,11.75,12.02,34600,12.02
2014-12-30,11.91,12.41,11.75,12.30,50300,12.30
2014-12-29,11.93,12.16,11.48,12.01,44100,12.01
2014-12-26,11.46,12.02,11.46,12.00,23600,12.00
2014-12-24,11.19,11.47,11.18,11.46,28500,11.46
2014-12-23,11.40,11.40,11.14,11.40,55500,11.40
2014-12-22,11.90,11.90,11.20,11.42,46400,11.42
2014-12-19,11.84,11.97,11.36,11.82,184200,11.82
2014-12-18,11.75,12.02,11.29,11.88,84200,11.88
2014-12-17,11.00,11.74,10.84,11.68,181500,11.68
2014-12-16,10.95,11.14,10.78,11.02,168300,11.02
2014-12-15,11.00,11.12,11.00,11.03,80500,11.03
2014-12-12,10.84,11.12,10.84,11.03,142600,11.03
2014-12-11,11.00,11.08,11.00,11.04,132400,11.04
2014-12-10,11.00,11.12,11.00,11.00,94800,11.00
2014-12-09,10.95,11.14,10.95,11.06,121800,11.06
2014-12-08,9.86,11.15,9.78,11.10,209100,11.10
2014-12-05,9.72,9.92,9.65,9.92,147700,9.92
2014-12-04,9.75,10.16,9.52,9.79,173400,9.79
2014-12-03,9.93,10.47,9.26,9.65,176700,9.65
2014-12-02,10.64,10.90,10.00,10.21,105500,10.21
2014-12-01,11.00,11.04,10.50,10.59,188200,10.59
2014-11-28,11.06,11.14,11.00,11.00,25500,11.00
2014-11-26,10.65,11.03,10.65,11.00,285200,11.00
2014-11-25,11.00,11.00,10.52,10.76,164500,10.76
2014-11-24,10.82,10.99,10.38,10.93,172600,10.93
2014-11-21,10.91,10.91,10.51,10.74,238300,10.74
2014-11-20,10.72,10.95,10.58,10.70,76800,10.70
2014-11-19,10.35,11.00,10.35,10.80,168100,10.80
2014-11-18,10.40,10.75,10.40,10.64,135600,10.64
2014-11-17,10.00,10.45,9.98,10.32,185400,10.32
2014-11-14,10.30,10.34,9.96,10.04,113600,10.04
2014-11-13,9.98,10.20,9.91,10.00,85000,10.00
2014-11-12,10.20,10.25,9.85,10.03,126800,10.03
2014-11-11,10.30,10.49,10.12,10.16,131500,10.16
2014-11-10,10.02,10.50,9.86,10.14,134600,10.14
2014-11-07,10.80,10.82,9.74,9.96,219500,9.96
2014-11-06,10.49,10.61,10.17,10.46,144800,10.46
2014-11-05,9.50,11.39,9.40,10.06,316100,10.06
2014-11-04,7.50,13.77,7.34,8.75,552700,8.75
2014-11-03,5.19,9.29,5.19,7.22,142500,7.22
