Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.51,10.70,10.50,10.70,51500,10.66
2014-12-30,10.82,11.06,10.50,10.51,48300,10.48
2014-12-29,10.75,11.14,10.50,11.01,76600,10.97
2014-12-26,9.97,10.75,9.90,10.75,129100,10.71
2014-12-24,9.83,9.93,9.80,9.82,59500,9.79
2014-12-23,10.05,10.05,9.67,9.81,69300,9.78
2014-12-22,9.30,10.22,9.27,10.00,49400,9.97
2014-12-19,9.51,9.92,9.22,9.22,44300,9.19
2014-12-18,9.34,9.69,9.25,9.42,33500,9.39
2014-12-17,9.00,9.34,9.00,9.34,29100,9.31
2014-12-16,9.01,9.17,8.98,9.06,84800,9.00
2014-12-15,9.12,9.19,8.89,9.04,70800,8.98
2014-12-12,9.10,9.34,9.05,9.09,71300,9.03
2014-12-11,9.42,9.42,9.07,9.12,61600,9.06
2014-12-10,9.65,10.09,9.33,9.35,40000,9.29
2014-12-09,9.70,10.00,9.38,9.58,53400,9.52
2014-12-08,9.99,10.08,9.76,9.77,82700,9.71
2014-12-05,10.44,10.44,9.87,10.01,62700,9.94
2014-12-04,10.21,10.65,10.21,10.33,37500,10.26
2014-12-03,10.56,10.56,10.27,10.30,21500,10.23
2014-12-02,10.59,10.69,10.30,10.56,24800,10.49
2014-12-01,10.67,10.79,10.56,10.57,18000,10.50
2014-11-28,10.82,11.01,10.66,10.74,4400,10.67
2014-11-26,10.67,11.31,10.53,10.92,13500,10.85
2014-11-25,10.51,10.76,10.51,10.70,24500,10.63
2014-11-24,10.57,10.80,10.54,10.57,38400,10.50
2014-11-21,10.65,10.78,10.47,10.63,52100,10.56
2014-11-20,10.62,10.67,10.60,10.62,16600,10.55
2014-11-19,10.65,10.80,10.59,10.65,37700,10.58
2014-11-18,10.72,10.80,10.59,10.74,10500,10.67
2014-11-17,10.70,10.73,10.30,10.67,8900,10.60
2014-11-14,10.84,10.92,10.33,10.69,27700,10.62
2014-11-13,10.80,10.83,10.21,10.80,45000,10.73
2014-11-12,10.79,10.93,10.70,10.87,26300,10.77
