Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,50.68,50.68,50.68,50.68,000,50.55
2014-12-30,50.68,50.68,50.68,50.68,100,50.55
2014-12-29,50.68,50.68,50.68,50.68,000,50.55
2014-12-26,50.67,50.69,50.67,50.68,500,50.55
2014-12-24,50.57,50.57,50.57,50.57,000,50.44
2014-12-23,50.57,50.57,50.57,50.57,000,50.44
2014-12-22,50.57,50.57,50.57,50.57,000,50.44
2014-12-19,50.57,50.57,50.57,50.57,000,50.44
2014-12-18,50.54,50.57,50.54,50.57,900,50.44
2014-12-17,50.80,50.80,50.62,50.62,300,50.49
2014-12-16,50.73,50.73,50.73,50.73,000,50.60
2014-12-15,50.89,50.89,50.73,50.73,400,50.60
2014-12-12,50.59,50.59,50.59,50.59,000,50.46
2014-12-11,50.59,50.59,50.59,50.59,200,50.46
2014-12-10,50.26,50.26,50.26,50.26,000,50.13
2014-12-09,50.26,50.26,50.26,50.26,000,50.13
2014-12-08,50.26,50.26,50.26,50.26,000,50.13
2014-12-05,50.26,50.26,50.26,50.26,200,50.13
2014-12-04,50.75,50.75,50.75,50.75,200,50.62
2014-12-03,50.43,50.43,50.43,50.43,000,50.30
2014-12-02,50.43,50.43,50.43,50.43,200,50.30
2014-12-01,50.68,50.68,50.68,50.68,000,50.55
2014-11-28,50.68,50.68,50.68,50.68,000,50.55
2014-11-26,50.68,50.68,50.68,50.68,000,50.55
2014-11-25,50.68,50.68,50.68,50.68,100,50.55
2014-11-24,50.55,50.60,50.55,50.60,400,50.47
2014-11-21,50.28,50.28,50.28,50.28,000,50.15
2014-11-20,50.28,50.28,50.28,50.28,000,50.09
2014-11-19,50.28,50.28,50.28,50.28,000,50.09
2014-11-18,50.28,50.28,50.28,50.28,000,50.09
2014-11-17,50.28,50.28,50.28,50.28,000,50.09
2014-11-14,50.28,50.28,50.28,50.28,400,50.09
2014-11-13,50.40,50.45,50.40,50.45,300,50.26
2014-11-12,50.25,50.25,50.25,50.25,000,50.06
2014-11-11,50.25,50.25,50.25,50.25,000,50.06
2014-11-10,50.25,50.25,50.25,50.25,000,50.06
2014-11-07,50.25,50.25,50.25,50.25,1000,50.06
2014-11-06,50.08,50.08,50.08,50.08,000,49.89
2014-11-05,50.08,50.08,50.08,50.08,100,49.89
