Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,20.85,20.97,19.85,19.97,2008800,19.97
2014-12-30,20.62,21.34,20.43,20.81,37900,20.81
2014-12-29,20.90,21.15,20.75,20.75,710600,20.75
2014-12-26,21.11,21.33,20.73,20.90,829800,20.90
2014-12-24,20.81,21.45,20.81,21.07,519400,21.07
2014-12-23,21.20,21.36,20.62,20.68,1054600,20.68
2014-12-22,21.17,21.84,21.08,21.16,1202800,21.16
2014-12-19,21.30,21.65,21.00,21.10,1129100,21.10
2014-12-18,21.81,21.90,20.82,21.30,1226800,21.30
2014-12-17,20.60,21.41,20.31,21.38,1507000,21.38
2014-12-16,21.30,21.56,20.34,20.39,1481300,20.39
2014-12-15,22.98,23.15,21.50,21.59,1354800,21.59
2014-12-12,22.32,23.64,22.09,22.88,1517000,22.88
2014-12-11,23.20,23.58,21.91,22.28,1538200,22.28
2014-12-10,24.02,24.10,22.95,23.07,1166500,23.07
2014-12-09,23.32,24.39,22.75,24.16,1218700,24.16
2014-12-08,24.80,25.07,23.41,23.72,1674800,23.72
2014-12-05,25.60,25.84,24.44,25.07,2277700,25.07
2014-12-04,25.89,26.50,25.30,25.42,1169400,25.42
2014-12-03,26.43,26.46,25.79,25.99,1294400,25.99
2014-12-02,26.05,26.47,25.60,25.65,1494400,25.65
2014-12-01,27.26,27.42,25.75,25.87,2384200,25.87
2014-11-28,28.35,28.36,27.22,27.42,1021600,27.42
2014-11-26,29.27,29.43,27.88,27.96,2037500,27.96
2014-11-25,29.49,30.28,29.00,29.14,1576900,29.14
2014-11-24,28.17,29.20,28.15,29.06,1628400,29.06
2014-11-21,29.09,29.43,28.05,28.15,2829000,28.15
2014-11-20,27.43,29.45,27.35,28.56,10617500,28.56
2014-11-19,31.86,32.00,29.59,29.62,2192600,29.62
2014-11-18,32.75,32.97,31.95,32.17,1154400,32.17
2014-11-17,33.50,33.85,32.50,32.71,1453800,32.71
2014-11-14,34.50,34.68,33.50,34.33,661600,34.33
2014-11-13,35.49,35.74,34.40,34.50,967500,34.50
2014-11-12,34.98,35.80,34.75,35.49,695600,35.49
2014-11-11,35.00,35.64,34.51,35.22,1945700,35.22
2014-11-10,36.60,37.75,36.29,36.59,1865200,36.59
2014-11-07,36.25,38.65,34.30,36.60,4913000,36.60
2014-11-06,36.50,38.20,36.19,37.30,2238500,37.30
2014-11-05,36.50,37.10,36.01,36.35,1486000,36.35
2014-11-04,35.75,36.42,35.32,36.19,786900,36.19
2014-11-03,35.72,36.76,35.30,35.70,874300,35.70
2014-10-31,37.26,37.44,35.56,35.65,1177900,35.65
2014-10-30,36.78,37.68,36.31,36.64,1082600,36.64
2014-10-29,36.35,37.85,35.50,36.71,1265000,36.71
2014-10-28,34.36,37.18,34.36,36.42,2037200,36.42
2014-10-27,34.58,34.79,34.02,34.22,653400,34.22
