Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.56,13.56,13.56,13.56,000,13.56
2014-12-30,13.57,13.71,13.52,13.56,3100,13.56
2014-12-29,13.50,13.50,13.50,13.50,000,13.50
2014-12-26,13.50,13.50,13.50,13.50,000,13.50
2014-12-24,13.50,13.50,13.50,13.50,3000,13.50
2014-12-23,13.50,13.50,13.50,13.50,900,13.50
2014-12-22,13.51,13.59,13.50,13.59,400,13.59
2014-12-19,13.38,13.38,13.38,13.38,000,13.38
2014-12-18,13.38,13.38,13.38,13.38,000,13.38
2014-12-17,13.46,13.60,13.38,13.38,4400,13.38
2014-12-16,13.45,13.45,13.45,13.45,000,13.45
2014-12-15,13.49,13.50,13.45,13.45,6100,13.45
2014-12-12,13.35,13.36,13.35,13.36,300,13.36
2014-12-11,13.60,13.63,13.47,13.47,300,13.47
2014-12-10,13.85,13.85,13.85,13.85,100,13.85
2014-12-09,13.26,13.26,13.26,13.26,000,13.26
2014-12-08,14.00,14.00,13.26,13.26,300,13.26
2014-12-05,14.00,14.00,14.00,14.00,400,14.00
2014-12-04,14.00,14.00,13.96,13.96,400,13.96
2014-12-03,13.35,13.35,13.35,13.35,000,13.35
2014-12-02,13.25,13.41,13.25,13.35,6300,13.35
2014-12-01,13.06,13.25,13.05,13.25,1500,13.25
2014-11-28,13.15,13.15,13.15,13.15,100,13.15
2014-11-26,13.23,13.23,13.05,13.05,400,13.05
2014-11-25,13.25,13.25,13.25,13.25,1500,13.25
2014-11-24,13.00,13.00,12.99,13.00,4200,13.00
2014-11-21,13.00,13.00,13.00,13.00,000,13.00
2014-11-20,13.00,13.00,13.00,13.00,000,13.00
2014-11-19,13.00,13.00,13.00,13.00,000,13.00
2014-11-18,13.15,13.16,13.00,13.00,4500,13.00
2014-11-17,12.85,13.15,12.75,13.15,69500,13.15
2014-11-14,12.80,12.80,12.75,12.75,500,12.75
2014-11-13,12.83,12.83,12.70,12.70,1100,12.70
2014-11-12,12.80,12.80,12.80,12.80,100,12.80
2014-11-11,12.75,12.78,12.70,12.77,34600,12.77
2014-11-10,12.75,12.75,12.75,12.75,2500,12.75
2014-11-07,12.63,12.63,12.63,12.63,000,12.63
2014-11-06,12.63,12.63,12.63,12.63,000,12.63
2014-11-05,12.63,12.63,12.63,12.63,500,12.63
2014-11-04,12.99,12.99,12.99,12.99,000,12.99
2014-11-03,12.99,12.99,12.99,12.99,500,12.99
2014-10-31,12.75,12.75,12.73,12.75,10000,12.75
2014-10-30,12.61,12.61,12.61,12.61,000,12.54
2014-10-29,12.61,12.61,12.61,12.61,000,12.54
2014-10-28,12.62,12.62,12.61,12.61,700,12.54
2014-10-27,12.61,12.61,12.61,12.61,200,12.54
2014-10-24,12.64,12.64,12.64,12.64,000,12.57
2014-10-23,12.64,12.64,12.64,12.64,000,12.57
2014-10-22,12.64,12.64,12.64,12.64,100,12.57
2014-10-21,12.61,12.61,12.61,12.61,000,12.54
2014-10-20,12.90,12.90,12.52,12.61,3900,12.54
2014-10-17,12.50,12.65,12.50,12.60,400,12.53
2014-10-16,12.84,12.84,12.84,12.84,000,12.77
2014-10-15,12.84,12.84,12.84,12.84,000,12.77
2014-10-14,12.84,12.84,12.84,12.84,000,12.77
2014-10-13,12.61,12.84,12.61,12.84,900,12.77
2014-10-10,12.61,12.63,12.60,12.60,1400,12.53
2014-10-09,12.84,12.85,12.66,12.66,2000,12.59
2014-10-08,13.09,13.09,13.09,13.09,700,13.02
2014-10-07,12.72,12.72,12.72,12.72,000,12.65
2014-10-06,12.72,12.72,12.72,12.72,300,12.65
2014-10-03,12.60,12.60,12.60,12.60,000,12.53
2014-10-02,12.60,12.60,12.60,12.60,000,12.53
2014-10-01,12.60,12.60,12.60,12.60,000,12.53
2014-09-30,12.60,12.60,12.59,12.60,600,12.53
2014-09-29,12.40,12.40,12.40,12.40,000,12.33
2014-09-26,12.40,12.40,12.40,12.40,700,12.33
2014-09-25,12.44,12.65,12.40,12.65,900,12.58
2014-09-24,13.02,13.02,12.53,12.85,5100,12.78
2014-09-23,12.90,12.90,12.90,12.90,000,12.83
2014-09-22,12.90,12.90,12.90,12.90,000,12.83
2014-09-19,12.58,12.90,12.58,12.90,1800,12.83
2014-09-18,12.33,12.59,12.33,12.59,4200,12.52
2014-09-17,12.48,12.48,12.48,12.48,000,12.41
2014-09-16,12.45,12.48,12.45,12.48,8200,12.41
2014-09-15,12.34,12.34,12.34,12.34,000,12.27
2014-09-12,12.34,12.34,12.34,12.34,000,12.27
2014-09-11,12.32,12.42,12.32,12.34,2200,12.27
2014-09-10,12.30,12.30,12.30,12.30,000,12.23
2014-09-09,12.30,12.30,12.30,12.30,000,12.23
2014-09-08,12.30,12.30,12.30,12.30,000,12.23
2014-09-05,12.30,12.30,12.30,12.30,000,12.23
2014-09-04,12.30,12.30,12.30,12.30,000,12.23
2014-09-03,12.25,12.30,12.25,12.30,1200,12.23
2014-09-02,12.25,12.30,12.25,12.30,600,12.23
2014-08-29,12.27,12.33,12.27,12.33,1300,12.26
2014-08-28,12.37,12.37,12.37,12.37,000,12.30
2014-08-27,12.37,12.37,12.37,12.37,000,12.30
2014-08-26,12.17,12.37,12.17,12.37,1300,12.30
2014-08-25,12.39,12.39,12.22,12.22,200,12.15
2014-08-22,12.34,12.34,12.34,12.34,000,12.27
2014-08-21,12.33,12.34,12.33,12.34,300,12.27
2014-08-20,12.39,12.43,12.20,12.31,8600,12.24
2014-08-19,12.43,12.43,12.43,12.43,200,12.36
2014-08-18,12.44,12.44,12.44,12.44,000,12.37
2014-08-15,12.44,12.44,12.44,12.44,000,12.37
2014-08-14,12.44,12.44,12.44,12.44,000,12.37
2014-08-13,12.16,12.44,12.16,12.44,18500,12.37
2014-08-12,12.20,12.20,12.08,12.16,1100,12.09
2014-08-11,12.36,12.36,12.24,12.24,700,12.17
2014-08-08,12.35,12.45,12.10,12.30,21700,12.23
2014-08-07,12.21,12.21,12.18,12.18,600,12.11
2014-08-06,12.35,12.43,12.16,12.26,27000,12.19
2014-08-05,12.15,12.45,12.15,12.31,15900,12.24
2014-08-04,12.06,12.26,12.06,12.20,7200,12.13
2014-08-01,12.25,12.25,11.95,11.95,3700,11.81
2014-07-31,12.31,12.40,12.30,12.35,6000,12.21
2014-07-30,12.33,12.40,12.33,12.40,400,12.26
2014-07-29,12.34,12.42,12.27,12.38,13200,12.24
2014-07-28,12.38,12.42,12.30,12.40,14000,12.26
2014-07-25,12.30,12.42,12.30,12.42,16100,12.28
2014-07-24,12.31,12.41,12.31,12.37,11900,12.23
2014-07-23,12.35,12.41,12.30,12.34,12200,12.20
2014-07-22,12.28,12.45,12.26,12.26,19800,12.12
2014-07-21,12.33,12.33,12.33,12.33,000,12.19
2014-07-18,12.33,12.33,12.33,12.33,100,12.19
2014-07-17,12.34,12.38,12.33,12.37,10200,12.23
2014-07-16,12.38,12.39,12.30,12.32,5100,12.18
2014-07-15,12.33,12.34,12.28,12.32,28500,12.18
2014-07-14,12.39,12.43,12.26,12.29,43300,12.15
2014-07-11,12.36,12.45,12.32,12.33,50100,12.19
2014-07-10,12.32,12.45,12.31,12.39,87300,12.25
2014-07-09,12.33,12.37,12.31,12.36,60400,12.22
2014-07-08,12.30,12.30,12.30,12.30,000,12.16
2014-07-07,12.30,12.30,12.30,12.30,000,12.16
2014-07-03,12.30,12.30,12.30,12.30,000,12.16
2014-07-02,12.35,12.41,12.26,12.30,11000,12.16
2014-07-01,12.45,12.45,12.45,12.45,000,12.31
2014-06-30,12.45,12.45,12.45,12.45,200,12.31
2014-06-27,12.26,12.26,12.26,12.26,500,12.12
2014-06-26,12.26,12.26,12.26,12.26,500,12.12
2014-06-25,12.26,12.26,12.26,12.26,000,12.12
2014-06-24,12.26,12.26,12.26,12.26,000,12.12
2014-06-23,12.26,12.26,12.26,12.26,300,12.12
2014-06-20,12.26,12.26,12.26,12.26,000,12.12
2014-06-19,12.26,12.26,12.26,12.26,000,12.12
2014-06-18,12.26,12.26,12.26,12.26,000,12.12
2014-06-17,12.28,12.28,12.26,12.26,2100,12.12
2014-06-16,12.25,12.25,12.25,12.25,000,12.11
2014-06-13,12.25,12.25,12.25,12.25,000,12.11
2014-06-12,12.25,12.25,12.25,12.25,000,12.11
2014-06-11,12.25,12.25,12.25,12.25,600,12.11
2014-06-10,12.30,12.30,12.30,12.30,800,12.16
2014-06-09,12.30,12.30,12.30,12.30,000,12.16
2014-06-06,12.27,12.30,12.27,12.30,700,12.16
2014-06-05,12.29,12.29,12.29,12.29,000,12.15
2014-06-04,12.29,12.29,12.29,12.29,1400,12.15
2014-06-03,12.27,12.27,12.27,12.27,000,12.13
2014-06-02,12.27,12.27,12.27,12.27,000,12.13
2014-05-30,12.27,12.27,12.27,12.27,000,12.13
2014-05-29,12.27,12.27,12.27,12.27,000,12.13
2014-05-28,12.27,12.27,12.27,12.27,000,12.13
2014-05-27,12.30,12.30,12.26,12.27,1700,12.13
2014-05-23,12.28,12.28,12.28,12.28,000,12.14
2014-05-22,12.30,12.30,12.28,12.28,400,12.14
2014-05-21,12.28,12.28,12.28,12.28,000,12.14
2014-05-20,12.34,12.43,12.25,12.28,9900,12.14
