Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,37.67,38.18,37.54,37.72,682500,37.72
2014-12-30,37.29,37.59,37.20,37.53,16800,37.53
2014-12-29,37.42,37.70,37.21,37.36,306200,37.36
2014-12-26,37.67,37.88,37.49,37.55,253100,37.55
2014-12-24,37.90,38.05,37.57,37.62,219400,37.62
2014-12-23,37.59,38.02,37.38,37.88,549700,37.88
2014-12-22,36.78,37.35,36.53,37.31,805300,37.31
2014-12-19,36.44,36.74,36.36,36.65,2487900,36.65
2014-12-18,36.73,37.14,36.34,36.45,2022700,36.45
2014-12-17,35.97,36.40,35.54,36.23,1021200,36.23
2014-12-16,36.01,36.41,35.68,35.90,1326000,35.90
2014-12-15,36.41,36.55,35.64,36.25,1277500,36.25
2014-12-12,35.88,36.50,35.61,36.12,975300,36.12
2014-12-11,36.83,37.33,36.47,36.55,2024900,36.55
2014-12-10,37.42,38.00,36.70,36.76,1037800,36.76
2014-12-09,37.04,37.98,36.49,37.65,893400,37.65
2014-12-08,37.11,37.61,36.61,37.40,1577400,37.40
2014-12-05,37.10,37.48,36.56,37.25,699200,37.25
2014-12-04,36.96,37.55,36.64,36.95,1813800,36.95
2014-12-03,36.91,37.41,36.41,37.14,2139000,37.14
2014-12-02,36.81,37.25,36.49,36.82,486800,36.82
2014-12-01,36.63,36.90,36.21,36.73,861600,36.73
2014-11-28,36.55,36.87,36.25,36.64,230800,36.64
2014-11-26,36.26,36.61,35.92,36.35,1749500,36.35
2014-11-25,36.65,36.94,36.04,36.35,721700,36.35
2014-11-24,35.71,36.55,35.36,36.47,1344000,36.47
2014-11-21,36.58,36.58,35.54,35.68,450500,35.68
2014-11-20,35.48,36.49,35.15,36.02,2148500,36.02
2014-11-19,35.84,36.02,35.09,35.48,2019000,35.48
2014-11-18,35.74,36.24,35.15,36.02,1707800,36.02
2014-11-17,35.96,35.96,35.45,35.59,1324300,35.59
2014-11-14,35.39,36.04,35.06,36.00,952100,36.00
2014-11-13,35.34,35.59,35.07,35.42,939600,35.42
2014-11-12,35.50,35.97,35.07,35.30,4885900,35.30
2014-11-11,34.65,35.67,34.40,35.62,1023800,35.62
2014-11-10,34.26,35.19,34.02,34.76,878900,34.76
2014-11-07,34.65,34.66,33.85,34.36,399400,34.36
2014-11-06,34.22,34.57,34.07,34.48,1059900,34.48
2014-11-05,34.24,34.85,33.46,34.16,1160900,34.16
2014-11-04,35.10,35.32,34.12,34.59,821100,34.59
2014-11-03,35.06,35.47,34.86,35.20,882800,35.20
2014-10-31,34.22,35.29,32.99,35.10,878300,35.10
2014-10-30,33.01,33.64,32.82,33.39,1017100,33.39
2014-10-29,33.26,33.47,32.80,33.09,1043700,33.09
2014-10-28,32.55,33.23,32.11,33.23,1349700,33.23
2014-10-27,32.71,32.85,32.06,32.30,1837200,32.30
2014-10-24,32.28,33.40,31.28,33.09,1937400,33.09
2014-10-23,31.55,32.28,31.55,32.07,2180000,32.07
2014-10-22,31.05,32.35,30.97,31.77,2812900,31.77
2014-10-21,29.31,32.63,29.31,32.14,3819100,32.14
2014-10-20,30.13,30.99,30.00,30.57,2519000,30.57
2014-10-17,30.41,30.69,29.89,30.11,2947200,30.11
2014-10-16,30.04,30.79,29.30,29.81,2804800,29.81
2014-10-15,28.82,31.08,25.12,30.62,6004500,30.62
2014-10-14,30.57,31.16,29.86,29.99,2355400,29.99
2014-10-13,31.53,31.71,30.36,30.40,1704000,30.40
2014-10-10,32.48,32.83,31.14,31.52,2465300,31.52
2014-10-09,32.27,32.86,31.74,32.06,3772700,32.06
2014-10-08,31.08,32.21,30.73,31.79,2050800,31.79
2014-10-07,32.21,32.21,31.07,31.13,1970000,31.13
2014-10-06,33.80,34.00,31.00,32.51,5381800,32.51
2014-10-03,36.36,37.08,35.92,36.76,1500300,36.76
2014-10-02,36.59,36.69,35.34,35.99,719800,35.99
2014-10-01,38.02,38.32,36.88,36.99,789600,36.99
2014-09-30,37.41,38.16,36.99,37.96,489300,37.96
2014-09-29,36.68,37.43,36.60,37.40,498700,37.40
2014-09-26,36.75,37.43,36.60,37.29,470100,37.29
2014-09-25,37.15,37.24,36.57,36.60,450300,36.60
2014-09-24,36.94,37.73,36.61,37.58,606700,37.58
2014-09-23,36.95,37.51,36.60,36.88,529600,36.88
2014-09-22,37.87,37.87,36.40,37.22,667300,37.22
2014-09-19,38.80,39.05,37.66,37.85,976800,37.85
