Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,39.15,41.10,39.15,40.65,18800,40.65
2014-12-30,39.20,39.25,39.20,39.25,300,39.25
2014-12-29,38.00,39.70,37.83,39.12,15200,39.12
2014-12-26,38.50,38.50,37.50,38.00,3100,38.00
2014-12-24,37.41,38.44,36.94,38.01,5500,38.01
2014-12-23,37.16,39.87,35.54,37.68,11100,37.68
2014-12-22,37.98,37.99,35.23,37.22,20200,37.22
2014-12-19,33.78,37.55,33.78,36.66,32800,36.66
2014-12-18,36.50,37.37,36.31,36.56,17200,36.56
2014-12-17,34.48,36.85,34.40,36.47,15900,36.47
2014-12-16,34.85,35.95,34.05,34.59,12000,34.59
2014-12-15,37.56,37.57,34.66,35.18,39700,35.18
2014-12-12,37.24,39.15,36.58,37.55,20100,37.55
2014-12-11,37.40,39.30,37.01,37.13,24300,37.13
2014-12-10,40.05,40.26,37.03,37.14,37400,37.14
2014-12-09,41.67,41.89,40.17,40.44,26900,40.44
2014-12-08,44.19,44.69,41.40,42.15,42300,42.15
2014-12-05,43.57,44.76,43.12,44.75,25100,44.75
2014-12-04,44.94,45.71,43.46,43.65,25700,43.65
2014-12-03,42.40,44.74,42.40,44.69,37400,44.69
2014-12-02,42.13,42.40,41.97,42.40,10600,42.40
2014-12-01,41.53,42.41,41.50,42.34,32200,42.34
2014-11-28,41.57,42.00,40.95,41.79,14000,41.79
2014-11-26,41.10,41.94,41.01,41.55,20900,41.55
2014-11-25,42.46,42.49,40.80,41.38,22500,41.38
2014-11-24,39.64,42.96,39.35,42.36,62000,42.36
2014-11-21,38.00,39.94,38.00,38.96,39200,38.96
2014-11-20,37.53,37.95,36.45,37.93,39800,37.93
2014-11-19,35.36,37.94,35.36,36.97,14300,36.97
2014-11-18,33.71,35.90,33.71,34.97,73300,34.97
2014-11-17,32.95,33.50,32.65,33.49,52600,33.49
2014-11-14,32.98,32.98,32.09,32.75,18700,32.75
2014-11-13,32.17,32.98,31.30,32.98,10400,32.98
2014-11-12,32.04,32.97,32.01,32.47,10100,32.47
2014-11-11,31.32,32.49,31.15,32.30,16600,32.30
2014-11-10,31.47,32.71,31.37,32.04,23000,32.04
2014-11-07,31.11,31.67,29.80,31.10,12200,31.10
2014-11-06,31.59,31.69,29.90,30.65,6100,30.65
2014-11-05,30.78,31.70,30.32,31.33,14700,31.33
2014-11-04,30.90,31.38,30.22,30.50,6300,30.50
2014-11-03,30.69,31.23,30.69,30.74,12400,30.74
2014-10-31,30.96,31.35,30.20,30.51,7900,30.51
2014-10-30,31.25,31.33,29.30,30.80,14400,30.80
2014-10-29,31.55,31.69,30.81,30.96,17800,30.96
2014-10-28,31.05,31.50,30.86,31.49,17200,31.49
2014-10-27,30.80,31.11,29.81,30.93,16200,30.93
2014-10-24,30.20,31.00,30.10,30.79,13200,30.79
2014-10-23,31.18,31.18,28.78,30.97,14100,30.97
2014-10-22,30.80,31.50,30.80,31.17,10600,31.17
2014-10-21,31.00,31.20,30.32,30.86,12700,30.86
2014-10-20,29.20,31.00,28.83,31.00,18500,31.00
2014-10-17,29.10,29.84,27.34,28.70,9500,28.70
2014-10-16,27.38,29.35,26.00,28.91,12600,28.91
2014-10-15,27.91,28.45,26.18,27.75,15200,27.75
2014-10-14,28.94,29.60,27.54,28.45,6400,28.45
2014-10-13,27.18,29.54,25.58,28.77,28800,28.77
2014-10-10,30.71,30.72,28.00,28.01,43400,28.01
2014-10-09,30.74,31.30,30.56,30.70,6200,30.70
2014-10-08,30.80,31.27,30.54,30.97,23200,30.97
2014-10-07,31.23,31.50,30.90,31.20,12400,31.20
2014-10-06,31.41,31.92,30.86,31.22,23600,31.22
2014-10-03,31.10,31.99,30.30,31.97,16300,31.97
2014-10-02,30.78,31.09,30.50,30.99,15800,30.99
2014-10-01,31.29,31.29,30.50,30.99,8200,30.99
2014-09-30,30.82,31.40,30.82,31.29,18300,31.29
2014-09-29,32.00,32.00,30.51,30.81,8800,30.81
2014-09-26,30.85,31.16,30.85,31.00,3500,31.00
2014-09-25,31.00,31.00,30.32,30.82,5000,30.82
2014-09-24,30.52,31.00,28.59,30.98,3800,30.98
2014-09-23,32.35,32.58,28.37,30.92,32200,30.92
2014-09-22,33.01,35.00,32.04,32.56,27100,32.56
2014-09-19,32.44,33.00,32.35,33.00,14000,33.00
2014-09-18,32.21,32.65,32.20,32.40,9900,32.40
2014-09-17,32.00,32.21,31.70,32.21,8600,32.21
2014-09-16,31.74,32.00,31.10,31.95,19700,31.95
2014-09-15,31.83,31.89,30.80,31.75,17700,31.75
2014-09-12,31.77,31.99,30.25,31.64,24400,31.64
2014-09-11,31.34,32.00,31.10,31.59,9600,31.59
2014-09-10,31.31,31.52,31.02,31.51,14500,31.51
2014-09-09,30.74,31.31,30.34,31.15,17700,31.15
2014-09-08,29.65,31.51,29.65,30.35,19500,30.35
2014-09-05,29.45,29.50,29.10,29.49,9700,29.49
2014-09-04,29.49,29.50,28.60,29.50,6100,29.50
2014-09-03,29.25,29.49,29.07,29.49,6200,29.49
2014-09-02,28.58,29.00,28.40,29.00,9300,29.00
2014-08-29,28.47,28.75,28.02,28.75,6400,28.75
2014-08-28,28.50,28.75,28.41,28.50,4000,28.50
2014-08-27,28.45,28.50,28.45,28.50,11900,28.50
2014-08-26,28.11,28.44,27.98,28.25,8600,28.25
2014-08-25,27.36,28.00,27.35,28.00,18100,28.00
2014-08-22,27.27,27.43,27.00,27.36,8700,27.36
2014-08-21,27.44,27.44,27.08,27.44,8300,27.44
2014-08-20,27.24,27.44,27.24,27.30,5800,27.30
2014-08-19,26.55,27.44,26.55,27.04,16900,27.04
2014-08-18,25.96,26.87,25.75,26.59,21000,26.59
2014-08-15,25.80,25.89,25.66,25.67,4200,25.67
2014-08-14,25.84,26.00,25.65,26.00,4200,26.00
2014-08-13,25.50,26.00,25.19,25.83,13400,25.83
2014-08-12,25.36,25.36,24.01,25.36,9700,25.36
2014-08-11,24.34,25.43,24.34,25.37,14500,25.37
2014-08-08,24.54,24.54,23.85,24.25,2400,24.25
2014-08-07,25.50,25.50,24.16,24.19,15700,24.19
2014-08-06,23.43,25.80,23.42,25.50,10700,25.50
2014-08-05,26.00,26.50,24.00,25.40,40900,25.40
2014-08-04,25.00,25.84,23.21,25.00,14100,25.00
2014-08-01,25.48,25.50,24.97,25.00,6000,25.00
2014-07-31,25.79,25.86,24.89,25.70,4000,25.70
2014-07-30,25.69,26.00,25.54,25.99,11500,25.99
2014-07-29,25.91,25.95,24.00,25.62,13700,25.62
2014-07-28,25.89,25.89,25.30,25.89,6400,25.89
2014-07-25,25.86,26.00,25.71,25.89,7700,25.89
2014-07-24,25.68,26.00,25.68,25.94,4200,25.94
2014-07-23,24.62,25.81,24.62,25.81,9400,25.81
2014-07-22,24.98,25.00,24.41,25.00,8500,25.00
2014-07-21,24.76,24.76,24.34,24.61,4400,24.61
2014-07-18,23.91,24.85,23.91,24.83,1400,24.83
2014-07-17,23.94,24.15,23.82,23.91,3900,23.91
2014-07-16,24.07,24.71,23.46,24.36,15200,24.36
2014-07-15,24.23,24.45,24.00,24.21,4700,24.21
2014-07-14,23.69,24.31,23.65,24.25,5800,24.25
2014-07-11,23.21,23.71,23.21,23.51,7800,23.51
2014-07-10,23.71,23.95,23.41,23.41,1600,23.41
2014-07-09,23.83,24.00,23.75,24.00,6900,24.00
2014-07-08,23.83,24.00,23.67,24.00,1500,24.00
2014-07-07,24.00,24.00,23.76,23.80,2600,23.80
2014-07-03,23.95,24.00,23.77,24.00,3500,24.00
2014-07-02,24.00,24.00,23.94,24.00,7500,24.00
2014-07-01,24.00,24.00,23.81,23.93,1700,23.93
2014-06-30,23.72,23.75,23.65,23.75,5400,23.75
2014-06-27,23.22,23.71,23.14,23.65,13200,23.65
2014-06-26,23.09,23.22,23.02,23.03,700,23.03
2014-06-25,22.98,23.03,22.96,22.96,2000,22.96
2014-06-24,22.99,23.09,22.89,22.89,3600,22.89
2014-06-23,23.00,23.03,22.85,23.02,24100,23.02
2014-06-20,22.90,22.99,22.78,22.84,4900,22.84
2014-06-19,23.00,23.02,22.86,22.86,2800,22.86
2014-06-18,23.19,23.22,23.10,23.13,4200,23.13
2014-06-17,22.90,23.22,22.80,23.15,6000,23.15
2014-06-16,22.44,23.00,22.44,22.79,16500,22.79
2014-06-13,22.35,22.35,22.35,22.35,800,22.35
2014-06-12,22.25,22.37,22.25,22.37,1400,22.37
2014-06-11,22.30,22.38,22.15,22.35,5100,22.35
2014-06-10,22.21,22.40,21.93,22.04,7200,22.04
2014-06-09,22.05,22.15,21.82,21.99,4700,21.99
2014-06-06,22.15,22.26,21.82,22.24,15800,22.24
2014-06-05,22.05,22.10,22.01,22.10,900,22.10
2014-06-04,22.21,22.33,22.12,22.22,2900,22.22
2014-06-03,21.60,22.40,21.60,22.18,9600,22.18
2014-06-02,22.30,22.44,22.28,22.28,1100,22.28
2014-05-30,22.04,22.41,22.03,22.26,4900,22.26
2014-05-29,21.98,21.98,21.98,21.98,300,21.98
2014-05-28,22.09,22.10,22.00,22.04,4200,22.04
2014-05-27,21.89,22.10,21.88,22.08,2500,22.08
2014-05-23,22.06,22.06,21.39,21.83,1100,21.83
2014-05-22,22.30,22.30,21.46,21.78,14900,21.78
2014-05-21,22.44,22.44,21.51,22.28,1300,22.28
2014-05-20,22.20,22.34,22.01,22.29,4100,22.29
2014-05-19,22.15,22.35,22.11,22.16,2900,22.16
2014-05-16,22.00,22.16,21.41,21.52,60600,21.52
2014-05-15,21.74,22.48,21.15,21.74,11300,21.74
2014-05-14,22.31,22.48,21.43,22.17,7800,22.17
2014-05-13,22.49,22.58,22.36,22.39,4600,22.39
2014-05-12,21.90,22.44,21.75,21.95,9000,21.95
2014-05-09,21.00,21.91,21.00,21.71,1800,21.71
2014-05-08,21.75,22.00,21.75,21.88,3300,21.88
2014-05-07,22.00,22.00,21.17,21.17,700,21.17
2014-05-06,21.43,21.75,21.41,21.70,8200,21.70
2014-05-05,21.77,21.77,21.63,21.63,400,21.63
2014-05-02,22.00,22.00,21.38,21.78,1300,21.78
2014-05-01,21.88,21.90,21.18,21.55,5400,21.55
2014-04-30,22.35,22.35,21.00,21.96,3200,21.96
2014-04-29,21.01,22.30,21.00,22.18,4400,22.18
2014-04-28,21.03,21.73,21.00,21.51,1900,21.51
2014-04-25,21.18,22.98,21.01,21.49,9700,21.49
2014-04-24,21.34,21.34,21.00,21.14,1800,21.14
2014-04-23,20.88,20.88,19.83,20.49,9600,20.49
2014-04-22,20.48,20.96,20.30,20.79,4500,20.79
2014-04-21,20.00,20.30,19.95,20.29,8500,20.29
2014-04-17,19.71,19.95,19.71,19.88,4600,19.88
2014-04-16,19.80,19.97,19.35,19.71,2000,19.71
2014-04-15,19.80,19.80,19.23,19.69,3900,19.69
2014-04-14,19.46,20.03,19.40,19.42,4800,19.42
2014-04-11,19.70,19.70,19.22,19.22,11800,19.22
2014-04-10,19.50,19.95,19.50,19.55,4000,19.55
2014-04-09,19.26,19.51,19.23,19.50,7500,19.50
2014-04-08,19.26,19.45,19.22,19.31,1400,19.31
2014-04-07,19.29,19.61,19.17,19.52,5700,19.52
2014-04-04,19.50,19.52,19.35,19.49,900,19.49
2014-04-03,19.30,19.55,19.01,19.31,3700,19.31
2014-04-02,19.22,19.70,19.15,19.42,12500,19.42
2014-04-01,19.02,19.83,19.00,19.09,15900,19.09
2014-03-31,19.21,19.35,19.00,19.00,11300,19.00
2014-03-28,19.06,19.95,19.00,19.00,13100,19.00
2014-03-27,19.17,19.46,19.17,19.29,1300,19.29
2014-03-26,19.30,19.95,19.27,19.27,5000,19.27
