Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,40.29,41.76,40.08,40.72,547300,40.72
2014-12-30,40.45,41.08,39.95,40.11,13600,40.11
2014-12-29,40.84,40.99,40.12,40.66,233300,40.66
2014-12-26,41.01,41.28,40.79,40.91,136300,40.91
2014-12-24,40.15,41.28,40.12,40.77,212600,40.77
2014-12-23,40.83,41.02,40.08,40.14,308800,40.14
2014-12-22,39.69,40.71,39.60,40.62,404400,40.62
2014-12-19,41.05,41.23,39.72,39.73,873000,39.73
2014-12-18,42.12,42.86,40.68,41.09,478500,41.09
2014-12-17,40.08,41.69,39.29,41.50,732400,41.50
2014-12-16,40.50,40.84,39.07,40.02,636200,40.02
2014-12-15,41.33,41.82,40.70,40.72,522700,40.72
2014-12-12,40.64,41.41,40.32,40.96,486300,40.96
2014-12-11,41.84,42.34,41.22,41.31,331000,41.31
2014-12-10,41.85,42.81,41.56,41.61,690800,41.61
2014-12-09,40.44,41.94,39.70,41.88,444800,41.88
2014-12-08,42.96,43.20,40.40,40.98,662600,40.98
2014-12-05,40.28,42.41,40.28,42.38,812500,42.38
2014-12-04,39.69,40.41,39.21,40.35,623500,40.35
2014-12-03,39.82,39.90,39.29,39.60,311500,39.60
2014-12-02,39.18,40.00,39.18,39.74,382300,39.74
2014-12-01,39.23,39.77,38.99,39.06,361500,39.06
2014-11-28,39.87,40.28,39.48,39.56,253800,39.56
2014-11-26,39.56,39.88,39.38,39.68,288600,39.68
2014-11-25,39.06,40.02,38.95,39.56,459800,39.56
2014-11-24,38.04,38.97,37.78,38.89,347000,38.89
2014-11-21,38.81,39.25,37.95,37.98,276200,37.98
2014-11-20,37.27,38.34,36.75,38.14,288600,38.14
2014-11-19,38.84,38.84,37.35,37.67,389400,37.67
2014-11-18,38.95,39.50,38.71,38.95,280600,38.95
2014-11-17,39.43,39.66,38.78,38.81,341900,38.81
2014-11-14,40.17,40.25,39.44,39.58,273800,39.58
2014-11-13,40.26,41.32,39.95,40.07,396500,40.07
2014-11-12,39.80,40.23,39.55,40.15,211800,40.15
2014-11-11,40.24,40.40,39.62,39.89,336400,39.89
2014-11-10,40.17,40.43,39.52,40.21,377900,40.21
2014-11-07,40.40,40.44,39.77,40.05,399500,40.05
2014-11-06,39.79,40.56,39.79,40.56,355600,40.56
2014-11-05,40.38,40.58,39.61,39.88,421900,39.88
2014-11-04,39.81,40.46,39.69,40.05,307400,40.05
2014-11-03,40.31,40.68,39.66,39.86,498600,39.86
2014-10-31,40.02,40.49,39.35,40.11,551900,40.11
2014-10-30,38.39,39.34,38.01,39.28,378500,39.28
2014-10-29,38.84,39.14,38.36,38.68,346800,38.68
2014-10-28,37.75,38.91,37.65,38.85,569300,38.85
2014-10-27,37.25,37.72,36.96,37.54,411000,37.54
2014-10-24,36.80,37.39,36.79,37.35,459400,37.35
2014-10-23,36.49,37.62,36.42,36.76,1065800,36.76
2014-10-22,36.62,36.99,34.75,35.98,1411300,35.98
2014-10-21,34.51,35.39,34.48,34.93,934300,34.93
2014-10-20,33.42,34.41,33.06,34.36,491500,34.36
2014-10-17,33.88,33.94,33.02,33.46,538900,33.46
2014-10-16,32.85,34.19,32.59,33.35,708700,33.35
2014-10-15,32.00,33.45,31.73,33.35,574300,33.35
2014-10-14,32.61,33.10,32.20,32.52,575800,32.52
2014-10-13,31.98,32.70,31.53,32.33,459700,32.33
2014-10-10,32.25,32.68,31.81,31.84,467300,31.84
2014-10-09,33.64,33.93,32.22,32.47,765100,32.47
2014-10-08,33.07,33.77,32.75,33.68,476000,33.68
2014-10-07,33.64,33.72,33.12,33.14,431900,33.14
