Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.88,4.99,4.88,4.99,23900,4.99
2014-12-30,4.93,4.95,4.92,4.95,300,4.95
2014-12-29,4.85,4.97,4.80,4.86,23000,4.86
2014-12-26,4.81,4.94,4.81,4.90,12400,4.90
2014-12-24,4.81,4.90,4.80,4.85,23700,4.85
2014-12-23,4.80,4.84,4.80,4.81,6300,4.81
2014-12-22,4.82,4.87,4.81,4.82,9400,4.82
2014-12-19,4.87,4.91,4.84,4.85,41200,4.85
2014-12-18,4.97,4.99,4.75,4.94,66100,4.94
2014-12-17,4.91,4.97,4.87,4.97,25000,4.97
2014-12-16,4.96,4.97,4.88,4.91,12100,4.91
2014-12-15,4.80,4.90,4.78,4.89,17700,4.89
2014-12-12,4.89,4.93,4.70,4.83,90000,4.83
2014-12-11,4.85,4.93,4.79,4.93,58200,4.93
2014-12-10,4.84,4.86,4.82,4.85,11800,4.85
2014-12-09,4.80,4.90,4.80,4.85,19300,4.85
2014-12-08,4.95,4.97,4.81,4.90,6500,4.90
2014-12-05,4.97,4.97,4.90,4.95,5200,4.95
2014-12-04,4.92,4.98,4.90,4.96,5000,4.96
2014-12-03,4.90,4.99,4.86,4.98,8300,4.98
2014-12-02,4.85,4.97,4.84,4.88,10600,4.88
2014-12-01,4.87,4.91,4.80,4.82,26100,4.82
2014-11-28,4.90,4.92,4.89,4.90,14900,4.90
2014-11-26,4.92,4.99,4.90,4.90,6300,4.90
2014-11-25,4.92,4.99,4.90,4.99,10900,4.99
2014-11-24,4.93,4.95,4.90,4.90,24700,4.90
2014-11-21,4.90,4.97,4.90,4.91,14100,4.91
2014-11-20,4.78,4.89,4.78,4.86,24000,4.86
2014-11-19,4.80,4.82,4.78,4.79,12700,4.79
2014-11-18,4.84,4.89,4.84,4.86,8900,4.86
2014-11-17,4.81,4.90,4.81,4.84,10700,4.84
2014-11-14,4.94,4.98,4.86,4.86,3900,4.86
2014-11-13,4.92,4.92,4.82,4.88,18100,4.88
2014-11-12,4.92,5.02,4.92,4.94,9700,4.94
2014-11-11,4.92,4.96,4.92,4.92,5100,4.92
2014-11-10,4.85,4.92,4.84,4.92,6600,4.92
2014-11-07,4.82,4.94,4.81,4.86,30500,4.86
2014-11-06,4.91,4.91,4.81,4.88,14900,4.88
2014-11-05,4.83,4.93,4.80,4.93,21100,4.93
2014-11-04,4.78,4.85,4.74,4.83,26700,4.83
