Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,22.82,23.24,22.67,22.72,191100,22.72
2014-12-30,22.61,22.89,22.53,22.68,72400,22.68
2014-12-29,22.73,22.79,22.39,22.73,165400,22.73
2014-12-26,22.99,23.00,22.55,22.75,79500,22.75
2014-12-24,22.83,23.00,22.52,22.85,52300,22.85
2014-12-23,23.14,23.14,22.65,22.70,162400,22.70
2014-12-22,23.11,23.31,22.28,22.96,238600,22.96
2014-12-19,22.65,23.29,22.37,23.16,309400,23.16
2014-12-18,22.69,22.72,22.08,22.71,223600,22.71
2014-12-17,21.40,22.45,21.32,22.44,139600,22.44
2014-12-16,21.05,21.61,20.87,21.41,146200,21.41
2014-12-15,21.09,21.23,20.91,21.15,179600,21.15
2014-12-12,21.73,21.87,20.94,21.00,234000,21.00
2014-12-11,22.26,22.34,21.86,22.06,335700,22.06
2014-12-10,23.21,23.45,22.04,22.23,220400,22.23
2014-12-09,22.77,23.44,22.39,23.37,318000,23.37
2014-12-08,22.70,23.45,22.20,23.08,296500,23.08
2014-12-05,22.61,23.25,22.47,22.63,345800,22.63
2014-12-04,22.13,22.75,21.94,22.62,267800,22.62
2014-12-03,21.70,22.27,21.32,22.19,122700,22.19
2014-12-02,21.29,21.87,21.18,21.67,107900,21.67
2014-12-01,22.09,22.14,21.05,21.30,208000,21.30
2014-11-28,22.27,22.39,21.83,22.07,68500,22.07
2014-11-26,22.26,22.37,22.05,22.17,86900,22.17
2014-11-25,21.38,22.23,21.26,22.20,342100,22.20
2014-11-24,20.75,21.28,20.60,21.25,171000,21.25
2014-11-21,20.72,20.92,20.46,20.73,133800,20.73
2014-11-20,20.42,20.56,20.21,20.44,94800,20.44
2014-11-19,20.59,20.67,20.32,20.55,132600,20.55
2014-11-18,20.62,20.83,20.53,20.59,153300,20.59
2014-11-17,20.42,20.79,20.26,20.54,165800,20.54
2014-11-14,20.59,20.79,20.36,20.49,124700,20.49
2014-11-13,20.74,21.00,20.57,20.64,96800,20.64
2014-11-12,20.66,20.81,20.40,20.67,154200,20.67
2014-11-11,20.75,21.00,20.45,20.84,104500,20.84
2014-11-10,20.02,20.73,19.80,20.72,124200,20.72
2014-11-07,19.87,20.27,19.80,19.98,213200,19.98
2014-11-06,20.28,20.36,19.92,20.05,173600,20.05
2014-11-05,21.11,21.20,20.24,20.47,172700,20.28
2014-11-04,21.30,21.57,20.92,20.94,258100,20.75
2014-11-03,20.76,21.57,20.52,21.41,395500,21.21
2014-10-31,20.82,21.40,20.37,20.70,338300,20.51
2014-10-30,19.08,20.59,19.08,20.30,736400,20.11
2014-10-29,21.17,21.37,20.70,21.05,243400,20.85
2014-10-28,20.83,21.08,20.55,20.99,286500,20.80
2014-10-27,20.41,20.75,20.22,20.68,157800,20.49
2014-10-24,20.44,20.46,20.13,20.28,123000,20.09
2014-10-23,20.32,20.54,20.06,20.38,172700,20.19
2014-10-22,20.08,20.56,20.07,20.11,276400,19.92
2014-10-21,19.84,20.20,19.64,20.14,246100,19.95
2014-10-20,19.38,19.75,19.00,19.69,282900,19.51
2014-10-17,19.23,19.60,17.99,19.52,282900,19.34
2014-10-16,19.38,19.87,18.84,18.93,280900,18.75
2014-10-15,18.90,19.79,18.72,19.66,298100,19.48
2014-10-14,18.88,19.24,18.67,19.21,198100,19.03
2014-10-13,18.26,19.05,18.15,18.67,237500,18.50
2014-10-10,18.70,18.98,18.21,18.21,157300,18.04
2014-10-09,19.12,19.12,18.59,18.84,171500,18.67
2014-10-08,18.66,19.29,18.23,19.20,183700,19.02
2014-10-07,18.73,19.00,18.60,18.69,145800,18.52
2014-10-06,18.90,19.17,18.48,18.91,126200,18.73
2014-10-03,19.06,19.28,18.67,18.90,229000,18.72
2014-10-02,18.44,18.88,18.00,18.84,193700,18.67
2014-10-01,19.23,19.51,18.24,18.45,419900,18.28
2014-09-30,19.63,19.71,19.18,19.19,289300,19.01
2014-09-29,19.66,19.85,19.37,19.60,193300,19.42
2014-09-26,19.74,20.00,19.41,19.79,98700,19.61
2014-09-25,20.24,20.34,19.70,19.72,167200,19.54
2014-09-24,20.53,20.56,20.08,20.27,158800,20.08
2014-09-23,20.38,20.76,20.28,20.47,269500,20.28
2014-09-22,20.80,20.91,20.24,20.52,357000,20.33
2014-09-19,21.01,21.01,19.96,20.18,423500,19.99
2014-09-18,21.03,21.19,20.73,21.05,139500,20.85
2014-09-17,20.90,21.27,20.74,20.89,131500,20.70
2014-09-16,21.26,21.49,20.85,20.92,198000,20.73
2014-09-15,22.15,22.15,21.49,21.50,220800,21.30
2014-09-12,22.06,22.51,21.87,22.16,470700,21.95
2014-09-11,21.78,22.22,21.74,22.01,244600,21.81
2014-09-10,22.13,22.30,21.75,21.97,101300,21.77
2014-09-09,22.50,22.60,22.09,22.16,255800,21.95
2014-09-08,22.55,22.59,22.31,22.58,170000,22.37
2014-09-05,22.19,22.69,22.18,22.54,138200,22.33
2014-09-04,22.14,22.71,22.05,22.31,198100,22.10
2014-09-03,22.35,22.70,22.09,22.11,424200,21.90
2014-09-02,21.92,22.46,21.90,22.30,353800,22.09
2014-08-29,21.90,22.00,21.72,21.90,113200,21.70
2014-08-28,21.70,22.00,21.64,21.87,368200,21.67
2014-08-27,21.09,21.89,21.09,21.86,413000,21.66
2014-08-26,20.68,21.30,20.63,21.13,567100,20.93
2014-08-25,20.75,20.92,20.58,20.68,89600,20.49
2014-08-22,19.75,21.04,19.75,20.65,396500,20.46
2014-08-21,20.62,20.73,19.58,19.77,217800,19.59
2014-08-20,20.70,20.74,19.88,19.94,191000,19.75
2014-08-19,21.00,21.30,20.74,20.78,155600,20.59
2014-08-18,20.93,21.14,20.61,21.02,174100,20.82
2014-08-15,20.69,20.93,20.25,20.74,500900,20.55
2014-08-14,20.12,20.40,19.85,20.36,181100,20.17
2014-08-13,19.54,20.21,19.39,20.18,170800,19.99
2014-08-12,19.12,19.57,19.11,19.54,266200,19.36
2014-08-11,18.93,19.64,18.54,19.22,278200,19.04
2014-08-08,18.96,19.11,18.62,18.73,210800,18.56
2014-08-07,19.75,19.75,18.79,19.01,209700,18.83
2014-08-06,19.83,20.13,19.55,19.70,106900,19.52
2014-08-05,20.29,20.29,19.54,19.90,281000,19.72
2014-08-04,20.35,20.50,19.80,20.37,125000,20.18
2014-08-01,20.50,20.88,20.04,20.24,106200,20.05
2014-07-31,21.55,21.55,20.46,20.62,203300,20.43
2014-07-30,22.13,22.13,21.67,21.84,69000,21.45
2014-07-29,22.21,22.50,21.62,21.93,193400,21.54
2014-07-28,22.15,22.30,21.57,22.09,144800,21.69
2014-07-25,22.04,22.25,21.34,22.15,216600,21.75
2014-07-24,21.47,21.57,20.99,21.20,239200,20.82
2014-07-23,21.88,22.01,21.30,21.36,80000,20.98
2014-07-22,21.44,22.02,21.40,21.88,99300,21.49
2014-07-21,21.39,21.57,21.09,21.31,130600,20.93
2014-07-18,21.07,21.60,21.07,21.51,165400,21.12
2014-07-17,21.25,21.60,20.98,21.19,237600,20.81
2014-07-16,21.64,21.72,21.14,21.31,110800,20.93
2014-07-15,21.91,21.97,21.38,21.47,180100,21.09
2014-07-14,22.03,22.36,21.75,22.00,168000,21.61
2014-07-11,21.83,22.00,21.52,21.83,89200,21.44
2014-07-10,21.36,22.01,21.18,21.92,197500,21.53
2014-07-09,21.60,22.00,21.28,21.86,137000,21.47
2014-07-08,21.38,21.53,21.19,21.49,200200,21.11
2014-07-07,22.00,22.10,21.30,21.49,215600,21.11
2014-07-03,21.67,21.94,21.53,21.92,48000,21.53
2014-07-02,21.68,21.89,21.58,21.65,79100,21.26
2014-07-01,21.57,21.82,21.28,21.69,261400,21.30
2014-06-30,21.57,21.88,21.46,21.49,215700,21.11
2014-06-27,21.25,21.84,21.23,21.51,497100,21.12
2014-06-26,21.04,21.62,21.04,21.46,248500,21.08
2014-06-25,20.75,21.13,20.38,20.75,135700,20.38
2014-06-24,20.48,21.29,20.38,20.97,283000,20.59
2014-06-23,20.12,20.52,20.02,20.48,153400,20.11
2014-06-20,19.77,20.22,19.52,20.12,259500,19.76
2014-06-19,19.65,19.80,19.50,19.65,227100,19.30
2014-06-18,20.10,20.10,19.31,19.63,187100,19.28
2014-06-17,20.21,20.38,19.92,20.06,206300,19.70
2014-06-16,20.36,20.36,19.97,20.30,142500,19.94
2014-06-13,21.02,21.02,20.11,20.34,321700,19.98
2014-06-12,21.56,21.73,20.86,20.93,136900,20.56
2014-06-11,21.78,22.00,21.43,21.67,122500,21.28
2014-06-10,21.74,22.15,21.12,21.98,448200,21.59
2014-06-09,22.25,22.45,21.72,21.90,166300,21.51
2014-06-06,21.97,22.38,21.47,22.34,590600,21.94
2014-06-05,21.50,21.88,21.21,21.80,163800,21.41
2014-06-04,21.30,21.97,21.22,21.50,528700,21.12
2014-06-03,21.11,21.40,20.76,21.30,261100,20.92
2014-06-02,21.18,21.46,20.96,21.30,145000,20.92
2014-05-30,21.42,21.42,20.88,21.02,141900,20.64
2014-05-29,21.10,21.51,21.00,21.42,156200,21.04
2014-05-28,21.39,21.52,20.85,21.13,240600,20.75
2014-05-27,21.73,21.73,21.26,21.48,177600,21.10
2014-05-23,21.20,21.67,21.04,21.60,146500,21.21
2014-05-22,20.83,21.26,20.59,21.16,254800,20.78
2014-05-21,20.77,21.08,20.37,20.84,140500,20.47
2014-05-20,21.39,21.53,20.24,20.64,478000,20.27
2014-05-19,21.49,21.94,21.30,21.50,105600,21.12
2014-05-16,21.27,21.65,20.95,21.63,173200,21.24
2014-05-15,21.71,21.89,20.91,21.29,350100,20.91
2014-05-14,21.97,22.26,21.63,21.86,271500,21.47
2014-05-13,22.95,23.00,21.68,21.93,529200,21.54
2014-05-12,24.11,25.20,23.69,25.02,143100,24.57
2014-05-09,23.02,24.17,21.74,24.08,187800,23.65
2014-05-08,23.89,24.35,22.96,23.19,125400,22.77
2014-05-07,24.54,24.54,23.28,23.89,151800,23.46
2014-05-06,24.76,25.05,24.36,24.43,182200,23.99
2014-05-05,23.91,25.05,23.62,24.93,151300,24.48
2014-05-02,24.00,24.51,23.76,24.02,209100,23.59
2014-05-01,24.27,24.40,23.52,23.88,351900,23.45
2014-04-30,23.99,24.65,23.52,24.42,249700,23.81
2014-04-29,24.01,24.49,23.85,24.08,205400,23.47
2014-04-28,24.37,24.94,23.55,23.99,286500,23.39
2014-04-25,23.74,25.48,23.74,24.21,353700,23.60
2014-04-24,24.14,24.33,23.70,24.04,193700,23.44
2014-04-23,24.36,24.36,23.79,23.86,171200,23.26
