Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.40,6.90,6.32,6.66,110900,6.66
2014-12-30,6.17,6.30,6.17,6.30,200,6.30
2014-12-29,5.80,6.18,5.80,6.07,43100,6.07
2014-12-26,5.75,5.85,5.70,5.82,16600,5.82
2014-12-24,5.52,5.75,5.26,5.73,67800,5.73
2014-12-23,5.63,5.70,5.42,5.57,76900,5.57
2014-12-22,6.00,6.18,5.60,5.70,125800,5.70
2014-12-19,6.21,6.28,6.05,6.10,32500,6.10
2014-12-18,6.28,6.37,6.01,6.25,243100,6.25
2014-12-17,6.29,6.40,6.21,6.24,40100,6.24
2014-12-16,6.35,6.48,6.30,6.34,20000,6.34
2014-12-15,6.74,6.75,6.25,6.40,23900,6.40
2014-12-12,6.50,6.74,6.43,6.74,45200,6.74
2014-12-11,6.35,6.73,6.35,6.55,53400,6.55
2014-12-10,6.87,7.18,6.35,6.35,97100,6.35
2014-12-09,6.00,6.86,5.97,6.81,133700,6.81
2014-12-08,6.08,6.11,6.00,6.02,21400,6.02
2014-12-05,5.99,6.09,5.95,6.06,26000,6.06
2014-12-04,6.13,6.13,5.92,5.95,26400,5.95
2014-12-03,5.82,6.25,5.74,6.15,262200,6.15
2014-12-02,5.87,5.95,5.76,5.86,33800,5.86
2014-12-01,5.92,5.92,5.75,5.83,27800,5.83
2014-11-28,5.64,5.99,5.50,5.92,44100,5.92
2014-11-26,5.64,5.67,5.41,5.64,33000,5.64
2014-11-25,5.61,5.61,5.42,5.49,12500,5.49
2014-11-24,5.38,5.57,5.38,5.38,13300,5.38
2014-11-21,5.70,5.70,5.20,5.33,63200,5.33
2014-11-20,5.69,5.74,5.63,5.69,8400,5.69
2014-11-19,6.00,6.00,5.55,5.78,141600,5.78
2014-11-18,5.85,6.00,5.73,5.96,69800,5.96
2014-11-17,5.71,5.96,5.71,5.79,35100,5.79
2014-11-14,5.76,6.09,5.72,5.84,43700,5.84
2014-11-13,5.09,5.75,5.09,5.74,48300,5.74
2014-11-12,4.90,5.28,4.90,5.26,64700,5.26
2014-11-11,4.80,5.04,4.80,5.04,26400,5.04
2014-11-10,5.03,5.03,4.85,4.88,20000,4.88
2014-11-07,5.02,5.10,4.96,5.00,15800,5.00
2014-11-06,5.00,5.16,4.82,4.95,104200,4.95
2014-11-05,5.50,5.80,5.12,5.20,46100,5.20
2014-11-04,5.99,5.99,5.50,5.56,38900,5.56
2014-11-03,5.95,6.18,5.80,5.92,11900,5.92
2014-10-31,5.99,6.22,5.51,5.90,35000,5.90
2014-10-30,5.94,5.96,5.82,5.91,4700,5.91
