Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,16.08,16.11,15.60,15.86,33300,15.86
2014-12-30,16.15,16.21,15.68,16.14,1400,16.14
2014-12-29,16.72,17.04,16.11,16.15,50600,16.15
2014-12-26,16.50,17.00,16.32,16.72,38600,16.72
2014-12-24,16.42,16.63,16.39,16.53,17100,16.53
2014-12-23,16.57,16.77,16.07,16.25,42200,16.25
2014-12-22,15.70,16.83,15.66,16.50,89300,16.50
2014-12-19,15.95,16.39,15.40,15.40,113100,15.40
2014-12-18,15.87,15.93,15.43,15.76,35100,15.76
2014-12-17,15.60,15.94,15.48,15.80,29200,15.80
2014-12-16,15.95,15.95,15.35,15.58,55700,15.58
2014-12-15,15.75,16.03,15.50,15.72,43200,15.72
2014-12-12,16.16,16.33,15.76,15.78,62900,15.78
2014-12-11,15.76,16.40,15.66,16.40,57500,16.40
2014-12-10,15.84,16.02,15.73,15.78,41800,15.78
2014-12-09,15.57,16.07,15.47,15.80,61100,15.80
2014-12-08,15.95,15.95,15.59,15.73,50800,15.73
2014-12-05,15.09,15.92,15.06,15.87,59300,15.87
2014-12-04,15.25,15.76,15.03,15.14,76400,15.14
2014-12-03,15.08,15.25,14.51,15.16,42100,15.16
2014-12-02,14.70,15.34,14.28,15.07,70600,15.07
2014-12-01,15.06,15.11,13.96,14.72,112200,14.72
2014-11-28,14.87,15.43,14.71,14.88,102000,14.88
2014-11-26,13.78,14.72,13.78,14.55,110500,14.55
2014-11-25,13.83,13.90,13.52,13.80,46500,13.80
2014-11-24,13.20,13.74,13.09,13.73,101200,13.73
2014-11-21,12.89,13.32,12.67,13.05,88400,13.05
2014-11-20,12.15,12.90,12.15,12.90,109700,12.90
2014-11-19,12.33,12.39,12.07,12.11,45400,12.11
2014-11-18,12.30,12.45,12.16,12.29,31400,12.29
2014-11-17,12.48,12.49,12.17,12.30,45100,12.30
2014-11-14,12.32,12.56,12.07,12.16,50900,12.16
2014-11-13,12.67,12.89,12.29,12.32,131500,12.32
2014-11-12,12.85,13.00,12.70,13.00,37900,13.00
2014-11-11,12.64,12.88,12.64,12.80,16800,12.80
2014-11-10,12.96,12.97,12.62,12.67,19100,12.67
2014-11-07,12.92,13.18,12.82,12.89,37400,12.89
2014-11-06,12.97,13.11,12.82,13.00,27600,13.00
2014-11-05,12.73,13.14,12.44,12.93,47900,12.93
2014-11-04,12.50,12.78,12.26,12.76,48400,12.76
2014-11-03,12.54,12.67,12.25,12.57,43800,12.57
2014-10-31,12.51,12.79,12.12,12.35,37900,12.35
2014-10-30,12.32,12.67,11.97,12.45,46800,12.45
2014-10-29,12.31,12.68,11.52,12.14,69400,12.14
2014-10-28,12.36,12.47,12.20,12.26,49800,12.26
2014-10-27,12.56,12.74,12.41,12.41,30800,12.41
2014-10-24,12.62,12.79,12.37,12.72,29900,12.72
2014-10-23,12.60,12.60,12.28,12.56,28700,12.56
2014-10-22,12.20,12.68,12.20,12.49,70300,12.49
2014-10-21,11.96,12.46,11.80,12.24,79500,12.24
2014-10-20,11.47,12.18,11.16,12.00,128600,12.00
2014-10-17,12.33,12.60,12.21,12.31,35700,12.31
2014-10-16,12.05,12.63,11.98,12.29,69800,12.29
2014-10-15,12.47,12.69,11.88,12.25,80600,12.25
2014-10-14,12.23,12.71,12.02,12.49,82200,12.49
