Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,72.22,72.58,71.61,71.71,168300,71.71
2014-12-30,72.00,72.45,71.52,71.99,112600,71.99
2014-12-29,73.16,73.40,71.97,72.23,164400,72.23
2014-12-26,72.55,73.77,71.86,73.25,108600,73.25
2014-12-24,72.33,73.16,71.75,72.30,64800,72.30
2014-12-23,71.99,72.82,71.31,72.29,110000,72.29
2014-12-22,71.51,72.49,71.15,71.63,144900,71.63
2014-12-19,72.06,72.20,70.94,71.54,511700,71.54
2014-12-18,70.69,72.64,70.25,72.23,173000,72.23
2014-12-17,68.60,70.35,67.90,70.06,214200,70.06
2014-12-16,68.42,69.13,67.99,68.60,153600,68.60
2014-12-15,68.83,69.14,67.59,68.50,144700,68.50
2014-12-12,68.92,70.07,68.07,68.45,111400,68.45
2014-12-11,69.32,70.70,68.99,69.79,132900,69.79
2014-12-10,68.95,69.85,68.69,68.90,151000,68.90
2014-12-09,67.28,69.49,66.56,69.35,136600,69.35
2014-12-08,68.09,69.49,67.45,67.99,144300,67.99
2014-12-05,67.34,68.66,67.34,68.10,139000,68.10
2014-12-04,66.94,67.91,66.82,67.37,205600,67.37
2014-12-03,64.89,67.28,64.89,66.69,263900,66.69
2014-12-02,64.41,65.79,64.30,65.26,136600,65.26
2014-12-01,65.45,65.82,64.10,64.21,135800,64.21
2014-11-28,65.19,66.36,65.15,65.57,117100,65.57
2014-11-26,64.16,65.00,63.89,64.87,152300,64.87
2014-11-25,64.39,64.39,63.61,64.01,98700,64.01
2014-11-24,62.70,64.54,62.54,64.30,184700,64.30
2014-11-21,64.72,65.00,62.64,62.74,160400,62.74
2014-11-20,62.76,63.98,62.63,63.94,147300,63.94
2014-11-19,63.37,63.37,62.09,63.02,127900,63.02
2014-11-18,64.00,64.21,63.26,63.39,192500,63.39
2014-11-17,65.24,65.46,63.41,63.73,176400,63.73
2014-11-14,66.11,66.24,65.37,65.45,154800,65.45
2014-11-13,66.10,66.20,65.53,66.07,112900,66.07
2014-11-12,65.12,66.08,64.60,65.91,97100,65.91
2014-11-11,64.72,65.36,64.56,65.26,178400,65.26
2014-11-10,65.28,65.93,63.94,64.95,188300,64.95
2014-11-07,65.47,65.47,64.56,65.36,173200,65.36
2014-11-06,65.55,66.22,64.66,65.63,169700,65.63
2014-11-05,65.59,66.62,65.16,65.75,225800,65.75
2014-11-04,64.05,65.50,64.05,64.97,140700,64.97
2014-11-03,64.69,64.77,63.24,64.57,146400,64.41
2014-10-31,65.66,65.66,64.17,64.65,202800,64.49
2014-10-30,63.58,64.61,63.58,64.23,197900,64.07
2014-10-29,64.13,64.68,63.37,63.99,196600,63.83
2014-10-28,63.52,64.28,63.49,64.04,218900,63.88
2014-10-27,61.93,63.19,61.50,63.11,119600,62.95
2014-10-24,61.38,62.25,60.84,62.15,165500,62.00
2014-10-23,61.53,61.53,60.45,61.25,284000,61.10
2014-10-22,64.50,64.50,60.93,61.15,584700,61.00
2014-10-21,64.35,65.64,63.38,65.63,250300,65.47
2014-10-20,62.73,63.98,62.32,63.95,270300,63.79
2014-10-17,64.73,64.73,62.61,62.86,274800,62.70
2014-10-16,63.67,65.15,62.31,63.78,356100,63.62
2014-10-15,62.50,64.80,61.73,64.61,417800,64.45
2014-10-14,62.95,63.49,62.64,63.09,401500,62.93
2014-10-13,62.72,63.35,62.26,62.56,296500,62.40
2014-10-10,61.78,63.34,61.48,62.53,302400,62.38
2014-10-09,62.77,63.18,61.89,62.15,260800,62.00
2014-10-08,61.86,62.96,61.61,62.71,194100,62.55
2014-10-07,62.25,62.99,61.90,62.00,349100,61.85
2014-10-06,62.48,63.04,61.96,62.70,234200,62.54
2014-10-03,62.48,62.85,61.50,62.45,278600,62.30
2014-10-02,61.85,62.48,61.35,61.78,281600,61.63
2014-10-01,61.96,62.13,61.36,61.85,365800,61.70
2014-09-30,61.86,62.24,61.42,61.86,350100,61.71
2014-09-29,60.87,62.08,60.59,62.05,246700,61.90
2014-09-26,60.58,61.80,60.36,61.39,356200,61.24
2014-09-25,60.60,60.60,59.66,60.05,187200,59.90
2014-09-24,59.43,60.71,59.05,60.70,193900,60.55
2014-09-23,60.18,60.66,59.07,59.30,195700,59.15
2014-09-22,61.34,61.50,60.38,60.54,167300,60.39
2014-09-19,61.66,62.87,60.27,61.75,690400,61.60
2014-09-18,59.27,62.51,58.97,61.63,590200,61.48
2014-09-17,58.53,59.23,58.24,58.81,197400,58.66
2014-09-16,58.03,58.84,57.50,58.59,246100,58.44
2014-09-15,58.77,58.82,57.75,58.01,204200,57.87
2014-09-12,59.37,59.80,58.76,59.06,215300,58.91
2014-09-11,59.55,59.96,58.85,59.26,151500,59.11
2014-09-10,59.98,60.26,59.52,59.98,199200,59.83
2014-09-09,59.77,60.02,58.95,59.87,221300,59.72
2014-09-08,59.26,60.11,59.13,59.78,130800,59.63
2014-09-05,58.16,59.39,58.08,59.30,168500,59.15
2014-09-04,60.20,60.20,58.00,58.41,192400,58.27
2014-09-03,59.84,60.35,59.56,60.02,390400,59.87
2014-09-02,59.19,59.81,58.62,59.55,152600,59.40
2014-08-29,58.65,59.24,58.37,58.92,118300,58.77
2014-08-28,59.22,59.30,58.27,58.64,155300,58.49
2014-08-27,59.37,59.47,58.72,59.31,109400,59.16
2014-08-26,59.55,60.13,59.10,59.52,212800,59.37
2014-08-25,58.24,59.74,57.97,59.62,306600,59.47
2014-08-22,57.84,58.40,57.49,57.97,166700,57.83
2014-08-21,58.07,58.07,57.25,57.76,201500,57.62
2014-08-20,58.00,58.75,57.28,58.13,212200,57.99
2014-08-19,58.29,58.37,57.86,58.20,213400,58.06
2014-08-18,57.75,58.36,57.30,58.23,203200,58.09
2014-08-15,57.36,57.40,55.25,57.30,290500,57.16
2014-08-14,56.52,56.83,56.00,56.81,142100,56.67
2014-08-13,56.79,57.49,56.14,56.58,190600,56.44
2014-08-12,57.05,57.71,55.99,56.47,146300,56.33
2014-08-11,55.68,57.96,55.28,57.30,222100,57.16
2014-08-08,55.62,55.92,55.17,55.37,220100,55.23
2014-08-07,56.60,57.19,55.50,55.59,154600,55.45
2014-08-06,55.57,57.24,54.86,56.65,167300,56.51
2014-08-05,55.81,56.59,55.33,55.93,120100,55.79
2014-08-04,56.20,56.67,55.37,56.29,126900,55.99
2014-08-01,56.37,56.62,54.79,55.85,172400,55.55
2014-07-31,56.09,57.09,55.77,56.23,226400,55.93
2014-07-30,56.79,57.26,56.36,56.95,131500,56.65
2014-07-29,56.24,56.81,55.87,56.38,181500,56.08
2014-07-28,56.22,56.47,55.28,55.98,183300,55.68
2014-07-25,55.96,56.62,55.35,55.99,316500,55.69
2014-07-24,55.30,57.07,54.55,56.43,478200,56.13
2014-07-23,51.33,53.98,50.28,53.91,489000,53.62
2014-07-22,50.35,50.72,50.10,50.37,224700,50.10
2014-07-21,49.37,50.32,49.11,50.10,298400,49.83
2014-07-18,48.46,49.64,48.04,49.61,285900,49.35
2014-07-17,47.86,48.81,47.75,48.58,343800,48.32
2014-07-16,48.57,48.86,47.76,48.11,177100,47.85
2014-07-15,48.50,48.87,47.88,48.23,328800,47.97
2014-07-14,48.05,48.74,47.71,48.50,356600,48.24
2014-07-11,47.80,48.14,47.26,47.50,374600,47.25
2014-07-10,48.58,49.08,47.90,48.05,420300,47.79
2014-07-09,50.00,50.06,48.89,49.22,332700,48.96
2014-07-08,50.65,50.79,49.66,49.97,483900,49.70
2014-07-07,51.51,51.80,50.50,50.90,540000,50.63
2014-07-03,53.13,53.32,51.62,51.90,228300,51.62
2014-07-02,53.58,54.16,52.57,52.73,328400,52.45
2014-07-01,54.19,54.69,53.36,53.69,413500,53.40
