Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,58.51,59.05,57.75,57.80,214100,57.80
2014-12-30,58.46,59.00,58.08,58.48,236100,58.48
2014-12-29,58.45,58.86,58.06,58.63,236500,58.63
2014-12-26,58.30,58.50,57.69,58.28,94100,58.28
2014-12-24,57.99,58.74,57.91,58.17,105100,58.17
2014-12-23,57.79,59.17,57.36,57.82,187800,57.82
2014-12-22,57.19,57.76,56.91,57.65,218100,57.65
2014-12-19,57.36,57.92,56.84,57.16,366200,57.16
2014-12-18,57.48,57.80,56.79,57.46,166000,57.46
2014-12-17,55.85,56.96,55.24,56.88,384300,56.88
2014-12-16,56.11,56.81,55.44,55.85,259900,55.85
2014-12-15,56.56,57.40,55.91,56.16,254800,56.16
2014-12-12,56.41,57.11,55.90,56.47,283700,56.47
2014-12-11,56.57,57.70,56.40,57.23,255400,57.10
2014-12-10,56.64,57.66,56.28,56.31,231500,56.18
2014-12-09,55.18,57.18,54.98,56.81,309000,56.68
2014-12-08,54.54,56.08,54.54,55.54,278900,55.41
2014-12-05,55.03,55.63,53.85,54.74,245100,54.62
2014-12-04,55.08,55.19,54.40,55.05,199000,54.92
2014-12-03,54.54,55.28,54.36,55.09,193200,54.96
2014-12-02,54.69,55.09,54.15,54.54,209200,54.42
2014-12-01,54.88,55.39,54.14,54.42,400300,54.30
2014-11-28,53.64,55.04,53.34,54.79,271000,54.67
2014-11-26,53.46,54.10,53.07,53.75,427800,53.63
2014-11-25,54.83,55.10,51.57,53.61,1536100,53.49
2014-11-24,54.33,55.13,54.32,55.00,279600,54.88
2014-11-21,52.79,54.72,52.21,54.38,259700,54.26
2014-11-20,51.08,52.26,51.08,52.15,204400,52.03
2014-11-19,51.43,51.50,50.21,51.26,250500,51.14
2014-11-18,51.85,52.57,51.21,51.43,187900,51.31
2014-11-17,51.92,52.57,51.53,51.70,116600,51.58
2014-11-14,53.17,53.53,52.57,52.68,205000,52.56
2014-11-13,54.01,54.29,53.26,53.28,163200,53.16
2014-11-12,53.70,54.10,53.56,53.85,217500,53.73
2014-11-11,54.10,54.21,53.37,53.86,159800,53.74
2014-11-10,53.90,54.28,53.62,54.17,138300,54.05
2014-11-07,53.76,53.76,52.97,53.72,157200,53.60
2014-11-06,53.20,53.72,52.49,53.65,241600,53.53
2014-11-05,52.68,53.58,52.47,53.39,201400,53.27
2014-11-04,52.37,52.76,51.88,52.43,132300,52.31
2014-11-03,53.31,53.82,52.12,52.41,197700,52.29
2014-10-31,53.52,53.72,52.51,53.44,269800,53.32
2014-10-30,51.59,52.71,51.17,52.62,215500,52.50
2014-10-29,51.56,52.12,50.91,51.79,311200,51.67
2014-10-28,49.38,51.69,48.79,51.42,297700,51.30
2014-10-27,48.08,49.04,47.78,48.98,151900,48.87
2014-10-24,47.95,48.51,47.61,48.33,231800,48.22
2014-10-23,48.83,49.64,46.93,48.14,933000,48.03
2014-10-22,51.34,51.77,49.90,50.13,270100,50.02
2014-10-21,51.10,51.78,51.08,51.20,227600,51.08
2014-10-20,49.81,51.35,49.81,51.07,219600,50.95
2014-10-17,50.95,50.95,49.45,49.92,363700,49.81
2014-10-16,50.60,50.89,49.89,50.25,241100,50.14
2014-10-15,50.71,52.24,50.20,51.28,308800,51.16
2014-10-14,50.59,51.37,50.27,51.31,160000,51.19
2014-10-13,50.01,50.49,49.45,50.15,211000,50.04
2014-10-10,48.81,50.43,48.40,49.98,299900,49.87
2014-10-09,49.84,50.23,48.68,49.05,164100,48.94
2014-10-08,48.33,49.96,48.33,49.88,178600,49.77
2014-10-07,48.31,48.78,48.27,48.41,170800,48.30
2014-10-06,48.98,49.32,48.31,48.65,206100,48.54
2014-10-03,49.41,49.75,48.84,48.94,128300,48.83
2014-10-02,48.61,49.08,48.38,48.97,105300,48.86
2014-10-01,48.53,48.97,48.22,48.46,185800,48.35
2014-09-30,49.33,49.49,48.53,48.53,207500,48.42
2014-09-29,48.40,49.38,48.40,49.22,113500,49.11
2014-09-26,48.86,49.22,48.67,48.89,134900,48.78
